"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]"
2015-12-31 23:00:00,4.438358611,-0.010356389,4.438358611,-0.010356389,-0.000000000
2015-12-31 22:00:00,5.612148056,-0.010445833,5.612148056,-0.010445833,-0.000000000
2015-12-31 21:00:00,6.331686667,-0.010668611,6.331686667,-0.010668611,-0.000000000
2015-12-31 20:00:00,5.281315556,-0.010393333,5.281315556,-0.010393333,-0.000000000
2015-12-31 19:00:00,5.623283889,-0.010351389,5.623283889,-0.010351389,-0.000000000
2015-12-31 18:00:00,3.358904444,-0.001923611,3.350966111,-0.001923611,0.007938333
2015-12-31 17:00:00,5.146539722,0.224923056,4.921616667,0.224923056,0.224923056
2015-12-31 16:00:00,4.141139444,1.411267222,2.729872222,1.411267222,1.411267222
2015-12-31 15:00:00,5.369859444,2.106536111,3.263323333,2.106536111,2.106536111
2015-12-31 14:00:00,4.529614167,2.987589167,1.542025000,2.987589167,2.987589167
2015-12-31 13:00:00,4.755561111,5.526420833,-0.770859722,5.526420833,5.526420833
2015-12-31 12:00:00,6.013155556,4.555628611,1.457526944,4.555628611,4.555628611
2015-12-31 11:00:00,5.112465833,5.209196667,-0.096730833,5.209196667,5.209196667
2015-12-31 10:00:00,9.817984722,2.705303611,7.112681111,2.705303611,2.705303611
2015-12-31 09:00:00,7.996679722,1.190823333,6.805856389,1.190823333,1.190823333
2015-12-31 08:00:00,19.031949722,0.056874722,18.968938333,0.056874722,0.063011389
2015-12-31 07:00:00,7.965150000,-0.010490833,7.965150000,-0.010490833,-0.000000000
2015-12-31 06:00:00,1.849040000,-0.010124722,1.849040000,-0.010124722,-0.000000000
2015-12-31 05:00:00,3.259640000,-0.010005833,3.259640000,-0.010005833,-0.000000000
2015-12-31 04:00:00,1.850088333,-0.009897778,1.850088333,-0.009897778,-0.000000000
2015-12-31 03:00:00,2.960711667,-0.010023611,2.960711667,-0.010023611,-0.000000000
2015-12-31 02:00:00,2.650238611,-0.010045000,2.650238611,-0.010045000,-0.000000000
2015-12-31 01:00:00,2.299405556,-0.010262778,2.299405556,-0.010262778,-0.000000000
2015-12-31 00:00:00,2.145223056,-0.010298333,2.145223056,-0.010298333,-0.000000000
2015-12-30 23:00:00,4.328975833,-0.010461667,4.328975833,-0.010461667,-0.000000000
2015-12-30 22:00:00,5.783588333,-0.010539167,5.783588333,-0.010539167,-0.000000000
2015-12-30 21:00:00,3.327077500,-0.010350556,3.327077500,-0.010350556,-0.000000000
