"Date & Time","Usage [kW]","Generation [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","ct11 [kW]","water [kW]","spa [kW]","oven [kW]","car [kW]","Solaredge [kW]","dryer [kW]"
2015-12-31 23:00:00,4.030930000,-0.007131667,4.030930000,-0.007131667,-0.000000000,-0.000931111,0.660827500,-0.003260278,0.895122500,0.003286667,-0.003825556,0.319575833
2015-12-31 22:00:00,2.657396944,-0.007538611,2.657396944,-0.007538611,-0.000000000,-0.000695556,0.960091944,-0.002339722,0.004565278,0.003462778,-0.003871111,0.268790000
2015-12-31 21:00:00,5.855030556,-0.007375000,5.855030556,-0.007375000,-0.000000000,-0.001410833,4.261845556,-0.004891111,0.004395833,0.003219722,-0.003831111,0.244781389
2015-12-31 20:00:00,6.084815278,-0.009809167,6.084815278,-0.009809167,-0.000000000,-0.001527222,4.375064167,-0.005288056,0.004383056,0.003179167,-0.004188056,0.292202222
2015-12-31 19:00:00,6.682177778,0.362063611,6.682177778,0.362063611,0.364848889,-0.001701389,4.436947778,-0.005684722,0.004413611,0.003193889,0.266740000,0.298655833
2015-12-31 18:00:00,3.287229722,3.706523333,3.287229722,3.706523333,3.706523333,-0.001001389,1.348951389,-0.004010833,0.004724167,0.003209167,1.097369167,0.325718056
2015-12-31 17:00:00,5.939146389,4.898078333,5.939146389,4.898078333,4.898078333,-0.001387778,2.071648611,1.663654167,0.004666667,0.002878333,1.610330833,0.297166944
2015-12-31 16:00:00,3.481540556,8.210972500,3.481540556,8.210972500,8.210972500,-0.000986389,1.564722222,0.049417222,0.004820833,0.003526111,3.099476944,0.317356944
2015-12-31 15:00:00,2.210387500,9.839525278,2.210387500,9.839525278,9.839525278,-0.000568611,0.815511944,-0.002048056,0.004898889,0.003686944,3.852256389,0.293730833
2015-12-31 14:00:00,1.593412778,9.770821389,1.593412778,9.770821389,9.770821389,-0.000504722,0.375520278,-0.001497778,0.004958056,0.003758056,3.822369167,0.293482500
2015-12-31 13:00:00,1.217019167,8.785838611,1.217019167,8.785838611,8.785838611,-0.000411111,0.001182222,-0.001398333,0.004907222,0.003580833,3.422865833,0.290970278
2015-12-31 12:00:00,6.476627500,6.756000556,6.476627500,6.756000556,6.756000556,-0.000302778,0.419446389,-0.010729444,0.004805556,4.732117222,2.604086667,0.207200278
2015-12-31 11:00:00,1.556195000,2.720931944,1.556195000,2.720931944,2.720931944,-0.000438889,0.374705278,-0.001652778,0.004792222,0.189199444,0.979014444,0.161195833
2015-12-31 10:00:00,1.808073333,0.049449444,1.808073333,0.049449444,0.053208056,-0.000452500,0.365013333,-0.001195000,0.004345278,0.003201667,0.024576111,0.065872500
2015-12-31 09:00:00,1.327513889,-0.006987500,1.327513889,-0.006987500,-0.000000000,-0.000428889,0.000771667,-0.000481667,0.004365278,0.003222222,-0.003843056,0.156391944
2015-12-31 08:00:00,1.273802778,-0.007159722,1.273802778,-0.007159722,-0.000000000,-0.000413333,0.389641944,-0.000714722,0.004476944,0.003263056,-0.003864444,0.157061111
2015-12-31 07:00:00,0.846048056,-0.007235833,0.846048056,-0.007235833,-0.000000000,-0.000331667,0.000783889,-0.000606389,0.004543889,0.003305556,-0.003879167,0.159628056
2015-12-31 06:00:00,1.457466111,-0.007144444,1.457466111,-0.007144444,-0.000000000,-0.000423611,0.390105278,0.216930278,0.004479444,0.003246944,-0.003860556,0.161825278
2015-12-31 05:00:00,2.649489722,-0.007026667,2.649489722,-0.007026667,-0.000000000,-0.000521111,0.873460000,0.555856389,0.004342500,0.003071111,-0.003828611,0.173688611
2015-12-31 04:00:00,2.735254722,-0.007012222,2.735254722,-0.007012222,-0.000000000,-0.001030833,0.010113056,0.297333611,0.004173889,0.002898611,-0.003843611,0.361016389
2015-12-31 03:00:00,6.483514722,-0.006890556,6.483514722,-0.006890556,-0.000000000,-0.001560000,0.489255000,3.699221389,0.004127778,0.002443056,-0.003819444,0.293323889
2015-12-31 02:00:00,9.947888333,-0.005879722,9.947888333,-0.005879722,-0.000000000,-0.000304167,1.843808611,0.252440556,0.003889722,4.894103611,-0.003782778,0.300239167
2015-12-31 01:00:00,10.609057222,-0.005620278,10.609057222,-0.005620278,-0.000000000,-0.000570278,1.152863333,0.980542778,0.003997222,5.021577222,-0.003765278,0.306583056
2015-12-31 00:00:00,6.625136389,-0.006602778,6.625136389,-0.006602778,-0.000000000,-0.001870833,2.919716111,-0.006988333,0.004036389,0.002734722,-0.003717222,0.293770833
2015-12-30 23:00:00,7.651716944,-0.006599722,7.651716944,-0.006599722,-0.000000000,-0.002202500,4.270623056,-0.008161389,0.004249722,0.002804167,-0.003728611,0.303999444
2015-12-30 22:00:00,3.425274722,-0.007093611,3.425274722,-0.007093611,-0.000000000,-0.001091111,0.997153333,-0.003805000,0.004383611,0.003148333,-0.003796944,0.310881111
2015-12-30 21:00:00,2.501424444,-0.007262500,2.501424444,-0.007262500,-0.000000000,-0.000930833,0.002004722,-0.004277778,0.004307500,0.002963889,-0.003803056,0.220008056
2015-12-30 20:00:00,2.668151111,-0.007839444,2.668151111,-0.007839444,-0.000000000,-0.000993889,0.367392778,-0.003747500,0.004415833,0.003062500,-0.004060000,0.292983056
2015-12-30 19:00:00,2.672022222,0.234135833,2.672022222,0.234135833,0.235560833,-0.001113611,0.002413056,-0.005340556,0.004500000,0.003008611,0.099596944,0.297185000
2015-12-30 18:00:00,3.045688333,1.255770833,3.045688333,1.255770833,1.255770833,-0.001208333,0.371826667,-0.005467778,0.004503889,0.003099444,0.479105833,0.308323056
2015-12-30 17:00:00,2.060155833,3.176786111,2.060155833,3.176786111,3.176786111,-0.000818889,0.001840556,-0.003767222,0.004744722,0.003359444,1.287086944,0.311519167
2015-12-30 16:00:00,2.016008333,3.812210000,2.016008333,3.812210000,3.812210000,-0.000680278,0.447405833,-0.001983056,0.030223889,0.003657778,1.519268333,0.316249722
2015-12-30 15:00:00,2.667319167,5.481571389,2.667319167,5.481571389,5.481571389,-0.000639167,0.548315556,-0.001639722,0.419385833,0.003766111,2.157216944,0.323453333
2015-12-30 14:00:00,1.407693333,9.287003889,1.407693333,9.287003889,9.287003889,-0.000469167,0.317013611,-0.001004722,0.004936111,0.003697222,3.634863889,0.291623333
2015-12-30 13:00:00,1.371666389,7.135900556,1.371666389,7.135900556,7.135900556,-0.000439722,0.347360278,-0.001032500,0.004810000,0.003541667,2.788004444,0.233358333
2015-12-30 12:00:00,2.996526389,3.560419167,2.996526389,3.560419167,3.560419167,-0.000713056,1.749995278,-0.002165000,0.004615278,0.003465833,1.393079167,0.199862500
2015-12-30 11:00:00,1.330264167,2.614274167,1.330264167,2.614274167,2.614274167,-0.000442778,0.239889722,-0.001052500,0.004698889,0.003560833,0.942022500,0.160345833
2015-12-30 10:00:00,1.540996389,0.047333611,1.540996389,0.047333611,0.051250000,-0.000473611,0.272246389,-0.000656389,0.004375556,0.003301944,0.022470000,0.074784167
2015-12-30 09:00:00,1.753152778,-0.006795556,1.753152778,-0.006795556,-0.000000000,-0.000510556,0.378813333,-0.000722222,0.004332222,0.003271667,-0.003814444,0.157950278
2015-12-30 08:00:00,0.877582222,-0.006988056,0.877582222,-0.006988056,-0.000000000,-0.000329722,0.000734167,-0.000233611,0.004489167,0.003352778,-0.003841667,0.091553889
2015-12-30 07:00:00,1.182939167,-0.006925278,1.182939167,-0.006925278,-0.000000000,-0.000393889,0.388330278,-0.000558611,0.004513889,0.003385833,-0.003843611,0.134061111
2015-12-30 06:00:00,1.024951667,-0.006872500,1.024951667,-0.006872500,-0.000000000,-0.000334167,0.000802222,0.218348611,0.004514167,0.003297778,-0.003842500,0.155962500
2015-12-30 05:00:00,3.106572222,-0.006881944,3.106572222,-0.006881944,-0.000000000,-0.000669722,0.419883611,1.967938611,0.004436389,0.003083056,-0.003838611,0.072800000
2015-12-30 04:00:00,2.157150556,-0.006917222,2.157150556,-0.006917222,-0.000000000,-0.000558889,1.205913056,0.117317500,0.004413889,0.003349722,-0.003831667,0.184437222
2015-12-30 03:00:00,7.691699722,-0.006650000,7.691699722,-0.006650000,-0.000000000,-0.001396667,3.835513611,2.556587500,0.004068889,0.002954722,-0.003789722,0.286716111
2015-12-30 02:00:00,8.453518333,-0.006308611,8.453518333,-0.006308611,-0.000000000,-0.001104722,2.967593611,1.718018889,0.004057500,1.831093611,-0.003805833,0.305035556
2015-12-30 01:00:00,8.608050833,-0.005753611,8.608050833,-0.005753611,-0.000000000,-0.000089444,0.901238056,-0.015483889,0.004155556,5.048931111,-0.003797222,0.290790000
2015-12-30 00:00:00,2.542438056,-0.007033611,2.542438056,-0.007033611,-0.000000000,-0.000904444,0.382841389,-0.004839167,0.004409444,0.002702222,-0.003800833,0.354601389
2015-12-29 23:00:00,2.373801667,-0.007191667,2.373801667,-0.007191667,-0.000000000,-0.000816389,0.380288333,-0.004120556,0.004505556,0.002812778,-0.003816944,0.287814167
2015-12-29 22:00:00,1.996628333,-0.007381944,1.996628333,-0.007381944,-0.000000000,-0.000840278,0.002168333,-0.004512778,0.004611944,0.002847500,-0.003829167,0.288580278
2015-12-29 21:00:00,2.581603611,-0.007426667,2.581603611,-0.007426667,-0.000000000,-0.000767500,0.414047778,-0.004034167,0.004486667,0.002967222,-0.003836944,0.289041944
2015-12-29 20:00:00,1.823056667,-0.009354167,1.823056667,-0.009354167,-0.000000000,-0.000573611,0.001278611,-0.001935000,0.004527222,0.003276944,-0.004113056,0.291166667
2015-12-29 19:00:00,1.617473056,0.318338056,1.617473056,0.318338056,0.323090556,-0.000480556,0.444703611,-0.001380000,0.004735278,0.003460556,0.244228333,0.294108611
2015-12-29 18:00:00,2.091822778,3.601463333,2.091822778,3.601463333,3.601463333,-0.000484722,0.566979722,-0.002490833,0.004749167,0.003276111,1.066145833,0.297447778
2015-12-29 17:00:00,5.697448889,4.730097778,5.697448889,4.730097778,4.730097778,-0.001423056,4.013566111,-0.004280278,0.004574722,0.003323889,1.516076111,0.250880833
2015-12-29 16:00:00,3.201360000,7.913878889,3.201360000,7.913878889,7.913878889,-0.001015556,1.575752500,-0.003968889,0.004916944,0.003412778,2.986051111,0.177230833
2015-12-29 15:00:00,5.005067500,9.631398611,5.005067500,9.631398611,9.631398611,-0.001171389,2.762147500,-0.003818056,0.619350278,0.003675556,3.772625278,0.186486389
2015-12-29 14:00:00,2.009265556,9.550350278,2.009265556,9.550350278,9.550350278,-0.000824722,0.354884722,-0.002093611,0.077377500,0.003637778,3.735987778,0.252211111
2015-12-29 13:00:00,1.181170000,8.459867500,1.181170000,8.459867500,8.459867500,-0.000405278,0.001157222,-0.001269167,0.004903333,0.003651389,3.300932500,0.294750000
2015-12-29 12:00:00,1.393507778,6.571823333,1.393507778,6.571823333,6.571823333,-0.000392222,0.360217778,-0.000836389,0.004888333,0.003786944,2.536613889,0.296943889
2015-12-29 11:00:00,1.143756944,2.721475833,1.143756944,2.721475833,2.721475833,-0.000336389,0.000833056,-0.000761389,0.004706389,0.003596944,0.981950000,0.298213889
2015-12-29 10:00:00,1.732959167,0.039455556,1.732959167,0.039455556,0.043261389,-0.000475556,0.364316667,-0.000785833,0.004357222,0.003273611,0.020814722,0.300265556
2015-12-29 09:00:00,1.217198611,-0.006820833,1.217198611,-0.006820833,-0.000000000,-0.000389722,0.000791944,-0.000689167,0.004399444,0.003212222,-0.003841111,0.290323889
2015-12-29 08:00:00,1.288586389,-0.006933056,1.288586389,-0.006933056,-0.000000000,-0.000423333,0.331040000,-0.000541389,0.004419444,0.003262778,-0.003852500,0.148910278
2015-12-29 07:00:00,1.047306111,-0.006935556,1.047306111,-0.006935556,-0.000000000,-0.000378056,0.000746389,-0.000373333,0.004422222,0.003306111,-0.003842222,0.092717222
2015-12-29 06:00:00,1.912504722,-0.006798611,1.912504722,-0.006798611,-0.000000000,-0.000510833,0.378973333,0.526569167,0.004394722,0.003222222,-0.003823889,0.160321111
2015-12-29 05:00:00,3.750263889,-0.006834722,3.750263889,-0.006834722,-0.000000000,-0.000798056,0.000591944,2.857206389,0.004386389,0.002847500,-0.003838611,0.119534444
2015-12-29 04:00:00,6.938201667,-0.006001389,6.938201667,-0.006001389,-0.000000000,0.000448889,0.397669444,-0.010835000,0.004277778,4.953018889,-0.003845833,0.119076389
2015-12-29 03:00:00,1.548839722,-0.007012222,1.548839722,-0.007012222,-0.000000000,-0.000467500,0.399552500,-0.000578611,0.004389167,0.003236944,-0.003840000,0.245423333
2015-12-29 02:00:00,1.057478333,-0.007087778,1.057478333,-0.007087778,-0.000000000,-0.000373333,0.000714722,-0.000599167,0.004446667,0.003182500,-0.003856111,0.292112500
2015-12-29 01:00:00,1.436383056,-0.007040833,1.436383056,-0.007040833,-0.000000000,-0.000438056,0.388475556,-0.000705833,0.004406667,0.003161389,-0.003821111,0.293805833
2015-12-29 00:00:00,2.653984167,-0.007067500,2.653984167,-0.007067500,-0.000000000,-0.000677222,0.538551111,0.960175833,0.004394722,0.002961944,-0.003793056,0.300044167
2015-12-28 23:00:00,6.484394444,-0.006786667,6.484394444,-0.006786667,-0.000000000,-0.001743056,3.470093611,0.288933333,0.004062222,0.002998611,-0.003778056,0.368509444
2015-12-28 22:00:00,10.073222222,-0.005800278,10.073222222,-0.005800278,-0.000000000,-0.000509167,0.445872778,-0.017456667,0.004092500,6.111421667,-0.003780000,0.306186944
2015-12-28 21:00:00,4.867830556,-0.006788333,4.867830556,-0.006788333,-0.000000000,-0.001086389,0.269774722,-0.010234722,0.004240833,1.546973056,-0.003810278,0.311997778
2015-12-28 20:00:00,3.231551111,-0.008214444,3.231551111,-0.008214444,-0.000000000,-0.001289722,0.118437778,-0.007828333,0.004340278,0.002226389,-0.004048611,0.297778056
2015-12-28 19:00:00,3.399301389,0.197147500,3.399301389,0.197147500,0.203173056,-0.001316111,0.449484444,-0.008158333,0.004502500,0.002361944,0.085209722,0.313816111
2015-12-28 18:00:00,3.775181667,0.810949444,3.775181667,0.810949444,0.810949444,-0.001579167,0.178808889,-0.011254722,0.004584722,0.001955000,0.336801111,0.295881389
2015-12-28 17:00:00,7.767131111,1.369555278,7.767131111,1.369555278,1.369555278,-0.002461944,3.011504722,-0.015813889,0.004495000,0.001486111,0.561609167,0.296198333
2015-12-28 16:00:00,8.603267500,2.043000833,8.603267500,2.043000833,2.043000833,-0.002234167,3.508638333,-0.013738056,0.828657222,0.001948056,0.829941667,0.270418611
2015-12-28 15:00:00,4.251835000,8.360367500,4.251835000,8.360367500,8.360367500,-0.001279722,1.379401111,-0.006554722,0.004614167,0.003106389,3.287333889,0.208144167
2015-12-28 14:00:00,4.178346111,9.019349722,4.178346111,9.019349722,9.019349722,-0.001512222,1.277600556,-0.007171667,0.004632500,0.002960556,3.537344444,0.161528056
2015-12-28 13:00:00,4.719982778,4.902776111,4.719982778,4.902776111,4.902776111,-0.001506111,2.261032500,-0.006100000,0.004446111,0.003080833,1.929394722,0.159411944
2015-12-28 12:00:00,4.866117778,1.752424167,4.866117778,1.752424167,1.752424167,-0.001306944,2.517706389,-0.004891389,0.004245000,0.003220556,0.709661944,0.159374444
2015-12-28 11:00:00,3.198061111,0.249786667,3.198061111,0.249786667,0.249786667,-0.000938889,0.393906111,-0.004186944,0.004204444,0.003001667,0.109818889,0.162612222
2015-12-28 10:00:00,3.740553333,-0.000321111,3.740553333,-0.000321111,0.006428889,-0.000963889,0.727445556,-0.004389444,0.003921389,0.002728056,0.001801389,0.060837778
2015-12-28 09:00:00,3.299842778,-0.006776389,3.299842778,-0.006776389,-0.000000000,-0.000928889,0.372197500,-0.002696667,0.003901944,0.002892778,-0.003817778,0.157505556
2015-12-28 08:00:00,2.534208611,-0.006997778,2.534208611,-0.006997778,-0.000000000,-0.000795833,0.001446389,-0.002661944,0.004047222,0.002890000,-0.003851944,0.158646389
2015-12-28 07:00:00,2.934942222,-0.006933056,2.934942222,-0.006933056,-0.000000000,-0.000852778,0.368336944,-0.002930278,0.004055278,0.002968056,-0.003863333,0.250221111
2015-12-28 06:00:00,2.824931667,-0.006899722,2.824931667,-0.006899722,-0.000000000,-0.000801111,0.001515000,0.215318611,0.004031667,0.002853889,-0.003853889,0.289770000
2015-12-28 05:00:00,4.812465000,-0.006859722,4.812465000,-0.006859722,-0.000000000,-0.001090833,0.386768611,1.912922500,0.003981667,0.002773333,-0.003854444,0.292273056
2015-12-28 04:00:00,2.938211111,-0.006918333,2.938211111,-0.006918333,-0.000000000,-0.000905556,0.001632778,-0.003375278,0.003967778,0.002895833,-0.003850833,0.297097778
2015-12-28 03:00:00,4.163731667,-0.006921944,4.163731667,-0.006921944,-0.000000000,-0.001076389,0.901683889,0.149245000,0.003858056,0.002806944,-0.003832500,0.307068333
2015-12-28 02:00:00,8.993559167,-0.006031389,8.993559167,-0.006031389,-0.000000000,-0.000522778,0.707316944,1.090990833,0.003775833,3.851345556,-0.003839167,0.305783611
2015-12-28 01:00:00,9.027668889,-0.005760833,9.027668889,-0.005760833,-0.000000000,-0.000180000,0.397909722,-0.014647222,0.003732500,5.042857222,-0.003811667,0.309491667
2015-12-28 00:00:00,3.296189722,-0.006913333,3.296189722,-0.006913333,-0.000000000,-0.001022778,0.002033611,-0.004418611,0.003931389,0.002680556,-0.003811667,0.311675000
2015-12-27 23:00:00,4.654406944,-0.006738056,4.654406944,-0.006738056,-0.000000000,-0.000918333,0.505810833,-0.006660000,0.003864722,0.780001111,-0.003780833,0.310759167
2015-12-27 22:00:00,3.941721667,-0.006959444,3.941721667,-0.006959444,-0.000000000,-0.001150278,0.410840833,-0.005636389,0.003865000,0.002614444,-0.003788333,0.312276389
2015-12-27 21:00:00,4.272800556,-0.007029167,4.272800556,-0.007029167,-0.000000000,-0.001245556,0.463224722,-0.005748056,0.003912778,0.002457222,-0.003767500,0.365746111
2015-12-27 20:00:00,4.052047500,-0.007194444,4.052047500,-0.007194444,-0.000000000,-0.000913889,0.476214167,-0.005593611,0.237583611,0.002436667,-0.003776667,0.197542500
2015-12-27 19:00:00,4.372208333,0.075428889,4.372208333,0.075428889,0.081458889,-0.001326667,0.397862500,-0.007169722,0.322950278,0.002270278,0.034243889,0.156643611
2015-12-27 18:00:00,4.568114444,1.592928056,4.568114444,1.592928056,1.592928056,-0.001124167,0.003017778,-0.006934444,0.788930833,0.002425000,0.548947222,0.159337500
2015-12-27 17:00:00,4.557829444,3.611620833,4.557829444,3.611620833,3.611620833,-0.001006667,1.134317500,-0.004428333,0.484603056,0.002954722,1.497033056,0.166768611
2015-12-27 16:00:00,3.498831944,5.129249722,3.498831944,5.129249722,5.129249722,-0.000992222,0.479598056,-0.003734167,0.004337500,0.002928056,2.085397222,0.083816111
2015-12-27 15:00:00,4.001068889,5.090826389,4.001068889,5.090826389,5.090826389,-0.000855000,0.405958611,-0.003533889,0.003913611,0.002915556,2.015007222,0.159952222
2015-12-27 14:00:00,3.236132222,2.509051111,3.236132222,2.509051111,2.509051111,-0.000799722,0.391346389,-0.002991667,0.003997222,0.003028333,1.009905556,0.159101944
2015-12-27 13:00:00,2.838660278,2.922065833,2.838660278,2.922065833,2.922065833,-0.000702500,0.001653333,-0.002793333,0.004040000,0.003044722,1.173517222,0.163575833
2015-12-27 12:00:00,3.122616944,4.674404444,3.122616944,4.674404444,4.674404444,-0.000706944,0.393158889,-0.002336111,0.004101667,0.003215556,1.825002222,0.211179444
2015-12-27 11:00:00,2.832277500,2.887481111,2.832277500,2.887481111,2.887481111,-0.000637500,0.001421111,-0.002276389,0.004086389,0.003238889,1.037428333,0.250522500
2015-12-27 10:00:00,3.516519722,0.043583333,3.516519722,0.043583333,0.047810278,-0.000733056,0.392245556,-0.002010556,0.003801389,0.003156944,0.021481667,0.152293889
2015-12-27 09:00:00,3.237608333,-0.006766944,3.237608333,-0.006766944,-0.000000000,-0.000651111,0.001230278,-0.001800000,0.003764167,0.003116944,-0.003814444,0.152993611
2015-12-27 08:00:00,3.375839444,-0.006725833,3.375839444,-0.006725833,-0.000000000,-0.000724444,0.382124167,-0.002274722,0.003853333,0.003119444,-0.003807778,0.272356944
2015-12-27 07:00:00,2.894336944,-0.006734167,2.894336944,-0.006734167,-0.000000000,-0.000632500,0.001336667,-0.002193611,0.003919722,0.003131389,-0.003818889,0.276221944
2015-12-27 06:00:00,3.466227778,-0.006710556,3.466227778,-0.006710556,-0.000000000,-0.000726944,0.402063333,0.282692222,0.003906667,0.003123333,-0.003825556,0.239280556
2015-12-27 05:00:00,5.682792500,-0.006716944,5.682792500,-0.006716944,-0.000000000,-0.001071111,0.001268611,2.861311667,0.003852778,0.002702222,-0.003836389,0.191757222
