Date & Time,use [kW],gen [kW],Solar [kW],Solar+ [kW],Grid L1 [kW],Grid L2 [kW],Air Conditioning [kW],Furnace [kW],Water Heater [kW],Grid [kW]
12/31/2015 11:00,0.923617222,3.573386389,3.573386389,3.573386389,1.435297778,1.214471389,0.000825,-0.012263056,-0.292142222,-2.649769167
12/31/2015 10:00,0.595418056,1.478431111,1.478431111,1.478431111,0.558410833,0.324602222,0.0001075,-0.008665556,-0.002484167,-0.883013055
12/31/2015 9:00,0.977123333,0.63798,0.63798,0.63798,-0.254509444,-0.084633889,0.0004425,-0.408989167,-0.002329167,0.339143333
12/31/2015 8:00,1.166840833,0.025260833,0.025260833,0.032225278,-0.7503475,-0.384268056,0.000450278,-0.610102778,-0.002388889,1.14158
12/31/2015 7:00,1.400515278,-0.0072975,-0.0072975,0,-1.001655833,-0.398859444,0.000944444,-0.858922222,-0.002406944,1.407812778
12/31/2015 6:00,0.870488611,-0.005121389,-0.005121389,0,-0.315,-0.555488611,-0.0012825,-0.007577778,-0.305836944,0.87561
12/31/2015 5:00,0.578903611,-0.004486944,-0.004486944,0,-0.175298611,-0.403605,-0.001043611,-0.007712222,-0.002453889,0.583390555
12/31/2015 4:00,0.589928889,-0.004516667,-0.004516667,0,-0.184646667,-0.405282222,-0.001016667,-0.007704167,-0.002453333,0.594445556
12/31/2015 3:00,0.573505278,-0.004515,-0.004515,0,-0.167821667,-0.405683611,-0.001040556,-0.0078125,-0.002476944,0.578020278
12/31/2015 2:00,0.568035556,-0.004513056,-0.004513056,0,-0.161806667,-0.406228889,-0.001053611,-0.007854167,-0.002476667,0.572548612
12/31/2015 1:00,0.847169722,-0.005204722,-0.005204722,0,-0.306498056,-0.540671667,-0.001220833,-0.007733611,-0.282042222,0.852374444
12/31/2015 0:00,0.579035278,-0.004591667,-0.004591667,0,-0.178353611,-0.400681667,-0.000984167,-0.007800833,-0.002456389,0.583626945
12/30/2015 23:00,0.796256389,-0.005341111,-0.005341111,0,-0.396038056,-0.400218333,-0.000451667,-0.220703056,-0.002441667,0.8015975
12/30/2015 22:00,0.790015833,-0.005296389,-0.005296389,0,-0.3895325,-0.400483333,-0.000415833,-0.207894444,-0.002421667,0.795312222
12/30/2015 21:00,0.903934444,-0.005681667,-0.005681667,0,-0.5052975,-0.398636944,-0.000088056,-0.338073056,-0.002416389,0.909616111
12/30/2015 20:00,0.725385278,-0.005039167,-0.005039167,0,-0.329472222,-0.395913056,-0.000475,-0.162722222,-0.002415,0.730424445
12/30/2015 19:00,1.3059675,-0.006784444,-0.006784444,0,-0.776019722,-0.529947778,0.000166667,-0.482655556,-0.272723056,1.312751944
12/30/2015 18:00,0.601848056,0.016635833,0.016635833,0.030505,-0.179954444,-0.391388611,-0.000728889,-0.011820278,-0.0024375,0.585212223
12/30/2015 17:00,0.664452222,0.416019722,0.416019722,0.416019722,-0.041295556,-0.207136944,-0.000436944,-0.007886389,-0.002481111,0.2484325
12/30/2015 16:00,0.794081667,1.102424722,1.102424722,1.102424722,0.240095833,0.068247222,-0.000130556,-0.008375278,-0.002515278,-0.308343055
12/30/2015 15:00,0.764029722,1.826690833,1.826690833,1.826690833,0.649885833,0.412775278,0.000131111,-0.018562222,-0.002373611,-1.062661111
12/30/2015 14:00,1.279217778,2.901207778,2.901207778,2.901207778,0.7718975,0.8500925,0.001255556,-0.290358611,-0.256845278,-1.62199
12/30/2015 13:00,1.115203056,2.544715278,2.544715278,2.544715278,0.805911389,0.623600833,0.000350278,-0.037983611,-0.312326944,-1.429512222
12/30/2015 12:00,1.590216667,2.045480556,2.045480556,2.045480556,0.153805,0.301458889,0.000258889,-0.016543889,-0.285823056,-0.455263889
12/30/2015 11:00,1.822424444,1.975448889,1.975448889,1.975448889,0.165839167,-0.012814722,-0.000390833,-0.012878333,-1.020330833,-0.153024445
12/30/2015 10:00,0.787108056,1.341758056,1.341758056,1.341758056,0.3210175,0.2336325,0.000055833,-0.008319722,-0.002254722,-0.55465
12/30/2015 9:00,1.11016,0.372246944,0.372246944,0.372246944,-0.511500556,-0.2264125,0.000553889,-0.526488333,-0.002376667,0.737913056
12/30/2015 8:00,1.428721389,0.001651111,0.001651111,0.010220278,-0.88107,-0.537431111,0.000264167,-0.577645,-0.262264444,1.427070278
12/30/2015 7:00,1.300101944,-0.007033056,-0.007033056,0,-0.891133611,-0.408968333,0.000715833,-0.712676111,-0.002421667,1.307135
12/30/2015 6:00,0.657908889,-0.0047725,-0.0047725,0,-0.246366111,-0.411542778,-0.000843889,-0.05884,-0.002431111,0.662681389
12/30/2015 5:00,0.820925556,-0.0051025,-0.0051025,0,-0.288473611,-0.532451944,-0.001195278,-0.007673333,-0.242187222,0.826028056
12/30/2015 4:00,0.584037222,-0.004558333,-0.004558333,0,-0.170796667,-0.413240556,-0.001024444,-0.007784444,-0.002466111,0.588595555
12/30/2015 3:00,0.616090833,-0.004711667,-0.004711667,0,-0.202955278,-0.413135556,-0.000968056,-0.007778056,-0.0024575,0.6208025
12/30/2015 2:00,0.6176525,-0.004720833,-0.004720833,0,-0.204595833,-0.413056667,-0.000959444,-0.007773333,-0.002453056,0.622373333
12/30/2015 1:00,0.866151111,-0.005288889,-0.005288889,0,-0.325564722,-0.540586389,-0.001151111,-0.007653889,-0.254434722,0.87144
12/30/2015 0:00,1.21559,-0.006444722,-0.006444722,0,-0.6391375,-0.5764525,-0.000941667,-0.007253611,-0.321295,1.222034722
12/29/2015 23:00,1.137118889,-0.006135556,-0.006135556,0,-0.544052222,-0.593066667,-0.001010556,-0.007305833,-0.266789722,1.143254445
12/29/2015 22:00,0.998047778,-0.006000833,-0.006000833,0,-0.564443889,-0.433603889,-0.000281667,-0.166531667,-0.002376944,1.004048611
12/29/2015 21:00,2.2447375,-0.010093889,-0.010093889,0,-1.237662222,-1.007075278,-0.000675278,-0.238996389,-0.318486389,2.254831389
12/29/2015 20:00,6.689150278,-0.027446111,-0.027446111,0,-3.401153056,-3.287997222,-0.003818056,-0.092180556,-0.3750025,6.716596389
12/29/2015 19:00,1.149399722,-0.006381389,-0.006381389,0,-0.660891944,-0.488507778,-0.000133611,-0.222169167,-0.002469167,1.155781111
12/29/2015 18:00,1.398019722,-0.021908056,-0.021908056,0.0015875,-0.877699167,-0.518733056,0.000333333,-0.41707,-0.002416111,1.419927778
12/29/2015 17:00,3.421233333,0.136692778,0.136692778,0.136720278,-1.604044722,-1.680468333,-0.001551944,-0.262484444,-0.002196111,3.284540555
12/29/2015 16:00,1.485378333,0.388108611,0.388108611,0.388108611,-0.4177625,-0.679507222,-0.000871389,-0.059245833,-0.260688611,1.097269722
12/29/2015 15:00,1.042219722,0.835232222,0.835232222,0.835232222,-0.219218611,0.012231111,0.000523889,-0.261688056,-0.002328611,0.2069875
12/29/2015 14:00,1.385318611,3.374849444,3.374849444,3.374849444,1.032053611,0.957477222,0.000694722,-0.063543611,-0.592329722,-1.989530833
12/29/2015 13:00,1.929809444,2.245978889,2.245978889,2.245978889,0.118221667,0.197947778,0.000515556,-0.281721944,-0.709257778,-0.316169445
12/29/2015 12:00,1.059192222,1.512194167,1.512194167,1.512194167,0.215720278,0.237281667,0.000637222,-0.254718611,-0.070990833,-0.453001945
12/29/2015 11:00,0.976908333,2.990365278,2.990365278,2.990365278,1.098080833,0.915376111,0.000638889,-0.015474444,-0.206441389,-2.013456945
12/29/2015 10:00,1.364465278,2.139274444,2.139274444,2.139274444,0.265192778,0.509616389,0.001277778,-0.359286111,-0.255844167,-0.774809166
12/29/2015 9:00,1.993231667,0.798835278,0.798835278,0.798835278,-0.831255556,-0.363140833,0.000847778,-0.687811944,-0.727636667,1.194396389
12/29/2015 8:00,1.282421389,-0.004482778,-0.004482778,0.004408889,-0.887995833,-0.390016667,0.000728889,-0.710810833,-0.002336667,1.286904167
12/29/2015 7:00,1.325445833,-0.007043056,-0.007043056,0,-0.933054444,-0.392391389,0.000753611,-0.767848889,-0.002372778,1.332488889
12/29/2015 6:00,1.183467778,-0.006547222,-0.006547222,0,-0.792056667,-0.391411111,0.000437778,-0.652903056,-0.002399167,1.190015
12/29/2015 5:00,0.845945,-0.0051325,-0.0051325,0,-0.318447778,-0.527497222,-0.0012125,-0.007608056,-0.268474444,0.8510775
12/29/2015 4:00,0.588531667,-0.004549444,-0.004549444,0,-0.193253611,-0.395278056,-0.001013056,-0.007740278,-0.002455556,0.593081111
12/29/2015 3:00,0.588003056,-0.004584722,-0.004584722,0,-0.192745556,-0.3952575,-0.001002222,-0.00777,-0.002458889,0.592587778
12/29/2015 2:00,0.8407875,-0.005137778,-0.005137778,0,-0.305001667,-0.535785833,-0.001253611,-0.007706111,-0.280002778,0.845925278
12/29/2015 1:00,0.572750833,-0.004508056,-0.004508056,0,-0.168476111,-0.404274722,-0.001064167,-0.007793333,-0.002484167,0.577258889
12/29/2015 0:00,0.718825833,-0.004926667,-0.004926667,0,-0.233349722,-0.485476111,-0.001068889,-0.007766111,-0.002560278,0.7237525
12/28/2015 23:00,2.612520833,-0.011748056,-0.011748056,0,-1.367061944,-1.245458889,-0.000944722,-0.277215,-0.244410556,2.624268889
12/28/2015 22:00,7.690714444,-0.032058611,-0.032058611,0,-4.023966389,-3.666748056,-0.003538611,-0.434227222,-0.002627778,7.722773055
12/28/2015 21:00,6.994706389,-0.029171667,-0.029171667,0,-3.578128889,-3.4165775,-0.00348,-0.389469722,-0.002788611,7.023878056
12/28/2015 20:00,1.102138611,-0.006001667,-0.006001667,0,-0.576854167,-0.525284444,-0.000588056,-0.194755,-0.257118611,1.108140278
12/28/2015 19:00,1.046540556,-0.006003333,-0.006003333,0,-0.60057,-0.445970556,-0.000105556,-0.329998056,-0.0024225,1.052543889
12/28/2015 18:00,0.981774167,-0.015804722,-0.015804722,0.005553333,-0.502982778,-0.473238056,-0.000338611,-0.240818889,-0.002497222,0.997578889
12/28/2015 17:00,1.3365825,0.170921944,0.170921944,0.1709275,-0.642446111,-0.523208889,-0.000142778,-0.396824722,-0.282210833,1.165660556
12/28/2015 16:00,1.185776944,0.651164167,0.651164167,0.651164167,-0.3918975,-0.142715278,0.000383611,-0.307323056,-0.002259167,0.534612777
12/28/2015 15:00,1.886353333,1.410575556,1.410575556,1.410575556,-0.359449722,-0.116328056,0.000427222,-0.315095278,-0.637420556,0.475777777
12/28/2015 14:00,2.453395,2.42236,2.42236,2.42236,-0.407095833,0.376060833,0.001458611,-0.274781667,-0.663255556,0.031035
12/28/2015 13:00,1.458896389,1.993611389,1.993611389,1.993611389,0.206295,0.32842,0.000905278,-0.253791111,-0.314461111,-0.534715
12/28/2015 12:00,1.731515833,1.610046389,1.610046389,1.610046389,-0.335871944,0.2144025,0.001733333,-0.587073056,-0.249087222,0.121469444
12/28/2015 11:00,2.030043056,2.045668333,2.045668333,2.045668333,-0.412680278,0.428305556,0.002491389,-0.720319167,-0.300379444,-0.015625277
12/28/2015 10:00,2.283661111,2.178637222,2.178637222,2.178637222,-0.576916667,0.471892778,0.002809444,-0.769094167,-0.429230833,0.105023889
12/28/2015 9:00,1.043767222,1.039946944,1.039946944,1.039946944,-0.139683056,0.135862778,0.000834444,-0.165381389,-0.001872778,0.003820278
12/28/2015 8:00,0.709450278,0.028875,0.028875,0.032416667,-0.313958333,-0.363075278,-0.0006375,-0.007405,-0.002381389,0.680575278
12/28/2015 7:00,0.817429444,-0.005045,-0.005045,0,-0.313506667,-0.503922778,-0.001121667,-0.007472778,-0.248550556,0.822474444
12/28/2015 6:00,0.544154167,-0.004330556,-0.004330556,0,-0.162029167,-0.382125,-0.001030833,-0.007606667,-0.002429444,0.548484723
12/28/2015 5:00,0.549578056,-0.004412222,-0.004412222,0,-0.169941944,-0.379636111,-0.0010075,-0.007688056,-0.002438333,0.553990278
12/28/2015 4:00,0.572884444,-0.004516667,-0.004516667,0,-0.193419167,-0.379465278,-0.000954722,-0.007685556,-0.0024275,0.577401111
12/28/2015 3:00,0.844618333,-0.005212778,-0.005212778,0,-0.329511389,-0.515106944,-0.001148611,-0.007648611,-0.2702825,0.849831111
12/28/2015 2:00,0.549011944,-0.004475278,-0.004475278,0,-0.165158611,-0.383853333,-0.0010325,-0.007821111,-0.0024625,0.553487222
12/28/2015 1:00,1.209346667,-0.007043333,-0.007043333,0,-0.499894444,-0.709452222,-0.001025,-0.008128889,-0.002706667,1.21639
12/28/2015 0:00,6.210358611,-0.026233611,-0.026233611,0,-3.013568889,-3.196789722,-0.004165833,-0.010340556,-0.269991389,6.236592222
12/27/2015 23:00,7.097556667,-0.030141111,-0.030141111,0,-3.457733889,-3.639822778,-0.004495833,-0.010932778,-0.003205278,7.127697778
12/27/2015 22:00,5.117805833,-0.022226667,-0.022226667,0,-2.460935833,-2.65687,-0.0034275,-0.009828056,-0.002984444,5.1400325
12/27/2015 21:00,0.866520556,-0.005249167,-0.005249167,0,-0.347388056,-0.5191325,-0.001043889,-0.007477222,-0.2445125,0.871769723
12/27/2015 20:00,0.664782222,-0.004823333,-0.004823333,0,-0.264349722,-0.4004325,-0.000809444,-0.007500556,-0.0024,0.669605555
12/27/2015 19:00,0.668996389,-0.004878056,-0.004878056,0,-0.266761667,-0.402234722,-0.000761389,-0.007494167,-0.0024025,0.673874445
12/27/2015 18:00,0.91812,-0.021379167,-0.021379167,0.000066667,-0.3528725,-0.565180833,-0.0010275,-0.007431944,-0.2434475,0.939499167
12/27/2015 17:00,1.022049167,-0.016706389,-0.016706389,0.005600278,-0.343326389,-0.6731225,-0.001131944,-0.007390278,-0.002569167,1.038755556
12/27/2015 16:00,4.013622222,0.134733056,0.134733056,0.134733611,-1.684842778,-2.194045833,-0.003173611,-0.005696389,-0.002114167,3.878889166
12/27/2015 15:00,3.892415833,0.2757075,0.2757075,0.2757075,-1.49362,-2.123088333,-0.003135556,-0.006035278,-0.276536111,3.616708333
12/27/2015 14:00,4.664559167,0.261555278,0.261555278,0.261555278,-1.844956944,-2.558046944,-0.003746667,-0.005644444,-0.287089722,4.403003889
12/27/2015 13:00,1.759878889,0.265679722,0.265679722,0.265679722,-0.553513611,-0.940685556,-0.001575,-0.0074775,-0.683260278,1.494199167
12/27/2015 12:00,0.868492222,0.257279444,0.257279444,0.257279444,-0.199766667,-0.411446111,-0.000841944,-0.007775,-0.188830556,0.611212778
12/27/2015 11:00,1.073644167,0.143736667,0.143736667,0.149633056,-0.423560833,-0.500450278,-0.000798889,-0.007506111,-0.369328611,0.9299075
12/27/2015 10:00,0.881582222,-0.005496389,-0.005496389,0.005346389,-0.341289444,-0.534946389,-0.000921667,-0.007623056,-0.300383056,0.887078611
12/27/2015 9:00,0.58368,-0.006833056,-0.006833056,0.003446389,-0.191148611,-0.389085,-0.000661944,-0.007824444,-0.002506111,0.590513056
12/27/2015 8:00,0.593329444,-0.008240278,-0.008240278,0.000008333,-0.203905278,-0.389415833,-0.000603056,-0.007828611,-0.002509722,0.601569722
12/27/2015 7:00,0.593679444,-0.004786667,-0.004786667,0,-0.204672222,-0.389007222,-0.000521389,-0.007841944,-0.002533333,0.598466111
12/27/2015 6:00,0.5937775,-0.004698333,-0.004698333,0,-0.2052925,-0.388485,-0.000330556,-0.007787222,-0.002605278,0.598475833
12/27/2015 5:00,0.867143889,-0.005279444,-0.005279444,0,-0.348550556,-0.518593333,-0.000461389,-0.007604444,-0.280117222,0.872423333
12/27/2015 4:00,0.574147778,-0.0045675,-0.0045675,0,-0.193359444,-0.380788333,-0.000264722,-0.00777,-0.002631667,0.578715278
12/27/2015 3:00,0.578903333,-0.004576944,-0.004576944,0,-0.193518333,-0.385385,-0.000263056,-0.007750278,-0.002643056,0.583480277
12/27/2015 2:00,0.5800325,-0.004596944,-0.004596944,0,-0.191132778,-0.388899722,-0.000264167,-0.007765,-0.002654167,0.584629444
12/27/2015 1:00,0.6038025,-0.004610833,-0.004610833,0,-0.197595556,-0.406206944,-0.000285,-0.007725278,-0.002666111,0.608413333
12/27/2015 0:00,1.802400278,-0.008002222,-0.008002222,0,-1.078627222,-0.723773056,-0.000265278,-0.006442778,-0.504898056,1.8104025
12/26/2015 23:00,0.894785833,-0.005746111,-0.005746111,0,-0.505902778,-0.388883056,0.000023056,-0.007115,-0.002324722,0.900531944
12/26/2015 22:00,0.938455,-0.005843611,-0.005843611,0,-0.531402222,-0.407052778,0.000019444,-0.007022778,-0.002304722,0.944298611
12/26/2015 21:00,0.887996389,-0.005649444,-0.005649444,0,-0.494590556,-0.393405833,0.000015278,-0.007051944,-0.002309722,0.893645833
12/26/2015 20:00,0.887714167,-0.005581667,-0.005581667,0,-0.497855278,-0.389858889,0.000013333,-0.006980833,-0.002296944,0.893295834
12/26/2015 19:00,1.054206667,-0.005619167,-0.005619167,0,-0.466621389,-0.587585278,-0.000448333,-0.0071975,-0.275025556,1.059825834
12/26/2015 18:00,0.693468333,-0.020725556,-0.020725556,0.000724722,-0.233966389,-0.458777222,-0.000326111,-0.007535833,-0.002685556,0.714193889
12/26/2015 17:00,0.666965,0.106008333,0.106008333,0.107353333,-0.163676111,-0.395935556,-0.000284722,-0.007738889,-0.002661667,0.560956667
12/26/2015 16:00,0.692640556,0.275275278,0.275275278,0.275294167,-0.087785556,-0.329560833,-0.000224444,-0.007873333,-0.002626667,0.417365278
12/26/2015 15:00,0.681839167,0.762024444,0.762024444,0.762024444,0.169332222,-0.089146944,-0.000153889,-0.008225278,-0.002459722,-0.080185277
12/26/2015 14:00,0.745547222,0.750557222,0.750557222,0.750557222,0.123637778,-0.118627778,-0.000191667,-0.008199444,-0.084286667,-0.00501
12/26/2015 13:00,0.970716667,1.254706389,1.254706389,1.254706389,0.3102725,-0.026282778,-0.00044,-0.008535,-0.224815278,-0.283989722
12/26/2015 12:00,0.938156944,1.155664167,1.155664167,1.155664167,0.233784444,-0.016277222,-0.000321944,-0.008365833,-0.279122222,-0.217507223
12/26/2015 11:00,0.812651944,1.064355556,1.064355556,1.064355556,0.197129444,0.054574167,-0.000044444,-0.008273333,-0.030705556,-0.251703612
12/26/2015 10:00,0.763577778,0.488338056,0.488338056,0.488338056,-0.120075,-0.155164722,-0.000038333,-0.007785278,-0.002322778,0.275239722
12/26/2015 9:00,0.579466389,0.085870556,0.085870556,0.087752778,-0.148924722,-0.342788889,-0.000331389,-0.007813611,-0.002593889,0.493595833
12/26/2015 8:00,0.582053889,0.011337778,0.011337778,0.015893889,-0.185765,-0.380395,-0.000361667,-0.007765278,-0.002620278,0.570716111
12/26/2015 7:00,0.584428333,-0.004695833,-0.004695833,0,-0.195745833,-0.3886825,-0.000347778,-0.0077925,-0.002658611,0.589124166
12/26/2015 6:00,0.600021667,-0.004773611,-0.004773611,0,-0.210429167,-0.3895925,-0.000345833,-0.007835833,-0.002658611,0.604795278
12/26/2015 5:00,0.595443056,-0.004730556,-0.004730556,0,-0.206167778,-0.389275278,-0.000338333,-0.007856944,-0.002653056,0.600173612
12/26/2015 4:00,0.871780278,-0.0053175,-0.0053175,0,-0.339779722,-0.532000556,-0.000565556,-0.00772,-0.294955556,0.877097778
12/26/2015 3:00,0.578943611,-0.004637222,-0.004637222,0,-0.192269722,-0.386673889,-0.000365278,-0.007831667,-0.002628333,0.583580833
12/26/2015 2:00,0.574961667,-0.004648056,-0.004648056,0,-0.1876025,-0.387359167,-0.000381944,-0.007813889,-0.002611389,0.579609723
12/26/2015 1:00,0.574435556,-0.004621389,-0.004621389,0,-0.186953333,-0.387482222,-0.000409722,-0.007773889,-0.002571944,0.579056945
12/26/2015 0:00,0.577485556,-0.004591944,-0.004591944,0,-0.189420278,-0.388065278,-0.000425278,-0.007736944,-0.002537222,0.5820775
12/25/2015 23:00,0.583328611,-0.004658056,-0.004658056,0,-0.193556111,-0.3897725,-0.000431667,-0.007743333,-0.002517222,0.587986667
12/25/2015 22:00,0.853411667,-0.005676944,-0.005676944,0,-0.455843611,-0.397568056,-0.000198889,-0.007282778,-0.002367222,0.859088611
12/25/2015 21:00,1.609076111,-0.007969444,-0.007969444,0,-0.844754722,-0.764321389,-0.000606667,-0.007340833,-0.284228056,1.617045555
12/25/2015 20:00,5.851264444,-0.024773333,-0.024773333,0,-2.964756111,-2.886508333,-0.003171667,-0.009770833,-0.002890556,5.876037777
12/25/2015 19:00,6.806284167,-0.028343056,-0.028343056,0,-3.332255556,-3.474028611,-0.004080556,-0.0104,-0.003198611,6.834627223
12/25/2015 18:00,0.553878611,-0.012568611,-0.012568611,0.003403889,-0.141003889,-0.409470833,-0.000486389,-0.007852778,-0.002585,0.566447222
12/25/2015 17:00,0.628776111,0.166406111,0.166406111,0.166429444,-0.142366667,-0.31998,-0.000319444,-0.007839444,-0.002505833,0.46237
12/25/2015 16:00,0.775156667,0.365416389,0.365416389,0.365416389,-0.189262222,-0.220478056,-0.000086944,-0.007736111,-0.002401111,0.409740278
12/25/2015 15:00,0.657168611,0.997539167,0.997539167,0.997539167,0.253692222,0.086678333,-0.000077778,-0.008354722,-0.002373611,-0.340370556
12/25/2015 14:00,0.861126389,1.368251944,1.368251944,1.368251944,0.360776667,0.146348889,-0.000185,-0.015623333,-0.249736944,-0.507125555
12/25/2015 13:00,0.692596944,2.632807778,2.632807778,2.632807778,1.046172778,0.894038056,0.000730833,-0.07953,-0.001756944,-1.940210834
12/25/2015 12:00,0.602048611,0.8085925,0.8085925,0.8085925,0.213627778,-0.007083889,-0.0002325,-0.008331944,-0.002479444,-0.206543889
12/25/2015 11:00,0.586320556,0.793420556,0.793420556,0.793420556,0.220904444,-0.013804444,-0.000257222,-0.008343611,-0.002484722,-0.2071
12/25/2015 10:00,0.861689444,0.779496111,0.779496111,0.779496111,0.077076667,-0.15927,-0.000478056,-0.008246944,-0.278026944,0.082193333
12/25/2015 9:00,0.586631944,0.252640278,0.252640278,0.252645,-0.052253056,-0.281733889,-0.000571667,-0.008054444,-0.002507778,0.333991666
12/25/2015 8:00,1.1647575,0.004883333,0.004883333,0.011002222,-0.594365833,-0.559389444,-0.000667222,-0.007419444,-0.267853333,1.159874167
12/25/2015 7:00,0.953474444,-0.005638333,-0.005638333,0,-0.389243611,-0.564230833,-0.000908889,-0.007718333,-0.360216667,0.959112777
12/25/2015 6:00,0.586086111,-0.004760278,-0.004760278,0,-0.199493889,-0.386592222,-0.000636944,-0.007891111,-0.002497222,0.590846389
12/25/2015 5:00,0.57453,-0.004729167,-0.004729167,0,-0.189294722,-0.385235278,-0.000613889,-0.007923611,-0.002508611,0.579259167
12/25/2015 4:00,0.911067778,-0.005579167,-0.005579167,0,-0.369498056,-0.541569722,-0.000791944,-0.007799167,-0.316296111,0.916646945
12/25/2015 3:00,0.612611111,-0.004876667,-0.004876667,0,-0.226506389,-0.386104722,-0.00053,-0.007847222,-0.002513333,0.617487778
12/25/2015 2:00,0.595173333,-0.004805,-0.004805,0,-0.207858889,-0.387314444,-0.000530556,-0.007848611,-0.002528056,0.599978333
12/25/2015 1:00,0.729661944,-0.005255278,-0.005255278,0,-0.3454025,-0.384259444,-0.000363056,-0.007593889,-0.002453333,0.734917222
12/25/2015 0:00,1.891714444,-0.008626944,-0.008626944,0,-1.220458889,-0.671255556,-0.000288611,-0.006510278,-0.587904722,1.900341388
12/24/2015 23:00,0.991230833,-0.006145556,-0.006145556,0,-0.590600278,-0.400630556,-0.000131389,-0.007119722,-0.002384722,0.997376389
12/24/2015 22:00,1.002780833,-0.006173333,-0.006173333,0,-0.59928,-0.403500833,-0.000127778,-0.007021111,-0.002357778,1.008954166
12/24/2015 21:00,1.424063611,-0.006647778,-0.006647778,0,-0.630088889,-0.793974722,-0.000906111,-0.007138333,-0.313690833,1.430711389
12/24/2015 20:00,1.22463,-0.006068889,-0.006068889,0,-0.504255,-0.720375,-0.000763889,-0.007221667,-0.002768611,1.230698889
12/24/2015 19:00,1.910285556,-0.008583056,-0.008583056,0,-1.270096944,-0.640188611,0.000088056,-0.006089167,-0.001897778,1.918868612
12/24/2015 18:00,3.254685,0.002902778,0.002902778,0.0218,-1.666883611,-1.566001389,-0.001616111,-0.007988333,-0.002591389,3.251782222
12/24/2015 17:00,2.009616667,0.246985,0.246985,0.246985,-0.830058056,-0.932573611,-0.000930278,-0.008148889,-0.002608611,1.762631667
12/24/2015 16:00,0.792955278,0.803794167,0.803794167,0.803794167,0.057244722,-0.046405833,-0.000035556,-0.008045,-0.002328611,-0.010838889
12/24/2015 15:00,0.714956389,1.589905833,1.589905833,1.589905833,0.494300556,0.380648889,0.000051667,-0.020116389,-0.002055833,-0.874949444
12/24/2015 14:00,0.836493611,1.892343889,1.892343889,1.892343889,0.678411667,0.377438611,-0.000118611,-0.015059722,-0.002100833,-1.055850278
12/24/2015 13:00,0.816815833,2.698604444,2.698604444,2.698604444,1.0158175,0.865971111,0.000529722,-0.031490556,-0.001562222,-1.881788611
12/24/2015 12:00,0.766339444,2.563516944,2.563516944,2.563516944,0.998723611,0.798453889,0.000397778,-0.017725833,-0.001703056,-1.7971775
12/24/2015 11:00,0.804546944,2.717283889,2.717283889,2.717283889,1.039404167,0.873332778,0.000508333,-0.00938,-0.001684167,-1.912736945
12/24/2015 10:00,0.720258056,2.312044444,2.312044444,2.312044444,0.861646667,0.730139722,0.000553056,-0.009155833,-0.002038056,-1.591786388
12/24/2015 9:00,0.893569444,0.838685833,0.838685833,0.838685833,-0.085498889,0.030615278,0.000607778,-0.328810278,-0.002328611,0.054883611
12/24/2015 8:00,0.934958889,0.013508056,0.013508056,0.0183625,-0.542122222,-0.374474167,0.000184167,-0.373375833,-0.002437222,0.921450833
12/24/2015 7:00,0.7972925,-0.005418056,-0.005418056,0,-0.412985556,-0.384306944,-0.000216667,-0.230140833,-0.002445,0.802710556
12/24/2015 6:00,0.592576111,-0.004716111,-0.004716111,0,-0.208560833,-0.384015278,-0.000723611,-0.00781,-0.002465556,0.597292222
