Date & Time,use [kW],gen [kW],Solar [kW],Solar+ [kW],Grid L1 [kW],Grid L2 [kW],Air Conditioning [kW],Furnace [kW],Water Heater [kW],Grid [kW]
12/31/2015 23:00,1.659999444,-0.007885278,-0.007885278,0,-1.002749722,-0.657249722,-0.000313333,-0.006640278,-0.002665833,1.667884722
12/31/2015 22:00,1.668103611,-0.007899722,-0.007899722,0,-1.009892222,-0.658211389,-0.000303611,-0.006639722,-0.0026575,1.676003333
12/31/2015 21:00,1.943854444,-0.008642222,-0.008642222,0,-1.181716944,-0.7621375,-0.000479167,-0.006420833,-0.319818333,1.952496666
12/31/2015 20:00,1.634439444,-0.007795,-0.007795,0,-1.005414167,-0.629025278,-0.000289722,-0.006553333,-0.002583889,1.642234444
12/31/2015 19:00,1.600395556,-0.007600833,-0.007600833,0,-0.792231389,-0.808164167,-0.000471111,-0.249939167,-0.0027725,1.607996389
12/31/2015 18:00,5.701709167,-0.03882,-0.03882,0.000251667,-2.773890833,-2.927566667,-0.003305,-0.239510833,-0.003278611,5.740529167
12/31/2015 17:00,7.433327778,0.185776667,0.185776667,0.185843333,-3.495526667,-3.751957778,-0.004699444,-0.010727778,-0.270353611,7.247551111
12/31/2015 16:00,1.197183889,0.762106667,0.762106667,0.762106667,-0.351072222,-0.084005,0.000577778,-0.327168333,-0.002158611,0.435077222
12/31/2015 15:00,1.217304167,1.129185833,1.129185833,1.129185833,-0.019712778,-0.068405556,-0.000216111,-0.018265278,-0.002184722,0.088118334
12/31/2015 14:00,2.861284167,1.690440278,1.690440278,1.690440278,-0.559270556,-0.611573333,-0.000407778,-0.267498889,-0.001658056,1.170843889
12/31/2015 13:00,9.315986944,2.034286667,2.034286667,2.034286667,-3.508846389,-3.772853889,-0.004654167,-0.254640556,-0.002114444,7.281700277
12/31/2015 12:00,1.634606944,3.116959722,3.116959722,3.116959722,0.798641111,0.683711667,0.000621944,-0.111634167,-0.001513889,-1.482352778
