"Date & Time","Usage [kW]","Generation [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","Furnace [kW]","Solar Thermal [kW]","Auxiliary [kW]","Auxiliary PV x 10 []"
2015-12-31 23:00:00,1.091430278,-0.006227222,1.091430278,-0.006227222,-0.000000000,-0.209783611,-0.012494722,-0.000026944,-0.269444444
2015-12-31 22:00:00,1.283841667,-0.006184167,1.283841667,-0.006184167,-0.000000000,-0.337706389,-0.012418333,-0.000078611,-0.786111111
2015-12-31 21:00:00,1.201149722,-0.005923056,1.201149722,-0.005923056,-0.000000000,-0.011147500,-0.012433056,-0.002549167,-25.491666667
2015-12-31 20:00:00,1.147784444,-0.005955556,1.147784444,-0.005955556,-0.000000000,-0.010433333,-0.012410833,-0.002574167,-25.741666667
2015-12-31 19:00:00,1.343596944,-0.005945000,1.343596944,-0.005945000,-0.000000000,-0.268611389,-0.012251944,-0.001881389,-18.813888889
2015-12-31 18:00:00,1.323370000,0.023093889,1.296679722,0.023093889,0.026690278,-0.306876944,-0.011891944,-0.001170833,-11.708333333
2015-12-31 17:00:00,0.847851667,0.771866111,0.075985556,0.771866111,0.771866111,-0.009868611,-0.011620000,0.030185556,301.855555556
2015-12-31 16:00:00,0.927643889,0.717275278,0.210368611,0.717275278,0.717275278,-0.010102222,-0.011714444,0.013300556,133.005555556
2015-12-31 15:00:00,0.844085556,1.678670000,-0.834584444,1.678670000,1.678670000,-0.009781944,-0.047129167,0.081577778,815.777777778
2015-12-31 14:00:00,1.067971667,3.428205833,-2.360234167,3.428205833,3.428205833,-0.324300000,-0.091287778,0.209707222,2097.072222222
2015-12-31 13:00:00,0.920081667,1.067971667,-0.147890000,1.067971667,1.067971667,-0.285795556,-0.011322222,0.030353333,303.533333333
2015-12-31 12:00:00,0.759623889,2.371310833,-1.611686944,2.371310833,2.371310833,-0.010242500,-0.103048611,0.139170278,1391.702777778
2015-12-31 11:00:00,0.641257778,2.352341667,-1.711083889,2.352341667,2.352341667,-0.010126111,-0.110157500,0.176972778,1769.727777778
2015-12-31 10:00:00,0.831211111,0.536540000,0.294655278,0.536540000,0.536555833,-0.010000000,-0.011437778,0.023456389,234.563888889
2015-12-31 09:00:00,1.008934167,0.004342500,1.001391667,0.004342500,0.007542500,-0.341011111,-0.012191111,0.000200556,2.005555556
2015-12-31 08:00:00,0.933252778,-0.006197500,0.933252778,-0.006197500,-0.000000000,-0.342886667,-0.012419722,-0.000228056,-2.280555556
2015-12-31 07:00:00,0.620849722,-0.006469444,0.620849722,-0.006469444,-0.000000000,-0.298468056,-0.012423056,-0.000149167,-1.491666667
2015-12-31 06:00:00,0.318655833,-0.006545278,0.318655833,-0.006545278,-0.000000000,-0.010140278,-0.012535833,-0.000852778,-8.527777778
2015-12-31 05:00:00,0.570515833,-0.006627778,0.570515833,-0.006627778,-0.000000000,-0.263523889,-0.012536111,-0.000266667,-2.666666667
2015-12-31 04:00:00,0.692744167,-0.006625556,0.692744167,-0.006625556,-0.000000000,-0.346132500,-0.012524167,-0.000005000,-0.050000000
2015-12-31 03:00:00,0.843987500,-0.006603333,0.843987500,-0.006603333,-0.000000000,-0.347453333,-0.012596111,0.000123056,1.230555556
2015-12-31 02:00:00,0.688698611,-0.006605000,0.688698611,-0.006605000,-0.000000000,-0.030107778,-0.012658056,-0.000556667,-5.566666667
2015-12-31 01:00:00,0.634770556,-0.006522778,0.634770556,-0.006522778,-0.000000000,-0.009821111,-0.012650000,-0.000684444,-6.844444444
2015-12-31 00:00:00,1.026364444,-0.006293333,1.026364444,-0.006293333,-0.000000000,-0.307818611,-0.043254722,0.000069722,0.697222222
2015-12-30 23:00:00,1.419505833,-0.006092222,1.419505833,-0.006092222,-0.000000000,-0.138222222,-0.097535833,0.000538611,5.386111111
2015-12-30 22:00:00,1.368953333,-0.006167778,1.368953333,-0.006167778,-0.000000000,-0.122051111,-0.094816944,0.000391111,3.911111111
2015-12-30 21:00:00,1.778236944,-0.005896667,1.778236944,-0.005896667,-0.000000000,-0.116126944,-0.092690833,-0.001039444,-10.394444444
2015-12-30 20:00:00,1.579805278,-0.005968889,1.579805278,-0.005968889,-0.000000000,-0.116771944,-0.092606111,-0.000320556,-3.205555556
2015-12-30 19:00:00,1.863261944,-0.005841389,1.863261944,-0.005841389,-0.000000000,-0.112559167,-0.091396389,-0.000737500,-7.375000000
2015-12-30 18:00:00,0.654801667,0.175526944,0.476615556,0.175526944,0.178186111,-0.074461389,-0.051036111,0.000883611,8.836111111
2015-12-30 17:00:00,0.615833056,1.058438889,-0.442605833,1.058438889,1.058438889,-0.090771389,-0.062934722,0.043529722,435.297222222
2015-12-30 16:00:00,0.667533611,1.698325278,-1.030791667,1.698325278,1.698325278,-0.093363611,-0.120788611,0.085789444,857.894444444
2015-12-30 15:00:00,0.737055000,2.874244167,-2.137189167,2.874244167,2.874244167,-0.099165278,-0.196343611,0.142831944,1428.319444444
2015-12-30 14:00:00,0.647959722,3.778501389,-3.130541667,3.778501389,3.778501389,-0.083731944,-0.183864444,0.213253889,2132.538888889
2015-12-30 13:00:00,0.767486111,3.836118056,-3.068631944,3.836118056,3.836118056,-0.350657222,-0.182124444,0.277911944,2779.119444444
2015-12-30 12:00:00,0.431107222,4.254904444,-3.823797222,4.254904444,4.254904444,-0.065247778,-0.181223611,0.328365000,3283.650000000
2015-12-30 11:00:00,0.328045000,3.758706389,-3.430661389,3.758706389,3.758706389,-0.010151389,-0.166024722,0.298360000,2983.600000000
2015-12-30 10:00:00,0.494282778,2.766056111,-2.271773333,2.766056111,2.766056111,-0.103841667,-0.140481667,0.200005278,2000.052777778
2015-12-30 09:00:00,0.878394167,0.679840833,0.196620556,0.679840833,0.681773611,-0.348129722,-0.012333333,0.024548333,245.483333333
2015-12-30 08:00:00,0.796805278,-0.006286667,0.796805278,-0.006286667,-0.000000000,-0.250803611,-0.012331944,-0.000183889,-1.838888889
2015-12-30 07:00:00,0.452368333,-0.006430000,0.452368333,-0.006430000,-0.000000000,-0.012971667,-0.012397500,-0.000914167,-9.141666667
2015-12-30 06:00:00,0.642821389,-0.006542222,0.642821389,-0.006542222,-0.000000000,-0.348544167,-0.012348611,-0.000062500,-0.625000000
2015-12-30 05:00:00,0.656531667,-0.006643056,0.656531667,-0.006643056,-0.000000000,-0.349218056,-0.012425278,-0.000071389,-0.713888889
2015-12-30 04:00:00,0.745793333,-0.006677778,0.745793333,-0.006677778,-0.000000000,-0.348724444,-0.012489722,-0.000033056,-0.330555556
2015-12-30 03:00:00,0.455446944,-0.006635278,0.455446944,-0.006635278,-0.000000000,-0.011219722,-0.012581944,-0.000803056,-8.030555556
2015-12-30 02:00:00,0.603136111,-0.006611667,0.603136111,-0.006611667,-0.000000000,-0.023938611,-0.012671389,-0.000706944,-7.069444444
2015-12-30 01:00:00,0.982846389,-0.006531944,0.982846389,-0.006531944,-0.000000000,-0.347805833,-0.045555000,0.000176111,1.761111111
2015-12-30 00:00:00,0.785943333,-0.006364444,0.785943333,-0.006364444,-0.000000000,-0.125799722,-0.062941944,-0.000320556,-3.205555556
2015-12-29 23:00:00,0.730900000,-0.006117778,0.730900000,-0.006117778,-0.000000000,-0.134538611,-0.024646111,-0.000335278,-3.352777778
2015-12-29 22:00:00,0.986057778,-0.006086667,0.986057778,-0.006086667,-0.000000000,-0.250271667,-0.093234444,0.000119444,1.194444444
2015-12-29 21:00:00,0.901229722,-0.006071944,0.901229722,-0.006071944,-0.000000000,-0.144355556,-0.099110556,-0.000198889,-1.988888889
2015-12-29 20:00:00,0.798826111,-0.006065556,0.798826111,-0.006065556,-0.000000000,-0.127392500,-0.095819722,-0.000405278,-4.052777778
2015-12-29 19:00:00,0.907531111,-0.006084722,0.907531111,-0.006084722,-0.000000000,-0.106656111,-0.089045556,-0.000105556,-1.055555556
2015-12-29 18:00:00,0.708315833,0.084739167,0.620490556,0.084739167,0.087825278,-0.078948333,-0.049715556,0.001196389,11.963888889
2015-12-29 17:00:00,0.688732500,1.269994444,-0.581261944,1.269994444,1.269994444,-0.085027778,-0.046991389,0.059466667,594.666666667
2015-12-29 16:00:00,0.786477222,2.188151944,-1.401674722,2.188151944,2.188151944,-0.110220833,-0.177343056,0.117207500,1172.075000000
2015-12-29 15:00:00,0.685341389,3.182565000,-2.497223611,3.182565000,3.182565000,-0.114709722,-0.203476111,0.166401389,1664.013888889
2015-12-29 14:00:00,0.482948056,3.470919167,-2.987971111,3.470919167,3.470919167,-0.056907222,-0.185102222,0.201091667,2010.916666667
2015-12-29 13:00:00,0.705139722,3.936052222,-3.230912500,3.936052222,3.936052222,-0.289077500,-0.183483611,0.290324722,2903.247222222
2015-12-29 12:00:00,1.771686667,4.536628333,-2.764941667,4.536628333,4.536628333,-0.105697778,-0.191518611,0.354056667,3540.566666667
2015-12-29 11:00:00,0.404833056,3.986884167,-3.582051111,3.986884167,3.986884167,-0.010384444,-0.165787500,0.321251111,3212.511111111
2015-12-29 10:00:00,0.972593056,2.915753611,-1.943160556,2.915753611,2.915753611,-0.258254444,-0.146936667,0.211686667,2116.866666667
2015-12-29 09:00:00,0.677016667,0.729050000,-0.054713889,0.729050000,0.731730556,-0.225388889,-0.012284722,0.026521111,265.211111111
2015-12-29 08:00:00,0.620989722,-0.006250833,0.620989722,-0.006250833,-0.000000000,-0.068753056,-0.012451111,-0.000626389,-6.263888889
2015-12-29 07:00:00,0.939929167,-0.006384167,0.939929167,-0.006384167,-0.000000000,-0.350630556,-0.012454444,-0.000057778,-0.577777778
2015-12-29 06:00:00,0.794795833,-0.006571944,0.794795833,-0.006571944,-0.000000000,-0.352714722,-0.012484167,0.000127500,1.275000000
2015-12-29 05:00:00,0.477227778,-0.006656944,0.477227778,-0.006656944,-0.000000000,-0.101468333,-0.012545000,-0.000502222,-5.022222222
2015-12-29 04:00:00,0.482681944,-0.006709444,0.482681944,-0.006709444,-0.000000000,-0.100616944,-0.012551667,-0.000482778,-4.827777778
2015-12-29 03:00:00,0.764544444,-0.006661111,0.764544444,-0.006661111,-0.000000000,-0.353270833,-0.012509444,0.000128611,1.286111111
2015-12-29 02:00:00,0.864519722,-0.006620000,0.864519722,-0.006620000,-0.000000000,-0.354013611,-0.012526944,0.000175278,1.752777778
2015-12-29 01:00:00,0.577720000,-0.006523056,0.577720000,-0.006523056,-0.000000000,-0.030158889,-0.012517778,-0.000684722,-6.847222222
2015-12-29 00:00:00,0.691491667,-0.006381944,0.691491667,-0.006381944,-0.000000000,-0.048515000,-0.012336667,-0.000603333,-6.033333333
2015-12-28 23:00:00,1.135590833,-0.006142222,1.135590833,-0.006142222,-0.000000000,-0.304443056,-0.073406667,0.000294444,2.944444444
2015-12-28 22:00:00,0.767487778,-0.006094444,0.767487778,-0.006094444,-0.000000000,-0.153582222,-0.101533333,-0.000442222,-4.422222222
2015-12-28 21:00:00,0.859736667,-0.006027500,0.859736667,-0.006027500,-0.000000000,-0.131364167,-0.096170000,-0.000435000,-4.350000000
2015-12-28 20:00:00,1.604306389,-0.005921944,1.604306389,-0.005921944,-0.000000000,-0.122436389,-0.093590556,-0.001356389,-13.563888889
2015-12-28 19:00:00,1.772961111,-0.005859167,1.772961111,-0.005859167,-0.000000000,-0.101907500,-0.088144722,-0.000511389,-5.113888889
2015-12-28 18:00:00,0.650926667,0.255447222,0.392279167,0.255447222,0.258647500,-0.064087778,-0.040129444,0.000961944,9.619444444
2015-12-28 17:00:00,0.634828056,0.985991944,-0.351163889,0.985991944,0.985991944,-0.091779167,-0.089098611,0.034306944,343.069444444
2015-12-28 16:00:00,0.714119722,1.370368889,-0.656249167,1.370368889,1.370368889,-0.095875278,-0.063064722,0.062663056,626.630555556
2015-12-28 15:00:00,0.890641389,1.806740556,-0.916099167,1.806740556,1.806740556,-0.098910278,-0.074691111,0.087293889,872.938888889
2015-12-28 14:00:00,0.745762222,3.452051111,-2.706288889,3.452051111,3.452051111,-0.102195833,-0.206131111,0.195008611,1950.086111111
2015-12-28 13:00:00,0.862738056,4.405576389,-3.542838333,4.405576389,4.405576389,-0.132805556,-0.191625278,0.326210833,3262.108333333
2015-12-28 12:00:00,0.695526667,4.466714167,-3.771187500,4.466714167,4.466714167,-0.283720278,-0.189400833,0.348845556,3488.455555556
2015-12-28 11:00:00,0.425074167,4.015337222,-3.590263056,4.015337222,4.015337222,-0.010180833,-0.177347500,0.320891667,3208.916666667
2015-12-28 10:00:00,0.463590833,2.762911111,-2.299320278,2.762911111,2.762911111,-0.010124722,-0.145675278,0.200649722,2006.497222222
2015-12-28 09:00:00,0.992227500,0.707139167,0.282461667,0.707139167,0.709765833,-0.271727500,-0.012306389,0.022435556,224.355555556
2015-12-28 08:00:00,1.027483611,-0.006497222,1.027483611,-0.006497222,-0.000000000,-0.348766389,-0.012294722,0.000298889,2.988888889
2015-12-28 07:00:00,0.854970556,-0.006451111,0.854970556,-0.006451111,-0.000000000,-0.217723056,-0.012323889,-0.000143889,-1.438888889
2015-12-28 06:00:00,0.673164167,-0.006553611,0.673164167,-0.006553611,-0.000000000,-0.109648889,-0.012421111,-0.000620278,-6.202777778
2015-12-28 05:00:00,0.848068333,-0.006623333,0.848068333,-0.006623333,-0.000000000,-0.349347778,-0.012409722,-0.000046389,-0.463888889
2015-12-28 04:00:00,0.658567222,-0.006659444,0.658567222,-0.006659444,-0.000000000,-0.350096389,-0.012337500,-0.000067222,-0.672222222
2015-12-28 03:00:00,0.415441667,-0.006633611,0.415441667,-0.006633611,-0.000000000,-0.099678611,-0.012383611,-0.000640278,-6.402777778
2015-12-28 02:00:00,0.412127778,-0.006583056,0.412127778,-0.006583056,-0.000000000,-0.010058889,-0.012385833,-0.000774722,-7.747222222
2015-12-28 01:00:00,0.667967778,-0.006599722,0.667967778,-0.006599722,-0.000000000,-0.272431667,-0.013883889,-0.000181944,-1.819444444
2015-12-28 00:00:00,0.827840000,-0.006298333,0.827840000,-0.006298333,-0.000000000,-0.242345278,-0.086969167,-0.000183333,-1.833333333
2015-12-27 23:00:00,0.937085278,-0.006136667,0.937085278,-0.006136667,-0.000000000,-0.092282500,-0.078735000,-0.000914167,-9.141666667
2015-12-27 22:00:00,1.142018333,-0.006121667,1.142018333,-0.006121667,-0.000000000,-0.247035833,-0.093129444,0.000175833,1.758333333
2015-12-27 21:00:00,0.781174722,-0.006020833,0.781174722,-0.006020833,-0.000000000,-0.147900556,-0.099796667,-0.000256944,-2.569444444
2015-12-27 20:00:00,0.706205556,-0.006001111,0.706205556,-0.006001111,-0.000000000,-0.131604167,-0.096221389,-0.000320278,-3.202777778
2015-12-27 19:00:00,0.806620278,-0.005965278,0.806620278,-0.005965278,-0.000000000,-0.117610556,-0.093142778,-0.000313056,-3.130555556
2015-12-27 18:00:00,0.626906389,0.243518056,0.380758333,0.243518056,0.246148056,-0.082426111,-0.062878333,0.001160278,11.602777778
2015-12-27 17:00:00,0.630986389,1.143603889,-0.512617500,1.143603889,1.143603889,-0.103090278,-0.067106944,0.041341389,413.413888889
2015-12-27 16:00:00,0.756343611,1.890258333,-1.133914722,1.890258333,1.890258333,-0.113529167,-0.138880000,0.096726667,967.266666667
2015-12-27 15:00:00,0.693769722,3.240546944,-2.546777222,3.240546944,3.240546944,-0.119748056,-0.207366389,0.159691944,1596.919444444
2015-12-27 14:00:00,0.512979444,4.100136389,-3.587156944,4.100136389,4.100136389,-0.091229722,-0.216322222,0.226248333,2262.483333333
2015-12-27 13:00:00,0.649471667,4.505960278,-3.856488611,4.505960278,4.505960278,-0.189895278,-0.186472222,0.329785278,3297.852777778
2015-12-27 12:00:00,0.562137500,4.531347222,-3.969209722,4.531347222,4.531347222,-0.179528333,-0.187835833,0.351716944,3517.169444444
2015-12-27 11:00:00,0.388429722,4.023605278,-3.635175556,4.023605278,4.023605278,-0.010510278,-0.167479167,0.328650833,3286.508333333
2015-12-27 10:00:00,0.500531667,2.358636667,-1.858105000,2.358636667,2.358636667,-0.136642500,-0.077011667,0.176021111,1760.211111111
2015-12-27 09:00:00,0.776279444,0.036686667,0.735922778,0.036686667,0.040356667,-0.340384444,-0.012290833,0.000275278,2.752777778
2015-12-27 08:00:00,0.674681667,-0.006510000,0.674681667,-0.006510000,-0.000000000,-0.307752500,-0.012236389,-0.000103889,-1.038888889
2015-12-27 07:00:00,0.428458611,-0.006511111,0.428458611,-0.006511111,-0.000000000,-0.009993611,-0.012261389,-0.000786667,-7.866666667
2015-12-27 06:00:00,0.654933611,-0.006550000,0.654933611,-0.006550000,-0.000000000,-0.194657500,-0.012273333,-0.000242778,-2.427777778
2015-12-27 05:00:00,0.710297778,-0.006589444,0.710297778,-0.006589444,-0.000000000,-0.340711111,-0.012221667,0.000067778,0.677777778
2015-12-27 04:00:00,0.712026944,-0.006595278,0.712026944,-0.006595278,-0.000000000,-0.340866944,-0.012200833,0.000064167,0.641666667
2015-12-27 03:00:00,0.591362500,-0.006553611,0.591362500,-0.006553611,-0.000000000,-0.167261111,-0.012231389,-0.000313611,-3.136111111
2015-12-27 02:00:00,0.627446111,-0.006488333,0.627446111,-0.006488333,-0.000000000,-0.009727778,-0.012357222,-0.000607500,-6.075000000
2015-12-27 01:00:00,1.014009444,-0.006443333,1.014009444,-0.006443333,-0.000000000,-0.321907500,-0.012343889,0.000128889,1.288888889
2015-12-27 00:00:00,0.909451111,-0.006363333,0.909451111,-0.006363333,-0.000000000,-0.222966667,-0.052622778,-0.000172778,-1.727777778
2015-12-26 23:00:00,0.745138889,-0.006255000,0.745138889,-0.006255000,-0.000000000,-0.092110000,-0.016520000,-0.000505556,-5.055555556
2015-12-26 22:00:00,1.007886111,-0.006163056,1.007886111,-0.006163056,-0.000000000,-0.339630556,-0.024094444,0.000158333,1.583333333
2015-12-26 21:00:00,0.814398889,-0.006080833,0.814398889,-0.006080833,-0.000000000,-0.152104444,-0.062286111,-0.000448333,-4.483333333
2015-12-26 20:00:00,0.821335556,-0.006066944,0.821335556,-0.006066944,-0.000000000,-0.075072222,-0.015256389,-0.000614722,-6.147222222
2015-12-26 19:00:00,1.264861111,-0.005981667,1.264861111,-0.005981667,-0.000000000,-0.341012222,-0.012392222,-0.001047222,-10.472222222
2015-12-26 18:00:00,0.570319167,0.044542222,0.522049444,0.044542222,0.048269722,-0.207770556,-0.022135278,0.000619722,6.197222222
2015-12-26 17:00:00,0.502131111,1.011958056,-0.509826944,1.011958056,1.011958056,-0.129187500,-0.013005556,0.034343056,343.430555556
2015-12-26 16:00:00,0.742757500,1.110830000,-0.368072500,1.110830000,1.110830000,-0.292038611,-0.062886389,0.039546667,395.466666667
2015-12-26 15:00:00,0.677039444,2.156435278,-1.479395833,2.156435278,2.156435278,-0.122866111,-0.110317778,0.101112778,1011.127777778
2015-12-26 14:00:00,0.659596667,4.059951667,-3.400355000,4.059951667,4.059951667,-0.163210556,-0.177575278,0.229050000,2290.500000000
2015-12-26 13:00:00,0.757829167,3.876165556,-3.118336389,3.876165556,3.876165556,-0.344307222,-0.185382500,0.278888333,2788.883333333
2015-12-26 12:00:00,0.719251667,4.421919167,-3.702667500,4.421919167,4.421919167,-0.239193889,-0.166085278,0.337783889,3377.838888889
2015-12-26 11:00:00,0.494644444,3.534802222,-3.040157778,3.534802222,3.534802222,-0.010226111,-0.158865000,0.279602222,2796.022222222
2015-12-26 10:00:00,0.594297778,1.841865000,-1.247567222,1.841865000,1.841865000,-0.177148056,-0.029112778,0.135031667,1350.316666667
2015-12-26 09:00:00,0.904704167,0.240264444,0.660978056,0.240264444,0.243726111,-0.346343056,-0.012363333,0.004525000,45.250000000
2015-12-26 08:00:00,0.929616667,-0.006476111,0.929616667,-0.006476111,-0.000000000,-0.346431944,-0.012335278,0.000096944,0.969444444
2015-12-26 07:00:00,0.939366944,-0.006507500,0.939366944,-0.006507500,-0.000000000,-0.348328056,-0.012460833,-0.000263056,-2.630555556
2015-12-26 06:00:00,0.677054722,-0.006590000,0.677054722,-0.006590000,-0.000000000,-0.112813333,-0.012538611,-0.000701944,-7.019444444
2015-12-26 05:00:00,0.418008611,-0.006661944,0.418008611,-0.006661944,-0.000000000,-0.067983889,-0.012478889,-0.000731667,-7.316666667
2015-12-26 04:00:00,0.659921667,-0.006695833,0.659921667,-0.006695833,-0.000000000,-0.350456667,-0.012435556,-0.000095000,-0.950000000
2015-12-26 03:00:00,0.663920000,-0.006683889,0.663920000,-0.006683889,-0.000000000,-0.350802778,-0.012406111,-0.000111944,-1.119444444
2015-12-26 02:00:00,0.731082500,-0.006638056,0.731082500,-0.006638056,-0.000000000,-0.273951667,-0.012517500,-0.000217500,-2.175000000
2015-12-26 01:00:00,0.562454167,-0.006551944,0.562454167,-0.006551944,-0.000000000,-0.010052778,-0.012592500,-0.000793056,-7.930555556
2015-12-26 00:00:00,1.474913333,-0.006362778,1.474913333,-0.006362778,-0.000000000,-0.115429722,-0.012619167,-0.000152778,-1.527777778
2015-12-25 23:00:00,1.469716667,-0.006258056,1.469716667,-0.006258056,-0.000000000,-0.350943889,-0.012425278,0.000445556,4.455555556
2015-12-25 22:00:00,0.703498333,-0.006136111,0.703498333,-0.006136111,-0.000000000,-0.148543611,-0.012314167,-0.000387222,-3.872222222
2015-12-25 21:00:00,0.565006389,-0.006111389,0.565006389,-0.006111389,-0.000000000,-0.009709167,-0.012250556,-0.000702500,-7.025000000
2015-12-25 20:00:00,0.934583333,-0.006046944,0.934583333,-0.006046944,-0.000000000,-0.204024722,-0.011944444,-0.000587222,-5.872222222
2015-12-25 19:00:00,1.092487778,-0.006017778,1.092487778,-0.006017778,-0.000000000,-0.325123056,-0.011975278,0.000230556,2.305555556
2015-12-25 18:00:00,0.518736667,0.035820556,0.479046944,0.035820556,0.039689722,-0.009635833,-0.012103889,-0.000163333,-1.633333333
2015-12-25 17:00:00,0.573729722,0.824295000,-0.250565278,0.824295000,0.824295000,-0.009808611,-0.033431944,0.031687500,316.875000000
2015-12-25 16:00:00,0.531867778,1.481771944,-0.949904167,1.481771944,1.481771944,-0.009911389,-0.059066111,0.070965278,709.652777778
2015-12-25 15:00:00,0.447768611,2.969181944,-2.521413333,2.969181944,2.969181944,-0.010030278,-0.145793611,0.164767222,1647.672222222
2015-12-25 14:00:00,0.633591111,2.103355833,-1.469764722,2.103355833,2.103355833,-0.251830556,-0.055681389,0.124091944,1240.919444444
2015-12-25 13:00:00,0.688847778,1.388310278,-0.699462500,1.388310278,1.388310278,-0.342618333,-0.024151667,0.067794167,677.941666667
2015-12-25 12:00:00,0.340704444,0.977695556,-0.636991111,0.977695556,0.977695556,-0.010091667,-0.012038056,0.039384722,393.847222222
