"Date & Time","use [kW]","gen [kW]","Solar [kW]","Loads [kW]"
2015-12-31 23:00:00,0.933695556,-0.003451389,-0.003451389,0.933695556
2015-12-31 22:00:00,0.510084167,-0.003558056,-0.003558056,0.510084167
2015-12-31 21:00:00,1.427002222,-0.003555833,-0.003555833,1.427002222
2015-12-31 20:00:00,1.049163611,-0.003413611,-0.003413611,1.049163611
2015-12-31 19:00:00,1.275028889,-0.003127500,-0.003127500,1.275028889
2015-12-31 18:00:00,0.393045000,0.033590833,0.033590833,0.393045000
2015-12-31 17:00:00,3.326768889,0.193720556,0.193720556,3.326768889
2015-12-31 16:00:00,0.380188889,0.726859722,0.726859722,0.380188889
2015-12-31 15:00:00,1.420376389,0.904536944,0.904536944,1.420376389
2015-12-31 14:00:00,0.668625000,1.494224444,1.494224444,0.668625000
2015-12-31 13:00:00,0.654345833,1.324957500,1.324957500,0.654345833
2015-12-31 12:00:00,1.177250833,1.814815556,1.814815556,1.177250833
2015-12-31 11:00:00,2.127084444,1.622859444,1.622859444,2.127084444
2015-12-31 10:00:00,2.180373889,0.358431389,0.358431389,2.180373889
2015-12-31 09:00:00,0.632776389,0.008788889,0.008788889,0.632776389
2015-12-31 08:00:00,1.422033056,-0.003232778,-0.003232778,1.422033056
2015-12-31 07:00:00,0.487891944,-0.003259444,-0.003259444,0.487891944
2015-12-31 06:00:00,1.004040556,-0.003079722,-0.003079722,1.004040556
2015-12-31 05:00:00,0.524903056,-0.002833889,-0.002833889,0.524903056
2015-12-31 04:00:00,1.071661389,-0.002793056,-0.002793056,1.071661389
2015-12-31 03:00:00,0.449346111,-0.002845278,-0.002845278,0.449346111
2015-12-31 02:00:00,1.124278333,-0.002798611,-0.002798611,1.124278333
2015-12-31 01:00:00,0.352591944,-0.003070000,-0.003070000,0.352591944
2015-12-31 00:00:00,1.048624167,-0.003459167,-0.003459167,1.048624167
2015-12-30 23:00:00,0.597256111,-0.003487500,-0.003487500,0.597256111
2015-12-30 22:00:00,1.426205556,-0.003487222,-0.003487222,1.426205556
2015-12-30 21:00:00,0.843762222,-0.003311944,-0.003311944,0.843762222
2015-12-30 20:00:00,1.767045556,-0.003285000,-0.003285000,1.767045556
2015-12-30 19:00:00,1.528535000,-0.003490000,-0.003490000,1.528535000
2015-12-30 18:00:00,0.544630556,0.028775833,0.028775833,0.544630556
2015-12-30 17:00:00,1.006825833,0.180646944,0.180646944,1.006825833
2015-12-30 16:00:00,0.315343056,0.711060000,0.711060000,0.315343056
2015-12-30 15:00:00,1.215794167,1.538785278,1.538785278,1.215794167
2015-12-30 14:00:00,0.767882778,2.837264167,2.837264167,0.767882778
2015-12-30 13:00:00,1.244646944,2.679062222,2.679062222,1.244646944
2015-12-30 12:00:00,1.927758611,1.606896111,1.606896111,1.927758611
2015-12-30 11:00:00,1.020225556,0.982472222,0.982472222,1.020225556
2015-12-30 10:00:00,0.807349444,0.393316111,0.393316111,0.807349444
2015-12-30 09:00:00,1.314165278,0.026734444,0.026734444,1.314165278
2015-12-30 08:00:00,1.049715278,-0.002823333,-0.002823333,1.049715278
2015-12-30 07:00:00,1.159086667,-0.002799722,-0.002799722,1.159086667
2015-12-30 06:00:00,0.796501944,-0.002818611,-0.002818611,0.796501944
2015-12-30 05:00:00,1.236365278,-0.002785833,-0.002785833,1.236365278
2015-12-30 04:00:00,0.650886667,-0.002865556,-0.002865556,0.650886667
2015-12-30 03:00:00,1.076929722,-0.002815833,-0.002815833,1.076929722
2015-12-30 02:00:00,0.474886944,-0.002898889,-0.002898889,0.474886944
2015-12-30 01:00:00,0.906601944,-0.002868889,-0.002868889,0.906601944
2015-12-30 00:00:00,0.662700833,-0.003300278,-0.003300278,0.662700833
2015-12-29 23:00:00,0.953635833,-0.003670000,-0.003670000,0.953635833
2015-12-29 22:00:00,0.671221389,-0.003675833,-0.003675833,0.671221389
2015-12-29 21:00:00,1.237115833,-0.003604167,-0.003604167,1.237115833
2015-12-29 20:00:00,0.627606667,-0.003762222,-0.003762222,0.627606667
2015-12-29 19:00:00,0.711084444,-0.003593889,-0.003593889,0.711084444
2015-12-29 18:00:00,0.784608333,0.009918333,0.009918333,0.784608333
2015-12-29 17:00:00,0.553843056,0.234451111,0.234451111,0.553843056
2015-12-29 16:00:00,0.822039167,0.804418056,0.804418056,0.822039167
2015-12-29 15:00:00,0.561796944,1.692339167,1.692339167,0.561796944
2015-12-29 14:00:00,0.947565000,3.057831111,3.057831111,0.947565000
2015-12-29 13:00:00,0.392301667,2.350845833,2.350845833,0.392301667
2015-12-29 12:00:00,0.752722500,1.565304722,1.565304722,0.752722500
2015-12-29 11:00:00,0.559690000,1.799823889,1.799823889,0.559690000
2015-12-29 10:00:00,2.237018611,0.574462500,0.574462500,2.237018611
2015-12-29 09:00:00,1.043343056,0.016300833,0.016300833,1.043343056
2015-12-29 08:00:00,1.307476389,-0.002914722,-0.002914722,1.307476389
2015-12-29 07:00:00,1.208070000,-0.002931944,-0.002931944,1.208070000
2015-12-29 06:00:00,0.457736667,-0.002954167,-0.002954167,0.457736667
2015-12-29 05:00:00,1.447855556,-0.002864444,-0.002864444,1.447855556
2015-12-29 04:00:00,0.546629722,-0.002954167,-0.002954167,0.546629722
2015-12-29 03:00:00,1.143073056,-0.002935556,-0.002935556,1.143073056
2015-12-29 02:00:00,0.541506389,-0.002987222,-0.002987222,0.541506389
2015-12-29 01:00:00,1.102348333,-0.002944167,-0.002944167,1.102348333
2015-12-29 00:00:00,0.570090833,-0.003064444,-0.003064444,0.570090833
2015-12-28 23:00:00,1.154073333,-0.003576111,-0.003576111,1.154073333
2015-12-28 22:00:00,0.606925833,-0.003637500,-0.003637500,0.606925833
2015-12-28 21:00:00,1.232264722,-0.003661667,-0.003661667,1.232264722
2015-12-28 20:00:00,1.025493889,-0.003707778,-0.003707778,1.025493889
2015-12-28 19:00:00,1.866480556,-0.003533333,-0.003533333,1.866480556
2015-12-28 18:00:00,0.391613889,0.002006389,0.002006389,0.391613889
2015-12-28 17:00:00,0.962698333,0.248811111,0.248811111,0.962698333
2015-12-28 16:00:00,0.335843611,0.591134444,0.591134444,0.335843611
2015-12-28 15:00:00,0.932670278,1.519242222,1.519242222,0.932670278
2015-12-28 14:00:00,0.563992500,2.744623333,2.744623333,0.563992500
2015-12-28 13:00:00,0.390481111,1.888503889,1.888503889,0.390481111
2015-12-28 12:00:00,1.021277222,1.411977778,1.411977778,1.021277222
2015-12-28 11:00:00,0.356797500,0.919529167,0.919529167,0.356797500
2015-12-28 10:00:00,0.649464444,0.139042500,0.139042500,0.649464444
2015-12-28 09:00:00,2.495966667,-0.004147778,-0.004147778,2.495966667
2015-12-28 08:00:00,1.074022778,-0.002813056,-0.002813056,1.074022778
2015-12-28 07:00:00,1.681817778,-0.003152222,-0.003152222,1.681817778
2015-12-28 06:00:00,0.759682222,-0.002933611,-0.002933611,0.759682222
2015-12-28 05:00:00,0.888391667,-0.002913333,-0.002913333,0.888391667
2015-12-28 04:00:00,0.952518333,-0.002892222,-0.002892222,0.952518333
2015-12-28 03:00:00,0.689580556,-0.003156667,-0.003156667,0.689580556
2015-12-28 02:00:00,0.540626667,-0.003332222,-0.003332222,0.540626667
2015-12-28 01:00:00,0.633690278,-0.003326667,-0.003326667,0.633690278
2015-12-28 00:00:00,0.554649444,-0.003390000,-0.003390000,0.554649444
2015-12-27 23:00:00,1.179021944,-0.003447222,-0.003447222,1.179021944
2015-12-27 22:00:00,0.937381667,-0.003401111,-0.003401111,0.937381667
2015-12-27 21:00:00,1.061190556,-0.003557778,-0.003557778,1.061190556
2015-12-27 20:00:00,1.814379167,-0.003480000,-0.003480000,1.814379167
2015-12-27 19:00:00,1.431696667,-0.003347778,-0.003347778,1.431696667
2015-12-27 18:00:00,0.712548056,-0.004062778,-0.004062778,0.712548056
2015-12-27 17:00:00,0.722183333,0.045780278,0.045780278,0.722183333
2015-12-27 16:00:00,0.390577222,0.206605556,0.206605556,0.390577222
2015-12-27 15:00:00,1.023941389,0.270701667,0.270701667,1.023941389
2015-12-27 14:00:00,0.816843889,0.337018056,0.337018056,0.816843889
2015-12-27 13:00:00,0.627234444,0.207045000,0.207045000,0.627234444
2015-12-27 12:00:00,0.823325278,0.099414722,0.099414722,0.823325278
2015-12-27 11:00:00,0.491393889,0.060815000,0.060815000,0.491393889
2015-12-27 10:00:00,1.009646111,-0.000808611,-0.000808611,1.009646111
2015-12-27 09:00:00,2.505561389,-0.003712778,-0.003712778,2.505561389
2015-12-27 08:00:00,1.271795000,-0.002773333,-0.002773333,1.271795000
2015-12-27 07:00:00,0.757740833,-0.002797778,-0.002797778,0.757740833
2015-12-27 06:00:00,1.158450278,-0.002915278,-0.002915278,1.158450278
2015-12-27 05:00:00,0.789635833,-0.002667778,-0.002667778,0.789635833
2015-12-27 04:00:00,1.220283056,-0.002603889,-0.002603889,1.220283056
2015-12-27 03:00:00,0.651036944,-0.002553889,-0.002553889,0.651036944
2015-12-27 02:00:00,1.289495000,-0.002458056,-0.002458056,1.289495000
2015-12-27 01:00:00,0.728415556,-0.002550278,-0.002550278,0.728415556
2015-12-27 00:00:00,1.102831944,-0.002656944,-0.002656944,1.102831944
2015-12-26 23:00:00,1.293905833,-0.003440278,-0.003440278,1.293905833
2015-12-26 22:00:00,1.433950278,-0.003377778,-0.003377778,1.433950278
2015-12-26 21:00:00,1.125923889,-0.003548056,-0.003548056,1.125923889
2015-12-26 20:00:00,1.418995833,-0.003441389,-0.003441389,1.418995833
2015-12-26 19:00:00,1.205906389,-0.003441944,-0.003441944,1.205906389
2015-12-26 18:00:00,0.430118333,-0.003373889,-0.003373889,0.430118333
2015-12-26 17:00:00,0.487316111,-0.002012500,-0.002012500,0.487316111
2015-12-26 16:00:00,1.476760833,0.003855556,0.003855556,1.476760833
2015-12-26 15:00:00,1.303271667,0.042450278,0.042450278,1.303271667
2015-12-26 14:00:00,0.829531111,0.034991389,0.034991389,0.829531111
2015-12-26 13:00:00,1.089265000,0.030391667,0.030391667,1.089265000
2015-12-26 12:00:00,1.162139722,0.025077222,0.025077222,1.162139722
2015-12-26 11:00:00,0.847509444,0.006061667,0.006061667,0.847509444
2015-12-26 10:00:00,1.810674444,-0.004450278,-0.004450278,1.810674444
2015-12-26 09:00:00,1.608279722,-0.002501944,-0.002501944,1.608279722
2015-12-26 08:00:00,0.676778889,-0.002258611,-0.002258611,0.676778889
2015-12-26 07:00:00,1.458529444,-0.002189444,-0.002189444,1.458529444
2015-12-26 06:00:00,0.692769722,-0.002301667,-0.002301667,0.692769722
2015-12-26 05:00:00,1.246617500,-0.002196389,-0.002196389,1.246617500
2015-12-26 04:00:00,0.478896944,-0.002606667,-0.002606667,0.478896944
2015-12-26 03:00:00,0.847052222,-0.003102500,-0.003102500,0.847052222
2015-12-26 02:00:00,0.368706667,-0.003116944,-0.003116944,0.368706667
2015-12-26 01:00:00,0.884886667,-0.003059167,-0.003059167,0.884886667
2015-12-26 00:00:00,0.629269722,-0.003084167,-0.003084167,0.629269722
2015-12-25 23:00:00,0.612964444,-0.003181111,-0.003181111,0.612964444
2015-12-25 22:00:00,1.233296944,-0.003099167,-0.003099167,1.233296944
2015-12-25 21:00:00,0.544452222,-0.003129167,-0.003129167,0.544452222
2015-12-25 20:00:00,0.692721111,-0.003119722,-0.003119722,0.692721111
2015-12-25 19:00:00,1.006549167,-0.003378333,-0.003378333,1.006549167
2015-12-25 18:00:00,1.333103889,-0.003396667,-0.003396667,1.333103889
2015-12-25 17:00:00,0.290921389,0.133081389,0.133081389,0.290921389
2015-12-25 16:00:00,1.056716389,0.419016389,0.419016389,1.056716389
2015-12-25 15:00:00,0.373381944,0.639572500,0.639572500,0.373381944
2015-12-25 14:00:00,1.000618056,0.906266944,0.906266944,1.000618056
2015-12-25 13:00:00,0.483031111,0.815278611,0.815278611,0.483031111
2015-12-25 12:00:00,0.365119722,0.506317222,0.506317222,0.365119722
2015-12-25 11:00:00,1.851049722,0.337189167,0.337189167,1.851049722
2015-12-25 10:00:00,1.663235833,0.147818611,0.147818611,1.663235833
2015-12-25 09:00:00,1.223855278,0.012848333,0.012848333,1.223855278
2015-12-25 08:00:00,1.487238889,-0.002312222,-0.002312222,1.487238889
2015-12-25 07:00:00,1.106315833,-0.002175278,-0.002175278,1.106315833
2015-12-25 06:00:00,1.119489444,-0.002243611,-0.002243611,1.119489444
2015-12-25 05:00:00,0.863698056,-0.002237500,-0.002237500,0.863698056
2015-12-25 04:00:00,0.993737778,-0.002218889,-0.002218889,0.993737778
2015-12-25 03:00:00,0.725779722,-0.002287500,-0.002287500,0.725779722
2015-12-25 02:00:00,1.669061667,-0.002149444,-0.002149444,1.669061667
2015-12-25 01:00:00,1.615542500,-0.002261667,-0.002261667,1.615542500
2015-12-25 00:00:00,0.872940278,-0.003095278,-0.003095278,0.872940278
2015-12-24 23:00:00,0.775186667,-0.003162500,-0.003162500,0.775186667
2015-12-24 22:00:00,0.543997500,-0.003212222,-0.003212222,0.543997500
2015-12-24 21:00:00,0.943450556,-0.003469444,-0.003469444,0.943450556
2015-12-24 20:00:00,1.329788889,-0.003313056,-0.003313056,1.329788889
2015-12-24 19:00:00,0.821280278,-0.003418611,-0.003418611,0.821280278
2015-12-24 18:00:00,0.878453889,0.014058056,0.014058056,0.878453889
2015-12-24 17:00:00,1.090255000,0.291201944,0.291201944,1.090255000
2015-12-24 16:00:00,1.153569444,0.718681667,0.718681667,1.153569444
2015-12-24 15:00:00,0.558675000,1.558656667,1.558656667,0.558675000
2015-12-24 14:00:00,0.706832778,3.184257778,3.184257778,0.706832778
2015-12-24 13:00:00,0.360954167,2.800118333,2.800118333,0.360954167
2015-12-24 12:00:00,0.381545556,1.842878056,1.842878056,0.381545556
2015-12-24 11:00:00,0.894215278,1.876633889,1.876633889,0.894215278
2015-12-24 10:00:00,1.386013611,0.658554444,0.658554444,1.386013611
2015-12-24 09:00:00,1.676225833,0.016671667,0.016671667,1.676225833
2015-12-24 08:00:00,1.825023889,-0.002472778,-0.002472778,1.825023889
2015-12-24 07:00:00,0.745196667,-0.002618889,-0.002618889,0.745196667
2015-12-24 06:00:00,1.314938889,-0.002541944,-0.002541944,1.314938889
2015-12-24 05:00:00,1.145663333,-0.002447778,-0.002447778,1.145663333
2015-12-24 04:00:00,1.346001111,-0.002434444,-0.002434444,1.346001111
2015-12-24 03:00:00,0.969036111,-0.002489444,-0.002489444,0.969036111
2015-12-24 02:00:00,1.217278611,-0.002473611,-0.002473611,1.217278611
2015-12-24 01:00:00,1.085356944,-0.002473889,-0.002473889,1.085356944
2015-12-24 00:00:00,1.101198889,-0.002988889,-0.002988889,1.101198889
2015-12-23 23:00:00,0.840862222,-0.003399167,-0.003399167,0.840862222
2015-12-23 22:00:00,0.756711111,-0.003499444,-0.003499444,0.756711111
2015-12-23 21:00:00,0.555568611,-0.003349722,-0.003349722,0.555568611
2015-12-23 20:00:00,1.272351667,-0.003712500,-0.003712500,1.272351667
2015-12-23 19:00:00,1.648045278,-0.003608056,-0.003608056,1.648045278
2015-12-23 18:00:00,0.970013056,0.007047222,0.007047222,0.970013056
2015-12-23 17:00:00,0.857180833,0.095785278,0.095785278,0.857180833
