"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar- [kW]","AC [kW]"
2015-12-31 23:00:00,2.223389722,-0.007788889,2.215600833,-0.007788889,0.007788889,-0.001485278
2015-12-31 22:00:00,1.846062500,-0.007255278,1.838807222,-0.007255278,0.007255278,-0.001143889
2015-12-31 21:00:00,1.606992222,-0.006337222,1.600655000,-0.006337222,0.006337222,-0.000390278
2015-12-31 20:00:00,2.021322222,-0.006249167,2.015073056,-0.006249167,0.006249167,-0.000570833
2015-12-31 19:00:00,2.641517778,-0.005781389,2.635736389,-0.005781389,0.005781389,-0.000697500
2015-12-31 18:00:00,2.381347222,0.079854167,2.378472222,0.079854167,0.002875000,-0.001130278
2015-12-31 17:00:00,1.013001111,1.033927222,1.013001111,1.033927222,-0.000000000,-0.000749444
2015-12-31 16:00:00,1.011401111,1.412218889,1.011401111,1.412218889,-0.000000000,-0.000970278
2015-12-31 15:00:00,1.180351944,1.448336111,1.180351944,1.448336111,-0.000000000,-0.001038333
2015-12-31 14:00:00,0.745255556,1.254236944,0.745255556,1.254236944,-0.000000000,-0.001109722
2015-12-31 13:00:00,1.258234167,0.876883611,1.258234167,0.876883611,-0.000000000,-0.000626944
2015-12-31 12:00:00,1.748551667,0.530300000,1.748551667,0.530300000,-0.000000000,-0.000486389
2015-12-31 11:00:00,1.448274722,0.258415556,1.448274722,0.258415556,-0.000000000,-0.000557778
2015-12-31 10:00:00,1.752352778,0.082460000,1.752352778,0.082460000,-0.000000000,-0.000836944
2015-12-31 09:00:00,2.128504722,0.008606944,2.122983333,0.008606944,0.005521389,-0.001047222
2015-12-31 08:00:00,1.738567778,-0.006641111,1.731926667,-0.006641111,0.006641111,-0.000958611
2015-12-31 07:00:00,0.799335556,-0.007306111,0.792029444,-0.007306111,0.007306111,-0.001206111
2015-12-31 06:00:00,0.827100833,-0.007060833,0.820040000,-0.007060833,0.007060833,-0.001180556
2015-12-31 05:00:00,0.826507778,-0.007083056,0.819424722,-0.007083056,0.007083056,-0.001259167
2015-12-31 04:00:00,0.758407778,-0.007328889,0.751078889,-0.007328889,0.007328889,-0.001262778
2015-12-31 03:00:00,0.728430833,-0.007005278,0.721425556,-0.007005278,0.007005278,-0.001161111
2015-12-31 02:00:00,0.727110556,-0.007336944,0.719773611,-0.007336944,0.007336944,-0.001358056
2015-12-31 01:00:00,0.795701944,-0.007200833,0.788501111,-0.007200833,0.007200833,-0.001133611
2015-12-31 00:00:00,1.120129722,-0.006809722,1.113320000,-0.006809722,0.006809722,-0.000800556
2015-12-30 23:00:00,1.459533333,-0.006553056,1.452980278,-0.006553056,0.006553056,-0.000644722
2015-12-30 22:00:00,2.221054444,-0.006890556,2.214163889,-0.006890556,0.006890556,-0.000902778
2015-12-30 21:00:00,2.489671111,-0.006941667,2.482729444,-0.006941667,0.006941667,-0.001006944
2015-12-30 20:00:00,2.259930000,-0.006307500,2.253622500,-0.006307500,0.006307500,-0.000510278
2015-12-30 19:00:00,1.657758889,-0.005712222,1.652046667,-0.005712222,0.005712222,-0.000339167
