"Date & Time",Use,Gen,"Grid","Solar","Shop"
2016-01-01 05:00,"=D2-MIN(E2;0)","=E2",54573.913422222,53899.403799722,-3909.236727778
2016-01-01 04:00,"=D3-MIN(E3;0)","=E3",54572.375722778,53899.378282778,-3909.186843889
2016-01-01 03:00,"=D4-MIN(E4;0)","=E4",54571.170445278,53899.355668889,-3909.130363611
2016-01-01 02:00,"=D5-MIN(E5;0)","=E5",54569.788826944,53899.335148889,-3909.065359167
2016-01-01 01:00,"=D6-MIN(E6;0)","=E6",54568.322171111,53899.315776111,-3908.952360833
2016-01-01 00:00,"=D7-MIN(E7;0)","=E7",54567.152250556,53899.297366944,-3908.892440278
2015-12-31 23:00,"=D8-MIN(E8;0)","=E8",54565.923004722,53899.278806667,-3908.835426667
2015-12-31 22:00,"=D9-MIN(E9;0)","=E9",54565.045514722,53899.062015000,-3908.801545278
2015-12-31 21:00,"=D10-MIN(E10;0)","=E10",54564.003462778,53897.782159722,-3908.776388611
2015-12-31 20:00,"=D11-MIN(E11;0)","=E11",54563.353034444,53895.929260278,-3908.740287500
2015-12-31 19:00,"=D12-MIN(E12;0)","=E12",54562.615685000,53893.822594167,-3908.722804444
2015-12-31 18:00,"=D13-MIN(E13;0)","=E13",54561.772148889,53891.703553889,-3908.715923889
2015-12-31 17:00,"=D14-MIN(E14;0)","=E14",54561.104047778,53889.825589444,-3908.690101667
2015-12-31 16:00,"=D15-MIN(E15;0)","=E15",54560.271993889,53888.704385833,-3908.679968889
2015-12-31 15:00,"=D16-MIN(E16;0)","=E16",54559.108024444,53888.323232222,-3908.678217222
2015-12-31 14:00,"=D17-MIN(E17;0)","=E17",54558.256205000,53888.281324444,-3908.673970833
2015-12-31 13:00,"=D18-MIN(E18;0)","=E18",54557.521981944,53888.254929722,-3908.626686667
2015-12-31 12:00,"=D19-MIN(E19;0)","=E19",54556.906407222,53888.229089167,-3908.599852778
2015-12-31 11:00,"=D20-MIN(E20;0)","=E20",54556.292020833,53888.203499444,-3908.593802778
2015-12-31 10:00,"=D21-MIN(E21;0)","=E21",54555.581306389,53888.178003056,-3908.583408333
2015-12-31 09:00,"=D22-MIN(E22;0)","=E22",54555.012634444,53888.152990000,-3908.566500556
2015-12-31 08:00,"=D23-MIN(E23;0)","=E23",54554.191950556,53888.128267500,-3908.549370278
2015-12-31 07:00,"=D24-MIN(E24;0)","=E24",54553.312945833,53888.103756111,-3908.545884167
