"Date & Time","Grid","Solar","Load1","Load2"
2016-01-01 05:00,12046.854780278,29998.638518056,1414.010673333,-2035.617725278
2016-01-01 04:00,12046.398446944,29998.641113333,1414.008903056,-2035.451385000
2016-01-01 03:00,12046.002882500,29998.643668333,1414.007118611,-2035.288171667
2016-01-01 02:00,12045.615644167,29998.646296389,1414.005359722,-2035.129942500
2016-01-01 01:00,12043.748956944,29998.648867500,1414.001671667,-2034.929046667
2016-01-01 00:00,12041.011377222,29998.651456111,1413.945630833,-2034.746143056
2015-12-31 23:00,12039.258003889,29998.653860278,1413.881441667,-2034.600343333
2015-12-31 22:00,12037.279655833,29998.664176944,1413.862535833,-2034.422443889
2015-12-31 21:00,12036.243378333,29997.804695000,1413.856586667,-2034.349391111
2015-12-31 20:00,12035.762090278,29996.442007778,1413.824808333,-2034.333480833
2015-12-31 19:00,12035.330776389,29994.826355278,1413.709127778,-2034.327165833
2015-12-31 18:00,12036.117942500,29993.509021389,1413.692806944,-2034.190631944
2015-12-31 17:00,12036.438739444,29992.604656389,1413.690822500,-2034.017933611
2015-12-31 16:00,12036.120597778,29992.327927500,1413.689417778,-2033.746146389
2015-12-31 15:00,12035.379748056,29992.259517778,1413.600901944,-2033.400606389
2015-12-31 14:00,12034.334184722,29992.263974722,1413.504614722,-2032.948791667
2015-12-31 13:00,12033.879346667,29992.266528611,1413.496530556,-2032.858733889
2015-12-31 12:00,12033.565876389,29992.269096667,1413.493660000,-2032.853273611
2015-12-31 11:00,12033.248245000,29992.271608056,1413.490697222,-2032.847757778
2015-12-31 10:00,12032.971327222,29992.274093056,1413.487353611,-2032.842013889
2015-12-31 09:00,12032.675077222,29992.276566389,1413.484224444,-2032.836369444
2015-12-31 08:00,12032.383122778,29992.279032500,1413.481164444,-2032.830769444
2015-12-31 07:00,12032.103768056,29992.281465278,1413.477971944,-2032.825043333
2015-12-31 06:00,12031.655676111,29992.283891389,1413.474720278,-2032.819250278
2015-12-31 05:00,12030.180336944,29992.286312222,1413.470556667,-2032.767283056
2015-12-31 04:00,12027.837412500,29992.288787222,1413.468180278,-2032.598137778
2015-12-31 03:00,12025.426612778,29992.291313333,1413.466199722,-2032.406248611
2015-12-31 02:00,12023.464218333,29992.293852500,1413.359712500,-2032.361862778
2015-12-31 01:00,12021.229232778,29992.296356389,1413.166854167,-2032.249758056
2015-12-31 00:00,12019.284131944,29992.298801111,1413.111296944,-2032.044560556
2015-12-30 23:00,12017.366828611,29992.302313056,1413.081901389,-2031.878203056
2015-12-30 22:00,12015.646286389,29992.168947778,1413.015195278,-2031.741813333
2015-12-30 21:00,12015.015845833,29990.830004722,1412.936007500,-2031.686288056
2015-12-30 20:00,12014.996474444,29988.973205833,1412.913151111,-2031.679920278
2015-12-30 19:00,12015.408553611,29987.054354444,1412.891435556,-2031.673581944
2015-12-30 18:00,12016.778633333,29985.206693333,1412.888836389,-2031.632700000
2015-12-30 17:00,12017.115684444,29984.317139722,1412.886988056,-2031.469182500
2015-12-30 16:00,12015.997622778,29983.985233611,1412.845829167,-2031.216881389
2015-12-30 15:00,12014.063209167,29983.775755556,1412.717384444,-2030.879724167
2015-12-30 14:00,12011.676844722,29983.779431944,1412.609044444,-2030.433535556
2015-12-30 13:00,12009.976333333,29983.781958333,1412.562504167,-2030.344336389
2015-12-30 12:00,12008.422113889,29983.784379444,1412.559564722,-2030.338860000
2015-12-30 11:00,12006.790053056,29983.786725556,1412.556281111,-2030.333166111
2015-12-30 10:00,12005.168414722,29983.789105556,1412.553241389,-2030.327604722
2015-12-30 09:00,12003.554052778,29983.791407500,1412.550176389,-2030.322065833
2015-12-30 08:00,12001.963193611,29983.793697778,1412.547038056,-2030.316496944
2015-12-30 07:00,12000.359186667,29983.795979444,1412.543659444,-2030.310769167
2015-12-30 06:00,11998.731365556,29983.798250000,1412.540553056,-2030.305180833
2015-12-30 05:00,11996.673337500,29983.800645278,1412.537677222,-2030.234871667
2015-12-30 04:00,11995.076158611,29983.803160833,1412.534142500,-2030.080300833
2015-12-30 03:00,11994.632600833,29983.805845556,1412.532314167,-2029.896721111
2015-12-30 02:00,11994.199966111,29983.808526667,1412.530814444,-2029.726528333
2015-12-30 01:00,11993.659561944,29983.811235556,1412.529790833,-2029.560751667
2015-12-30 00:00,11992.836747222,29983.813895556,1412.512395833,-2029.395321389
2015-12-29 23:00,11990.978639722,29983.816345000,1412.503928056,-2029.354888056
2015-12-29 22:00,11988.719365278,29983.680810556,1412.433274722,-2029.281367500
2015-12-29 21:00,11987.603251389,29982.500245000,1412.351822500,-2029.246331111
2015-12-29 20:00,11988.664201944,29980.971173889,1412.263726389,-2029.239948611
2015-12-29 19:00,11989.631714722,29979.561834722,1412.252943056,-2029.206673611
2015-12-29 18:00,11989.891198056,29978.424239444,1412.247357222,-2029.170253611
2015-12-29 17:00,11989.930619722,29977.884189722,1412.204130833,-2029.025954167
2015-12-29 16:00,11989.511855556,29977.744551389,1412.192975556,-2028.796236389
2015-12-29 15:00,11988.110262500,29977.744820556,1412.136735556,-2028.472756944
2015-12-29 14:00,11987.115835556,29977.747316944,1412.050683611,-2028.028054444
2015-12-29 13:00,11986.723035833,29977.749872500,1412.020809722,-2027.938855278
2015-12-29 12:00,11986.456858611,29977.752393611,1412.017686667,-2027.933286944
2015-12-29 11:00,11986.180661389,29977.754856389,1412.014605000,-2027.927701389
2015-12-29 10:00,11985.931301389,29977.757284722,1412.011614444,-2027.922154444
2015-12-29 09:00,11985.656595833,29977.759686111,1412.008488333,-2027.916530556
2015-12-29 08:00,11985.379886944,29977.762064722,1412.005147778,-2027.910740278
2015-12-29 07:00,11985.145119167,29977.764432222,1412.001958611,-2027.905116389
2015-12-29 06:00,11984.883362500,29977.766776667,1411.998835000,-2027.899510278
2015-12-29 05:00,11983.718612778,29977.769189444,1411.992587222,-2027.893814167
2015-12-29 04:00,11982.809664444,29977.771705000,1411.827259722,-2027.616132222
2015-12-29 03:00,11982.133751111,29977.774306667,1411.659345000,-2027.541341389
2015-12-29 02:00,11980.556477222,29977.776933611,1411.485645000,-2027.509715833
2015-12-29 01:00,11979.149139722,29977.779595556,1411.281665833,-2027.442355278
