"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","Hot Tub [kW]"
2015-12-31 23:00:00,0.861677500,-0.005136667,0.856920000,-0.005136667,-0.000000000,0.000379167
2015-12-31 22:00:00,0.966183889,-0.005155278,0.961555556,-0.005155278,-0.000000000,0.000526944
2015-12-31 21:00:00,0.907095556,-0.005156111,0.902364167,-0.005156111,-0.000000000,0.000424722
2015-12-31 20:00:00,0.829344167,-0.005162222,0.824436111,-0.005162222,-0.000000000,0.000254167
2015-12-31 19:00:00,0.915680278,-0.005119722,0.911053056,-0.005119722,-0.000000000,0.000492500
2015-12-31 18:00:00,0.836751111,0.034399722,0.834362222,0.034399722,0.037114722,0.000326111
2015-12-31 17:00:00,0.682403611,0.869685556,0.682883611,0.869685556,0.869685556,0.000480000
2015-12-31 16:00:00,0.451691944,1.657762500,0.452006111,1.657762500,1.657762500,0.000314167
2015-12-31 15:00:00,0.392489722,2.023229722,0.392767778,2.023229722,2.023229722,0.000278056
2015-12-31 14:00:00,0.437421389,2.166778611,0.438231944,2.166778611,2.166778611,0.000810556
2015-12-31 13:00:00,0.347329167,2.155058333,0.348408333,2.155058333,2.155058333,0.001079167
2015-12-31 12:00:00,0.442934167,1.288642222,0.443743611,1.288642222,1.288642222,0.000809444
2015-12-31 11:00:00,0.472567222,1.075608333,0.473555556,1.075608333,1.075608333,0.000988333
2015-12-31 10:00:00,0.382765278,0.796741111,0.383241944,0.796741111,0.796741111,0.000476667
2015-12-31 09:00:00,0.529032500,0.041516944,0.526101944,0.041516944,0.044384444,-0.000063056
2015-12-31 08:00:00,0.712514167,-0.005003889,0.707403333,-0.005003889,-0.000000000,-0.000106944
2015-12-31 07:00:00,0.783663889,-0.005048333,0.778026389,-0.005048333,-0.000000000,-0.000589167
2015-12-31 06:00:00,0.629893333,-0.005013889,0.624761389,-0.005013889,-0.000000000,-0.000118056
2015-12-31 05:00:00,0.587260278,-0.004980833,0.582352500,-0.004980833,-0.000000000,0.000073056
2015-12-31 04:00:00,0.559751944,-0.004999167,0.554864722,-0.004999167,-0.000000000,0.000111944
2015-12-31 03:00:00,0.419674722,-0.005032500,0.414968333,-0.005032500,-0.000000000,0.000326111
2015-12-31 02:00:00,0.391630000,-0.005111111,0.386998056,-0.005111111,-0.000000000,0.000479167
2015-12-31 01:00:00,0.764156667,-0.005083611,0.759901111,-0.005083611,-0.000000000,0.000828056
2015-12-31 00:00:00,0.903694167,-0.005098889,0.899048611,-0.005098889,-0.000000000,0.000453333
2015-12-30 23:00:00,0.859548889,-0.005091389,0.854852222,-0.005091389,-0.000000000,0.000394722
2015-12-30 22:00:00,0.965286389,-0.005105833,0.960722222,-0.005105833,-0.000000000,0.000541667
2015-12-30 21:00:00,1.817643333,-0.005144167,1.812646667,-0.005144167,-0.000000000,0.000147500
2015-12-30 20:00:00,0.915618056,-0.005116944,0.910798889,-0.005116944,-0.000000000,0.000297778
2015-12-30 19:00:00,0.941338333,-0.005086389,0.936686389,-0.005086389,-0.000000000,0.000434444
2015-12-30 18:00:00,0.816262222,0.028937778,0.813737778,0.028937778,0.031878889,0.000416667
2015-12-30 17:00:00,0.666754167,0.659386944,0.667129444,0.659386944,0.659386944,0.000375278
2015-12-30 16:00:00,0.456010000,1.718284167,0.456370833,1.718284167,1.718284167,0.000360833
2015-12-30 15:00:00,0.394953333,2.139334444,0.395207778,2.139334444,2.139334444,0.000254444
2015-12-30 14:00:00,0.382926667,2.253988611,0.383776111,2.253988611,2.253988611,0.000849444
2015-12-30 13:00:00,0.341012222,2.242361389,0.342239444,2.242361389,2.242361389,0.001227222
2015-12-30 12:00:00,0.419077500,1.727134722,0.420234722,1.727134722,1.727134722,0.001157222
2015-12-30 11:00:00,0.506094444,1.274441944,0.507058889,1.274441944,1.274441944,0.000964444
2015-12-30 10:00:00,0.414158611,0.431327500,0.414253056,0.431327500,0.431327500,0.000094444
2015-12-30 09:00:00,0.527927500,0.019072500,0.524321389,0.019072500,0.022618889,-0.000059722
2015-12-30 08:00:00,0.698684167,-0.004971667,0.693649444,-0.004971667,-0.000000000,-0.000063056
2015-12-30 07:00:00,0.769853611,-0.005009167,0.764245833,-0.005009167,-0.000000000,-0.000598611
2015-12-30 06:00:00,0.614530833,-0.004998611,0.609401944,-0.004998611,-0.000000000,-0.000130278
2015-12-30 05:00:00,0.615844444,-0.004968333,0.610969444,-0.004968333,-0.000000000,0.000093333
2015-12-30 04:00:00,0.541833889,-0.004974167,0.536870833,-0.004974167,-0.000000000,0.000011111
2015-12-30 03:00:00,0.488741667,-0.004970000,0.484071389,-0.004970000,-0.000000000,0.000299722
2015-12-30 02:00:00,0.395003056,-0.004995556,0.390524722,-0.004995556,-0.000000000,0.000517222
2015-12-30 01:00:00,0.784153889,-0.005093889,0.779924167,-0.005093889,-0.000000000,0.000864167
2015-12-30 00:00:00,0.902912222,-0.005084167,0.898218889,-0.005084167,-0.000000000,0.000390833
2015-12-29 23:00:00,0.874017778,-0.005097222,0.869402222,-0.005097222,-0.000000000,0.000481667
2015-12-29 22:00:00,3.252984444,-0.005188611,3.247736667,-0.005188611,-0.000000000,-0.000059167
2015-12-29 21:00:00,1.593639722,-0.005152222,1.588540278,-0.005152222,-0.000000000,0.000052778
2015-12-29 20:00:00,0.989940000,-0.005158333,0.985106667,-0.005158333,-0.000000000,0.000325000
2015-12-29 19:00:00,0.941663611,-0.005122778,0.937078056,-0.005122778,-0.000000000,0.000537222
2015-12-29 18:00:00,0.831583611,0.062083333,0.829622778,0.062083333,0.064382222,0.000338056
2015-12-29 17:00:00,0.641796111,0.995045278,0.642384167,0.995045278,0.995045278,0.000588056
2015-12-29 16:00:00,0.572189444,1.620430556,0.572683889,1.620430556,1.620430556,0.000494444
2015-12-29 15:00:00,0.414891111,1.903598333,0.415288056,1.903598333,1.903598333,0.000396944
2015-12-29 14:00:00,0.423574167,1.860627500,0.424321944,1.860627500,1.860627500,0.000747778
2015-12-29 13:00:00,0.399093056,2.180173056,0.400406667,2.180173056,2.180173056,0.001313611
2015-12-29 12:00:00,0.415537500,1.979820000,0.416904444,1.979820000,1.979820000,0.001366944
2015-12-29 11:00:00,0.368320556,1.209698333,0.369386944,1.209698333,1.209698333,0.001066389
2015-12-29 10:00:00,0.434558056,1.029776111,0.435224167,1.029776111,1.029776111,0.000666111
2015-12-29 09:00:00,0.545220000,0.077370278,0.541446111,0.077370278,0.081193889,0.000049722
2015-12-29 08:00:00,0.707355000,-0.004965556,0.702284444,-0.004965556,-0.000000000,-0.000105000
2015-12-29 07:00:00,0.756864167,-0.004970833,0.751213056,-0.004970833,-0.000000000,-0.000680278
2015-12-29 06:00:00,0.680032500,-0.004958611,0.675073056,-0.004958611,-0.000000000,-0.000000833
2015-12-29 05:00:00,0.611695278,-0.004985833,0.606813611,-0.004985833,-0.000000000,0.000104167
2015-12-29 04:00:00,0.505508889,-0.005018333,0.500435556,-0.005018333,-0.000000000,-0.000055000
2015-12-29 03:00:00,0.466355000,-0.005000278,0.461811389,-0.005000278,-0.000000000,0.000456667
2015-12-29 02:00:00,0.416898333,-0.005020278,0.412414444,-0.005020278,-0.000000000,0.000536389
2015-12-29 01:00:00,0.698175278,-0.005032778,0.693850278,-0.005032778,-0.000000000,0.000707778
2015-12-29 00:00:00,0.958848333,-0.005083056,0.954209444,-0.005083056,-0.000000000,0.000444167
2015-12-28 23:00:00,0.937232500,-0.005077222,0.932611111,-0.005077222,-0.000000000,0.000455833
2015-12-28 22:00:00,0.902380278,-0.005119444,0.897711944,-0.005119444,-0.000000000,0.000451111
2015-12-28 21:00:00,0.877169722,-0.005153333,0.872415000,-0.005153333,-0.000000000,0.000398611
2015-12-28 20:00:00,0.894509167,-0.005168611,0.889822500,-0.005168611,-0.000000000,0.000481944
2015-12-28 19:00:00,0.955035000,-0.005142222,0.950360000,-0.005142222,-0.000000000,0.000467222
2015-12-28 18:00:00,0.769301667,0.005352500,0.765803611,0.005352500,0.009150000,0.000299444
2015-12-28 17:00:00,0.724530000,0.601406944,0.724922500,0.601406944,0.601406944,0.000392500
2015-12-28 16:00:00,0.504560278,1.026040556,0.504798333,1.026040556,1.026040556,0.000238056
2015-12-28 15:00:00,0.380784167,1.776081111,0.380970000,1.776081111,1.776081111,0.000185833
2015-12-28 14:00:00,0.382173333,2.263901667,0.382909167,2.263901667,2.263901667,0.000735833
2015-12-28 13:00:00,0.445390556,2.262909167,0.446918333,2.262909167,2.262909167,0.001527778
2015-12-28 12:00:00,0.341743333,2.126911944,0.343231389,2.126911944,2.126911944,0.001488056
2015-12-28 11:00:00,0.313275556,1.776940278,0.314640278,1.776940278,1.776940278,0.001364722
2015-12-28 10:00:00,0.516880556,1.055912222,0.517765000,1.055912222,1.055912222,0.000884444
2015-12-28 09:00:00,0.560939444,0.090589444,0.557147500,0.090589444,0.094394167,0.000012778
2015-12-28 08:00:00,0.683260833,-0.004991111,0.677995278,-0.004991111,-0.000000000,-0.000274444
2015-12-28 07:00:00,0.806171944,-0.005002778,0.800571111,-0.005002778,-0.000000000,-0.000598056
2015-12-28 06:00:00,0.635592500,-0.004998889,0.630563889,-0.004998889,-0.000000000,-0.000029722
2015-12-28 05:00:00,0.609681111,-0.004980278,0.604690833,-0.004980278,-0.000000000,-0.000010000
2015-12-28 04:00:00,0.503860278,-0.004995556,0.499039444,-0.004995556,-0.000000000,0.000174722
