"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar A [kW]","Solar B [kW]","Wind [kW]"
2015-12-31 23:00:00,7.139606944,-0.007833333,7.147440278,-0.003444167,-0.002457778,-0.001931389
2015-12-31 22:00:00,6.344135556,-0.007850833,6.351986389,-0.003448611,-0.002468611,-0.001933611
2015-12-31 21:00:00,5.953063889,-0.007786944,5.960850833,-0.003417778,-0.002458889,-0.001910278
2015-12-31 20:00:00,6.133336389,-0.007422222,6.140758611,-0.003412500,-0.002509722,-0.001500000
2015-12-31 19:00:00,6.409657778,-0.008038611,6.417696389,-0.003465000,-0.002601667,-0.001971944
2015-12-31 18:00:00,7.734069167,-0.007860278,7.741929444,-0.003604444,-0.002868611,-0.001387222
2015-12-31 17:00:00,7.785196944,0.305450833,7.479746111,0.142940000,0.163950833,-0.001440000
2015-12-31 16:00:00,7.885060833,1.929205000,5.955855833,0.934078611,0.995238611,-0.000112222
2015-12-31 15:00:00,8.685899722,5.687556111,2.998343611,2.825044167,2.859474722,0.003037222
2015-12-31 14:00:00,8.314635278,7.662746944,0.651888333,3.666009167,3.993219722,0.003518056
2015-12-31 13:00:00,8.784882500,7.326376944,1.458505556,3.489144167,3.834509167,0.002723611
2015-12-31 12:00:00,9.112069722,6.398067222,2.714002500,3.122012500,3.273821944,0.002232778
2015-12-31 11:00:00,9.808714722,4.451483611,5.357231111,2.160775000,2.289815556,0.000893056
2015-12-31 10:00:00,10.287180833,1.858879167,8.428301667,0.876883889,0.983120833,-0.001125556
2015-12-31 09:00:00,10.253818056,0.257411389,9.996406667,0.122013333,0.136325556,-0.000927500
2015-12-31 08:00:00,7.839491111,-0.008646111,7.848137222,-0.003876111,-0.003341667,-0.001428333
2015-12-31 07:00:00,7.112895556,-0.007417500,7.120313056,-0.003375556,-0.002464444,-0.001577500
2015-12-31 06:00:00,5.798074167,-0.007391667,5.805465833,-0.003371944,-0.002433056,-0.001586667
2015-12-31 05:00:00,6.175646944,-0.007494444,6.183141389,-0.003385000,-0.002455556,-0.001653889
2015-12-31 04:00:00,5.965528611,-0.007445833,5.972974444,-0.003370000,-0.002451667,-0.001624167
2015-12-31 03:00:00,5.630749167,-0.007436944,5.638186111,-0.003387500,-0.002471667,-0.001577778
2015-12-31 02:00:00,5.979242500,-0.006955278,5.986197778,-0.003374722,-0.002456389,-0.001124167
2015-12-31 01:00:00,5.814951389,-0.007443611,5.822395000,-0.003382222,-0.002471944,-0.001589444
2015-12-31 00:00:00,5.580601667,-0.007418889,5.588020556,-0.003517500,-0.002584444,-0.001316944
2015-12-30 23:00:00,7.253341667,-0.007942500,7.261284167,-0.003508611,-0.002597222,-0.001836667
2015-12-30 22:00:00,6.671331944,-0.008006944,6.679338889,-0.003487500,-0.002568056,-0.001951389
2015-12-30 21:00:00,6.339963056,-0.007823889,6.347786944,-0.003436111,-0.002540278,-0.001847500
2015-12-30 20:00:00,6.350253333,-0.007372500,6.357625833,-0.003449722,-0.002516944,-0.001405833
2015-12-30 19:00:00,6.458827222,-0.008061389,6.466888611,-0.003564167,-0.002604444,-0.001892778
2015-12-30 18:00:00,12.120181944,-0.007502500,12.127684444,-0.003527222,-0.002621944,-0.001353333
2015-12-30 17:00:00,10.773118889,0.127793333,10.645325556,0.058990833,0.070202222,-0.001399722
2015-12-30 16:00:00,10.361567778,1.874049167,8.487518611,0.858372500,1.015704444,-0.000027778
2015-12-30 15:00:00,8.905688333,3.389290556,5.516397778,1.477767222,1.910835278,0.000688056
2015-12-30 14:00:00,8.932445833,2.312447778,6.619998056,0.902068056,1.410749722,-0.000370000
2015-12-30 13:00:00,9.654579444,0.896681944,8.757897500,0.439413333,0.457883333,-0.000614722
2015-12-30 12:00:00,10.539743333,0.688127222,9.851616111,0.336051111,0.352369444,-0.000293333
2015-12-30 11:00:00,10.884089167,0.416080278,10.468008889,0.201811111,0.215831667,-0.001562500
2015-12-30 10:00:00,10.853919444,0.119141944,10.734777500,0.055132778,0.065743889,-0.001734722
2015-12-30 09:00:00,10.574248889,0.019752500,10.554496389,0.008824167,0.011517500,-0.000589167
2015-12-30 08:00:00,8.280271944,-0.007490556,8.287762500,-0.003375278,-0.002500278,-0.001615000
2015-12-30 07:00:00,6.838937778,-0.007433333,6.846371111,-0.003363611,-0.002466389,-0.001603333
2015-12-30 06:00:00,6.215510000,-0.007416944,6.222926944,-0.003395278,-0.002451944,-0.001569722
2015-12-30 05:00:00,6.582177222,-0.007463333,6.589640556,-0.003398333,-0.002472778,-0.001592222
2015-12-30 04:00:00,6.289756111,-0.007410000,6.297166111,-0.003361667,-0.002452500,-0.001595833
2015-12-30 03:00:00,6.318056389,-0.007458611,6.325515000,-0.003366111,-0.002459167,-0.001633333
2015-12-30 02:00:00,6.338212778,-0.007025278,6.345238056,-0.003361111,-0.002463611,-0.001200556
