"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","A/C [kW]","A/C- [kW]"
2015-12-31 23:00:00,0.937486111,-0.005128056,0.932358056,-0.005128056,-0.000000000,0.000060278,0.000539444
2015-12-31 22:00:00,0.902528889,-0.005851389,0.896677500,-0.005851389,-0.000000000,-0.000948611,0.001003611
2015-12-31 21:00:00,0.733185278,-0.005617778,0.727567500,-0.005617778,-0.000000000,-0.000923889,0.000923889
2015-12-31 20:00:00,0.786160000,-0.005688056,0.780471944,-0.005688056,-0.000000000,-0.000979722,0.000979722
2015-12-31 19:00:00,1.044047500,-0.005548611,1.038498889,-0.005548611,-0.000000000,-0.000376944,0.000603611
2015-12-31 18:00:00,0.908363611,0.106672778,0.905852500,0.106672778,0.109183889,-0.001306389,0.001306389
2015-12-31 17:00:00,0.849168611,1.180977222,0.849168611,1.180977222,1.180977222,-0.001799167,0.001799167
2015-12-31 16:00:00,0.882230278,1.859881667,0.882230278,1.859881667,1.859881667,-0.001645833,0.001645833
2015-12-31 15:00:00,1.145881389,2.042254722,1.145881389,2.042254722,2.042254722,-0.000985000,0.001230278
2015-12-31 14:00:00,1.094942222,1.990525833,1.094942222,1.990525833,1.990525833,-0.000986111,0.001062222
2015-12-31 13:00:00,0.849032500,1.805648333,0.849032500,1.805648333,1.805648333,-0.001531944,0.001531944
2015-12-31 12:00:00,0.846888333,1.081668056,0.846888333,1.081668056,1.081668056,-0.001118889,0.001137778
2015-12-31 11:00:00,0.825036944,0.651055278,0.825036944,0.651055278,0.651055278,-0.001191389,0.001191389
2015-12-31 10:00:00,1.003001667,0.278370278,1.003001667,0.278370278,0.278370278,-0.000867778,0.001055278
2015-12-31 09:00:00,0.652968056,0.017510000,0.648925000,0.017510000,0.021553056,-0.001168333,0.001168333
2015-12-31 08:00:00,0.833787500,-0.005721389,0.828066111,-0.005721389,-0.000000000,-0.001172222,0.001172222
2015-12-31 07:00:00,1.238355556,-0.005984167,1.232371389,-0.005984167,-0.000000000,-0.000745000,0.000930278
2015-12-31 06:00:00,0.947565278,-0.005116944,0.942448333,-0.005116944,-0.000000000,-0.000128333,0.000533333
2015-12-31 05:00:00,0.993847500,-0.005036111,0.988811389,-0.005036111,-0.000000000,0.000030278,0.000466111
2015-12-31 04:00:00,1.170049444,-0.005340556,1.164708889,-0.005340556,-0.000000000,-0.000187500,0.000569444
2015-12-31 03:00:00,1.086287500,-0.005105278,1.081182222,-0.005105278,-0.000000000,-0.000043056,0.000495278
2015-12-31 02:00:00,1.018561111,-0.005000000,1.013561111,-0.005000000,-0.000000000,0.000098889,0.000441111
