"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","Solar Micro [kW]","Solar Micro+ [kW]"
2015-12-31 23:00:00,1.430013333,-0.015144722,1.430013333,-0.005880556,-0.000000000,-0.009264167,-0.000000000
2015-12-31 22:00:00,1.496402500,-0.018467500,1.496402500,-0.008297778,-0.000000000,-0.010169722,-0.000000000
2015-12-31 21:00:00,1.556791667,-0.018550000,1.556791667,-0.008303333,-0.000000000,-0.010246667,-0.000000000
2015-12-31 20:00:00,2.103199722,-0.018124444,2.103199722,-0.007976944,-0.000000000,-0.010147500,-0.000000000
2015-12-31 19:00:00,2.210308056,-0.017791111,2.210308056,-0.007762778,-0.000000000,-0.010028333,-0.000000000
2015-12-31 18:00:00,1.369917778,-0.004225556,1.361060833,-0.009011111,-0.000000000,0.004785556,0.008856944
2015-12-31 17:00:00,1.064431389,0.107734444,0.946449722,-0.009325833,0.000921389,0.117060278,0.117060278
2015-12-31 16:00:00,1.293680833,0.149792222,1.139138333,-0.001541389,0.003008889,0.151333611,0.151533611
2015-12-31 15:00:00,3.677476944,0.421538611,3.248183611,-0.001150278,0.006604444,0.422688889,0.422688889
2015-12-31 14:00:00,0.888869722,0.782743333,0.105032778,0.037808889,0.038902500,0.744934444,0.744934444
2015-12-31 13:00:00,1.106719444,0.431637778,0.675081667,0.029739444,0.029739444,0.401898333,0.401898333
2015-12-31 12:00:00,0.782091389,0.805132778,-0.023516667,0.044933889,0.045159722,0.760198889,0.760448333
2015-12-31 11:00:00,0.280616111,0.014701667,0.263307778,0.016381111,0.016801667,-0.001679444,0.000506667
2015-12-31 10:00:00,0.309657778,0.005257778,0.292402500,-0.008964444,-0.000000000,0.014222222,0.017255278
2015-12-31 09:00:00,0.884094167,-0.005943056,0.879711667,-0.006003889,-0.000000000,0.000060833,0.004382500
2015-12-31 08:00:00,0.803645000,-0.015308333,0.803645000,-0.006098611,-0.000000000,-0.009209722,-0.000000000
2015-12-31 07:00:00,0.859672500,-0.015224722,0.859672500,-0.006033889,-0.000000000,-0.009190833,-0.000000000
2015-12-31 06:00:00,0.821673611,-0.015339444,0.821673611,-0.006081944,-0.000000000,-0.009257500,-0.000000000
2015-12-31 05:00:00,0.898635833,-0.015476944,0.898635833,-0.006174722,-0.000000000,-0.009302222,-0.000000000
2015-12-31 04:00:00,0.894644167,-0.015323333,0.894644167,-0.006037778,-0.000000000,-0.009285556,-0.000000000
2015-12-31 03:00:00,0.873152222,-0.015372500,0.873152222,-0.006085278,-0.000000000,-0.009287222,-0.000000000
2015-12-31 02:00:00,0.833879167,-0.015563611,0.833879167,-0.006164167,-0.000000000,-0.009399444,-0.000000000
2015-12-31 01:00:00,0.795944722,-0.016527778,0.795944722,-0.006851111,-0.000000000,-0.009676667,-0.000000000
2015-12-31 00:00:00,1.980797500,-0.018741667,1.980797500,-0.008533056,-0.000000000,-0.010208611,-0.000000000
2015-12-30 23:00:00,1.949291111,-0.018759722,1.949291111,-0.008564167,-0.000000000,-0.010195556,-0.000000000
2015-12-30 22:00:00,1.937220556,-0.018556667,1.937220556,-0.008467222,-0.000000000,-0.010089444,-0.000000000
2015-12-30 21:00:00,1.345877500,-0.018271944,1.345877500,-0.008345833,-0.000000000,-0.009926111,-0.000000000
2015-12-30 20:00:00,4.273221389,-0.018441111,4.273221389,-0.008502222,-0.000000000,-0.009938889,-0.000000000
2015-12-30 19:00:00,4.348422778,-0.018449444,4.348422778,-0.008546667,-0.000000000,-0.009902778,-0.000000000
2015-12-30 18:00:00,1.389406944,-0.008766944,1.385134722,-0.008706667,-0.000000000,-0.000060278,0.004272222
2015-12-30 17:00:00,1.205708611,0.021493611,1.172190278,-0.012024722,-0.000000000,0.033518333,0.033518333
2015-12-30 16:00:00,0.856043889,0.093406111,0.748670833,-0.012335000,0.001631944,0.105741111,0.105741111
2015-12-30 15:00:00,0.883001111,0.632619722,0.244484167,-0.002786667,0.003110556,0.635406389,0.635406389
2015-12-30 14:00:00,0.747450000,0.780503056,-0.040191111,-0.001882222,0.005255833,0.782385278,0.782385278
2015-12-30 13:00:00,0.614570833,0.895202222,-0.281586667,0.030883611,0.031838889,0.864318611,0.864318611
2015-12-30 12:00:00,0.667353889,0.686594444,-0.019840278,0.017711944,0.018311667,0.668882500,0.668882500
2015-12-30 11:00:00,0.594373333,0.404010278,0.184765833,-0.001966667,0.003630556,0.405976944,0.405976944
2015-12-30 10:00:00,0.582633333,0.108113611,0.462915000,-0.011604722,-0.000000000,0.119718333,0.119718333
2015-12-30 09:00:00,0.792563611,0.002960278,0.781366389,-0.004334167,-0.000000000,0.007294444,0.011197222
2015-12-30 08:00:00,0.770704444,-0.012913889,0.770704444,-0.004356389,-0.000000000,-0.008557500,-0.000000000
2015-12-30 07:00:00,0.749044722,-0.012921389,0.749044722,-0.004346944,-0.000000000,-0.008574444,-0.000000000
2015-12-30 06:00:00,0.573665833,-0.012867778,0.573665833,-0.004284722,-0.000000000,-0.008583056,-0.000000000
2015-12-30 05:00:00,0.518561944,-0.012834722,0.518561944,-0.004259444,-0.000000000,-0.008575278,-0.000000000
2015-12-30 04:00:00,0.617092500,-0.016249444,0.617092500,-0.006848889,-0.000000000,-0.009400556,-0.000000000
2015-12-30 03:00:00,0.685444444,-0.017480278,0.685444444,-0.007783889,-0.000000000,-0.009696389,-0.000000000
2015-12-30 02:00:00,0.747877500,-0.016615833,0.747877500,-0.007104444,-0.000000000,-0.009511389,-0.000000000
2015-12-30 01:00:00,0.789102500,-0.016352222,0.789102500,-0.006780556,-0.000000000,-0.009571667,-0.000000000
2015-12-30 00:00:00,1.287857500,-0.017694444,1.287857500,-0.007712222,-0.000000000,-0.009982222,-0.000000000
2015-12-29 23:00:00,1.550058056,-0.020436667,1.550058056,-0.009828333,-0.000000000,-0.010608333,-0.000000000
2015-12-29 22:00:00,1.518014167,-0.020444722,1.518014167,-0.009805833,-0.000000000,-0.010638889,-0.000000000
2015-12-29 21:00:00,1.631175000,-0.020411111,1.631175000,-0.009823611,-0.000000000,-0.010587500,-0.000000000
2015-12-29 20:00:00,1.909806111,-0.020521944,1.909806111,-0.009913333,-0.000000000,-0.010608611,-0.000000000
2015-12-29 19:00:00,1.374225556,-0.020306944,1.374225556,-0.009892222,-0.000000000,-0.010414722,-0.000000000
2015-12-29 18:00:00,1.005106389,-0.013593611,1.003886667,-0.009540556,-0.000000000,-0.004053056,0.001219722
2015-12-29 17:00:00,0.837487500,0.016572500,0.811228333,-0.009686667,-0.000000000,0.026259167,0.026259167
2015-12-29 16:00:00,0.884086944,0.066708611,0.809074444,-0.007814444,0.000489444,0.074523056,0.074523056
2015-12-29 15:00:00,0.897499444,0.693204722,0.191411111,-0.012427778,0.000455833,0.705632500,0.705632500
2015-12-29 14:00:00,1.319775556,0.806136944,0.506207778,0.005695000,0.013125833,0.800441944,0.800441944
2015-12-29 13:00:00,1.277570556,0.648103056,0.629034444,0.017181944,0.017615000,0.630921111,0.630921111
2015-12-29 12:00:00,1.128730833,0.461337778,0.661513611,-0.001621667,0.004257778,0.462959444,0.462959444
2015-12-29 11:00:00,0.976283056,0.708608333,0.262622222,-0.001698056,0.003354444,0.710306389,0.710306389
2015-12-29 10:00:00,0.696334167,0.288389167,0.397497222,-0.010447778,-0.000000000,0.298836944,0.298836944
2015-12-29 09:00:00,0.739628333,-0.008019722,0.737010278,-0.006529167,-0.000000000,-0.001490556,0.002618056
2015-12-29 08:00:00,0.805126111,-0.015965556,0.805126111,-0.006684722,-0.000000000,-0.009280833,-0.000000000
2015-12-29 07:00:00,0.747523333,-0.015966389,0.747523333,-0.006649722,-0.000000000,-0.009316667,-0.000000000
2015-12-29 06:00:00,0.495995000,-0.015893889,0.495995000,-0.006590833,-0.000000000,-0.009303056,-0.000000000
2015-12-29 05:00:00,0.571931389,-0.015914167,0.571931389,-0.006560556,-0.000000000,-0.009353611,-0.000000000
2015-12-29 04:00:00,0.633093056,-0.016054167,0.633093056,-0.006644167,-0.000000000,-0.009410000,-0.000000000
2015-12-29 03:00:00,0.712819722,-0.016151667,0.712819722,-0.006704167,-0.000000000,-0.009447500,-0.000000000
2015-12-29 02:00:00,0.799747778,-0.016421389,0.799747778,-0.006910000,-0.000000000,-0.009511389,-0.000000000
2015-12-29 01:00:00,0.752177222,-0.016732500,0.752177222,-0.007135278,-0.000000000,-0.009597222,-0.000000000
2015-12-29 00:00:00,1.185400278,-0.017301667,1.185400278,-0.007418333,-0.000000000,-0.009883333,-0.000000000
2015-12-28 23:00:00,1.297734722,-0.017762500,1.297734722,-0.007810000,-0.000000000,-0.009952500,-0.000000000
2015-12-28 22:00:00,1.266070833,-0.017736667,1.266070833,-0.007818056,-0.000000000,-0.009918611,-0.000000000
2015-12-28 21:00:00,1.208810278,-0.017637500,1.208810278,-0.007787500,-0.000000000,-0.009850000,-0.000000000
2015-12-28 20:00:00,1.259266389,-0.017690000,1.259266389,-0.007863611,-0.000000000,-0.009826389,-0.000000000
2015-12-28 19:00:00,1.414979444,-0.020570278,1.414979444,-0.010035833,-0.000000000,-0.010534444,-0.000000000
2015-12-28 18:00:00,1.177953889,-0.013897222,1.177587500,-0.008439167,-0.000000000,-0.005458056,0.000366389
2015-12-28 17:00:00,1.155805278,0.043201389,1.102403056,-0.010200833,-0.000000000,0.053402222,0.053402222
2015-12-28 16:00:00,0.969046111,0.121571667,0.837007500,-0.010383333,0.000083611,0.131955000,0.131955000
