"Date & Time","Usage [kW]","Generation [kW]","Suite A [kW]","Solar [kW]","Solar+ [kW]","Suite D [kW]","Utility Feed [kW]","Suite C [kW]","Suite B [kW]"
2015-12-31 23:00:00,1.687973333,-0.004313333,-0.240622222,-0.004313333,-0.000000000,-0.260505833,1.687973333,0.001151111,0.034762778
2015-12-31 22:00:00,1.736871944,-0.004279167,-0.332181944,-0.004279167,-0.000000000,-0.293053333,1.736871944,-0.022064444,0.025746111
2015-12-31 21:00:00,1.939565833,-0.004294444,-0.304459444,-0.004294444,-0.000000000,-0.417316667,1.939565833,-0.000149444,0.022798889
2015-12-31 20:00:00,1.802870000,-0.004251944,-0.323674722,-0.004251944,-0.000000000,-0.272580000,1.802870000,0.000745556,0.035155000
2015-12-31 19:00:00,1.717533056,-0.004376667,-0.291426944,-0.004376667,-0.000000000,-0.352783611,1.717533056,-0.021221667,0.025427500
2015-12-31 18:00:00,1.679557222,0.046654167,-0.231055833,0.046654167,-0.000000000,-0.152993333,1.679557222,-0.003402778,0.022726111
2015-12-31 17:00:00,1.242979167,0.372531389,-0.265738611,0.372531389,-0.000000000,-0.038087778,1.242979167,-0.000784444,0.032833056
2015-12-31 16:00:00,0.797057222,0.835752222,-0.269225000,0.835752222,-0.000000000,-0.210266667,0.797057222,-0.024205556,0.022240833
2015-12-31 15:00:00,-0.912101389,2.592832222,-0.267249722,2.592832222,-0.000000000,-0.081506389,-0.912101389,-0.005841389,0.023673889
2015-12-31 14:00:00,-0.376263056,1.994108056,-0.272079444,1.994108056,-0.000000000,-0.034038056,-0.376263056,-0.003577778,0.033174167
2015-12-31 13:00:00,-0.266080000,1.951991389,-0.213907778,1.951991389,-0.000000000,-0.205710556,-0.266080000,-0.026441667,0.021951667
2015-12-31 12:00:00,-0.700480556,2.575082222,-0.208790833,2.575082222,-0.000000000,-0.127483889,-0.700480556,-0.006231944,0.020450556
2015-12-31 11:00:00,-1.003864722,2.640832500,-0.227107500,2.640832500,-0.000000000,-0.035227500,-1.003864722,-0.006276944,0.032059167
2015-12-31 10:00:00,0.394577778,1.181583889,-0.236613333,1.181583889,-0.000000000,-0.036989167,0.394577778,-0.002815556,0.022599722
2015-12-31 09:00:00,1.770351667,0.044658333,-0.244546389,0.044658333,-0.000000000,-0.049828889,1.770351667,-0.019983333,0.021493056
2015-12-31 08:00:00,1.843130000,-0.004361944,-0.239091667,-0.004361944,-0.000000000,-0.038036944,1.843130000,0.000507500,0.031164722
2015-12-31 07:00:00,1.677935556,-0.004322500,-0.244553889,-0.004322500,-0.000000000,-0.036668889,1.677935556,0.000156944,0.022228889
2015-12-31 06:00:00,1.546370278,-0.004349722,-0.239450000,-0.004349722,-0.000000000,-0.047086389,1.546370278,-0.020925000,0.023165000
2015-12-31 05:00:00,1.529439167,-0.004348333,-0.229892500,-0.004348333,-0.000000000,-0.039921111,1.529439167,-0.000102500,0.032297778
