"Date & Time","use [kW]","gen [kW]","Solar [kW]","Solar+ [kW]","Grid [kW]"
2015-12-31 23:00:00,109.912471389,-0.001174167,-0.001174167,-0.000000000,109.913645556
2015-12-31 22:00:00,107.018442778,-0.001192500,-0.001192500,-0.000000000,107.019635278
2015-12-31 21:00:00,104.212824167,-0.001194444,-0.001194444,-0.000000000,104.214018611
2015-12-31 20:00:00,102.219038333,-0.001197500,-0.001197500,-0.000000000,102.220235833
2015-12-31 19:00:00,99.460004722,-0.002911111,-0.002911111,-0.000000000,99.462915833
2015-12-31 18:00:00,94.901669167,0.071416667,0.071416667,0.094523889,94.830252500
2015-12-31 17:00:00,95.819025556,0.975898611,0.975898611,0.975898611,94.843126944
2015-12-31 16:00:00,106.480030556,1.507378889,1.507378889,1.507378889,104.972651667
2015-12-31 15:00:00,117.881070278,1.740035000,1.740035000,1.740035000,116.141035278
2015-12-31 14:00:00,128.204373889,1.793276111,1.793276111,1.793276111,126.411097778
2015-12-31 13:00:00,135.093251667,1.670888333,1.670888333,1.670888333,133.422363333
2015-12-31 12:00:00,140.677997778,1.404369722,1.404369722,1.404369722,139.273628056
2015-12-31 11:00:00,143.629446111,0.865178333,0.865178333,0.865178333,142.764267778
2015-12-31 10:00:00,144.039365278,0.351284444,0.351284444,0.351284444,143.688080833
2015-12-31 09:00:00,149.082198056,-0.007796944,-0.007796944,0.005058333,149.089995000
2015-12-31 08:00:00,151.745950278,-0.001160556,-0.001160556,-0.000000000,151.747110833
2015-12-31 07:00:00,137.854847222,-0.001155556,-0.001155556,-0.000000000,137.856002778
2015-12-31 06:00:00,123.449753889,-0.001202500,-0.001202500,-0.000000000,123.450956389
2015-12-31 05:00:00,122.162601111,-0.001207778,-0.001207778,-0.000000000,122.163808889
2015-12-31 04:00:00,118.701751111,-0.001170000,-0.001170000,-0.000000000,118.702921111
2015-12-31 03:00:00,118.461288056,-0.001169167,-0.001169167,-0.000000000,118.462457222
2015-12-31 02:00:00,119.993104444,-0.001151667,-0.001151667,-0.000000000,119.994256111
2015-12-31 01:00:00,110.713378611,-0.001158611,-0.001158611,-0.000000000,110.714537222
2015-12-31 00:00:00,108.933701111,-0.001194444,-0.001194444,-0.000000000,108.934895556
2015-12-30 23:00:00,110.064634167,-0.001207778,-0.001207778,-0.000000000,110.065841944
2015-12-30 22:00:00,115.052904444,-0.001169444,-0.001169444,-0.000000000,115.054073889
2015-12-30 21:00:00,117.248013611,-0.001157778,-0.001157778,-0.000000000,117.249171389
2015-12-30 20:00:00,114.709945000,-0.001179444,-0.001179444,-0.000000000,114.711124444
2015-12-30 19:00:00,113.135496667,-0.001201389,-0.001201389,-0.000000000,113.136698056
2015-12-30 18:00:00,100.701713611,0.025696389,0.025696389,0.052192778,100.676017222
2015-12-30 17:00:00,100.341970000,0.888722778,0.888722778,0.888722778,99.453247222
2015-12-30 16:00:00,115.517688333,1.378000556,1.378000556,1.378000556,114.139687778
2015-12-30 15:00:00,123.459023056,1.518405833,1.518405833,1.518405833,121.940617222
2015-12-30 14:00:00,122.124279167,1.356733611,1.356733611,1.356733611,120.767545556
2015-12-30 13:00:00,130.621365556,1.005753333,1.005753333,1.005753333,129.615612222
2015-12-30 12:00:00,132.452292222,0.748407778,0.748407778,0.748407778,131.703884444
2015-12-30 11:00:00,133.423513889,0.307995000,0.307995000,0.307995000,133.115518889
2015-12-30 10:00:00,136.499242778,0.133469167,0.133469167,0.133592778,136.365773611
2015-12-30 09:00:00,141.740969167,-0.009510833,-0.009510833,0.000004444,141.750480000
2015-12-30 08:00:00,149.838959444,-0.001176389,-0.001176389,-0.000000000,149.840135833
2015-12-30 07:00:00,142.238431944,-0.001198056,-0.001198056,-0.000000000,142.239630000
2015-12-30 06:00:00,128.102871389,-0.001166389,-0.001166389,-0.000000000,128.104037778
2015-12-30 05:00:00,124.977106111,-0.001166111,-0.001166111,-0.000000000,124.978272222
2015-12-30 04:00:00,124.469405278,-0.001167500,-0.001167500,-0.000000000,124.470572778
2015-12-30 03:00:00,122.830930000,-0.001180278,-0.001180278,-0.000000000,122.832110278
2015-12-30 02:00:00,121.347315556,-0.001178333,-0.001178333,-0.000000000,121.348493889
2015-12-30 01:00:00,112.132086389,-0.001184444,-0.001184444,-0.000000000,112.133270833
2015-12-30 00:00:00,107.376203333,-0.001176944,-0.001176944,-0.000000000,107.377380278
2015-12-29 23:00:00,110.900878333,-0.001191389,-0.001191389,-0.000000000,110.902069722
2015-12-29 22:00:00,110.852532778,-0.001183889,-0.001183889,-0.000000000,110.853716667
2015-12-29 21:00:00,112.403942500,-0.001194167,-0.001194167,-0.000000000,112.405136667
2015-12-29 20:00:00,112.139418333,-0.001191111,-0.001191111,-0.000000000,112.140609444
2015-12-29 19:00:00,111.565861389,-0.001196111,-0.001196111,-0.000000000,111.567057500
2015-12-29 18:00:00,103.532245000,0.024328611,0.024328611,0.049653333,103.507916389
2015-12-29 17:00:00,111.007583056,0.435240833,0.435240833,0.435240833,110.572342222
2015-12-29 16:00:00,117.697724444,0.694452778,0.694452778,0.694452778,117.003271667
2015-12-29 15:00:00,123.839721111,0.757663333,0.757663333,0.757663333,123.082057778
2015-12-29 14:00:00,123.224493333,0.737708889,0.737708889,0.737708889,122.486784444
2015-12-29 13:00:00,137.693303333,0.688535556,0.688535556,0.688535556,137.004767778
2015-12-29 12:00:00,140.769021111,0.464536389,0.464536389,0.464536389,140.304484722
2015-12-29 11:00:00,144.629208889,0.318355556,0.318355556,0.318355556,144.310853333
2015-12-29 10:00:00,144.603362222,0.131375556,0.131375556,0.131389444,144.471986667
2015-12-29 09:00:00,142.724958056,-0.009428611,-0.009428611,0.000917222,142.734386667
2015-12-29 08:00:00,145.406806667,-0.001156667,-0.001156667,-0.000000000,145.407963333
2015-12-29 07:00:00,137.976161667,-0.001154167,-0.001154167,-0.000000000,137.977315833
2015-12-29 06:00:00,124.552148611,-0.001161944,-0.001161944,-0.000000000,124.553310556
2015-12-29 05:00:00,122.952407500,-0.001175000,-0.001175000,-0.000000000,122.953582500
2015-12-29 04:00:00,120.684401389,-0.001177500,-0.001177500,-0.000000000,120.685578889
2015-12-29 03:00:00,119.714890556,-0.001198056,-0.001198056,-0.000000000,119.716088611
2015-12-29 02:00:00,117.099264167,-0.001171944,-0.001171944,-0.000000000,117.100436111
2015-12-29 01:00:00,109.056713056,-0.001168611,-0.001168611,-0.000000000,109.057881667
2015-12-29 00:00:00,110.128686667,-0.001184444,-0.001184444,-0.000000000,110.129871111
2015-12-28 23:00:00,109.847397222,-0.001210556,-0.001210556,-0.000000000,109.848607778
2015-12-28 22:00:00,109.442019722,-0.001227222,-0.001227222,-0.000000000,109.443246944
2015-12-28 21:00:00,109.978085556,-0.001240000,-0.001240000,-0.000000000,109.979325556
2015-12-28 20:00:00,112.119153333,-0.001215556,-0.001215556,-0.000000000,112.120368889
2015-12-28 19:00:00,106.290211389,-0.001230556,-0.001230556,-0.000000000,106.291441944
2015-12-28 18:00:00,96.472855278,-0.030050278,-0.030050278,0.002845556,96.502905556
2015-12-28 17:00:00,102.739395278,0.210366111,0.210366111,0.210366111,102.529029167
2015-12-28 16:00:00,121.173559722,0.315644167,0.315644167,0.315645278,120.857915556
2015-12-28 15:00:00,128.723643333,0.418107222,0.418107222,0.418107222,128.305536111
2015-12-28 14:00:00,134.161471111,0.167280000,0.167280000,0.167280000,133.994191111
2015-12-28 13:00:00,144.513916111,0.118162500,0.118162500,0.118162500,144.395753611
2015-12-28 12:00:00,146.066038056,0.081700556,0.081700556,0.081700556,145.984337500
2015-12-28 11:00:00,141.735148889,0.030968333,0.030968333,0.031006111,141.704180556
2015-12-28 10:00:00,137.474210556,-0.020616111,-0.020616111,0.000079444,137.494826667
2015-12-28 09:00:00,145.374055556,-0.013718611,-0.013718611,-0.000000000,145.387774167
2015-12-28 08:00:00,150.086273889,-0.001235833,-0.001235833,-0.000000000,150.087509722
2015-12-28 07:00:00,140.002185556,-0.001206944,-0.001206944,-0.000000000,140.003392500
2015-12-28 06:00:00,129.205661111,-0.001197500,-0.001197500,-0.000000000,129.206858611
2015-12-28 05:00:00,123.152116944,-0.001205278,-0.001205278,-0.000000000,123.153322222
2015-12-28 04:00:00,127.920171944,-0.001214167,-0.001214167,-0.000000000,127.921386111
2015-12-28 03:00:00,121.015120000,-0.001197500,-0.001197500,-0.000000000,121.016317500
2015-12-28 02:00:00,124.030721667,-0.001227222,-0.001227222,-0.000000000,124.031948889
2015-12-28 01:00:00,116.446500556,-0.001245833,-0.001245833,-0.000000000,116.447746389
2015-12-28 00:00:00,109.495545556,-0.001225000,-0.001225000,-0.000000000,109.496770556
2015-12-27 23:00:00,113.451777500,-0.001241944,-0.001241944,-0.000000000,113.453019444
2015-12-27 22:00:00,120.089340556,-0.001262500,-0.001262500,-0.000000000,120.090603056
2015-12-27 21:00:00,109.992902500,-0.001238333,-0.001238333,-0.000000000,109.994140833
2015-12-27 20:00:00,109.037760833,-0.001225278,-0.001225278,-0.000000000,109.038986111
2015-12-27 19:00:00,102.834430278,-0.001251667,-0.001251667,-0.000000000,102.835681944
2015-12-27 18:00:00,97.818266389,-0.032935278,-0.032935278,0.000000278,97.851201667
2015-12-27 17:00:00,91.380796111,0.012561667,0.012561667,0.015002500,91.368234444
2015-12-27 16:00:00,99.718501944,0.062988889,0.062988889,0.062990556,99.655513056
2015-12-27 15:00:00,92.729568333,0.090682222,0.090682222,0.090682222,92.638886111
2015-12-27 14:00:00,90.010068889,0.095908611,0.095908611,0.095908611,89.914160278
2015-12-27 13:00:00,107.169137500,0.081991944,0.081991944,0.081991944,107.087145556
2015-12-27 12:00:00,107.314154722,0.049806111,0.049806111,0.049813889,107.264348611
2015-12-27 11:00:00,110.058646944,0.007647222,0.007647222,0.010161667,110.050999722
2015-12-27 10:00:00,107.505650000,-0.022743611,-0.022743611,0.000003611,107.528393611
2015-12-27 09:00:00,114.312032500,-0.002427500,-0.002427500,-0.000000000,114.314460000
2015-12-27 08:00:00,119.868569722,-0.001228056,-0.001228056,-0.000000000,119.869797778
2015-12-27 07:00:00,114.458866111,-0.001218333,-0.001218333,-0.000000000,114.460084444
2015-12-27 06:00:00,115.957646389,-0.001223056,-0.001223056,-0.000000000,115.958869444
2015-12-27 05:00:00,119.456245833,-0.001219722,-0.001219722,-0.000000000,119.457465556
2015-12-27 04:00:00,114.009556667,-0.001226944,-0.001226944,-0.000000000,114.010783611
2015-12-27 03:00:00,116.929827500,-0.001253611,-0.001253611,-0.000000000,116.931081111
2015-12-27 02:00:00,115.742972778,-0.001239167,-0.001239167,-0.000000000,115.744211944
2015-12-27 01:00:00,115.209608333,-0.001249722,-0.001249722,-0.000000000,115.210858056
2015-12-27 00:00:00,112.225493333,-0.001246389,-0.001246389,-0.000000000,112.226739722
2015-12-26 23:00:00,112.402825000,-0.001276667,-0.001276667,-0.000000000,112.404101667
2015-12-26 22:00:00,113.435658611,-0.001287222,-0.001287222,-0.000000000,113.436945833
2015-12-26 21:00:00,112.719040278,-0.001249722,-0.001249722,-0.000000000,112.720290000
2015-12-26 20:00:00,106.409392500,-0.001221944,-0.001221944,-0.000000000,106.410614444
2015-12-26 19:00:00,103.611545556,-0.001212778,-0.001212778,-0.000000000,103.612758333
2015-12-26 18:00:00,93.393902500,-0.025291111,-0.025291111,-0.000000000,93.419193611
2015-12-26 17:00:00,91.591700278,-0.012930833,-0.012930833,0.000865278,91.604631111
2015-12-26 16:00:00,97.725404722,0.025397778,0.025397778,0.025450833,97.700006944
2015-12-26 15:00:00,95.930821667,0.048879167,0.048879167,0.048918611,95.881942500
2015-12-26 14:00:00,91.756011944,0.010103333,0.010103333,0.010380833,91.745908611
2015-12-26 13:00:00,93.658082500,0.005384167,0.005384167,0.006315000,93.652698333
2015-12-26 12:00:00,101.968265000,0.001518889,0.001518889,0.004485556,101.966746111
2015-12-26 11:00:00,96.903820000,-0.002663333,-0.002663333,0.005836667,96.906483333
2015-12-26 10:00:00,97.703591667,-0.025813611,-0.025813611,-0.000000000,97.729405278
2015-12-26 09:00:00,107.198598056,-0.001303056,-0.001303056,-0.000000000,107.199901111
2015-12-26 08:00:00,109.589547500,-0.001191111,-0.001191111,-0.000000000,109.590738611
2015-12-26 07:00:00,110.326480278,-0.001195833,-0.001195833,-0.000000000,110.327676111
2015-12-26 06:00:00,115.547262500,-0.001228889,-0.001228889,-0.000000000,115.548491389
2015-12-26 05:00:00,108.277405000,-0.001210556,-0.001210556,-0.000000000,108.278615556
2015-12-26 04:00:00,105.838436667,-0.001205833,-0.001205833,-0.000000000,105.839642500
2015-12-26 03:00:00,115.118390556,-0.001209167,-0.001209167,-0.000000000,115.119599722
2015-12-26 02:00:00,107.655783333,-0.001210833,-0.001210833,-0.000000000,107.656994167
2015-12-26 01:00:00,102.633863611,-0.001247500,-0.001247500,-0.000000000,102.635111111
2015-12-26 00:00:00,101.828254722,-0.001225833,-0.001225833,-0.000000000,101.829480556
2015-12-25 23:00:00,102.017804722,-0.001226111,-0.001226111,-0.000000000,102.019030833
2015-12-25 22:00:00,100.550053889,-0.001248333,-0.001248333,-0.000000000,100.551302222
2015-12-25 21:00:00,101.975516389,-0.001256667,-0.001256667,-0.000000000,101.976773056
2015-12-25 20:00:00,100.775680000,-0.001248333,-0.001248333,-0.000000000,100.776928333
2015-12-25 19:00:00,101.233997500,-0.001269167,-0.001269167,-0.000000000,101.235266667
2015-12-25 18:00:00,96.256176111,-0.026001944,-0.026001944,0.002385833,96.282178056
2015-12-25 17:00:00,99.975542500,0.151941111,0.151941111,0.151941389,99.823601389
2015-12-25 16:00:00,112.096040833,0.634979444,0.634979444,0.634979444,111.461061389
2015-12-25 15:00:00,119.751762222,1.021170833,1.021170833,1.021170833,118.730591389
2015-12-25 14:00:00,120.719261389,1.281528611,1.281528611,1.281528611,119.437732778
2015-12-25 13:00:00,123.591460000,0.889316389,0.889316389,0.889316389,122.702143611
2015-12-25 12:00:00,125.465110000,0.715508056,0.715508056,0.715508056,124.749601944
2015-12-25 11:00:00,125.617398611,0.509676111,0.509676111,0.509676111,125.107722500
2015-12-25 10:00:00,131.383274444,0.258865000,0.258865000,0.258865000,131.124409444
2015-12-25 09:00:00,137.118335278,0.008673333,0.008673333,0.018835556,137.109661944
2015-12-25 08:00:00,147.557771111,-0.001246667,-0.001246667,-0.000000000,147.559017778
2015-12-25 07:00:00,140.898507222,-0.001235278,-0.001235278,-0.000000000,140.899742500
2015-12-25 06:00:00,122.025137500,-0.001231667,-0.001231667,-0.000000000,122.026369167
2015-12-25 05:00:00,120.305080278,-0.001236667,-0.001236667,-0.000000000,120.306316944
2015-12-25 04:00:00,121.763133333,-0.001250833,-0.001250833,-0.000000000,121.764384167
2015-12-25 03:00:00,118.588888333,-0.001249444,-0.001249444,-0.000000000,118.590137778
2015-12-25 02:00:00,116.142284167,-0.001243056,-0.001243056,-0.000000000,116.143527222
2015-12-25 01:00:00,109.223648333,-0.001223889,-0.001223889,-0.000000000,109.224872222
2015-12-25 00:00:00,109.137570833,-0.001252778,-0.001252778,-0.000000000,109.138823611
2015-12-24 23:00:00,103.629090556,-0.001244167,-0.001244167,-0.000000000,103.630334722
2015-12-24 22:00:00,101.583768333,-0.001239722,-0.001239722,-0.000000000,101.585008056
2015-12-24 21:00:00,100.996980278,-0.001230000,-0.001230000,-0.000000000,100.998210278
2015-12-24 20:00:00,105.274180556,-0.001266389,-0.001266389,-0.000000000,105.275446944
2015-12-24 19:00:00,109.809085556,-0.001308333,-0.001308333,-0.000000000,109.810393889
2015-12-24 18:00:00,107.603985000,0.004132500,0.004132500,0.026564444,107.599852500
2015-12-24 17:00:00,114.399383056,0.785824167,0.785824167,0.785824167,113.613558889
2015-12-24 16:00:00,123.520727778,2.325773889,2.325773889,2.325773889,121.194953889
2015-12-24 15:00:00,129.010714722,2.996455278,2.996455278,2.996455278,126.014259444
2015-12-24 14:00:00,127.941127222,3.316600833,3.316600833,3.316600833,124.624526389
2015-12-24 13:00:00,77.595533056,3.145105000,3.145105000,3.145105000,74.450428056
2015-12-24 12:00:00,86.613073056,2.661340278,2.661340278,2.661340278,83.951732778
2015-12-24 11:00:00,75.498499444,1.854362778,1.854362778,1.854362778,73.644136667
2015-12-24 10:00:00,72.398831111,0.782947778,0.782947778,0.782947778,71.615883333
2015-12-24 09:00:00,91.506511111,0.040790000,0.040790000,0.047345000,91.465721111
2015-12-24 08:00:00,87.804388056,-0.001293333,-0.001293333,-0.000000000,87.805681389
2015-12-24 07:00:00,88.189394444,-0.001264167,-0.001264167,-0.000000000,88.190658611
2015-12-24 06:00:00,86.127645833,-0.001218889,-0.001218889,-0.000000000,86.128864722
2015-12-24 05:00:00,86.563817778,-0.001201944,-0.001201944,-0.000000000,86.565019722
2015-12-24 04:00:00,81.848629167,-0.001247500,-0.001247500,-0.000000000,81.849876667
2015-12-24 03:00:00,79.455036111,-0.001285833,-0.001285833,-0.000000000,79.456321944
2015-12-24 02:00:00,79.550931944,-0.001273889,-0.001273889,-0.000000000,79.552205833
2015-12-24 01:00:00,76.902017778,-0.001263333,-0.001263333,-0.000000000,76.903281111
2015-12-24 00:00:00,79.727984722,-0.001258611,-0.001258611,-0.000000000,79.729243333
2015-12-23 23:00:00,77.562601389,-0.001233889,-0.001233889,-0.000000000,77.563835278
2015-12-23 22:00:00,77.486397222,-0.001217222,-0.001217222,-0.000000000,77.487614444
2015-12-23 21:00:00,77.572303611,-0.001232778,-0.001232778,-0.000000000,77.573536389
2015-12-23 20:00:00,76.091020278,-0.001236111,-0.001236111,-0.000000000,76.092256389
2015-12-23 19:00:00,75.114861944,-0.001231111,-0.001231111,-0.000000000,75.116093056
2015-12-23 18:00:00,72.428429722,0.006701111,0.006701111,0.024390833,72.421728611
2015-12-23 17:00:00,67.978029722,0.254880556,0.254880556,0.254880556,67.723149167
2015-12-23 16:00:00,65.116871389,0.924979444,0.924979444,0.924979444,64.191891944
2015-12-23 15:00:00,75.209581667,2.308919167,2.308919167,2.308919167,72.900662500
