"Date & Time","use [kW]","gen [kW]","Power from Grid [kW]","Grid [kW]","Grid+ [kW]","Solar [kW]","Solar+ [kW]","Voltage CT1 [V]","Voltage CT2 [V]","Voltage CT3 [V]"
2015-12-31 23:00:00,22.750842222,-0.468198611,22.750842222,22.750842222,22.750842222,-0.468198611,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 22:00:00,29.942317500,-0.468298333,29.942317500,29.942317500,29.942317500,-0.468298333,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 21:00:00,29.067599444,-0.460279444,29.067599444,29.067599444,29.067599444,-0.460279444,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 20:00:00,31.265303333,-0.462012778,31.265303333,31.265303333,31.265303333,-0.462012778,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 19:00:00,44.385899444,-0.533761667,44.385899444,44.385899444,44.385899444,-0.533761667,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 18:00:00,50.722980000,5.846726944,44.691407222,44.691407222,44.691407222,5.846726944,6.031572778,-0.000000000,-0.000000000,-0.000000000
2015-12-31 17:00:00,56.831583333,39.032958333,17.798625000,17.798625000,17.798625000,39.032958333,39.032958333,-0.000000000,-0.000000000,-0.000000000
2015-12-31 16:00:00,54.666580000,57.416265556,2.848708611,-2.749685556,2.848708611,57.416265556,57.416265556,-0.000000000,-0.000000000,-0.000000000
2015-12-31 15:00:00,54.797616944,73.231977222,0.000098056,-18.434360278,0.000098056,73.231977222,73.231977222,-0.000000000,-0.000000000,-0.000000000
2015-12-31 14:00:00,54.626438889,76.731748056,-0.000000000,-22.105309167,-0.000000000,76.731748056,76.731748056,-0.000000000,-0.000000000,-0.000000000
2015-12-31 13:00:00,55.616881389,75.659634167,0.309171944,-20.042752778,0.309171944,75.659634167,75.659634167,-0.000000000,-0.000000000,-0.000000000
2015-12-31 12:00:00,54.447631111,70.444483056,-0.000000000,-15.996851944,-0.000000000,70.444483056,70.444483056,-0.000000000,-0.000000000,-0.000000000
2015-12-31 11:00:00,49.457716667,57.926484722,0.032698056,-8.468768056,0.032698056,57.926484722,57.926484722,-0.000000000,-0.000000000,-0.000000000
2015-12-31 10:00:00,49.168033611,32.044541667,17.123491944,17.123491944,17.123491944,32.044541667,32.044541667,-0.000000000,-0.000000000,-0.000000000
2015-12-31 09:00:00,49.493090556,2.707531389,46.446468611,46.446468611,46.446468611,2.707531389,3.046621944,-0.000000000,-0.000000000,-0.000000000
2015-12-31 08:00:00,50.502103889,-0.466385000,50.502103889,50.502103889,50.502103889,-0.466385000,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 07:00:00,27.230430556,-0.477932778,27.230430556,27.230430556,27.230430556,-0.477932778,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 06:00:00,21.992277500,-0.481453889,21.992277500,21.992277500,21.992277500,-0.481453889,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 05:00:00,22.127410556,-0.483141944,22.127410556,22.127410556,22.127410556,-0.483141944,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 04:00:00,22.090667778,-0.482206111,22.090667778,22.090667778,22.090667778,-0.482206111,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 03:00:00,22.029210278,-0.480271944,22.029210278,22.029210278,22.029210278,-0.480271944,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 02:00:00,22.071132222,-0.480259722,22.071132222,22.071132222,22.071132222,-0.480259722,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 01:00:00,22.043785000,-0.476217222,22.043785000,22.043785000,22.043785000,-0.476217222,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-31 00:00:00,21.593793333,-0.483007778,21.593793333,21.593793333,21.593793333,-0.483007778,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 23:00:00,49.170832500,-0.459871667,49.170832500,49.170832500,49.170832500,-0.459871667,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 22:00:00,58.791380833,-0.456009167,58.791380833,58.791380833,58.791380833,-0.456009167,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 21:00:00,60.250643611,-0.455088889,60.250643611,60.250643611,60.250643611,-0.455088889,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 20:00:00,59.559922778,-0.454567222,59.559922778,59.559922778,59.559922778,-0.454567222,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 19:00:00,59.681693056,-0.533051944,59.681693056,59.681693056,59.681693056,-0.533051944,-0.000000000,-0.000000000,-0.000000000,-0.000000000
2015-12-30 18:00:00,59.665585278,8.055882778,51.460563333,51.460563333,51.460563333,8.055882778,8.205021944,-0.000000000,-0.000000000,-0.000000000
2015-12-30 17:00:00,55.883999722,38.319086389,17.564913333,17.564913333,17.564913333,38.319086389,38.319086389,-0.000000000,-0.000000000,-0.000000000
2015-12-30 16:00:00,53.664387222,59.100738611,0.164106667,-5.436351389,0.164106667,59.100738611,59.100738611,-0.000000000,-0.000000000,-0.000000000
2015-12-30 15:00:00,53.174835833,63.777043611,5.453450278,-10.602207778,5.453450278,63.777043611,63.777043611,-0.000000000,-0.000000000,-0.000000000
2015-12-30 14:00:00,54.148975000,72.893042500,2.326826944,-18.744067500,2.326826944,72.893042500,72.893042500,-0.000000000,-0.000000000,-0.000000000
2015-12-30 13:00:00,54.794834444,72.485391389,1.809033333,-17.690556944,1.809033333,72.485391389,72.485391389,-0.000000000,-0.000000000,-0.000000000
2015-12-30 12:00:00,54.217543056,51.862953611,8.720469722,2.354589444,8.720469722,51.862953611,51.862953611,-0.000000000,-0.000000000,-0.000000000
2015-12-30 11:00:00,51.385965000,31.449316389,19.936648611,19.936648611,19.936648611,31.449316389,31.449316389,-0.000000000,-0.000000000,-0.000000000
