"Date & Time","use [kW]","gen [kW]","SunTalk Production [kW]","Solar City Production [kW]","Grid [kW]","Solar [kW]","Solar- [kW]","Solar City [kW]","Solar City- [kW]"
2015-12-31 23:00:00,1.226142500,-0.007464167,-0.003477222,-0.003986944,1.218668056,-0.003477222,0.003487500,-0.003986944,0.003986944
2015-12-31 22:00:00,1.946094722,-0.005504444,-0.001336667,-0.004167778,1.939884722,-0.001336667,0.002042222,-0.004167778,0.004167778
2015-12-31 21:00:00,0.906493889,-0.007940556,-0.003999444,-0.003941111,0.898553333,-0.003999444,0.003999444,-0.003941111,0.003941111
2015-12-31 20:00:00,2.169609167,-0.005770278,-0.001693056,-0.004077222,2.163386389,-0.001693056,0.002145556,-0.004077222,0.004077222
2015-12-31 19:00:00,2.218582222,-0.010658611,-0.001613333,-0.009045278,2.207025556,-0.001613333,0.002506944,-0.009045278,0.009049722
2015-12-31 18:00:00,1.592644167,0.024897222,0.027205000,-0.002307778,1.581088889,0.027205000,0.001845000,-0.002307778,0.009710278
2015-12-31 17:00:00,3.008259722,0.659745556,0.587144167,0.072601389,3.008259167,0.587144167,-0.000000000,0.072601389,0.000000556
2015-12-31 16:00:00,1.022014444,1.406380000,1.258459444,0.147920556,1.022014444,1.258459444,-0.000000000,0.147920556,-0.000000000
2015-12-31 15:00:00,1.301493056,1.950745278,1.651228333,0.299516944,1.301493056,1.651228333,-0.000000000,0.299516944,-0.000000000
2015-12-31 14:00:00,0.703888611,2.569918889,1.824366111,0.745552778,0.703888611,1.824366111,-0.000000000,0.745552778,-0.000000000
2015-12-31 13:00:00,0.480576944,3.091115000,1.799993056,1.291121944,0.480576944,1.799993056,-0.000000000,1.291121944,-0.000000000
2015-12-31 12:00:00,1.117279444,1.896153889,1.080699722,0.815454167,1.117279444,1.080699722,-0.000000000,0.815454167,-0.000000000
2015-12-31 11:00:00,0.727287500,1.482519444,0.790095000,0.692424444,0.727287500,0.790095000,-0.000000000,0.692424444,-0.000000000
2015-12-31 10:00:00,0.915259722,0.672641389,0.172769444,0.499871944,0.915259722,0.172769444,-0.000000000,0.499871944,-0.000000000
2015-12-31 09:00:00,0.547756389,0.080785556,0.028491111,0.052294444,0.543173889,0.028491111,0.002644167,0.052294444,0.001938333
2015-12-31 08:00:00,1.005930278,-0.007422500,-0.003422778,-0.003999722,0.998507778,-0.003422778,0.003422778,-0.003999722,0.003999722
2015-12-31 07:00:00,0.719545833,-0.008449167,-0.004566944,-0.003882222,0.711096667,-0.004566944,0.004566944,-0.003882222,0.003882222
2015-12-31 06:00:00,0.617251944,-0.008444167,-0.004480278,-0.003963889,0.608807778,-0.004480278,0.004480278,-0.003963889,0.003963889
2015-12-31 05:00:00,0.665742778,-0.007763056,-0.003794167,-0.003968889,0.657979722,-0.003794167,0.003794167,-0.003968889,0.003968889
2015-12-31 04:00:00,0.709513889,-0.008511944,-0.004525278,-0.003986667,0.701001944,-0.004525278,0.004525278,-0.003986667,0.003986667
2015-12-31 03:00:00,0.627321667,-0.008716389,-0.004731667,-0.003984722,0.618605278,-0.004731667,0.004731667,-0.003984722,0.003984722
2015-12-31 02:00:00,0.590076111,-0.009150833,-0.005152778,-0.003998056,0.580925278,-0.005152778,0.005152778,-0.003998056,0.003998056
2015-12-31 01:00:00,0.591826389,-0.009202222,-0.005203056,-0.003999167,0.582624167,-0.005203056,0.005203056,-0.003999167,0.003999167
2015-12-31 00:00:00,0.485340000,-0.009648056,-0.005656667,-0.003991389,0.475691944,-0.005656667,0.005656667,-0.003991389,0.003991389
