"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2015-12-31 23:00,2.194109167,-0.001833056,2.195942222,-0.001833056
2015-12-31 22:00,2.295130833,-0.001202778,2.296333611,-0.001202778
2015-12-31 21:00,2.273101389,-0.001685000,2.274786389,-0.001685000
2015-12-31 20:00,2.309489167,-0.002022500,2.311511667,-0.002022500
2015-12-31 19:00,2.309559722,-0.002411667,2.311971389,-0.002411667
2015-12-31 18:00,2.203781389,0.061868056,2.141913333,0.061868056
2015-12-31 17:00,1.310175833,1.127216389,0.182959444,1.127216389
2015-12-31 16:00,1.182858333,3.046425278,-1.863566944,3.046425278
2015-12-31 15:00,1.436850000,3.846250556,-2.409400556,3.846250556
2015-12-31 14:00,2.262024722,3.524530278,-1.262505556,3.524530278
2015-12-31 13:00,1.527496111,4.049956389,-2.522460278,4.049956389
2015-12-31 12:00,2.242494722,3.878976667,-1.636481944,3.878976667
2015-12-31 11:00,1.360472778,2.142571944,-0.782099167,2.142571944
2015-12-31 10:00,1.401386389,1.381054722,0.020331667,1.381054722
2015-12-31 09:00,1.275588889,0.052597778,1.222991111,0.052597778
2015-12-31 08:00,1.865950833,-0.002974722,1.868925556,-0.002974722
2015-12-31 07:00,1.028790556,-0.000493611,1.029284167,-0.000493611
2015-12-31 06:00,1.138358889,-0.001580000,1.139938889,-0.001580000
2015-12-31 05:00,0.918549722,-0.000506944,0.919056667,-0.000506944
2015-12-31 04:00,0.985495278,-0.000825000,0.986320278,-0.000825000
2015-12-31 03:00,0.920233333,-0.000416389,0.920649722,-0.000416389
2015-12-31 02:00,1.062784722,-0.001078333,1.063863056,-0.001078333
2015-12-31 01:00,1.214559444,-0.001620556,1.216180000,-0.001620556
2015-12-31 00:00,2.467796389,-0.004628333,2.472424722,-0.004628333
2015-12-30 23:00,2.761526667,-0.004338056,2.765864722,-0.004338056
2015-12-30 22:00,2.045919167,-0.003433056,2.049352222,-0.003433056
2015-12-30 21:00,2.506556944,-0.004083056,2.510640000,-0.004083056
2015-12-30 20:00,2.704845833,-0.005101944,2.709947778,-0.005101944
2015-12-30 19:00,3.106306389,-0.005258333,3.111564722,-0.005258333
2015-12-30 18:00,2.475366667,0.046648333,2.428718333,0.046648333
2015-12-30 17:00,1.827070833,1.205297500,0.621773333,1.205297500
2015-12-30 16:00,2.113627222,3.079376944,-0.965749722,3.079376944
2015-12-30 15:00,2.093234722,3.978705556,-1.885470833,3.978705556
2015-12-30 14:00,2.226171667,4.290625000,-2.064453333,4.290625000
2015-12-30 13:00,2.312865000,4.279577222,-1.966712222,4.279577222
2015-12-30 12:00,1.946965278,3.398392222,-1.451426944,3.398392222
2015-12-30 11:00,1.872221111,2.020143333,-0.147922222,2.020143333
2015-12-30 10:00,2.637190000,0.991455833,1.645734167,0.991455833
2015-12-30 09:00,3.743900556,0.030276111,3.713624444,0.030276111
2015-12-30 08:00,1.311777778,-0.000901944,1.312679722,-0.000901944
2015-12-30 07:00,0.885673056,-0.000373333,0.886046389,-0.000373333
2015-12-30 06:00,0.910016111,-0.000556667,0.910572778,-0.000556667
