"Date & Time","Usage [kW]","Generation [kW]","Surplus [kW]","5200 Inverter  [kW]","2500 Inverter [kW]","Sub Panel [kW]","Well Pump [kW]","Grid [kW]","Photo Voltaic [kW]"
2015-12-31 23:00:00,2.426988333,-0.010171111,2.437159444,-0.005164167,-0.005006944,0.110117222,0.003655000,2.437159444,-0.010171111
2015-12-31 22:00:00,2.188418611,-0.010162778,2.198581389,-0.005157500,-0.005005278,0.109517500,0.003768333,2.198581389,-0.010162778
2015-12-31 21:00:00,3.668309722,-0.010166944,3.678476667,-0.005164167,-0.005002778,0.097580556,-0.029768611,3.678476667,-0.010166944
2015-12-31 20:00:00,1.883548889,-0.010170833,1.893719722,-0.005161667,-0.005009167,0.095608056,0.004012500,1.893719722,-0.010170833
2015-12-31 19:00:00,1.612105833,-0.010225278,1.622331111,-0.005180278,-0.005045000,0.096424444,0.003825000,1.622331111,-0.010225278
2015-12-31 18:00:00,1.290699444,0.073467222,1.217232222,0.072794167,0.000673056,0.058640833,0.003747222,1.217232222,0.073467222
2015-12-31 17:00:00,0.897413611,0.677787222,0.219626389,0.500778056,0.177009167,0.107160278,0.003987500,0.219626389,0.677787222
2015-12-31 16:00:00,1.445014444,1.492479167,-0.047464722,1.108340000,0.384139167,0.169417500,-0.032233889,-0.047464722,1.492479167
2015-12-31 15:00:00,1.393942500,3.332335278,-1.938392778,2.589739444,0.742595833,0.218606944,-0.035321944,-1.938392778,3.332335278
2015-12-31 14:00:00,1.348296944,4.324940278,-2.976643333,2.898418333,1.426521944,0.098422778,-0.120251944,-2.976643333,4.324940278
2015-12-31 13:00:00,1.401735000,4.497985556,-3.096250833,3.045307500,1.452678056,0.553083333,-0.030171111,-3.096250833,4.497985833
2015-12-31 12:00:00,1.160297222,2.999627222,-1.839329722,2.105651667,0.893975556,0.146706389,-0.075080833,-1.839329722,2.999626944
2015-12-31 11:00:00,1.403776667,1.918735000,-0.514958056,1.395479167,0.523255833,0.391596944,0.004155556,-0.514958056,1.918734722
2015-12-31 10:00:00,1.229556389,0.496193611,0.733362500,0.282067500,0.214126111,0.335486111,0.003903889,0.733362500,0.496193889
2015-12-31 09:00:00,1.204278333,-0.018524167,1.222802222,-0.005182222,-0.013341944,0.303452778,-0.039654167,1.222802222,-0.018523889
2015-12-31 08:00:00,1.327738611,-0.010159722,1.337898611,-0.005185833,-0.004973889,0.297622222,0.003768611,1.337898611,-0.010160000
2015-12-31 07:00:00,1.144287222,-0.010130000,1.154417222,-0.005170556,-0.004959444,0.401999444,0.003901944,1.154417222,-0.010130000
2015-12-31 06:00:00,1.099834167,-0.010118056,1.109951944,-0.005163889,-0.004954167,0.352918333,0.003900278,1.109951944,-0.010117778
2015-12-31 05:00:00,1.093462778,-0.010097500,1.103560556,-0.005152222,-0.004945278,0.346131667,0.003875833,1.103560556,-0.010097778
2015-12-31 04:00:00,1.276730556,-0.010094167,1.286824722,-0.005149444,-0.004944722,0.351963056,0.003811111,1.286824722,-0.010094167
2015-12-31 03:00:00,1.226550556,-0.010104444,1.236654722,-0.005150278,-0.004954167,0.353332500,0.003906944,1.236654722,-0.010104167
2015-12-31 02:00:00,1.214883056,-0.010144167,1.225027500,-0.005162778,-0.004981389,0.287114722,0.003941944,1.225027500,-0.010144444
2015-12-31 01:00:00,1.405028611,-0.010155833,1.415184167,-0.005165833,-0.004990000,0.230999444,0.003943333,1.415184167,-0.010155556
2015-12-31 00:00:00,1.650513056,-0.010179722,1.660693056,-0.005180556,-0.004999167,0.143524167,0.003866389,1.660693056,-0.010180000
2015-12-30 23:00:00,1.568761111,-0.010196667,1.578957778,-0.005187222,-0.005009444,0.117248056,-0.030422500,1.578957778,-0.010196667
2015-12-30 22:00:00,1.147615278,-0.010192500,1.157807500,-0.005183056,-0.005009444,0.126806667,0.003945556,1.157807500,-0.010192222
2015-12-30 21:00:00,1.254596111,-0.010176667,1.264772778,-0.005172778,-0.005003889,0.160035278,0.004064722,1.264772778,-0.010176667
2015-12-30 20:00:00,0.931992500,-0.010175000,0.942167778,-0.005173611,-0.005001389,0.065937778,0.003905278,0.942167778,-0.010175278
2015-12-30 19:00:00,1.203125000,-0.011002222,1.214127222,-0.006005278,-0.004996944,0.042595556,0.003792222,1.214127222,-0.011002222
2015-12-30 18:00:00,1.107364167,0.151466944,0.955897222,0.124425833,0.027041111,0.147032222,-0.034708333,0.955897222,0.151466944
2015-12-30 17:00:00,0.819423611,1.088231111,-0.268807500,0.760851944,0.327379167,0.108728611,0.004044722,-0.268807500,1.088231111
2015-12-30 16:00:00,0.705708611,1.567953889,-0.862245000,1.167920556,0.400033333,0.039593056,0.004076111,-0.862245000,1.567953611
2015-12-30 15:00:00,0.658070278,3.375959167,-2.717888889,2.629521944,0.746437222,0.046610278,0.004154722,-2.717888889,3.375959167
2015-12-30 14:00:00,0.643480278,5.155831944,-4.512351944,3.462456667,1.693375278,0.049150278,0.004194444,-4.512351944,5.155832222
2015-12-30 13:00:00,1.418942500,4.690925278,-3.271982778,3.156839722,1.534085556,0.205813889,-0.076994444,-3.271982778,4.690925278
2015-12-30 12:00:00,1.135880833,3.583390833,-2.447510000,2.627870556,0.955520278,0.206569167,0.004134722,-2.447510000,3.583390833
2015-12-30 11:00:00,1.325254444,2.005171389,-0.679917222,1.518075278,0.487096111,0.230906944,-0.035730556,-0.679917222,2.005171667
2015-12-30 10:00:00,1.123086389,0.484983889,0.638102778,0.309111389,0.175872500,0.289055556,0.003808333,0.638102778,0.484983611
2015-12-30 09:00:00,1.488902778,0.005729722,1.483173056,0.015571667,-0.009841944,0.295392500,0.003606389,1.483173056,0.005729722
2015-12-30 08:00:00,2.004252222,-0.010148333,2.014400278,-0.005179167,-0.004969167,0.400458889,-0.030708889,2.014400278,-0.010148056
2015-12-30 07:00:00,1.366096667,-0.010116944,1.376213889,-0.005165278,-0.004951667,0.423310833,0.003856944,1.376213889,-0.010117222
2015-12-30 06:00:00,2.228105278,-0.010117778,2.238223056,-0.005161389,-0.004956389,1.168846667,-0.070063889,2.238223056,-0.010117778
2015-12-30 05:00:00,1.204373889,-0.010114167,1.214488056,-0.005163056,-0.004951111,0.420617222,0.003894444,1.214488056,-0.010114167
2015-12-30 04:00:00,1.208958333,-0.010119722,1.219077778,-0.005163889,-0.004955833,0.368598056,0.003913611,1.219077778,-0.010119444
2015-12-30 03:00:00,1.177074722,-0.010121389,1.187196389,-0.005165556,-0.004955833,0.353198056,0.003890556,1.187196389,-0.010121667
2015-12-30 02:00:00,0.935789444,-0.010149167,0.945938333,-0.005178333,-0.004970833,0.061663611,0.003913056,0.945938333,-0.010148889
2015-12-30 01:00:00,0.772111389,-0.010189444,0.782301111,-0.005200556,-0.004988889,0.060231111,0.003845278,0.782301111,-0.010189722
2015-12-30 00:00:00,1.065572222,-0.010197778,1.075770000,-0.005203611,-0.004994167,0.378715833,0.003888611,1.075770000,-0.010197778
2015-12-29 23:00:00,1.967755833,-0.010208333,1.977963889,-0.005206944,-0.005001389,0.572364722,-0.032956389,1.977963889,-0.010208056
2015-12-29 22:00:00,1.813047222,-0.010198889,1.823246111,-0.005200833,-0.004998056,0.243376667,0.004071944,1.823246111,-0.010198889
2015-12-29 21:00:00,2.027136944,-0.010177500,2.037314722,-0.005187500,-0.004990000,0.283434167,0.004172778,2.037314722,-0.010177778
2015-12-29 20:00:00,1.989722778,-0.010130833,1.999853611,-0.005158056,-0.004972778,0.275038889,-0.030516111,1.999853611,-0.010130833
2015-12-29 19:00:00,2.396021667,-0.011586111,2.407608056,-0.005153333,-0.006432778,0.158227222,0.004139444,2.407608056,-0.011586389
2015-12-29 18:00:00,0.950851944,0.082234444,0.868617222,0.067815556,0.014418889,0.062737222,0.004016389,0.868617222,0.082234722
2015-12-29 17:00:00,1.132043889,0.836318611,0.295725278,0.589121389,0.247197222,0.046721111,0.003962222,0.295725278,0.836318611
2015-12-29 16:00:00,0.718575278,1.636871111,-0.918295833,1.168635556,0.468235556,0.042526667,0.004123333,-0.918295833,1.636871111
2015-12-29 15:00:00,0.862706667,3.071461111,-2.208754444,2.242342222,0.829118889,0.166732778,-0.033817500,-2.208754444,3.071461111
2015-12-29 14:00:00,1.106295556,5.042759167,-3.936463611,3.387049167,1.655710000,0.191443611,0.004054444,-3.936463611,5.042759167
2015-12-29 13:00:00,1.416585556,4.609130000,-3.192544444,3.106877222,1.502252778,0.175658056,-0.074939167,-3.192544444,4.609130000
2015-12-29 12:00:00,1.450098611,2.311444167,-0.861345833,1.278251944,1.033192222,0.191397778,-0.031518611,-0.861345833,2.311444444
2015-12-29 11:00:00,1.257183611,0.732806944,0.524376944,0.199339167,0.533467778,0.173305833,-0.033589444,0.524376944,0.732806667
2015-12-29 10:00:00,1.391854167,0.331553333,1.060300833,0.128230278,0.203323056,0.299326389,-0.036399722,1.060300833,0.331553333
2015-12-29 09:00:00,1.639405833,-0.016932222,1.656338056,-0.004179444,-0.012752778,0.235549722,-0.033093611,1.656338056,-0.016932222
2015-12-29 08:00:00,2.472865000,-0.010136667,2.483001389,-0.005165278,-0.004971389,1.378777500,-0.030894722,2.483001389,-0.010136389
2015-12-29 07:00:00,1.121662778,-0.010105833,1.131768889,-0.005157778,-0.004948056,0.395030000,0.003835556,1.131768889,-0.010106111
2015-12-29 06:00:00,1.328898056,-0.010106111,1.339004167,-0.005157778,-0.004948333,0.366510278,0.003779444,1.339004167,-0.010106111
2015-12-29 05:00:00,1.107697778,-0.010106667,1.117804444,-0.005158333,-0.004948333,0.359548056,0.003869444,1.117804444,-0.010106667
2015-12-29 04:00:00,1.242099167,-0.010095833,1.252195000,-0.005152778,-0.004943056,0.414099167,0.003868333,1.252195000,-0.010095833
2015-12-29 03:00:00,1.247370000,-0.010096944,1.257466944,-0.005152500,-0.004944444,0.356145000,0.003881667,1.257466944,-0.010096944
2015-12-29 02:00:00,1.819180556,-0.010135000,1.829315278,-0.005163056,-0.004971944,0.476046667,-0.031076111,1.829315278,-0.010134722
2015-12-29 01:00:00,1.720414167,-0.010167500,1.730581667,-0.005176389,-0.004991111,0.402676389,0.004040278,1.730581667,-0.010167500
2015-12-29 00:00:00,1.846653056,-0.010189167,1.856842222,-0.005189722,-0.004999444,0.066910556,-0.072306111,1.856842222,-0.010189167
2015-12-28 23:00:00,1.611833889,-0.010199167,1.622033056,-0.005193056,-0.005006111,0.062607222,-0.076649722,1.622033056,-0.010199167
2015-12-28 22:00:00,1.378949444,-0.010190000,1.389139722,-0.005190833,-0.004999167,0.139437222,0.003889722,1.389139722,-0.010190278
2015-12-28 21:00:00,2.046248889,-0.010167222,2.056416111,-0.005176667,-0.004990556,0.275316111,-0.033603333,2.056416111,-0.010167222
2015-12-28 20:00:00,2.817414722,-0.010145278,2.827559722,-0.005166667,-0.004978611,0.272801667,0.004073889,2.827559722,-0.010145000
2015-12-28 19:00:00,1.793428056,-0.012821111,1.806249444,-0.005156667,-0.007664444,0.029511389,0.003921944,1.806249444,-0.012821389
2015-12-28 18:00:00,1.200972222,-0.001105556,1.202077778,0.008393889,-0.009499444,0.075615833,0.003964167,1.202077778,-0.001105556
2015-12-28 17:00:00,1.123096944,0.986970278,0.136126667,0.675373056,0.311597222,0.028234167,-0.033068611,0.136126667,0.986970278
2015-12-28 16:00:00,1.215844722,1.127603611,0.088241389,0.749059444,0.378544167,0.044146389,0.003925833,0.088241389,1.127603333
2015-12-28 15:00:00,0.923078611,3.241280556,-2.318202222,2.460739444,0.780541111,0.080985556,0.004206667,-2.318202222,3.241280833
2015-12-28 14:00:00,0.882813333,5.179733611,-4.296920000,3.491522500,1.688211111,0.035220000,0.004250556,-4.296920000,5.179733333
2015-12-28 13:00:00,1.492541944,4.720735000,-3.228193333,3.177696944,1.543038056,0.106072500,-0.036720833,-3.228193333,4.720735278
2015-12-28 12:00:00,1.515079722,2.368022500,-0.852942778,1.312737778,1.055284722,0.233641111,0.004003889,-0.852942778,2.368022500
2015-12-28 11:00:00,1.354420278,0.732996111,0.621424167,0.173298611,0.559697500,0.108841389,-0.031207778,0.621424167,0.732996111
2015-12-28 10:00:00,1.487053056,0.298396667,1.188656389,0.091356111,0.207040556,0.299130833,-0.037776944,1.188656389,0.298396667
2015-12-28 09:00:00,1.600452500,-0.017223056,1.617675278,-0.004263611,-0.012959444,0.287324722,0.003770556,1.617675278,-0.017222778
2015-12-28 08:00:00,2.878149167,-0.010125556,2.888274722,-0.005162500,-0.004963056,1.419375833,-0.078906389,2.888274722,-0.010125556
2015-12-28 07:00:00,1.408709722,-0.010087500,1.418797500,-0.005150278,-0.004937222,0.326520000,0.003773333,1.418797500,-0.010087778
2015-12-28 06:00:00,1.245228611,-0.010081389,1.255310000,-0.005146111,-0.004935278,0.388422500,-0.001692222,1.255310000,-0.010081389
2015-12-28 05:00:00,1.300271667,-0.010083056,1.310354444,-0.005145833,-0.004937222,0.380211389,-0.024661111,1.310354444,-0.010082778
2015-12-28 04:00:00,1.384701111,-0.010080833,1.394782222,-0.005143333,-0.004937500,0.262137222,0.003821389,1.394782222,-0.010081111
2015-12-28 03:00:00,1.311619722,-0.010085556,1.321705278,-0.005144444,-0.004941111,0.257850278,0.003897778,1.321705278,-0.010085556
2015-12-28 02:00:00,1.597537222,-0.010118333,1.607655556,-0.005156944,-0.004961389,0.081113056,0.003771111,1.607655556,-0.010118333
2015-12-28 01:00:00,0.996741111,-0.010159167,1.006900278,-0.005174444,-0.004984722,0.027597222,0.004031389,1.006900278,-0.010159167
2015-12-28 00:00:00,1.280463611,-0.010149722,1.290613333,-0.005169444,-0.004980278,0.074175556,0.003945278,1.290613333,-0.010149722
2015-12-27 23:00:00,1.251667500,-0.010156389,1.261823611,-0.005173611,-0.004982778,0.198983056,-0.030884444,1.261823611,-0.010156111
2015-12-27 22:00:00,1.148934167,-0.010140833,1.159075000,-0.005168611,-0.004972222,0.094520000,0.004028333,1.159075000,-0.010140833
2015-12-27 21:00:00,1.390024722,-0.010138333,1.400163333,-0.005164722,-0.004973611,0.099070833,0.004092222,1.400163333,-0.010138611
2015-12-27 20:00:00,2.481678333,-0.010126944,2.491805278,-0.005157222,-0.004969722,0.127471667,-0.030910000,2.491805278,-0.010126944
2015-12-27 19:00:00,1.656668333,-0.011335833,1.668004167,-0.005154722,-0.006181111,0.026480833,0.003968333,1.668004167,-0.011335833
2015-12-27 18:00:00,0.782711111,0.044001667,0.738709444,0.053178889,-0.009177222,0.027708333,0.004005000,0.738709444,0.044001667
2015-12-27 17:00:00,0.950196389,0.592661667,0.357534722,0.450987500,0.141674167,0.031931111,0.004050833,0.357534722,0.592661667
