utc,month,hour,dayofweek,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,-7.233,2875.0,2722.0,71.8125
2017-01-01 01:00:00,1,1,6,-7.338,2818.0,2634.0,14.0
2017-01-01 02:00:00,1,2,6,-7.512,2797.0,2636.0,0.0
2017-01-01 03:00:00,1,3,6,-7.792,2865.0,2643.0,0.0
2017-01-01 04:00:00,1,4,6,-8.081,2961.0,2670.0,0.0
2017-01-01 05:00:00,1,5,6,-8.267,3154.0,2727.0,0.0
2017-01-01 06:00:00,1,6,6,-8.445,3245.0,2770.0,0.0
2017-01-01 07:00:00,1,7,6,-8.023,3345.0,2901.0,0.0
2017-01-01 08:00:00,1,8,6,-6.658,3427.0,3088.0,0.0
2017-01-01 09:00:00,1,9,6,-5.024,3424.0,3116.0,0.0
2017-01-01 10:00:00,1,10,6,-3.744,3436.0,3147.0,0.0
2017-01-01 11:00:00,1,11,6,-2.876,3422.0,3080.0,0.0
2017-01-01 12:00:00,1,12,6,-2.658,3490.0,3060.0,0.0
2017-01-01 13:00:00,1,13,6,-3.345,3491.0,2976.0,0.0
2017-01-01 14:00:00,1,14,6,-5.658,3484.0,3000.0,0.0
2017-01-01 15:00:00,1,15,6,-7.495,3590.0,3160.0,0.0
2017-01-01 16:00:00,1,16,6,-8.208,3662.0,3191.0,0.0
2017-01-01 17:00:00,1,17,6,-8.602,3607.0,3170.0,0.0
2017-01-01 18:00:00,1,18,6,-8.838,3564.0,3148.0,0.0
2017-01-01 19:00:00,1,19,6,-8.909,3527.0,3138.0,0.0
2017-01-01 20:00:00,1,20,6,-9.165,3395.0,3073.0,0.0
2017-01-01 21:00:00,1,21,6,-9.411,3268.0,2971.0,0.0
2017-01-01 22:00:00,1,22,6,-9.575,3121.0,2850.0,0.0
2017-01-01 23:00:00,1,23,6,-9.642,3009.0,2801.0,0.0
2017-01-02 00:00:00,1,0,0,-9.72,2871.0,2676.0,24.8125
2017-01-02 01:00:00,1,1,0,-9.781,2805.0,2591.0,0.0
2017-01-02 02:00:00,1,2,0,-9.8,2822.0,2567.0,20.4375
2017-01-02 03:00:00,1,3,0,-9.819,2860.0,2612.0,91.5
2017-01-02 04:00:00,1,4,0,-9.811,2916.0,2650.0,226.5
2017-01-02 05:00:00,1,5,0,-9.84,2994.0,2731.0,419.5625
2017-01-02 06:00:00,1,6,0,-9.9,3072.0,2787.0,493.6875
2017-01-02 07:00:00,1,7,0,-9.193,3224.0,2935.0,526.375
2017-01-02 08:00:00,1,8,0,-7.601,3442.0,3104.0,465.1875
2017-01-02 09:00:00,1,9,0,-5.974,3511.0,3173.0,432.4375
2017-01-02 10:00:00,1,10,0,-4.432,3572.0,3204.0,372.375
2017-01-02 11:00:00,1,11,0,-3.272,3517.0,3105.0,430.25
2017-01-02 12:00:00,1,12,0,-2.66,3458.0,3099.0,551.25
2017-01-02 13:00:00,1,13,0,-2.868,3403.0,3049.0,572.875
2017-01-02 14:00:00,1,14,0,-4.339,3409.0,3052.0,589.25
2017-01-02 15:00:00,1,15,0,-5.404,3572.0,3159.0,505.875
2017-01-02 16:00:00,1,16,0,-5.591,3601.0,3226.0,483.8125
2017-01-02 17:00:00,1,17,0,-5.496,3494.0,3232.0,460.4375
2017-01-02 18:00:00,1,18,0,-5.325,3374.0,3195.0,454.5
2017-01-02 19:00:00,1,19,0,-5.143,3303.0,3149.0,389.3125
2017-01-02 20:00:00,1,20,0,-5.062,3223.0,3069.0,385.1875
2017-01-02 21:00:00,1,21,0,-5.113,3162.0,2983.0,358.6875
2017-01-02 22:00:00,1,22,0,-5.2,3115.0,2828.0,349.8125
2017-01-02 23:00:00,1,23,0,-5.213,3038.0,2758.0,313.8125
2017-01-03 00:00:00,1,0,1,-5.18,2961.0,2656.0,326.8125
2017-01-03 01:00:00,1,1,1,-5.193,2871.0,2594.0,288.0
2017-01-03 02:00:00,1,2,1,-5.389,2834.0,2581.0,294.4375
2017-01-03 03:00:00,1,3,1,-5.703,2832.0,2635.0,360.5
2017-01-03 04:00:00,1,4,1,-6.269,2840.0,2757.0,445.5
2017-01-03 05:00:00,1,5,1,-6.96,2854.0,2967.0,593.5625
2017-01-03 06:00:00,1,6,1,-7.613,2867.0,3078.0,632.6875
2017-01-03 07:00:00,1,7,1,-6.78,2932.0,3232.0,652.375
2017-01-03 08:00:00,1,8,1,-4.782,3135.0,3392.0,543.1875
2017-01-03 09:00:00,1,9,1,-2.969,3200.0,3459.0,493.4375
2017-01-03 10:00:00,1,10,1,-1.856,3284.0,3514.0,446.375
2017-01-03 11:00:00,1,11,1,-1.327,3254.0,3456.0,490.25
2017-01-03 12:00:00,1,12,1,-1.111,3218.0,3514.0,566.25
2017-01-03 13:00:00,1,13,1,-1.312,3155.0,3483.0,565.875
2017-01-03 14:00:00,1,14,1,-2.351,3181.0,3468.0,588.25
2017-01-03 15:00:00,1,15,1,-3.32,3370.0,3535.0,539.875
2017-01-03 16:00:00,1,16,1,-3.76,3430.0,3528.0,525.8125
2017-01-03 17:00:00,1,17,1,-3.987,3439.0,3478.0,467.4375
2017-01-03 18:00:00,1,18,1,-3.987,3389.0,3432.0,478.5
2017-01-03 19:00:00,1,19,1,-4.092,3411.0,3382.0,437.3125
2017-01-03 20:00:00,1,20,1,-4.372,3313.0,3241.0,392.1875
2017-01-03 21:00:00,1,21,1,-4.388,3173.0,3121.0,365.6875
2017-01-03 22:00:00,1,22,1,-4.27,3026.0,2998.0667,342.8125
2017-01-03 23:00:00,1,23,1,-4.23,3003.0,2875.1333,317.8125
2017-01-04 00:00:00,1,0,2,-4.221,2914.0,2752.2,340.8125
2017-01-04 01:00:00,1,1,2,-4.193,2856.0,2698.0,318.0
2017-01-04 02:00:00,1,2,2,-4.086,2859.0,2687.0,321.4375
