date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,-5.046,7258.66,6536.4,51.14833333333354,512.3583333333336,0.0
2017-01-08 01:00:00,1,1,6,-4.922,7220.86,6901.98,0.0,327.19208333333336,8.312083333333248
2017-01-08 02:00:00,1,2,6,-4.839,7662.71,6986.62,0.0,681.9845833333329,5.894583333332776
2017-01-08 03:00:00,1,3,6,-4.807,7692.97,6910.0,18.013749999999163,737.5037499999999,0.0
2017-01-08 04:00:00,1,4,6,-4.863,7176.12,6692.75,0.0,317.4416666666666,0.0
2017-01-08 05:00:00,1,5,6,-5.122,7304.66,6550.12,0.0,483.1991666666663,0.0
2017-01-08 06:00:00,1,6,6,-5.458,7425.92,6195.15,0.0,767.8320833333337,0.0
2017-01-08 07:00:00,1,7,6,-5.471,7893.93,5897.84,0.0,1305.534583333334,0.0
2017-01-08 08:00:00,1,8,6,-4.476,8247.66,6315.82,0.0,1503.1104166666664,0.0
2017-01-08 09:00:00,1,9,6,-3.019,8428.72,6470.45,0.0,1539.418333333333,0.0
2017-01-08 10:00:00,1,10,6,-2.09,8463.68,6451.24,0.0,1503.998333333334,0.0
2017-01-08 11:00:00,1,11,6,-1.435,8267.44,6145.94,0.0,1309.9125000000013,0.0
2017-01-08 12:00:00,1,12,6,-1.102,8344.42,6524.99,0.0,1275.915,0.0
2017-01-08 13:00:00,1,13,6,-1.127,8219.48,6484.46,0.0,1174.2095833333333,0.0
2017-01-08 14:00:00,1,14,6,-1.631,7973.26,6205.06,0.0,1003.6416666666672,0.0
2017-01-08 15:00:00,1,15,6,-2.935,7893.2,6134.75,0.0,989.4208333333328,0.0
2017-01-08 16:00:00,1,16,6,-4.051,8016.46,6482.73,0.0,1029.1333333333332,0.0
2017-01-08 17:00:00,1,17,6,-4.585,8513.68,6931.22,47.63625000000047,1218.5562500000003,0.0
2017-01-08 18:00:00,1,18,6,-5.029,8567.67,6984.5,194.4399999999996,1184.79,0.0
2017-01-08 19:00:00,1,19,6,-5.358,8340.55,6889.04,253.8716666666669,1132.241666666666,0.0
2017-01-08 20:00:00,1,20,6,-5.709,7995.87,6681.62,261.81208333333416,1091.972083333334,0.0
2017-01-08 21:00:00,1,21,6,-6.076,7685.62,6507.32,142.36458333333303,961.5745833333332,0.0
