date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2017-01-08 00:00:00,1,0,6,-0.299,3534.8,2743.04,0.0,441.4846153846152,0.0
2017-01-08 01:00:00,1,1,6,-0.609,3479.42,2594.63,0.0,465.5369230769229,0.0
2017-01-08 02:00:00,1,2,6,-0.803,3481.6,2493.52,0.0,489.6230769230765,0.0
2017-01-08 03:00:00,1,3,6,-1.051,3547.66,2481.93,0.0,549.7319230769231,0.0
2017-01-08 04:00:00,1,4,6,-1.205,3776.93,2483.72,0.0,724.143846153846,0.0
2017-01-08 05:00:00,1,5,6,-1.251,4398.46,2527.31,0.0,1195.1957692307697,0.0
2017-01-08 06:00:00,1,6,6,-1.274,5107.79,2632.95,0.0,1645.452692307692,0.0
2017-01-08 07:00:00,1,7,6,-1.246,5346.3,2755.2,0.0,1607.1942307692311,0.0
2017-01-08 08:00:00,1,8,6,-0.922,5293.65,2922.99,0.0,1350.1084615384616,0.0
2017-01-08 09:00:00,1,9,6,-0.453,5300.92,3161.06,6.050384615384701,1224.230384615385,0.0
2017-01-08 10:00:00,1,10,6,-0.014,5167.27,3318.19,15.518846153846424,1063.7888461538469,0.0
2017-01-08 11:00:00,1,11,6,0.456,4897.24,3379.66,41.60653846153809,838.0565384615379,0.0
2017-01-08 12:00:00,1,12,6,0.663,4756.96,3360.72,39.74576923076893,749.3257692307689,0.0
2017-01-08 13:00:00,1,13,6,0.657,4642.33,3386.06,27.12384615384599,649.7338461538461,0.0
2017-01-08 14:00:00,1,14,6,0.414,4624.58,3469.48,25.54115384615443,602.5111538461542,0.0
2017-01-08 15:00:00,1,15,6,0.262,4944.3,3772.72,72.73923076923165,659.9592307692319,0.0
2017-01-08 16:00:00,1,16,6,0.26,5306.65,4103.71,85.35076923076849,591.9207692307682,0.0
2017-01-08 17:00:00,1,17,6,0.35,5136.18,4031.89,89.36384615384577,530.4538461538459,0.0
