date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-10 19:00:00,34.0,1,19,3,34865.87,36082.939,7005.142588235292
2019-01-10 20:00:00,33.1,1,20,3,33994.287,35406.732,6918.331647058814
2019-01-10 21:00:00,33.1,1,21,3,32348.852,34072.004,6782.27488235294
2019-01-10 22:00:00,30.9,1,22,3,30158.709,32044.111,6150.15747058823
2019-01-10 23:00:00,30.0,1,23,3,28000.92,30240.206,5810.641529411761
2019-01-11 00:00:00,30.0,1,0,4,26618.478,28948.81,6401.730764705881
2019-01-11 01:00:00,30.0,1,1,4,25898.73,28288.272,6569.28176470588
2019-01-11 02:00:00,28.9,1,2,4,25637.622,28107.367,6800.479941176469
2019-01-11 03:00:00,28.9,1,3,4,25838.972,28274.692,7057.880529411759
2019-01-11 04:00:00,28.9,1,4,4,26696.575,29154.797,7603.433823529413
2019-01-11 05:00:00,28.0,1,5,4,28905.583,31285.139,8703.976823529418
2019-01-11 06:00:00,28.0,1,6,4,32402.17,34452.516,10152.33329411764
2019-01-11 07:00:00,27.0,1,7,4,34047.554,36066.839,10570.03494117647
2019-01-11 08:00:00,26.1,1,8,4,33676.279,35694.239,9302.167411764704
2019-01-11 09:00:00,27.0,1,9,4,33001.99,34894.428,7720.266588235296
2019-01-11 10:00:00,28.0,1,10,4,32401.447,34080.13,6628.871588235292
2019-01-11 11:00:00,28.9,1,11,4,32330.278,33238.473,5830.741882352944
2019-01-11 12:00:00,30.0,1,12,4,32373.335,32686.118,5341.59588235294
2019-01-11 13:00:00,30.9,1,13,4,32702.974,32638.705,5030.811705882359
2019-01-11 14:00:00,32.0,1,14,4,33095.184,32526.194,4887.098411764709
2019-01-11 15:00:00,34.0,1,15,4,33803.595,32737.315,5140.837235294122
2019-01-11 16:00:00,33.1,1,16,4,35279.385,33851.53,5478.055117647058
2019-01-11 17:00:00,32.0,1,17,4,37400.194,35313.174,5891.936411764706
2019-01-11 18:00:00,32.0,1,18,4,37724.652,34894.332,5870.239117647063
2019-01-11 19:00:00,30.9,1,19,4,37341.75,34048.631,5797.370588235288
2019-01-11 20:00:00,30.0,1,20,4,36786.526,33030.366,5829.396647058817
2019-01-11 21:00:00,28.0,1,21,4,35471.743,31771.027,5882.182882352943
2019-01-11 22:00:00,27.0,1,22,4,33343.303,29971.101,6041.843470588232
2019-01-11 23:00:00,28.0,1,23,4,31528.608,28173.397,5919.160529411762
2019-01-12 00:00:00,27.0,1,0,5,30423.179,26532.301,6652.019764705881
2019-01-12 01:00:00,24.1,1,1,5,29810.677,25563.932,6805.455764705879
2019-01-12 02:00:00,25.0,1,2,5,29731.451,24955.569,6877.28694117647
2019-01-12 03:00:00,23.0,1,3,5,29891.684,24659.255,6956.377529411759
2019-01-12 04:00:00,23.0,1,4,5,30786.751,24765.029,6917.595823529413
2019-01-12 05:00:00,24.1,1,5,5,32936.843,25393.538,6632.196823529415
2019-01-12 06:00:00,23.0,1,6,5,36409.486,26471.572,6075.402294117637
2019-01-12 07:00:00,23.0,1,7,5,38089.504,27712.789,5942.844941176467
2019-01-12 08:00:00,23.0,1,8,5,37664.243,28903.682,6170.932411764712
2019-01-12 09:00:00,25.0,1,9,5,36734.384,29969.103,5754.388588235299
2019-01-12 10:00:00,27.0,1,10,5,36316.33,30644.576,5059.420588235298
2019-01-12 11:00:00,28.9,1,11,5,35895.106,30765.088,4552.30888235294
2019-01-12 12:00:00,30.9,1,12,5,35565.453,30597.163,4148.822882352939
2019-01-12 13:00:00,33.1,1,13,5,35150.506,30338.317,3771.40270588236
2019-01-12 14:00:00,34.0,1,14,5,34927.141,30053.743,3792.3674117647097
2019-01-12 15:00:00,34.0,1,15,5,35252.166,29746.217,3868.105235294119
2019-01-12 16:00:00,34.0,1,16,5,36908.521,30379.079,3982.2541176470586
2019-01-12 17:00:00,34.0,1,17,5,39470.03,32187.694,3946.81641176471
2019-01-12 18:00:00,34.0,1,18,5,39875.394,32311.737,3850.546117647064
2019-01-12 19:00:00,33.1,1,19,5,39540.527,31854.947,3778.1285882352895
2019-01-12 20:00:00,32.0,1,20,5,38840.31,31288.969,3836.316647058815
2019-01-12 21:00:00,28.0,1,21,5,37540.431,30370.776,3995.11188235294
2019-01-12 22:00:00,27.0,1,22,5,35244.71,29116.733,4299.823470588228
2019-01-12 23:00:00,27.0,1,23,5,33325.525,27673.849,4417.908529411761
2019-01-13 00:00:00,27.0,1,0,6,31949.121,26316.103,5098.660764705881
2019-01-13 01:00:00,27.0,1,1,6,31320.914,25398.397,5055.04876470588
2019-01-13 02:00:00,28.0,1,2,6,31155.985,24945.985,5095.274941176467
2019-01-13 03:00:00,28.0,1,3,6,31287.3,24790.966,5151.306529411759
2019-01-13 04:00:00,27.0,1,4,6,32212.068,24916.312,5038.591823529412
2019-01-13 05:00:00,27.0,1,5,6,34486.031,25463.396,4544.743823529414
2019-01-13 06:00:00,27.0,1,6,6,37811.72,26312.605,3659.7232941176408
2019-01-13 07:00:00,27.0,1,7,6,39526.409,27265.662,3378.652941176468
2019-01-13 08:00:00,28.0,1,8,6,38761.698,28017.342,4039.79741176471
2019-01-13 09:00:00,27.0,1,9,6,37423.985,28532.585,4752.853588235295
2019-01-13 10:00:00,28.0,1,10,6,36403.359,28571.068,5038.8105882352975
2019-01-13 11:00:00,28.9,1,11,6,35484.05,27964.27,5212.318882352942
2019-01-13 12:00:00,30.0,1,12,6,34765.345,27452.456,5376.655882352938
2019-01-13 13:00:00,28.9,1,13,6,34328.605,27237.863,5323.475705882356
2019-01-13 14:00:00,28.9,1,14,6,34127.79,27368.635,5391.121411764711
2019-01-13 15:00:00,28.9,1,15,6,34670.777,27986.963,5406.970235294124
2019-01-13 16:00:00,30.0,1,16,6,36211.091,29638.411,5271.136117647056
2019-01-13 17:00:00,30.0,1,17,6,38597.939,32348.137,5076.000411764704
2019-01-13 18:00:00,30.0,1,18,6,38785.495,33049.138,5063.72711764706
2019-01-13 19:00:00,28.9,1,19,6,38332.755,32798.274,4768.109588235289
2019-01-13 20:00:00,30.0,1,20,6,37751.375,32625.448,4938.960647058815
2019-01-13 21:00:00,30.0,1,21,6,36640.339,31621.982,4669.501882352946
2019-01-13 22:00:00,30.0,1,22,6,35136.396,30043.866,4447.027470588233
2019-01-13 23:00:00,28.9,1,23,6,33434.044,28590.459,4367.071529411762
2019-01-14 00:00:00,28.0,1,0,0,32199.41,27544.941,5306.641764705881
2019-01-14 01:00:00,28.0,1,1,0,31557.088,27111.195,5590.810764705879
2019-01-14 02:00:00,26.1,1,2,0,31232.792,27168.998,5959.229941176469
2019-01-14 03:00:00,26.1,1,3,0,31185.797,27590.271,6405.4455294117615
2019-01-14 04:00:00,26.1,1,4,0,31526.23,28703.062,7018.730823529415
2019-01-14 05:00:00,24.1,1,5,0,32414.251,31114.644,8137.051823529415
2019-01-14 06:00:00,21.9,1,6,0,33734.789,34667.82,9476.915294117643
2019-01-14 07:00:00,21.9,1,7,0,34899.219,36438.65,10143.613941176469
2019-01-14 08:00:00,21.9,1,8,0,35630.463,36236.238,9740.106411764713
2019-01-14 09:00:00,24.1,1,9,0,35458.107,35668.499,8830.230588235296
2019-01-14 10:00:00,25.0,1,10,0,34833.908,35349.368,7826.738588235297
2019-01-14 11:00:00,28.9,1,11,0,34205.617,34904.738,6909.91888235294
2019-01-14 12:00:00,30.0,1,12,0,33572.572,34725.302,6236.38388235294
2019-01-14 13:00:00,32.0,1,13,0,33069.196,34984.116,5621.330705882359
2019-01-14 14:00:00,33.1,1,14,0,33033.059,35266.227,5218.983411764712
2019-01-14 15:00:00,34.0,1,15,0,33398.045,35794.804,5181.485235294123
2019-01-14 16:00:00,34.0,1,16,0,34715.29,37068.127,5354.925117647061
2019-01-14 17:00:00,34.0,1,17,0,36652.819,38794.717,6320.209411764707
2019-01-14 18:00:00,33.1,1,18,0,36765.802,38710.893,6886.866117647063
2019-01-14 19:00:00,32.0,1,19,0,36313.513,38047.225,7046.7535882352895
2019-01-14 20:00:00,30.0,1,20,0,35758.295,37042.615,7052.514647058819
2019-01-14 21:00:00,28.0,1,21,0,34753.268,35239.189,6780.61588235294
2019-01-14 22:00:00,28.0,1,22,0,33394.376,32962.52,6424.535470588235
2019-01-14 23:00:00,27.0,1,23,0,31932.792,30758.343,6203.937529411764
2019-01-15 00:00:00,26.1,1,0,1,30646.051,29074.686,6932.862764705882
2019-01-15 01:00:00,26.1,1,1,1,29806.681,28274.848,7362.430764705878
2019-01-15 02:00:00,24.1,1,2,1,29450.78,27875.257,7620.898941176467
2019-01-15 03:00:00,24.1,1,3,1,29380.726,27739.332,8069.536529411758
2019-01-15 04:00:00,25.0,1,4,1,29647.226,28347.379,8660.27782352941
2019-01-15 05:00:00,24.1,1,5,1,30326.798,30266.113,9732.656823529418
2019-01-15 06:00:00,23.0,1,6,1,31319.11,33351.062,11146.184294117644
2019-01-15 07:00:00,25.0,1,7,1,32335.027,35094.843,11531.837941176467
2019-01-15 08:00:00,26.1,1,8,1,33499.328,34960.958,10030.680411764712
2019-01-15 09:00:00,30.0,1,9,1,34456.572,34583.547,7891.711588235295
2019-01-15 10:00:00,33.1,1,10,1,34813.298,34345.454,6558.267588235292
2019-01-15 11:00:00,34.0,1,11,1,34865.627,33955.925,5642.21988235294
2019-01-15 12:00:00,35.1,1,12,1,34800.405,33351.189,5113.268882352935
2019-01-15 13:00:00,37.0,1,13,1,34621.269,32885.451,4897.147705882355
