date,tmp,month,hour,dayofweek,mw_2,mw_7,potential,poten_2,poten_7
2015-02-10 23:00:00,-7.103,2,23,1,4271.0,4282.0,860.0,367.0,378.0
2015-02-11 00:00:00,-7.23,2,0,2,4138.0,4152.0,825.6938775510198,315.6938775510198,329.6938775510198
2015-02-11 01:00:00,-7.419,2,1,2,4091.0,4101.0,828.7142857142858,316.7142857142858,326.7142857142858
2015-02-11 02:00:00,-7.646,2,2,2,4147.0,4122.0,845.5102040816328,360.5102040816328,335.5102040816328
2015-02-11 03:00:00,-7.887,2,3,2,4321.0,4273.0,914.6734693877552,421.6734693877552,373.6734693877552
2015-02-11 04:00:00,-8.192,2,4,2,4849.0,4751.0,1047.367346938776,630.3673469387759,532.3673469387759
2015-02-11 05:00:00,-8.327,2,5,2,5420.0,5229.0,1206.4897959183672,818.4897959183672,627.4897959183672
2015-02-11 06:00:00,-7.034,2,6,2,5893.0,5585.0,1178.3877551020396,940.3877551020396,632.3877551020396
2015-02-11 07:00:00,-5.048,2,7,2,6163.0,5701.0,1129.040816326531,1075.040816326531,613.0408163265311
2015-02-11 08:00:00,-3.816,2,8,2,6115.0,5641.0,1143.9795918367345,1105.9795918367345,631.9795918367345
2015-02-11 09:00:00,-3.076,2,9,2,5999.0,5588.0,1055.448979591837,1081.448979591837,670.4489795918371
2015-02-11 10:00:00,-2.594,2,10,2,5822.0,5457.0,1032.9183673469388,1041.9183673469388,676.9183673469388
2015-02-11 11:00:00,-2.347,2,11,2,5750.0,5415.0,1013.1224489795924,1041.1224489795925,706.1224489795923
2015-02-11 12:00:00,-2.345,2,12,2,5646.0,5357.0,1045.3469387755104,1022.3469387755104,733.3469387755104
2015-02-11 13:00:00,-2.656,2,13,2,5640.0,5374.0,1061.714285714285,1015.7142857142852,749.7142857142853
2015-02-11 14:00:00,-3.5,2,14,2,5686.0,5469.0,1090.959183673469,971.9591836734688,754.9591836734689
2015-02-11 15:00:00,-5.241,2,15,2,5882.0,5662.0,1111.8367346938776,927.8367346938776,707.8367346938776
2015-02-11 16:00:00,-6.2,2,16,2,6361.0,6103.0,1175.1428571428569,895.1428571428569,637.1428571428569
2015-02-11 17:00:00,-6.633,2,17,2,6435.0,6091.0,1163.632653061224,894.6326530612241,550.6326530612241
2015-02-11 18:00:00,-6.881,2,18,2,6108.0,5811.0,1148.1632653061224,813.1632653061224,516.1632653061224
2015-02-11 19:00:00,-7.059,2,19,2,5830.0,5556.0,1135.4285714285716,808.4285714285716,534.4285714285716
2015-02-11 20:00:00,-7.145,2,20,2,5698.0,5412.0,1120.6734693877552,839.6734693877552,553.6734693877552
2015-02-11 21:00:00,-7.191,2,21,2,5350.0,4936.0,1021.7346938775509,821.7346938775509,407.73469387755085
2015-02-11 22:00:00,-7.288,2,22,2,4898.0,4484.0,934.4489795918372,745.4489795918371,331.4489795918371
2015-02-11 23:00:00,-7.452,2,23,2,4593.0,4213.0,921.0,689.0,309.0
2015-02-12 00:00:00,-7.676,2,0,3,4453.0,4139.0,853.6938775510198,630.6938775510198,316.6938775510198
2015-02-12 01:00:00,-7.834,2,1,3,4443.0,4086.0,858.7142857142858,668.7142857142858,311.7142857142858
2015-02-12 02:00:00,-7.927,2,2,3,4464.0,4076.0,868.5102040816328,677.5102040816328,289.5102040816328
2015-02-12 03:00:00,-7.904,2,3,3,4598.0,4226.0,936.6734693877552,698.6734693877552,326.6734693877552
2015-02-12 04:00:00,-7.852,2,4,3,5139.0,4759.0,1077.367346938776,920.367346938776,540.3673469387759
2015-02-12 05:00:00,-7.568,2,5,3,5695.0,5201.0,1207.4897959183672,1093.4897959183672,599.4897959183672
2015-02-12 06:00:00,-5.863,2,6,3,6013.0,5580.0,1213.3877551020396,1060.3877551020396,627.3877551020396
2015-02-12 07:00:00,-3.386,2,7,3,6067.0,5632.0,1262.040816326531,979.0408163265312,544.0408163265311
2015-02-12 08:00:00,-1.486,2,8,3,5972.0,5545.0,1214.9795918367345,962.9795918367344,535.9795918367345
2015-02-12 09:00:00,-0.309,2,9,3,5834.0,5387.0,1157.448979591837,916.4489795918372,469.4489795918371
2015-02-12 10:00:00,0.446,2,10,3,5695.0,5130.0,1117.9183673469388,914.9183673469388,349.9183673469388
2015-02-12 11:00:00,0.879,2,11,3,5644.0,5034.0,1103.1224489795925,935.1224489795924,325.12244897959226
2015-02-12 12:00:00,0.978,2,12,3,5610.0,4924.0,959.3469387755104,986.3469387755104,300.34693877551035
2015-02-12 13:00:00,0.713,2,13,3,5705.0,4937.0,945.7142857142852,1080.714285714285,312.7142857142853
2015-02-12 14:00:00,-0.234,2,14,3,5740.0,5118.0,911.9591836734688,1025.959183673469,403.95918367346894
2015-02-12 15:00:00,-2.306,2,15,3,5928.0,5395.0,921.8367346938776,973.8367346938776,440.8367346938776
2015-02-12 16:00:00,-3.405,2,16,3,6516.0,5899.0,985.1428571428568,1050.1428571428569,433.1428571428569
2015-02-12 17:00:00,-3.939,2,17,3,6556.0,5943.0,1021.632653061224,1015.632653061224,402.6326530612241
2015-02-12 18:00:00,-4.309,2,18,3,6315.0,5672.0,1043.1632653061224,1020.1632653061224,377.1632653061224
2015-02-12 19:00:00,-4.623,2,19,3,6012.0,5465.0,1044.4285714285716,990.4285714285716,443.4285714285716
2015-02-12 20:00:00,-4.92,2,20,3,5854.0,5222.0,1019.6734693877552,995.6734693877552,363.6734693877552
2015-02-12 21:00:00,-5.234,2,21,3,5494.0,4885.0,954.7346938775509,965.7346938775509,356.73469387755085
2015-02-12 22:00:00,-5.471,2,22,3,5072.0,4465.0,861.4489795918371,919.4489795918372,312.4489795918371
2015-02-12 23:00:00,-5.728,2,23,3,4764.0,4140.0,850.0,860.0,236.0
