date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,2.585,21536.0,20838.0,284.40000000000146
2017-01-01 01:00:00,1,1,6,2.524,20566.0,19194.0,187.0
2017-01-01 02:00:00,1,2,6,2.464,20225.0,18272.0,0.0
2017-01-01 03:00:00,1,3,6,2.386,20522.0,17874.0,0.0
2017-01-01 04:00:00,1,4,6,2.326,21824.0,18182.0,0.0
2017-01-01 05:00:00,1,5,6,2.278,25199.0,19370.0,0.0
2017-01-01 06:00:00,1,6,6,2.226,29136.0,20398.0,0.0
2017-01-01 07:00:00,1,7,6,3.003,32821.0,21513.0,0.0
2017-01-01 08:00:00,1,8,6,4.866,34830.0,23561.0,0.0
2017-01-01 09:00:00,1,9,6,6.514,34906.0,25168.0,0.0
2017-01-01 10:00:00,1,10,6,7.83,34655.0,25745.0,0.0
2017-01-01 11:00:00,1,11,6,8.638,32880.0,24580.0,0.0
2017-01-01 12:00:00,1,12,6,8.923,31576.0,21729.0,0.0
2017-01-01 13:00:00,1,13,6,8.642,31652.0,20331.0,0.0
2017-01-01 14:00:00,1,14,6,7.364,32197.0,20778.0,0.0
2017-01-01 15:00:00,1,15,6,5.76,33737.0,22801.0,0.0
2017-01-01 16:00:00,1,16,6,5.032,37438.0,26409.0,0.0
2017-01-01 17:00:00,1,17,6,4.602,37838.0,27014.0,0.0
2017-01-01 18:00:00,1,18,6,4.266,37392.0,27303.0,0.0
2017-01-01 19:00:00,1,19,6,3.953,35074.0,26905.0,0.0
2017-01-01 20:00:00,1,20,6,3.703,32522.0,25975.0,0.0
2017-01-01 21:00:00,1,21,6,3.541,29523.0,24499.0,0.0
2017-01-01 22:00:00,1,22,6,3.466,26291.0,22409.0,0.0
2017-01-01 23:00:00,1,23,6,3.424,23366.0,20365.0,0.0
2017-01-02 00:00:00,1,0,0,3.433,21363.0,18650.0,0.0
2017-01-02 01:00:00,1,1,0,3.446,20211.0,17896.0,0.0
2017-01-02 02:00:00,1,2,0,3.414,19737.0,17493.0,0.0
2017-01-02 03:00:00,1,3,0,3.373,19772.0,17505.0,0.0
