ept,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,-17.0,1,0,3,1108.0,1042.4,234.1357142857144
2015-01-08 01:00:00,-17.3,1,1,3,1078.2,991.2,232.84642857142853
2015-01-08 02:00:00,-17.4,1,2,3,1065.9,961.5,234.48928571428564
2015-01-08 03:00:00,-17.4,1,3,3,1064.9,947.1,248.75357142857132
2015-01-08 04:00:00,-17.3,1,4,3,1091.1,951.2,289.6107142857145
2015-01-08 05:00:00,-17.5,1,5,3,1163.8,970.6,332.4821428571428
2015-01-08 06:00:00,-17.7,1,6,3,1297.1,994.6,413.8607142857145
2015-01-08 07:00:00,-17.3,1,7,3,1393.1,1013.7,446.40714285714273
2015-01-08 08:00:00,-17.1,1,8,3,1398.330759,1016.704114,396.5821428571428
2015-01-08 09:00:00,-16.9,1,9,3,1395.141087,967.6658596,375.9392857142859
2015-01-08 10:00:00,-17.2,1,10,3,1384.647619,1065.309075,354.6142857142854
2015-01-08 11:00:00,-17.1,1,11,3,1349.660825,1086.332469,325.7750000000001
2015-01-08 12:00:00,-16.4,1,12,3,1304.272847,1042.933079,311.7821428571426
2015-01-08 13:00:00,-16.2,1,13,3,1302.343889,978.5403234,305.75714285714275
2015-01-08 14:00:00,-15.3,1,14,3,1281.07276,995.9874823,298.35000000000014
2015-01-08 15:00:00,-14.0,1,15,3,1368.589879,1049.974655,292.13928571428573
2015-01-08 16:00:00,-12.5,1,16,3,1442.585598,1182.5,286.51428571428573
2015-01-08 17:00:00,-11.2,1,17,3,1542.6,1291.7,313.8714285714284
2015-01-08 18:00:00,-10.0,1,18,3,1545.5,1271.1,317.4178571428572
2015-01-08 19:00:00,-9.7,1,19,3,1502.8,1244.8,315.4571428571428
2015-01-08 20:00:00,-10.0,1,20,3,1452.2,1207.6,307.51785714285734
2015-01-08 21:00:00,-10.3,1,21,3,1366.6,1156.0,278.79642857142835
2015-01-08 22:00:00,-11.0,1,22,3,1243.6,1080.4,222.43928571428543
2015-01-08 23:00:00,-11.3,1,23,3,1159.4,1015.3,190.2142857142859
2015-01-09 00:00:00,-11.3,1,0,4,1101.9,972.2,172.63571428571436
2015-01-09 01:00:00,-11.2,1,1,4,1072.1,939.7,182.04642857142852
2015-01-09 02:00:00,-11.0,1,2,4,1058.1,922.1,189.08928571428572
2015-01-09 03:00:00,-11.0,1,3,4,1062.2,914.0,197.55357142857133
2015-01-09 04:00:00,-10.7,1,4,4,1095.5,930.4,210.41071428571445
2015-01-09 05:00:00,-10.4,1,5,4,1172.6,982.5,245.58214285714268
2015-01-09 06:00:00,-10.2,1,6,4,1310.9,1058.9,324.4607142857144
2015-01-09 07:00:00,-10.1,1,7,4,1401.4,1123.3,368.7071428571429
2015-01-09 08:00:00,-9.9,1,8,4,1408.147207,1146.012049,329.4821428571429
2015-01-09 09:00:00,-9.7,1,9,4,1417.891519,1152.643635,295.0392857142858
2015-01-09 10:00:00,-9.6,1,10,4,1417.466346,1150.054476,273.21428571428555
2015-01-09 11:00:00,-9.5,1,11,4,1438.582343,1159.079064,251.4749999999999
2015-01-09 12:00:00,-9.3,1,12,4,1434.097027,1046.220958,224.28214285714265
2015-01-09 13:00:00,-8.9,1,13,4,1442.704685,1056.11264,220.8571428571429
2015-01-09 14:00:00,-7.7,1,14,4,1449.862268,1130.043467,217.95000000000005
2015-01-09 15:00:00,-6.4,1,15,4,1470.526319,1122.585999,208.63928571428573
2015-01-09 16:00:00,-6.6,1,16,4,1525.2,1235.428417,195.4142857142856
2015-01-09 17:00:00,-6.7,1,17,4,1629.2,1343.1,218.27142857142823
2015-01-09 18:00:00,-6.1,1,18,4,1616.8,1323.6,214.11785714285725
2015-01-09 19:00:00,-6.4,1,19,4,1587.6,1284.1,202.9571428571428
2015-01-09 20:00:00,-7.7,1,20,4,1538.8,1247.1,202.5178571428573
2015-01-09 21:00:00,-8.2,1,21,4,1447.2,1196.7,203.79642857142835
2015-01-09 22:00:00,-8.2,1,22,4,1329.4,1125.0,187.6392857142855
2015-01-09 23:00:00,-8.6,1,23,4,1244.4,1052.2,173.51428571428585
2015-01-10 00:00:00,-9.1,1,0,5,1181.6,996.3,158.2357142857145
2015-01-10 01:00:00,-9.5,1,1,5,1144.1,963.1,165.44642857142867
2015-01-10 02:00:00,-10.1,1,2,5,1125.8,944.9,170.7892857142856
2015-01-10 03:00:00,-10.4,1,3,5,1130.8,934.6,171.05357142857133
2015-01-10 04:00:00,-11.1,1,4,5,1177.2,940.0,176.6107142857145
2015-01-10 05:00:00,-11.6,1,5,5,1247.0,970.3,177.78214285714273
2015-01-10 06:00:00,-12.0,1,6,5,1375.9,1014.3,186.3607142857145
2015-01-10 07:00:00,-12.4,1,7,5,1457.1,1065.1,195.8071428571428
2015-01-10 08:00:00,-13.1,1,8,5,1418.750021,1045.626796,203.38214285714275
2015-01-10 09:00:00,-13.4,1,9,5,1433.120689,1106.795855,205.73928571428587
2015-01-10 10:00:00,-14.0,1,10,5,1391.190513,1078.237199,189.81428571428543
2015-01-10 11:00:00,-14.7,1,11,5,1360.364309,1113.988964,178.57500000000005
2015-01-10 12:00:00,-15.4,1,12,5,1389.377124,1032.822719,164.58214285714257
2015-01-10 13:00:00,-15.4,1,13,5,1344.992799,1042.5292,153.3571428571429
2015-01-10 14:00:00,-14.5,1,14,5,1356.19314,1066.746297,150.6500000000001
2015-01-10 15:00:00,-13.4,1,15,5,1381.080794,1122.423585,146.03928571428582
2015-01-10 16:00:00,-12.4,1,16,5,1445.304977,1254.88615,140.3142857142857
2015-01-10 17:00:00,-11.5,1,17,5,1552.4,1309.8,164.4714285714283
2015-01-10 18:00:00,-10.5,1,18,5,1554.7,1280.3,175.21785714285716
2015-01-10 19:00:00,-9.8,1,19,5,1525.9,1244.6,168.25714285714275
2015-01-10 20:00:00,-9.8,1,20,5,1482.7,1207.1,169.4178571428572
2015-01-10 21:00:00,-10.4,1,21,5,1399.7,1147.7,169.29642857142835
2015-01-10 22:00:00,-11.1,1,22,5,1273.8,1070.7,158.43928571428546
2015-01-10 23:00:00,-12.2,1,23,5,1176.7,992.8,153.11428571428576
2015-01-11 00:00:00,-12.5,1,0,6,1120.1,931.8,129.2357142857145
2015-01-11 01:00:00,-12.4,1,1,6,1093.3,884.6,129.14642857142871
2015-01-11 02:00:00,-12.9,1,2,6,1080.4,852.2,128.0892857142857
2015-01-11 03:00:00,-14.3,1,3,6,1079.6,837.6,121.05357142857144
2015-01-11 04:00:00,-16.1,1,4,6,1098.0,834.0,114.51071428571449
2015-01-11 05:00:00,-14.8,1,5,6,1160.1,847.0,103.78214285714272
2015-01-11 06:00:00,-13.3,1,6,6,1286.5,878.0,96.66071428571443
2015-01-11 07:00:00,-12.0,1,7,6,1379.4,919.0,90.10714285714278
2015-01-11 08:00:00,-10.8,1,8,6,1371.460097,942.7535313,102.68214285714272
2015-01-11 09:00:00,-10.3,1,9,6,1355.895183,980.1091691,106.73928571428588
2015-01-11 10:00:00,-10.0,1,10,6,1344.384152,991.4684757,104.81428571428546
2015-01-11 11:00:00,-10.0,1,11,6,1307.739201,1019.12225,103.97499999999992
2015-01-11 12:00:00,-9.7,1,12,6,1242.438849,1017.394595,79.08214285714257
2015-01-11 13:00:00,-9.1,1,13,6,1256.086176,1031.758457,69.05714285714294
2015-01-11 14:00:00,-8.5,1,14,6,1267.684592,1066.10155,72.85000000000014
2015-01-11 15:00:00,-7.7,1,15,6,1270.342873,1096.674509,72.43928571428569
2015-01-11 16:00:00,-6.4,1,16,6,1350.155224,1173.3,82.81428571428569
2015-01-11 17:00:00,-5.1,1,17,6,1456.8,1269.3,101.27142857142826
2015-01-11 18:00:00,-3.9,1,18,6,1451.4,1259.8,91.61785714285725
2015-01-11 19:00:00,-3.1,1,19,6,1413.4,1227.4,78.9571428571428
2015-01-11 20:00:00,-2.5,1,20,6,1377.7,1186.9,69.61785714285725
2015-01-11 21:00:00,-2.0,1,21,6,1324.7,1120.1,52.69642857142821
2015-01-11 22:00:00,-1.6,1,22,6,1239.0,1044.1,34.639285714285506
2015-01-11 23:00:00,-1.6,1,23,6,1160.0,980.5,28.61428571428587
2015-01-12 00:00:00,-1.5,1,0,0,1105.7,940.8,20.735714285714494
2015-01-12 01:00:00,-1.2,1,1,0,1076.7,923.7,30.04642857142857
2015-01-12 02:00:00,-0.8,1,2,0,1062.1,925.0,42.78928571428571
2015-01-12 03:00:00,-0.7,1,3,0,1053.1,939.1,51.75357142857138
2015-01-12 04:00:00,-0.8,1,4,0,1064.2,976.5,73.2107142857144
2015-01-12 05:00:00,-1.0,1,5,0,1092.3,1077.5,129.18214285714282
2015-01-12 06:00:00,-1.4,1,6,0,1148.4,1221.0,217.3607142857145
2015-01-12 07:00:00,-2.3,1,7,0,1206.5,1312.4,259.50714285714287
2015-01-12 08:00:00,-2.0,1,8,0,1242.962129,1312.089669,229.6821428571427
2015-01-12 09:00:00,-2.1,1,9,0,1257.097202,1309.409609,208.93928571428592
2015-01-12 10:00:00,-2.2,1,10,0,1245.426726,1315.111859,196.81428571428543
2015-01-12 11:00:00,-2.3,1,11,0,1246.792909,1333.705913,197.2750000000001
2015-01-12 12:00:00,-2.1,1,12,0,1234.159351,1319.521431,191.08214285714257
2015-01-12 13:00:00,-1.8,1,13,0,1225.999377,1309.051442,195.0571428571429
2015-01-12 14:00:00,-1.5,1,14,0,1228.702901,1326.477921,183.8500000000001
2015-01-12 15:00:00,-1.3,1,15,0,1251.746033,1339.457351,179.4392857142857
2015-01-12 16:00:00,-1.0,1,16,0,1300.065438,1409.900435,199.21428571428555
2015-01-12 17:00:00,-0.4,1,17,0,1403.0,1533.9,199.4714285714283
2015-01-12 18:00:00,0.1,1,18,0,1412.5,1535.9,194.0178571428571
2015-01-12 19:00:00,-0.2,1,19,0,1378.7,1512.5,193.4571428571428
2015-01-12 20:00:00,-0.7,1,20,0,1344.6,1458.8,183.8178571428573
2015-01-12 21:00:00,-1.3,1,21,0,1290.2,1370.4,167.79642857142835
2015-01-12 22:00:00,-1.8,1,22,0,1209.8,1253.4,144.43928571428546
2015-01-12 23:00:00,-2.0,1,23,0,1139.6,1160.5,130.51428571428585
