date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,6.2,5372.6,4802.2,239.1666666666661
2017-01-01 01:00:00,1,1,6,5.834,4958.4,4591.1,199.80000000000013
2017-01-01 02:00:00,1,2,6,5.552,4676.6,4280.5,157.8666666666668
2017-01-01 03:00:00,1,3,6,5.303,4552.0,3996.7,106.09999999999944
2017-01-01 04:00:00,1,4,6,5.145,4477.3,3842.1,87.33333333333303
2017-01-01 05:00:00,1,5,6,5.019,4515.5,3775.5,79.59999999999991
2017-01-01 06:00:00,1,6,6,4.956,4759.6,3759.6,68.39999999999964
2017-01-01 07:00:00,1,7,6,4.923,5124.4,3655.2,48.16666666666652
2017-01-01 08:00:00,1,8,6,5.563,5688.2,3722.5,54.59999999999991
2017-01-01 09:00:00,1,9,6,6.976,6216.0,4180.4,83.59999999999991
2017-01-01 10:00:00,1,10,6,8.343,6406.7,4677.2,122.73333333333358
2017-01-01 11:00:00,1,11,6,9.875,6464.7,5072.9,141.46666666666624
2017-01-01 12:00:00,1,12,6,11.153,6396.2,5139.0,132.83333333333303
2017-01-01 13:00:00,1,13,6,11.95,6217.4,4661.9,127.60000000000036
2017-01-01 14:00:00,1,14,6,12.133,6183.0,4258.9,144.90000000000057
2017-01-01 15:00:00,1,15,6,11.689,6060.7,4205.7,174.76666666666551
2017-01-01 16:00:00,1,16,6,10.428,5974.4,4270.3,221.96666666666715
2017-01-01 17:00:00,1,17,6,9.542,6418.0,4784.7,238.9999999999991
2017-01-01 18:00:00,1,18,6,9.476,6982.5,5318.7,202.1333333333332
2017-01-01 19:00:00,1,19,6,9.504,7118.1,5471.5,195.83333333333303
2017-01-01 20:00:00,1,20,6,9.369,7015.9,5526.9,198.69999999999985
2017-01-01 21:00:00,1,21,6,9.288,6755.9,5447.3,189.76666666666551
2017-01-01 22:00:00,1,22,6,9.111,6496.3,5327.9,200.5666666666666
2017-01-01 23:00:00,1,23,6,8.983,5975.4,5033.1,144.16666666666697
2017-01-02 00:00:00,1,0,0,8.898,5371.3,4721.5,0.0
2017-01-02 01:00:00,1,1,0,8.86,4941.2,4333.8,0.0
2017-01-02 02:00:00,1,2,0,8.902,4625.6,4101.5,0.0
2017-01-02 03:00:00,1,3,0,8.965,4453.4,3984.7,0.0
2017-01-02 04:00:00,1,4,0,8.989,4345.2,3946.1,88.0333333333333
2017-01-02 05:00:00,1,5,0,8.961,4279.8,4009.4,289.4000000000001
2017-01-02 06:00:00,1,6,0,8.922,4351.6,4202.1,631.8000000000002
