ept,tmp,month,hour,dayofweek,kw_2,kw_7
2017-01-02 20:00:00,50.2,1,20,0,,
2017-01-02 21:00:00,49.1,1,21,0,,
2017-01-02 22:00:00,48.7,1,22,0,,
2017-01-02 23:00:00,48.6,1,23,0,,
2017-01-03 00:00:00,48.2,1,0,1,15984.0,
2017-01-03 01:00:00,48.2,1,1,1,15984.0,
2017-01-03 02:00:00,48.2,1,2,1,15822.0,
2017-01-03 03:00:00,48.2,1,3,1,15336.0,
2017-01-03 04:00:00,48.2,1,4,1,15228.0,
2017-01-03 05:00:00,48.4,1,5,1,15336.0,
2017-01-03 06:00:00,48.7,1,6,1,15714.0,
2017-01-03 07:00:00,49.1,1,7,1,16038.0,
2017-01-03 08:00:00,50.2,1,8,1,16470.0,
2017-01-03 09:00:00,50.5,1,9,1,16848.0,
2017-01-03 10:00:00,50.9,1,10,1,16470.0,
2017-01-03 11:00:00,52.7,1,11,1,16254.0,
2017-01-03 12:00:00,55.4,1,12,1,16200.0,
2017-01-03 13:00:00,58.1,1,13,1,15606.0,
2017-01-03 14:00:00,59.0,1,14,1,15066.0,
2017-01-03 15:00:00,59.5,1,15,1,15282.0,
2017-01-03 16:00:00,59.9,1,16,1,15552.0,
2017-01-03 17:00:00,58.8,1,17,1,16362.0,
2017-01-03 18:00:00,57.0,1,18,1,16362.0,
2017-01-03 19:00:00,55.9,1,19,1,16092.0,
2017-01-03 20:00:00,56.5,1,20,1,15930.0,
2017-01-03 21:00:00,56.5,1,21,1,15444.0,
2017-01-03 22:00:00,54.7,1,22,1,14796.0,
2017-01-03 23:00:00,55.4,1,23,1,14040.0,
2017-01-04 00:00:00,55.6,1,0,2,13230.0,
2017-01-04 01:00:00,56.1,1,1,2,12798.0,
2017-01-04 02:00:00,56.8,1,2,2,12690.0,
2017-01-04 03:00:00,56.8,1,3,2,12528.0,
2017-01-04 04:00:00,56.3,1,4,2,12582.0,
2017-01-04 05:00:00,55.9,1,5,2,13122.0,
2017-01-04 06:00:00,55.4,1,6,2,13986.0,
2017-01-04 07:00:00,55.4,1,7,2,14202.0,
2017-01-04 08:00:00,55.4,1,8,2,14040.0,
2017-01-04 09:00:00,55.8,1,9,2,14580.0,
2017-01-04 10:00:00,56.5,1,10,2,15930.0,
2017-01-04 11:00:00,59.0,1,11,2,15660.0,
2017-01-04 12:00:00,61.0,1,12,2,15390.0,
2017-01-04 13:00:00,62.8,1,13,2,14904.0,
2017-01-04 14:00:00,62.2,1,14,2,15012.0,
2017-01-04 15:00:00,61.0,1,15,2,14904.0,
2017-01-04 16:00:00,60.6,1,16,2,15606.0,
2017-01-04 17:00:00,57.4,1,17,2,16740.0,
2017-01-04 18:00:00,53.6,1,18,2,17064.0,
2017-01-04 19:00:00,51.4,1,19,2,16956.0,
2017-01-04 20:00:00,48.7,1,20,2,17064.0,
2017-01-04 21:00:00,44.1,1,21,2,15930.0,
2017-01-04 22:00:00,42.8,1,22,2,15282.0,
2017-01-04 23:00:00,45.7,1,23,2,15066.0,
2017-01-05 00:00:00,45.0,1,0,3,15498.0,
2017-01-05 01:00:00,43.2,1,1,3,16200.0,
2017-01-05 02:00:00,37.6,1,2,3,16524.0,
2017-01-05 03:00:00,34.3,1,3,3,16740.0,
2017-01-05 04:00:00,32.4,1,4,3,17334.0,
2017-01-05 05:00:00,32.9,1,5,3,18630.0,
2017-01-05 06:00:00,31.3,1,6,3,20358.0,
2017-01-05 07:00:00,28.9,1,7,3,20844.0,
2017-01-05 08:00:00,29.7,1,8,3,20574.0,
2017-01-05 09:00:00,36.0,1,9,3,20574.0,
2017-01-05 10:00:00,40.6,1,10,3,20628.0,
2017-01-05 11:00:00,43.7,1,11,3,19818.0,
2017-01-05 12:00:00,45.0,1,12,3,19548.0,
2017-01-05 13:00:00,46.9,1,13,3,19764.0,
2017-01-05 14:00:00,46.2,1,14,3,19332.0,
2017-01-05 15:00:00,46.0,1,15,3,19332.0,
2017-01-05 16:00:00,45.5,1,16,3,19602.0,
2017-01-05 17:00:00,44.2,1,17,3,20520.0,
2017-01-05 18:00:00,43.0,1,18,3,21060.0,
2017-01-05 19:00:00,42.8,1,19,3,21222.0,
2017-01-05 20:00:00,42.4,1,20,3,20196.0,
2017-01-05 21:00:00,43.2,1,21,3,19440.0,
2017-01-05 22:00:00,43.3,1,22,3,18738.0,
2017-01-05 23:00:00,43.0,1,23,3,17226.0,
2017-01-06 00:00:00,41.0,1,0,4,16740.0,
2017-01-06 01:00:00,41.0,1,1,4,16848.0,
2017-01-06 02:00:00,38.5,1,2,4,16308.0,
2017-01-06 03:00:00,38.7,1,3,4,16200.0,
2017-01-06 04:00:00,38.5,1,4,4,16308.0,
2017-01-06 05:00:00,37.9,1,5,4,17766.0,
2017-01-06 06:00:00,38.5,1,6,4,19980.0,
2017-01-06 07:00:00,39.2,1,7,4,20952.0,
2017-01-06 08:00:00,39.4,1,8,4,20250.0,
2017-01-06 09:00:00,40.1,1,9,4,19710.0,
2017-01-06 10:00:00,41.4,1,10,4,19710.0,
2017-01-06 11:00:00,42.1,1,11,4,19602.0,
2017-01-06 12:00:00,43.5,1,12,4,19278.0,
2017-01-06 13:00:00,43.5,1,13,4,19386.0,
2017-01-06 14:00:00,43.5,1,14,4,19278.0,
2017-01-06 15:00:00,43.7,1,15,4,19170.0,
2017-01-06 16:00:00,42.3,1,16,4,20034.0,
2017-01-06 17:00:00,39.7,1,17,4,20682.0,
2017-01-06 18:00:00,38.5,1,18,4,21654.0,
2017-01-06 19:00:00,37.0,1,19,4,21546.0,
2017-01-06 20:00:00,36.5,1,20,4,21276.0,
2017-01-06 21:00:00,35.4,1,21,4,21600.0,
2017-01-06 22:00:00,34.7,1,22,4,20574.0,
2017-01-06 23:00:00,33.6,1,23,4,19386.0,
2017-01-07 00:00:00,33.1,1,0,5,19440.0,
2017-01-07 01:00:00,32.2,1,1,5,19602.0,
2017-01-07 02:00:00,32.0,1,2,5,20142.0,
2017-01-07 03:00:00,32.0,1,3,5,20250.0,
2017-01-07 04:00:00,32.0,1,4,5,21276.0,
2017-01-07 05:00:00,31.5,1,5,5,22896.0,
2017-01-07 06:00:00,30.6,1,6,5,25866.0,
2017-01-07 07:00:00,28.9,1,7,5,26460.0,
2017-01-07 08:00:00,29.3,1,8,5,25164.0,
2017-01-07 09:00:00,27.1,1,9,5,23328.0,
2017-01-07 10:00:00,26.4,1,10,5,22410.0,
2017-01-07 11:00:00,25.3,1,11,5,21438.0,
2017-01-07 12:00:00,24.6,1,12,5,20682.0,
2017-01-07 13:00:00,24.3,1,13,5,21006.0,
2017-01-07 14:00:00,23.9,1,14,5,21492.0,
2017-01-07 15:00:00,23.7,1,15,5,21816.0,
2017-01-07 16:00:00,23.9,1,16,5,22518.0,
2017-01-07 17:00:00,23.7,1,17,5,23976.0,
2017-01-07 18:00:00,23.0,1,18,5,24786.0,
2017-01-07 19:00:00,22.8,1,19,5,24894.0,
2017-01-07 20:00:00,21.7,1,20,5,24408.0,
2017-01-07 21:00:00,21.0,1,21,5,23112.0,
2017-01-07 22:00:00,20.3,1,22,5,21708.0,
2017-01-07 23:00:00,20.1,1,23,5,20520.0,
2017-01-08 00:00:00,19.2,1,0,6,20034.0,15984.0
2017-01-08 01:00:00,18.1,1,1,6,20412.0,15984.0
2017-01-08 02:00:00,17.4,1,2,6,20898.0,15822.0
2017-01-08 03:00:00,16.9,1,3,6,20574.0,15336.0
2017-01-08 04:00:00,16.3,1,4,6,21438.0,15228.0
2017-01-08 05:00:00,15.4,1,5,6,22788.0,15336.0
2017-01-08 06:00:00,15.3,1,6,6,24678.0,15714.0
2017-01-08 07:00:00,15.3,1,7,6,25488.0,16038.0
2017-01-08 08:00:00,15.3,1,8,6,24732.0,16470.0
2017-01-08 09:00:00,17.2,1,9,6,23760.0,16848.0
2017-01-08 10:00:00,18.1,1,10,6,23274.0,16470.0
2017-01-08 11:00:00,19.8,1,11,6,23274.0,16254.0
2017-01-08 12:00:00,21.0,1,12,6,22626.0,16200.0
2017-01-08 13:00:00,22.6,1,13,6,22680.0,15606.0
2017-01-08 14:00:00,23.9,1,14,6,23220.0,15066.0
2017-01-08 15:00:00,25.0,1,15,6,23058.0,15282.0
2017-01-08 16:00:00,25.2,1,16,6,23490.0,15552.0
2017-01-08 17:00:00,23.7,1,17,6,24570.0,16362.0
2017-01-08 18:00:00,19.4,1,18,6,24732.0,16362.0
2017-01-08 19:00:00,19.4,1,19,6,25002.0,16092.0
2017-01-08 20:00:00,15.8,1,20,6,24894.0,15930.0
2017-01-08 21:00:00,14.7,1,21,6,24354.0,15444.0
2017-01-08 22:00:00,12.9,1,22,6,23328.0,14796.0
2017-01-08 23:00:00,12.4,1,23,6,22302.0,14040.0
2017-01-09 00:00:00,11.5,1,0,0,22356.0,13230.0
2017-01-09 01:00:00,11.8,1,1,0,22950.0,12798.0
