utc,month,hour,dayofweek,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,1.129,10870.0,10062.0
2017-01-01 01:00:00,1,1,6,0.931,10504.0,9525.0
2017-01-01 02:00:00,1,2,6,0.616,10316.0,9312.0
2017-01-01 03:00:00,1,3,6,0.183,10366.0,9278.0
2017-01-01 04:00:00,1,4,6,-0.279,10796.0,9408.0
2017-01-01 05:00:00,1,5,6,-0.782,11805.0,9730.0
2017-01-01 06:00:00,1,6,6,-1.178,13255.0,10314.0
2017-01-01 07:00:00,1,7,6,-1.477,14723.0,11209.0
2017-01-01 08:00:00,1,8,6,-1.398,15536.0,11995.0
2017-01-01 09:00:00,1,9,6,-0.959,15803.0,12585.0
2017-01-01 10:00:00,1,10,6,-0.433,15680.0,12832.0
2017-01-01 11:00:00,1,11,6,0.016,15412.0,12946.0
2017-01-01 12:00:00,1,12,6,0.287,15295.0,12891.0
2017-01-01 13:00:00,1,13,6,0.409,15221.0,12672.0
2017-01-01 14:00:00,1,14,6,0.444,15166.0,12547.0
2017-01-01 15:00:00,1,15,6,0.478,15665.0,12839.0
2017-01-01 16:00:00,1,16,6,0.587,16824.0,13708.0
2017-01-01 17:00:00,1,17,6,0.698,16301.0,13622.0
2017-01-01 18:00:00,1,18,6,0.795,15671.0,13107.0
2017-01-01 19:00:00,1,19,6,0.898,14877.0,12695.0
2017-01-01 20:00:00,1,20,6,0.996,13921.0,12300.0
2017-01-01 21:00:00,1,21,6,1.183,12939.0,11849.0
2017-01-01 22:00:00,1,22,6,1.415,12124.0,11158.0
2017-01-01 23:00:00,1,23,6,1.61,11284.0,10486.0
2017-01-02 00:00:00,1,0,0,1.768,10646.0,9806.0
2017-01-02 01:00:00,1,1,0,1.987,10222.0,9389.0
2017-01-02 02:00:00,1,2,0,2.167,10014.0,9239.0
2017-01-02 03:00:00,1,3,0,2.328,9982.0,9226.0
2017-01-02 04:00:00,1,4,0,2.135,10134.0,9445.0
2017-01-02 05:00:00,1,5,0,1.739,10641.0,9912.0
2017-01-02 06:00:00,1,6,0,1.386,11412.0,10471.0
2017-01-02 07:00:00,1,7,0,1.186,12588.0,11324.0
2017-01-02 08:00:00,1,8,0,1.865,13698.0,12226.0
2017-01-02 09:00:00,1,9,0,3.344,14428.0,12816.0
2017-01-02 10:00:00,1,10,0,4.287,14705.0,12873.0
2017-01-02 11:00:00,1,11,0,4.754,14664.0,12764.0
2017-01-02 12:00:00,1,12,0,4.754,14455.0,12551.0
2017-01-02 13:00:00,1,13,0,4.224,14380.0,12417.0
2017-01-02 14:00:00,1,14,0,3.248,14311.0,12544.0
2017-01-02 15:00:00,1,15,0,2.29,14575.0,13102.0
2017-01-02 16:00:00,1,16,0,2.054,15102.0,14268.0
2017-01-02 17:00:00,1,17,0,2.073,14663.0,14090.0
2017-01-02 18:00:00,1,18,0,2.039,14042.0,13529.0
2017-01-02 19:00:00,1,19,0,1.907,13180.0,13048.0
2017-01-02 20:00:00,1,20,0,1.759,12326.0,12560.0
2017-01-02 21:00:00,1,21,0,1.642,11796.0,11996.0
2017-01-02 22:00:00,1,22,0,1.645,11379.0,11242.0
2017-01-02 23:00:00,1,23,0,1.682,11025.0,10526.0
2017-01-03 00:00:00,1,0,1,1.848,10794.0,9949.0
2017-01-03 01:00:00,1,1,1,2.089,10320.0,9630.0
2017-01-03 02:00:00,1,2,1,2.325,9930.0,9510.0
2017-01-03 03:00:00,1,3,1,2.571,9679.0,9594.0
2017-01-03 04:00:00,1,4,1,2.821,9652.0,10062.0
2017-01-03 05:00:00,1,5,1,2.916,9784.0,11248.0
2017-01-03 06:00:00,1,6,1,2.981,10117.0,12756.0
2017-01-03 07:00:00,1,7,1,3.024,10464.0,14286.0
2017-01-03 08:00:00,1,8,1,3.159,10852.0,15116.0
2017-01-03 09:00:00,1,9,1,3.644,11555.0,15303.0
2017-01-03 10:00:00,1,10,1,4.189,12136.0,15180.0
2017-01-03 11:00:00,1,11,1,4.668,12524.0,15052.0
2017-01-03 12:00:00,1,12,1,4.875,12652.0,14949.0
2017-01-03 13:00:00,1,13,1,4.809,12694.0,14921.0
2017-01-03 14:00:00,1,14,1,4.64,12728.0,15006.0
2017-01-03 15:00:00,1,15,1,4.514,13162.0,15666.0
2017-01-03 16:00:00,1,16,1,4.466,14110.0,16954.0
2017-01-03 17:00:00,1,17,1,4.472,14122.0,16270.0
2017-01-03 18:00:00,1,18,1,4.483,13853.0,15606.0
