zone,pinball_loss
AT,109.327286
BE,108.774155
BG,58.56998
CH,137.8
CZ,90.70792
DK,56.099472
ES,272.7236
FR,618.2413
GR,93.99997
IT,473.23325
NL,168.65985
PT,68.041275
SI,28.442007
SK,45.04714
