Net,Temperature,Month,Day,Weekday,Hour
25462.305,4.3,1,1,1,0
24346.259,4.3,1,1,1,1
23413.986,4.4,1,1,1,2
22790.649,4.9,1,1,1,3
22588.849,5.8,1,1,1,4
22869.26,6.8,1,1,1,5
23400.071,7.6,1,1,1,6
23673.797,9.1,1,1,1,7
24077.12,10.6,1,1,1,8
24912.061,11.7,1,1,1,9
25613.347,12.1,1,1,1,10
25986.823,12.3,1,1,1,11
25424.529,12.3,1,1,1,12
25004.56,12.9,1,1,1,13
25806.627,13.7,1,1,1,14
26715.564,14.4,1,1,1,15
28634.817,13.9,1,1,1,16
31086.773,13.7,1,1,1,17
31219.239,12.1,1,1,1,18
30964.052,10.5,1,1,1,19
30347.21,8.1,1,1,1,20
29230.906,6.3,1,1,1,21
27558.132,5.1,1,1,1,22
25964.853,4.4,1,1,1,23
24891.869,3.8,1,2,1,0
24348.965,2.8,1,2,1,1
24210.127,1.8,1,2,1,2
24535.316,0.7,1,2,1,3
25460.514,-1,1,2,1,4
27748.445,-1.8,1,2,1,5
31075.37,-2.3,1,2,1,6
33008.427,-2.7,1,2,1,7
32847.397,-2.2,1,2,1,8
32339.392,-2.1,1,2,1,9
31949.699,-3.3,1,2,1,10
31558.193,-3,1,2,1,11
31337.52,-2.5,1,2,1,12
31887.832,-1.8,1,2,1,13
32191.806,-0.7,1,2,1,14
32793.915,0.2,1,2,1,15
34445.501,0.9,1,2,1,16
36267.469,1.1,1,2,1,17
36119.945,1.4,1,2,1,18
35501.429,1.4,1,2,1,19
34585.985,1.1,1,2,1,20
32914.64,0.2,1,2,1,21
30525.086,-1,1,2,1,22
28345.427,-1.6,1,2,1,23
26818.254,-1.9,1,3,1,0
25898.845,-2.4,1,3,1,1
25475.035,-2.8,1,3,1,2
25422.209,-2.4,1,3,1,3
26088.001,-2.1,1,3,1,4
27944.548,-1.4,1,3,1,5
31134.981,-0.3,1,3,1,6
32893.668,2.1,1,3,1,7
32800.072,3.5,1,3,1,8
32328.403,3.9,1,3,1,9
32073.447,4.3,1,3,1,10
31708.04,4.6,1,3,1,11
31274.212,5,1,3,1,12
31404.52,4.7,1,3,1,13
31400.066,4.5,1,3,1,14
31841.132,5.3,1,3,1,15
33656.298,6,1,3,1,16
36079.631,6.5,1,3,1,17
36345.386,7.1,1,3,1,18
36087.764,6.9,1,3,1,19
35411.447,5.9,1,3,1,20
34076.789,4.6,1,3,1,21
32049.101,3,1,3,1,22
30245.151,1.2,1,3,1,23
28953.825,-0.6,1,4,1,0
28293.357,-1.5,1,4,1,1
28112.312,-1.9,1,4,1,2
28279.777,-1.9,1,4,1,3
29159.877,-1.4,1,4,1,4
31290.149,-0.8,1,4,1,5
34457.581,-0.5,1,4,1,6
36039.114,-0.4,1,4,1,7
35373.959,-0.3,1,4,1,8
34150.378,-0.7,1,4,1,9
33051.385,-2.1,1,4,1,10
31992.433,-2.8,1,4,1,11
31650.593,-2.9,1,4,1,12
31959.925,-0.4,1,4,1,13
32180.529,3,1,4,1,14
32598.58,4.5,1,4,1,15
33842.83,5.3,1,4,1,16
35318.064,5.4,1,4,1,17
34898.892,5.4,1,4,1,18
34053.426,5.5,1,4,1,19
33035.036,5.1,1,4,1,20
31775.602,4.6,1,4,1,21
29975.841,4.6,1,4,1,22
28178.232,5.1,1,4,1,23
26536.971,5.2,1,5,0,0
25568.787,5.1,1,5,0,1
24960.304,5.2,1,5,0,2
24664.225,5,1,5,0,3
24769.804,5,1,5,0,4
25398.243,4.6,1,5,0,5
26476.377,3.6,1,5,0,6
27705.719,3.2,1,5,0,7
28817.692,3.7,1,5,0,8
29808.428,4.2,1,5,0,9
30384.906,4.8,1,5,0,10
30414.698,5.2,1,5,0,11
30258.453,5.8,1,5,0,12
29845.732,5.7,1,5,0,13
29616.783,6.1,1,5,0,14
29611.317,6.4,1,5,0,15
30334.929,6.3,1,5,0,16
32192.734,6.3,1,5,0,17
32316.407,6.3,1,5,0,18
31859.792,6.1,1,5,0,19
31293.719,5.2,1,5,0,20
30375.546,4.8,1,5,0,21
29121.548,4.2,1,5,0,22
27678.729,3.9,1,5,0,23
26320.993,3.8,1,6,0,0
25403.267,3.9,1,6,0,1
24950.855,3.5,1,6,0,2
24795.996,2.7,1,6,0,3
24921.197,1.3,1,6,0,4
25468.176,0.6,1,6,0,5
26317.535,0,1,6,0,6
27252.362,-0.8,1,6,0,7
27666.312,-1.1,1,6,0,8
27802.03,-1.2,1,6,0,9
27448.708,-1.3,1,6,0,10
26261.92,-1.7,1,6,0,11
25570.806,-1.8,1,6,0,12
25317.188,-0.5,1,6,0,13
25871.74,1.8,1,6,0,14
27286.993,4.6,1,6,0,15
29538.526,6.3,1,6,0,16
32353.087,6.8,1,6,0,17
33053.838,7.1,1,6,0,18
32802.969,7,1,6,0,19
32630.173,5.6,1,6,0,20
31626.732,4.6,1,6,0,21
30048.706,3.4,1,6,0,22
28595.339,2.3,1,6,0,23
27549.956,1.5,1,7,1,0
27116.045,-0.3,1,7,1,1
27174.023,-1,1,7,1,2
27595.136,-2.1,1,7,1,3
28708.042,-2.9,1,7,1,4
31119.634,-3.5,1,7,1,5
34672.955,-3.9,1,7,1,6
36397.405,-4.3,1,7,1,7
35775.278,-4.9,1,7,1,8
34515.754,-5.7,1,7,1,9
33844.133,-6.3,1,7,1,10
33032.313,-6.6,1,7,1,11
33212.737,-7,1,7,1,12
33980.896,-6.2,1,7,1,13
34882.017,-5,1,7,1,14
35670.509,-3.8,1,7,1,15
37053.457,-2.8,1,7,1,16
38799.702,-2.1,1,7,1,17
38715.783,-1.7,1,7,1,18
38052.015,-1.3,1,7,1,19
37047.615,-1.7,1,7,1,20
35244.194,-2.1,1,7,1,21
32967.525,-3.3,1,7,1,22
30763.343,-4.4,1,7,1,23
29079.776,-4.8,1,8,1,0
28279.838,-4.7,1,8,1,1
27880.412,-3.7,1,8,1,2
27744.372,-3,1,8,1,3
28352.559,-2.9,1,8,1,4
30271.078,-2.7,1,8,1,5
33356.122,-2.1,1,8,1,6
35083.033,-1.6,1,8,1,7
34789.903,-0.5,1,8,1,8
34291.887,1.6,1,8,1,9
33863.379,2.3,1,8,1,10
33271.42,2.6,1,8,1,11
32531.739,3.4,1,8,1,12
32151.586,3.9,1,8,1,13
31804.758,4.4,1,8,1,14
32042.333,5,1,8,1,15
33283.338,5.7,1,8,1,16
35318.128,6.2,1,8,1,17
35376.456,6.7,1,8,1,18
34870.545,6.9,1,8,1,19
33999.012,7,1,8,1,20
32353.712,6.4,1,8,1,21
30163.439,5.3,1,8,1,22
28005.755,5.1,1,8,1,23
26623.338,6.9,1,9,1,0
25903.795,7.1,1,9,1,1
25642.497,6.9,1,9,1,2
25843.942,6.4,1,9,1,3
26701.45,6.5,1,9,1,4
28910.543,6.6,1,9,1,5
32407.09,6.3,1,9,1,6
34002.124,6.3,1,9,1,7
33050.554,6.1,1,9,1,8
31609.92,5.7,1,9,1,9
30689.872,5.7,1,9,1,10
30433.083,5.3,1,9,1,11
30812.83,4.7,1,9,1,12
31696.829,5.2,1,9,1,13
32462.304,6.5,1,9,1,14
33581.005,7.3,1,9,1,15
35222.14,7.7,1,9,1,16
37372.909,6.9,1,9,1,17
37697.242,6.1,1,9,1,18
37314.345,6.1,1,9,1,19
36776.146,5.6,1,9,1,20
35461.418,4.5,1,9,1,21
33332.943,3.9,1,9,1,22
31518.378,3.3,1,9,1,23
30427.884,2.7,1,10,1,0
29815.657,2,1,10,1,1
29736.236,1.5,1,10,1,2
29896.584,1,1,10,1,3
30791.611,0.7,1,10,1,4
32909.698,0.5,1,10,1,5
36382.211,0.8,1,10,1,6
38021.504,0.3,1,10,1,7
37106.153,0.4,1,10,1,8
35422.044,0.4,1,10,1,9
34796.345,0.4,1,10,1,10
34340.976,0.3,1,10,1,11
34065.383,0.3,1,10,1,12
33659.111,0.5,1,10,1,13
33414.946,1,1,10,1,14
34336.976,1.6,1,10,1,15
36728.626,1,1,10,1,16
39443.185,0.7,1,10,1,17
39848.174,0.3,1,10,1,18
39513.307,0.5,1,10,1,19
38845.305,0.4,1,10,1,20
37545.266,-0.8,1,10,1,21
35249.61,-1.7,1,10,1,22
33330.435,-2.2,1,10,1,23
31954.101,-2.6,1,11,1,0
31325.924,-3.1,1,11,1,1
31161.03,-3.6,1,11,1,2
31292.555,-3.8,1,11,1,3
32217.108,-3.8,1,11,1,4
34459.126,-3.3,1,11,1,5
37784.785,-3,1,11,1,6
39445.684,-3.1,1,11,1,7
38055.808,-3.4,1,11,1,8
35619.81,-4,1,11,1,9
34035.219,-4.8,1,11,1,10
32959.74,-5.7,1,11,1,11
32240.21,-6.3,1,11,1,12
31972.755,-5.8,1,11,1,13
32212.975,-4.8,1,11,1,14
33667.137,-3.4,1,11,1,15
36036.261,-2.4,1,11,1,16
38597.014,-1.6,1,11,1,17
38790.46,-1.7,1,11,1,18
38337.595,-2,1,11,1,19
37756.46,-2.2,1,11,1,20
36645.429,-3.2,1,11,1,21
35141.436,-4.6,1,11,1,22
33439.084,-5.7,1,11,1,23
32204.625,-6.8,1,12,0,0
31562.288,-7.6,1,12,0,1
31237.912,-8.1,1,12,0,2
31191.217,-8.6,1,12,0,3
31531.58,-8.8,1,12,0,4
32419.546,-9.1,1,12,0,5
33740.104,-9.5,1,12,0,6
34859.384,-9.9,1,12,0,7
35180.248,-10.3,1,12,0,8
34377.662,-10.1,1,12,0,9
33411.448,-9.3,1,12,0,10
32624.397,-8.8,1,12,0,11
32088.937,-8.5,1,12,0,12
31854.911,-7.7,1,12,0,13
32203.624,-6.3,1,12,0,14
33005.185,-5.1,1,12,0,15
34634.52,-4.1,1,12,0,16
36654.969,-3,1,12,0,17
36770.377,-2,1,12,0,18
36317.093,-1.7,1,12,0,19
35762.485,-2,1,12,0,20
34758.208,-2.6,1,12,0,21
33399.566,-3.2,1,12,0,22
31937.702,-4.2,1,12,0,23
30651.186,-4.9,1,13,0,0
29812.091,-4.8,1,13,0,1
29455.945,-5.3,1,13,0,2
29385.721,-5.8,1,13,0,3
29652.341,-6,1,13,0,4
30331.883,-6.3,1,13,0,5
31324.16,-6.3,1,13,0,6
32338.522,-6.6,1,13,0,7
33459.053,-7,1,13,0,8
34319.187,-7,1,13,0,9
34468.608,-7.1,1,13,0,10
34330.582,-7.1,1,13,0,11
34255.13,-7.4,1,13,0,12
34121.509,-7.3,1,13,0,13
34293.228,-6.7,1,13,0,14
34784.42,-5.9,1,13,0,15
35974.577,-5.1,1,13,0,16
37786.063,-4.4,1,13,0,17
37983.858,-3.7,1,13,0,18
37308.539,-3.5,1,13,0,19
36865.969,-3.2,1,13,0,20
35432.668,-3.4,1,13,0,21
33546.605,-4.1,1,13,0,22
31886.96,-4.4,1,13,0,23
30858.927,-3.8,1,14,1,0
30347.253,-3.8,1,14,1,1
30319.465,-3.6,1,14,1,2
30639.76,-3.3,1,14,1,3
31632.165,-3,1,14,1,4
33923.956,-3,1,14,1,5
37140.737,-2.8,1,14,1,6
39084.653,-2.8,1,14,1,7
38984.172,-3,1,14,1,8
37901.979,-3.1,1,14,1,9
36528.136,-3.1,1,14,1,10
35048.157,-3.2,1,14,1,11
33735.533,-3.3,1,14,1,12
32948.999,-2.8,1,14,1,13
32811.105,-2.2,1,14,1,14
33809.13,-1.6,1,14,1,15
35928.351,-1.3,1,14,1,16
39030.887,-0.8,1,14,1,17
39806.822,-0.9,1,14,1,18
39586.858,-1.2,1,14,1,19
38979.298,-1.2,1,14,1,20
37543.482,-2.2,1,14,1,21
35523.898,-4.1,1,14,1,22
33723.596,-6,1,14,1,23
32485.038,-6.6,1,15,1,0
32118.793,-7.4,1,15,1,1
31981.334,-8,1,15,1,2
32303.856,-8.6,1,15,1,3
33273.842,-9.2,1,15,1,4
35519.686,-9.4,1,15,1,5
38810.481,-9.6,1,15,1,6
40447.477,-9.8,1,15,1,7
38937.166,-9.9,1,15,1,8
36194.5,-9.9,1,15,1,9
34399.305,-10.1,1,15,1,10
33154.388,-10.1,1,15,1,11
32393.018,-9.8,1,15,1,12
32181.866,-6.2,1,15,1,13
32789.171,-3,1,15,1,14
33733.767,0.4,1,15,1,15
35577.715,1.8,1,15,1,16
38478.846,2.3,1,15,1,17
39262.976,2.5,1,15,1,18
39106.283,2.3,1,15,1,19
38471.687,1.7,1,15,1,20
37063.998,0.6,1,15,1,21
34948.831,-0.8,1,15,1,22
33130.666,-2.7,1,15,1,23
31968.666,-3.7,1,16,1,0
31506.783,-4.7,1,16,1,1
31283.882,-5.6,1,16,1,2
31559.732,-6.3,1,16,1,3
32492.924,-7,1,16,1,4
34607.321,-7.5,1,16,1,5
37903.452,-7.9,1,16,1,6
39476.786,-8.4,1,16,1,7
38546.204,-8.7,1,16,1,8
37254.419,-9,1,16,1,9
36542.506,-9.1,1,16,1,10
35746.284,-9.1,1,16,1,11
35078.429,-8.8,1,16,1,12
34821.904,-5,1,16,1,13
34613.33,-0.2,1,16,1,14
35055.874,0.9,1,16,1,15
36525.899,1.2,1,16,1,16
38487.706,1.5,1,16,1,17
38523.544,2.3,1,16,1,18
37973.21,2.3,1,16,1,19
37053.119,2.1,1,16,1,20
35405.204,1.6,1,16,1,21
33201.405,-0.2,1,16,1,22
31275.378,-2,1,16,1,23
29927.248,-2.8,1,17,1,0
29359.286,-2.1,1,17,1,1
29234.777,-1.7,1,17,1,2
29453.296,-0.7,1,17,1,3
30486.444,-1.3,1,17,1,4
32790.763,-1.8,1,17,1,5
36253.05,-2.8,1,17,1,6
37957.014,-3.5,1,17,1,7
37115.118,-4.1,1,17,1,8
35549.688,-4.9,1,17,1,9
34310.1,-4.8,1,17,1,10
34227.861,-5.3,1,17,1,11
34430.176,-6,1,17,1,12
34551.676,-5.6,1,17,1,13
34929.529,-4.8,1,17,1,14
35560.507,-3.8,1,17,1,15
36924.026,-2.6,1,17,1,16
38990.787,-1.8,1,17,1,17
39206.764,-1,1,17,1,18
38793.622,-1.3,1,17,1,19
37967.551,-2.1,1,17,1,20
36302.894,-2.9,1,17,1,21
34054.282,-3.4,1,17,1,22
32137.236,-3.6,1,17,1,23
30872.58,-3.9,1,18,1,0
30124.727,-3.7,1,18,1,1
29911.595,-4.2,1,18,1,2
30021.212,-4.7,1,18,1,3
30693.468,-4.2,1,18,1,4
32574.139,-3.1,1,18,1,5
35305.621,-2.5,1,18,1,6
37020.088,-2.9,1,18,1,7
37352.761,-2.9,1,18,1,8
37101.123,-2.8,1,18,1,9
36416.991,-3.3,1,18,1,10
35711.948,-3.4,1,18,1,11
34772.484,-3.5,1,18,1,12
34113.138,-2.8,1,18,1,13
33573.177,-1.2,1,18,1,14
33694.73,0.7,1,18,1,15
34871.89,2,1,18,1,16
36753.182,2.8,1,18,1,17
36901.621,3.3,1,18,1,18
36358.227,3.9,1,18,1,19
35476.598,3.5,1,18,1,20
34196.766,2.8,1,18,1,21
32359.166,2.5,1,18,1,22
30683.078,0.3,1,18,1,23
29360.459,-1.3,1,19,0,0
28610.914,-1.3,1,19,0,1
28151.881,-1.4,1,19,0,2
28058.442,-1.7,1,19,0,3
28303.291,-2.3,1,19,0,4
29117.032,-2.2,1,19,0,5
30339.599,-2.7,1,19,0,6
31477.9,-3.7,1,19,0,7
32547.42,-4,1,19,0,8
33203.866,-4.7,1,19,0,9
33532.779,-5.6,1,19,0,10
33497.954,-6.2,1,19,0,11
33378.203,-6.1,1,19,0,12
33181.969,-2.9,1,19,0,13
33009.122,-0.4,1,19,0,14
33484.341,0.8,1,19,0,15
34541.314,1.3,1,19,0,16
35973.73,1.6,1,19,0,17
35923.667,1.7,1,19,0,18
35256.613,0.8,1,19,0,19
34451.397,-0.2,1,19,0,20
33252.41,-0.7,1,19,0,21
31513.921,-1.5,1,19,0,22
