date,tmpf,month,hour,dayofweek,mw2day,mw7day,poten_2,poten_7
2019-01-10 12:00:00,37.9,1,12,3,10718.027,11314.055,0.0,540.0418000000009
2019-01-10 13:00:00,37.9,1,13,3,10479.933,11239.054,0.0,597.1623199999995
2019-01-10 14:00:00,39.0,1,14,3,10225.832,11153.515,0.0,612.9225200000001
2019-01-10 15:00:00,39.0,1,15,3,10222.563,11231.103,0.0,625.8841600000014
2019-01-10 16:00:00,37.9,1,16,3,10643.367,11604.905,0.0,599.6651200000015
2019-01-10 17:00:00,36.0,1,17,3,11529.274,12536.555,0.0,730.49784
2019-01-10 18:00:00,34.0,1,18,3,11789.899,12677.334,0.0,628.2189200000012
2019-01-10 19:00:00,33.1,1,19,3,11674.447,12637.885,0.0,670.3143599999985
2019-01-10 20:00:00,32.0,1,20,3,11381.29,12488.265,0.0,692.3231199999991
2019-01-10 21:00:00,30.0,1,21,3,10873.201,12124.96,0.0,694.9815599999984
2019-01-10 22:00:00,28.9,1,22,3,10141.603,11530.56,0.0,607.2956400000003
2019-01-10 23:00:00,28.0,1,23,3,9478.213,10999.174,0.0,568.9600800000007
2019-01-11 00:00:00,27.0,1,0,4,9085.008,10602.172,0.0,785.5011599999998
2019-01-11 01:00:00,27.0,1,1,4,8964.459,10436.975,0.0,825.7614400000002
2019-01-11 02:00:00,26.1,1,2,4,9022.113,10389.897,0.0,859.3834800000004
2019-01-11 03:00:00,25.0,1,3,4,9166.24,10438.127,0.0,880.6427999999996
2019-01-11 04:00:00,25.0,1,4,4,9653.519,10870.249,0.0,1097.4426399999993
2019-01-11 05:00:00,25.0,1,5,4,10587.117,11637.269,315.4186000000009,1365.570600000001
2019-01-11 06:00:00,25.0,1,6,4,11847.85,12695.447,844.9600800000007,1692.5570800000005
2019-01-11 07:00:00,25.0,1,7,4,12427.188,13162.429,964.797440000002,1700.038440000002
2019-01-11 08:00:00,26.1,1,8,4,12098.338,13014.396,601.6024400000006,1517.6604400000017
2019-01-11 09:00:00,28.9,1,9,4,11644.052,12804.985,299.1781200000005,1460.1111200000014
2019-01-11 10:00:00,32.0,1,10,4,11271.118,12514.9,129.04599999999846,1372.8279999999977
2019-01-11 11:00:00,35.1,1,11,4,11182.244,12208.581,231.5110000000004,1257.848
2019-01-11 12:00:00,37.0,1,12,4,11125.326,12084.653,351.3127999999997,1310.6398000000008
2019-01-11 13:00:00,39.0,1,13,4,11095.365,11933.521,453.4733199999992,1291.62932
2019-01-11 14:00:00,39.9,1,14,4,11202.474,11744.677,661.8815200000008,1204.0845200000003
2019-01-11 15:00:00,41.0,1,15,4,11646.156,11721.983,1040.9371600000031,1116.7641600000024
2019-01-11 16:00:00,41.0,1,16,4,12358.476,12019.49,1353.2361200000014,1014.2501200000006
2019-01-11 17:00:00,37.0,1,17,4,13450.021,12570.593,1643.9638400000003,764.5358400000005
2019-01-11 18:00:00,36.0,1,18,4,13773.183,12438.658,1724.067920000001,389.5429199999999
2019-01-11 19:00:00,33.1,1,19,4,13809.109,12124.233,1841.5383599999984,156.66235999999844
2019-01-11 20:00:00,30.0,1,20,4,13720.406,11773.65,1924.4641200000003,0.0
2019-01-11 21:00:00,30.0,1,21,4,13371.334,11313.129,1941.35556,0.0
2019-01-11 22:00:00,30.0,1,22,4,12830.044,10775.066,1906.7796400000009,0.0
2019-01-11 23:00:00,28.9,1,23,4,12242.813,10153.298,1812.59908,0.0
2019-01-12 00:00:00,28.9,1,0,5,11955.855,9669.839,2139.184159999999,0.0
2019-01-12 01:00:00,28.9,1,1,5,11959.433,9331.628,2348.2194400000008,0.0
2019-01-12 02:00:00,30.0,1,2,5,12146.619,9125.862,2616.10548,0.0
2019-01-12 03:00:00,30.0,1,3,5,12456.401,9074.006,2898.916799999999,0.0
2019-01-12 04:00:00,30.0,1,4,5,12989.324,9137.108,3216.51764,0.0
2019-01-12 05:00:00,30.9,1,5,5,14042.631,9370.408,3770.9326,0.0
2019-01-12 06:00:00,30.9,1,6,5,15365.654,9777.54,4362.764080000001,0.0
2019-01-12 07:00:00,30.9,1,7,5,15949.155,10223.894,4486.764440000003,0.0
2019-01-12 08:00:00,32.0,1,8,5,15349.278,10648.23,3852.542440000001,0.0
2019-01-12 09:00:00,32.0,1,9,5,14551.661,10794.914,3206.787120000001,0.0
2019-01-12 10:00:00,33.1,1,10,5,14050.842,10819.607,2908.7699999999986,0.0
2019-01-12 11:00:00,35.1,1,11,5,13575.656,10670.935,2624.9230000000007,0.0
2019-01-12 12:00:00,36.0,1,12,5,13200.41,10471.636,2426.3968000000004,0.0
2019-01-12 13:00:00,37.0,1,13,5,12922.14,10150.167,2280.248319999999,0.0
2019-01-12 14:00:00,37.0,1,14,5,12795.49,9908.347,2254.8975200000004,0.0
2019-01-12 15:00:00,37.0,1,15,5,12964.994,9900.048,2359.775160000003,0.0
2019-01-12 16:00:00,37.0,1,16,5,13691.33,10264.459,2686.0901200000008,0.0
2019-01-12 17:00:00,34.0,1,17,5,15007.833,11076.137,3201.77584,0.0
2019-01-12 18:00:00,32.0,1,18,5,15484.846,11319.498,3435.73092,0.0
2019-01-12 19:00:00,30.9,1,19,5,15498.998,11350.213,3531.427359999998,0.0
2019-01-12 20:00:00,30.9,1,20,5,15460.392,11224.806,3664.45012,0.0
2019-01-12 21:00:00,30.9,1,21,5,15015.675,11024.637,3585.6965599999985,0.0
2019-01-12 22:00:00,30.9,1,22,5,14291.659,10652.765,3368.3946400000004,0.0
2019-01-12 23:00:00,30.9,1,23,5,13687.977,10310.044,3257.7630800000006,0.0
2019-01-13 00:00:00,30.9,1,0,6,13420.297,9974.077,3603.62616,157.40615999999864
2019-01-13 01:00:00,30.9,1,1,6,13329.981,9833.499,3718.76744,222.28543999999965
2019-01-13 02:00:00,30.9,1,2,6,13427.724,9796.119,3897.21048,265.60548000000017
2019-01-13 03:00:00,30.9,1,3,6,13706.7,9816.19,4149.2158,258.7057999999997
2019-01-13 04:00:00,32.0,1,4,6,14192.187,9973.63,4419.380639999999,200.8236399999987
2019-01-13 05:00:00,32.0,1,5,6,15096.445,10288.781,4824.7466,17.08260000000155
2019-01-13 06:00:00,32.0,1,6,6,16288.738,10672.712,5285.84808,0.0
2019-01-13 07:00:00,32.0,1,7,6,16830.571,11018.66,5368.180440000002,0.0
2019-01-13 08:00:00,32.0,1,8,6,16117.201,11147.418,4620.46544,0.0
2019-01-13 09:00:00,33.1,1,9,6,15118.19,10738.496,3773.316120000001,0.0
