cpt,tmpf,month,hour,dayofweek,kw_2,kw_7
2015-01-09 21:00:00,35.06,1,21,4,110.072416947,112.781603888
2015-01-09 22:00:00,35.06,1,22,4,103.379474722,104.365746944
2015-01-09 23:00:00,35.96,1,23,4,112.303464998,99.492167777
2015-01-10 00:00:00,35.96,1,0,5,107.261982774,88.857815002
2015-01-10 01:00:00,37.04,1,1,5,101.411796388,78.468619723
2015-01-10 02:00:00,37.04,1,2,5,99.237802223,78.456377496
2015-01-10 03:00:00,35.96,1,3,5,95.568927778,71.979684443
2015-01-10 04:00:00,35.96,1,4,5,101.295963056,68.221583056
2015-01-10 05:00:00,33.98,1,5,5,100.333932779,68.890511666
2015-01-10 06:00:00,33.08,1,6,5,106.341721943,78.022153334
2015-01-10 07:00:00,33.08,1,7,5,120.747525279,75.603169169
2015-01-10 08:00:00,32.0,1,8,5,159.268691388,87.790726391
2015-01-10 09:00:00,33.08,1,9,5,155.201023334,78.878894444
2015-01-10 10:00:00,32.0,1,10,5,132.330928335,86.494614722
2015-01-10 11:00:00,33.08,1,11,5,109.511823609,50.651396666
2015-01-10 12:00:00,33.08,1,12,5,92.671081388,32.979002502
2015-01-10 13:00:00,35.06,1,13,5,77.955495833,12.356186948
2015-01-10 14:00:00,33.98,1,14,5,72.809530834,-1.199206389
2015-01-10 15:00:00,35.06,1,15,5,61.148293614,19.8528125
2015-01-10 16:00:00,35.06,1,16,5,77.070280834,48.676034445
2015-01-10 17:00:00,33.98,1,17,5,86.785739721,73.947507499
2015-01-10 18:00:00,35.06,1,18,5,88.306478887,81.937727502
2015-01-10 19:00:00,33.98,1,19,5,94.102342223,84.448336943
2015-01-10 20:00:00,35.06,1,20,5,106.120131116,96.210727779
2015-01-10 21:00:00,35.06,1,21,5,99.707760275,97.138741389
2015-01-10 22:00:00,35.06,1,22,5,108.894304726,91.417018332
2015-01-10 23:00:00,35.06,1,23,5,95.384261942,85.88908
2015-01-11 00:00:00,35.06,1,0,6,99.870780834,79.999641947
2015-01-11 01:00:00,35.06,1,1,6,93.827098332,73.734358056
2015-01-11 02:00:00,35.06,1,2,6,87.589722501,84.111714721
2015-01-11 03:00:00,35.06,1,3,6,84.694841944,75.464669165
2015-01-11 04:00:00,35.96,1,4,6,83.179533332,65.595773612
2015-01-11 05:00:00,35.96,1,5,6,85.712776108,61.371725278
2015-01-11 06:00:00,35.96,1,6,6,106.703488611,63.488381388
2015-01-11 07:00:00,35.96,1,7,6,115.354663614,74.607549166
2015-01-11 08:00:00,35.96,1,8,6,140.246616666,82.273760836
2015-01-11 09:00:00,37.04,1,9,6,134.889709167,70.943379723
2015-01-11 10:00:00,39.02,1,10,6,135.400110836,59.115922503
2015-01-11 11:00:00,39.92,1,11,6,113.306344168,30.359266112
2015-01-11 12:00:00,41.0,1,12,6,91.839398334,17.956351391
2015-01-11 13:00:00,42.98,1,13,6,85.966652781,6.433394444
2015-01-11 14:00:00,46.04,1,14,6,78.354978612,-7.874169445
2015-01-11 15:00:00,48.02,1,15,6,66.396639999,11.534075558
2015-01-11 16:00:00,48.02,1,16,6,58.677826391,45.991172779
2015-01-11 17:00:00,48.92,1,17,6,68.809645558,76.451501665
2015-01-11 18:00:00,48.02,1,18,6,89.231247223,95.221260554
2015-01-11 19:00:00,48.02,1,19,6,96.928019444,98.867887224
2015-01-11 20:00:00,48.02,1,20,6,97.252048333,99.595586945
2015-01-11 21:00:00,48.02,1,21,6,99.922856946,103.467602222
2015-01-11 22:00:00,48.02,1,22,6,107.281874168,102.276358333
2015-01-11 23:00:00,48.02,1,23,6,99.548506668,102.401193335
2015-01-12 00:00:00,46.94,1,0,0,95.475974443,92.357474446
2015-01-12 01:00:00,46.04,1,1,0,90.31440361,84.943002777
2015-01-12 02:00:00,44.96,1,2,0,89.42622722,89.339230559
2015-01-12 03:00:00,44.06,1,3,0,95.978526664,83.060212776
2015-01-12 04:00:00,44.06,1,4,0,97.300890831,83.344767223
2015-01-12 05:00:00,42.98,1,5,0,92.140757779,81.689073056
2015-01-12 06:00:00,44.06,1,6,0,101.468718055,86.294020276
2015-01-12 07:00:00,44.06,1,7,0,104.120815557,103.790416667
2015-01-12 08:00:00,42.98,1,8,0,124.756310832,123.486096669
2015-01-12 09:00:00,42.98,1,9,0,123.890839446,107.03102139
2015-01-12 10:00:00,44.96,1,10,0,110.952303332,92.710017224
2015-01-12 11:00:00,44.06,1,11,0,90.143635556,73.513586943
2015-01-12 12:00:00,42.98,1,12,0,87.749874167,58.451469165
2015-01-12 13:00:00,44.06,1,13,0,73.695476388,49.395206391
2015-01-12 14:00:00,44.06,1,14,0,64.388180834,43.253969445
2015-01-12 15:00:00,44.06,1,15,0,65.711353892,50.948631944
2015-01-12 16:00:00,42.98,1,16,0,78.194225833,69.554426947
2015-01-12 17:00:00,44.06,1,17,0,75.52497222,88.530533612
2015-01-12 18:00:00,44.06,1,18,0,90.564234168,99.882869166
2015-01-12 19:00:00,42.98,1,19,0,94.409455833,105.394705833
2015-01-12 20:00:00,42.98,1,20,0,94.984825554,108.690341664
2015-01-12 21:00:00,42.98,1,21,0,99.429610277,105.680994165
2015-01-12 22:00:00,42.98,1,22,0,107.597023056,104.385047222
2015-01-12 23:00:00,42.08,1,23,0,96.954081665,105.504881112
2015-01-13 00:00:00,42.08,1,0,1,89.516187777,90.617098886
2015-01-13 01:00:00,39.92,1,1,1,75.726624722,89.416004998
2015-01-13 02:00:00,37.94,1,2,1,80.207666388,84.882851944
2015-01-13 03:00:00,37.94,1,3,1,81.100948612,75.618245001
2015-01-13 04:00:00,37.04,1,4,1,84.492883331,76.400380278
2015-01-13 05:00:00,37.04,1,5,1,80.896806669,75.158715275
2015-01-13 06:00:00,37.04,1,6,1,82.931077501,86.466333331
2015-01-13 07:00:00,35.96,1,7,1,92.25815417,98.519487779
2015-01-13 08:00:00,35.96,1,8,1,108.034080003,130.272555557
2015-01-13 09:00:00,37.04,1,9,1,97.229236666,112.229032221
2015-01-13 10:00:00,37.04,1,10,1,99.388028888,100.412244165
2015-01-13 11:00:00,37.94,1,11,1,75.792815832,83.363948334
2015-01-13 12:00:00,39.02,1,12,1,64.527840831,53.567828331
2015-01-13 13:00:00,39.02,1,13,1,46.879362221,24.601752776
2015-01-13 14:00:00,39.92,1,14,1,37.718323332,15.100393333
2015-01-13 15:00:00,41.0,1,15,1,39.229517224,20.045137223
2015-01-13 16:00:00,41.0,1,16,1,58.218891389,46.69020417
2015-01-13 17:00:00,42.08,1,17,1,72.413733889,61.532430278
2015-01-13 18:00:00,41.0,1,18,1,80.395074998,80.676448611
2015-01-13 19:00:00,41.0,1,19,1,95.237179723,95.292081386
2015-01-13 20:00:00,41.0,1,20,1,96.799412781,115.875687776
2015-01-13 21:00:00,39.92,1,21,1,94.545729445,106.883895001
2015-01-13 22:00:00,39.92,1,22,1,102.293567774,107.300742223
2015-01-13 23:00:00,39.02,1,23,1,99.427523332,103.719994723
2015-01-14 00:00:00,39.02,1,0,2,85.389258336,93.147902779
2015-01-14 01:00:00,39.02,1,1,2,72.880555834,85.410781944
2015-01-14 02:00:00,39.02,1,2,2,75.684260277,105.033063054
2015-01-14 03:00:00,39.02,1,3,2,78.292384167,87.013688888
2015-01-14 04:00:00,37.94,1,4,2,77.605431945,83.516745556
2015-01-14 05:00:00,37.94,1,5,2,80.614596111,84.786667499
2015-01-14 06:00:00,37.94,1,6,2,98.029583611,109.612254723
2015-01-14 07:00:00,39.02,1,7,2,105.964148334,106.590514169
2015-01-14 08:00:00,39.02,1,8,2,119.495528608,128.296874445
2015-01-14 09:00:00,39.02,1,9,2,97.649522221,119.564683056
2015-01-14 10:00:00,39.02,1,10,2,95.896858334,102.836959722
2015-01-14 11:00:00,39.92,1,11,2,72.681615558,72.69619472
2015-01-14 12:00:00,39.92,1,12,2,65.004614168,57.86050472
2015-01-14 13:00:00,39.92,1,13,2,53.279341668,47.575794165
2015-01-14 14:00:00,39.02,1,14,2,54.273456388,35.95592639
2015-01-14 15:00:00,39.92,1,15,2,50.033204167,37.255653893
2015-01-14 16:00:00,39.02,1,16,2,65.772807503,59.578740833
2015-01-14 17:00:00,39.92,1,17,2,75.985967505,58.402199723
2015-01-14 18:00:00,39.02,1,18,2,72.580831942,85.985576946
2015-01-14 19:00:00,39.02,1,19,2,87.760824724,89.598623336
2015-01-14 20:00:00,39.92,1,20,2,97.977460552,108.292539448
2015-01-14 21:00:00,39.92,1,21,2,107.070520281,110.072416947
2015-01-14 22:00:00,39.92,1,22,2,101.797745277,103.379474722
2015-01-14 23:00:00,39.92,1,23,2,96.564751391,112.303464998
2015-01-15 00:00:00,39.02,1,0,3,96.266149999,107.261982774
2015-01-15 01:00:00,39.02,1,1,3,92.723056943,101.411796388
2015-01-15 02:00:00,39.02,1,2,3,86.664142501,99.237802223
2015-01-15 03:00:00,37.94,1,3,3,81.464837777,95.568927778
2015-01-15 04:00:00,39.02,1,4,3,81.17997861,101.295963056
2015-01-15 05:00:00,37.94,1,5,3,70.844142499,100.333932779
2015-01-15 06:00:00,37.94,1,6,3,82.88816972,106.341721943
2015-01-15 07:00:00,39.02,1,7,3,94.195426666,120.747525279
2015-01-15 08:00:00,39.02,1,8,3,133.00904722,159.268691388
2015-01-15 09:00:00,39.92,1,9,3,128.082233334,155.201023334
2015-01-15 10:00:00,42.98,1,10,3,123.807769169,132.330928335
2015-01-15 11:00:00,48.02,1,11,3,84.332692777,109.511823609
2015-01-15 12:00:00,51.08,1,12,3,70.364790555,92.671081388
2015-01-15 13:00:00,53.06,1,13,3,53.709440277,77.955495833
2015-01-15 14:00:00,55.94,1,14,3,42.977107777,72.809530834
2015-01-15 15:00:00,57.02,1,15,3,38.297223889,61.148293614
2015-01-15 16:00:00,57.02,1,16,3,47.216627777,77.070280834
2015-01-15 17:00:00,55.94,1,17,3,61.015752219,86.785739721
2015-01-15 18:00:00,51.08,1,18,3,93.251925279,88.306478887
2015-01-15 19:00:00,42.08,1,19,3,97.72349,94.102342223
2015-01-15 20:00:00,41.0,1,20,3,109.050576391,106.120131116
2015-01-15 21:00:00,39.02,1,21,3,112.97510139,99.707760275
2015-01-15 22:00:00,37.04,1,22,3,104.090479999,108.894304726
2015-01-15 23:00:00,35.96,1,23,3,98.149225277,95.384261942
2015-01-16 00:00:00,37.94,1,0,4,97.28846778,99.870780834
2015-01-16 01:00:00,33.08,1,1,4,93.237200555,93.827098332
2015-01-16 02:00:00,30.92,1,2,4,91.701821113,87.589722501
2015-01-16 03:00:00,32.0,1,3,4,87.560465834,84.694841944
2015-01-16 04:00:00,33.98,1,4,4,76.333790555,83.179533332
2015-01-16 05:00:00,28.94,1,5,4,74.6393325,85.712776108
2015-01-16 06:00:00,28.94,1,6,4,80.194572778,106.703488611
2015-01-16 07:00:00,28.94,1,7,4,103.411241111,115.354663614
2015-01-16 08:00:00,30.92,1,8,4,126.866565557,140.246616666
2015-01-16 09:00:00,41.0,1,9,4,123.626230554,134.889709167
2015-01-16 10:00:00,48.92,1,10,4,120.243909722,135.400110836
2015-01-16 11:00:00,53.96,1,11,4,93.787302501,113.306344168
2015-01-16 12:00:00,59.0,1,12,4,74.285771667,91.839398334
2015-01-16 13:00:00,60.08,1,13,4,61.833207779,85.966652781
2015-01-16 14:00:00,62.96,1,14,4,48.842360554,78.354978612
2015-01-16 15:00:00,62.96,1,15,4,52.371731111,66.396639999
2015-01-16 16:00:00,62.96,1,16,4,64.372180275,58.677826391
2015-01-16 17:00:00,62.06,1,17,4,65.586181389,68.809645558
2015-01-16 18:00:00,53.06,1,18,4,91.843383054,89.231247223
2015-01-16 19:00:00,48.02,1,19,4,94.876193331,96.928019444
2015-01-16 20:00:00,46.94,1,20,4,104.542018054,97.252048333
2015-01-16 21:00:00,44.06,1,21,4,101.052760831,99.922856946
2015-01-16 22:00:00,44.06,1,22,4,108.220166947,107.281874168
2015-01-16 23:00:00,44.96,1,23,4,102.932240552,99.548506668
2015-01-17 00:00:00,48.02,1,0,5,105.972248612,95.475974443
2015-01-17 01:00:00,48.02,1,1,5,93.210396112,90.31440361
2015-01-17 02:00:00,44.06,1,2,5,93.565791391,89.42622722
2015-01-17 03:00:00,41.0,1,3,5,94.859762225,95.978526664
2015-01-17 04:00:00,39.02,1,4,5,82.342798889,97.300890831
2015-01-17 05:00:00,39.02,1,5,5,75.700716113,92.140757779
2015-01-17 06:00:00,37.04,1,6,5,87.960786112,101.468718055
2015-01-17 07:00:00,35.06,1,7,5,106.824981945,104.120815557
2015-01-17 08:00:00,37.94,1,8,5,131.902598053,124.756310832
2015-01-17 09:00:00,48.92,1,9,5,112.216755833,123.890839446
2015-01-17 10:00:00,50.0,1,10,5,97.294080554,110.952303332
2015-01-17 11:00:00,57.92,1,11,5,54.260435279,90.143635556
2015-01-17 12:00:00,62.96,1,12,5,26.191524445,87.749874167
2015-01-17 13:00:00,66.02,1,13,5,14.362790279,73.695476388
2015-01-17 14:00:00,68.0,1,14,5,22.9010175,64.388180834
2015-01-17 15:00:00,68.0,1,15,5,32.153964722,65.711353892
2015-01-17 16:00:00,69.98,1,16,5,49.022285277,78.194225833
2015-01-17 17:00:00,69.98,1,17,5,70.513035001,75.52497222
2015-01-17 18:00:00,66.02,1,18,5,76.560945558,90.564234168
2015-01-17 19:00:00,62.96,1,19,5,85.008825001,94.409455833
2015-01-17 20:00:00,62.06,1,20,5,87.605431666,94.984825554
2015-01-17 21:00:00,57.92,1,21,5,94.139614723,99.429610277
2015-01-17 22:00:00,53.96,1,22,5,96.301678056,107.597023056
2015-01-17 23:00:00,57.02,1,23,5,90.881798053,96.954081665
2015-01-18 00:00:00,55.04,1,0,6,92.072396388,89.516187777
2015-01-18 01:00:00,51.98,1,1,6,81.4254575,75.726624722
2015-01-18 02:00:00,53.96,1,2,6,78.48951,80.207666388
2015-01-18 03:00:00,48.02,1,3,6,74.990545001,81.100948612
2015-01-18 04:00:00,48.92,1,4,6,79.123836113,84.492883331
2015-01-18 05:00:00,42.08,1,5,6,70.8399225,80.896806669
2015-01-18 06:00:00,39.92,1,6,6,90.593238611,82.931077501
2015-01-18 07:00:00,37.94,1,7,6,99.752020555,92.25815417
2015-01-18 08:00:00,37.04,1,8,6,127.706110279,108.034080003
2015-01-18 09:00:00,50.0,1,9,6,106.595880278,97.229236666
2015-01-18 10:00:00,57.92,1,10,6,78.994895001,99.388028888
2015-01-18 11:00:00,60.98,1,11,6,53.346614166,75.792815832
2015-01-18 12:00:00,64.04,1,12,6,29.230940002,64.527840831
2015-01-18 13:00:00,68.0,1,13,6,18.215492779,46.879362221
2015-01-18 14:00:00,69.08,1,14,6,12.785797221,37.718323332
2015-01-18 15:00:00,69.08,1,15,6,7.23541278,39.229517224
2015-01-18 16:00:00,69.08,1,16,6,43.720990555,58.218891389
2015-01-18 17:00:00,66.92,1,17,6,56.70907917,72.413733889
2015-01-18 18:00:00,57.92,1,18,6,67.71308083,80.395074998
2015-01-18 19:00:00,51.08,1,19,6,87.477740279,95.237179723
2015-01-18 20:00:00,46.04,1,20,6,94.763273888,96.799412781
2015-01-18 21:00:00,39.92,1,21,6,92.06159139,94.545729445
2015-01-18 22:00:00,39.02,1,22,6,95.180691666,102.293567774
2015-01-18 23:00:00,35.06,1,23,6,88.8985,99.427523332
2015-01-19 00:00:00,37.94,1,0,0,91.709980275,85.389258336
2015-01-19 01:00:00,32.0,1,1,0,88.312491668,72.880555834
2015-01-19 02:00:00,30.92,1,2,0,79.996280001,75.684260277
2015-01-19 03:00:00,39.02,1,3,0,75.176276946,78.292384167
2015-01-19 04:00:00,30.92,1,4,0,65.779256944,77.605431945
2015-01-19 05:00:00,30.92,1,5,0,67.28073667,80.614596111
2015-01-19 06:00:00,30.92,1,6,0,85.740208057,98.029583611
2015-01-19 07:00:00,33.08,1,7,0,88.978716665,105.964148334
2015-01-19 08:00:00,37.94,1,8,0,103.316165002,119.495528608
2015-01-19 09:00:00,51.98,1,9,0,82.184089721,97.649522221
2015-01-19 10:00:00,57.92,1,10,0,63.32653528,95.896858334
2015-01-19 11:00:00,60.98,1,11,0,47.657284721,72.681615558
2015-01-19 12:00:00,64.94,1,12,0,30.569305835,65.004614168
2015-01-19 13:00:00,68.0,1,13,0,27.552691946,53.279341668
2015-01-19 14:00:00,69.98,1,14,0,31.723457502,54.273456388
2015-01-19 15:00:00,71.96,1,15,0,33.015271109,50.033204167
2015-01-19 16:00:00,71.96,1,16,0,48.458437775,65.772807503
2015-01-19 17:00:00,69.08,1,17,0,64.379372782,75.985967505
2015-01-19 18:00:00,64.94,1,18,0,71.374361944,72.580831942
2015-01-19 19:00:00,55.94,1,19,0,80.607456389,87.760824724
2015-01-19 20:00:00,50.0,1,20,0,86.509664723,97.977460552
2015-01-19 21:00:00,46.04,1,21,0,89.562018332,107.070520281
2015-01-19 22:00:00,44.96,1,22,0,88.437960555,101.797745277
2015-01-19 23:00:00,44.06,1,23,0,76.332064444,96.564751391
2015-01-20 00:00:00,42.08,1,0,1,71.519953609,96.266149999
2015-01-20 01:00:00,39.92,1,1,1,72.346615556,92.723056943
2015-01-20 02:00:00,37.04,1,2,1,87.378729445,86.664142501
2015-01-20 03:00:00,41.0,1,3,1,83.606386943,81.464837777
2015-01-20 04:00:00,35.96,1,4,1,75.911548333,81.17997861
2015-01-20 05:00:00,35.96,1,5,1,65.403742222,70.844142499
2015-01-20 06:00:00,35.06,1,6,1,73.652032222,82.88816972
2015-01-20 07:00:00,35.06,1,7,1,83.740309447,94.195426666
2015-01-20 08:00:00,37.04,1,8,1,88.233950556,133.00904722
2015-01-20 09:00:00,48.92,1,9,1,71.77490778,128.082233334
2015-01-20 10:00:00,55.94,1,10,1,63.485204164,123.807769169
2015-01-20 11:00:00,62.06,1,11,1,38.044987494,84.332692777
2015-01-20 12:00:00,68.0,1,12,1,7.097850833,70.364790555
2015-01-20 13:00:00,71.06,1,13,1,-6.28914861,53.709440277
2015-01-20 14:00:00,75.92,1,14,1,-7.886358333,42.977107777
2015-01-20 15:00:00,78.08,1,15,1,-4.266842224,38.297223889
2015-01-20 16:00:00,80.06,1,16,1,26.86555389,47.216627777
2015-01-20 17:00:00,78.98,1,17,1,58.052020001,61.015752219
2015-01-20 18:00:00,69.08,1,18,1,78.075215276,93.251925279
2015-01-20 19:00:00,62.96,1,19,1,77.145286945,97.72349
2015-01-20 20:00:00,60.08,1,20,1,83.468684721,109.050576391
2015-01-20 21:00:00,60.98,1,21,1,81.477334168,112.97510139
2015-01-20 22:00:00,57.92,1,22,1,81.6578625,104.090479999
2015-01-20 23:00:00,55.94,1,23,1,75.388809723,98.149225277
2015-01-21 00:00:00,53.06,1,0,2,74.471372778,97.28846778
2015-01-21 01:00:00,53.06,1,1,2,69.808023611,93.237200555
2015-01-21 02:00:00,51.08,1,2,2,75.079366945,91.701821113
2015-01-21 03:00:00,51.08,1,3,2,73.917806667,87.560465834
2015-01-21 04:00:00,51.08,1,4,2,71.751366666,76.333790555
2015-01-21 05:00:00,48.92,1,5,2,73.052748055,74.6393325
2015-01-21 06:00:00,48.92,1,6,2,83.989983612,80.194572778
2015-01-21 07:00:00,50.0,1,7,2,96.143931671,103.411241111
2015-01-21 08:00:00,48.92,1,8,2,109.010690837,126.866565557
2015-01-21 09:00:00,48.2,1,9,2,94.160936946,123.626230554
2015-01-21 10:00:00,48.92,1,10,2,80.726851111,120.243909722
2015-01-21 11:00:00,51.98,1,11,2,38.210453889,93.787302501
2015-01-21 12:00:00,53.96,1,12,2,23.579305833,74.285771667
2015-01-21 13:00:00,55.04,1,13,2,23.05354528,61.833207779
2015-01-21 14:00:00,55.04,1,14,2,8.450056944,48.842360554
2015-01-21 15:00:00,53.96,1,15,2,7.148991668,52.371731111
2015-01-21 16:00:00,55.04,1,16,2,27.032910557,64.372180275
2015-01-21 17:00:00,55.94,1,17,2,47.71692389,65.586181389
2015-01-21 18:00:00,53.06,1,18,2,69.273196941,91.843383054
2015-01-21 19:00:00,53.96,1,19,2,74.183760832,94.876193331
2015-01-21 20:00:00,53.96,1,20,2,81.077670278,104.542018054
2015-01-21 21:00:00,53.96,1,21,2,91.312613055,101.052760831
2015-01-21 22:00:00,53.96,1,22,2,79.014799998,108.220166947
2015-01-21 23:00:00,53.06,1,23,2,78.588183887,102.932240552
2015-01-22 00:00:00,53.06,1,0,3,71.117992222,105.972248612
2015-01-22 01:00:00,51.98,1,1,3,66.405556389,93.210396112
2015-01-22 02:00:00,51.08,1,2,3,71.345178057,93.565791391
2015-01-22 03:00:00,51.08,1,3,3,63.115611943,94.859762225
2015-01-22 04:00:00,50.0,1,4,3,62.266199724,82.342798889
2015-01-22 05:00:00,48.92,1,5,3,65.832625274,75.700716113
2015-01-22 06:00:00,48.92,1,6,3,80.635794998,87.960786112
2015-01-22 07:00:00,48.02,1,7,3,97.239304441,106.824981945
2015-01-22 08:00:00,46.94,1,8,3,112.251100835,131.902598053
2015-01-22 09:00:00,46.04,1,9,3,100.144391114,112.216755833
2015-01-22 10:00:00,44.96,1,10,3,82.844852501,97.294080554
2015-01-22 11:00:00,46.04,1,11,3,71.684614725,54.260435279
2015-01-22 12:00:00,44.96,1,12,3,40.68804333,26.191524445
2015-01-22 13:00:00,46.04,1,13,3,15.07507778,14.362790279
2015-01-22 14:00:00,44.96,1,14,3,7.250525833,22.9010175
2015-01-22 15:00:00,44.96,1,15,3,4.241783889,32.153964722
2015-01-22 16:00:00,44.06,1,16,3,20.160986111,49.022285277
2015-01-22 17:00:00,42.98,1,17,3,43.091524169,70.513035001
2015-01-22 18:00:00,42.98,1,18,3,61.439968055,76.560945558
2015-01-22 19:00:00,42.08,1,19,3,75.380138055,85.008825001
2015-01-22 20:00:00,42.08,1,20,3,97.942184442,87.605431666
2015-01-22 21:00:00,42.08,1,21,3,99.114749443,94.139614723
2015-01-22 22:00:00,42.08,1,22,3,96.841391109,96.301678056
2015-01-22 23:00:00,42.08,1,23,3,87.916896111,90.881798053
2015-01-23 00:00:00,42.08,1,0,4,87.731573888,92.072396388
2015-01-23 01:00:00,42.08,1,1,4,78.914899448,81.4254575
2015-01-23 02:00:00,42.08,1,2,4,77.5495,78.48951
2015-01-23 03:00:00,42.08,1,3,4,76.288616665,74.990545001
2015-01-23 04:00:00,42.08,1,4,4,76.709947499,79.123836113
2015-01-23 05:00:00,41.0,1,5,4,76.595953056,70.8399225
2015-01-23 06:00:00,41.0,1,6,4,84.609394166,90.593238611
2015-01-23 07:00:00,41.0,1,7,4,93.057991388,99.752020555
2015-01-23 08:00:00,39.92,1,8,4,99.66995028,127.706110279
2015-01-23 09:00:00,39.02,1,9,4,96.923833055,106.595880278
2015-01-23 10:00:00,39.02,1,10,4,93.380457219,78.994895001
2015-01-23 11:00:00,39.92,1,11,4,79.182861114,53.346614166
2015-01-23 12:00:00,41.0,1,12,4,64.42753889,29.230940002
2015-01-23 13:00:00,41.0,1,13,4,53.607401668,18.215492779
2015-01-23 14:00:00,44.06,1,14,4,46.772090556,12.785797221
2015-01-23 15:00:00,44.96,1,15,4,34.445538056,7.23541278
2015-01-23 16:00:00,46.94,1,16,4,53.28903167,43.720990555
2015-01-23 17:00:00,50.0,1,17,4,60.985133614,56.70907917
2015-01-23 18:00:00,46.94,1,18,4,78.951125279,67.71308083
2015-01-23 19:00:00,44.06,1,19,4,81.181224721,87.477740279
2015-01-23 20:00:00,42.08,1,20,4,96.379215833,94.763273888
2015-01-23 21:00:00,41.0,1,21,4,98.7698425,92.06159139
2015-01-23 22:00:00,37.94,1,22,4,101.990544443,95.180691666
2015-01-23 23:00:00,37.94,1,23,4,96.514059722,88.8985
2015-01-24 00:00:00,35.06,1,0,5,88.798623333,91.709980275
2015-01-24 01:00:00,35.06,1,1,5,86.963957499,88.312491668
2015-01-24 02:00:00,33.98,1,2,5,87.090553335,79.996280001
2015-01-24 03:00:00,33.98,1,3,5,84.063883331,75.176276946
2015-01-24 04:00:00,33.98,1,4,5,79.309612501,65.779256944
2015-01-24 05:00:00,33.98,1,5,5,68.049191389,67.28073667
2015-01-24 06:00:00,28.94,1,6,5,78.974046111,85.740208057
2015-01-24 07:00:00,26.96,1,7,5,86.006543337,88.978716665
2015-01-24 08:00:00,28.04,1,8,5,106.766939444,103.316165002
2015-01-24 09:00:00,37.94,1,9,5,104.557974722,82.184089721
2015-01-24 10:00:00,46.04,1,10,5,99.658561668,63.32653528
2015-01-24 11:00:00,50.0,1,11,5,99.216756664,47.657284721
2015-01-24 12:00:00,53.96,1,12,5,74.830468055,30.569305835
2015-01-24 13:00:00,57.92,1,13,5,59.754987499,27.552691946
