cpt,tmpf,month,hour,dayofweek,kw_2,kw_7
2015-01-08 00:00:00,30.02,1,0,3,90.617098886,93.681293335
2015-01-08 01:00:00,28.94,1,1,3,89.416004998,90.814562496
2015-01-08 02:00:00,28.04,1,2,3,84.882851944,101.849884445
2015-01-08 03:00:00,26.06,1,3,3,75.618245001,89.423969718
2015-01-08 04:00:00,24.98,1,4,3,76.400380278,78.618081114
2015-01-08 05:00:00,24.08,1,5,3,75.158715275,90.528864442
2015-01-08 06:00:00,21.92,1,6,3,86.466333331,94.331746664
2015-01-08 07:00:00,21.92,1,7,3,98.519487779,108.92114389
2015-01-08 08:00:00,23.0,1,8,3,130.272555557,121.140643057
2015-01-08 09:00:00,26.06,1,9,3,112.229032221,104.762945
2015-01-08 10:00:00,26.06,1,10,3,100.412244165,100.766349997
2015-01-08 11:00:00,26.96,1,11,3,83.363948334,83.625524165
2015-01-08 12:00:00,28.04,1,12,3,53.567828331,73.330624169
2015-01-08 13:00:00,28.94,1,13,3,24.601752776,53.25437861
2015-01-08 14:00:00,32.0,1,14,3,15.100393333,56.604586111
2015-01-08 15:00:00,33.08,1,15,3,20.045137223,48.095406669
2015-01-08 16:00:00,33.98,1,16,3,46.69020417,65.238964721
2015-01-08 17:00:00,33.98,1,17,3,61.532430278,79.46568667
2015-01-08 18:00:00,35.06,1,18,3,80.676448611,97.252048611
2015-01-08 19:00:00,35.06,1,19,3,95.292081386,98.791079723
2015-01-08 20:00:00,35.06,1,20,3,115.875687776,97.805615
2015-01-08 21:00:00,33.98,1,21,3,106.883895001,102.936070278
2015-01-08 22:00:00,35.06,1,22,3,107.300742223,106.433091659
2015-01-08 23:00:00,35.96,1,23,3,103.719994723,108.409574169
2015-01-09 00:00:00,37.04,1,0,4,93.147902779,96.213345832
2015-01-09 01:00:00,37.04,1,1,4,85.410781944,86.408845559
2015-01-09 02:00:00,37.94,1,2,4,105.033063054,96.692238331
2015-01-09 03:00:00,37.94,1,3,4,87.013688888,81.459887779
2015-01-09 04:00:00,37.94,1,4,4,83.516745556,86.530631112
2015-01-09 05:00:00,37.94,1,5,4,84.786667499,79.495052223
2015-01-09 06:00:00,37.94,1,6,4,109.612254723,88.232250554
2015-01-09 07:00:00,37.04,1,7,4,106.590514169,99.763870278
2015-01-09 08:00:00,35.06,1,8,4,128.296874445,109.065209164
2015-01-09 09:00:00,35.06,1,9,4,119.564683056,94.132449168
2015-01-09 10:00:00,37.04,1,10,4,102.836959722,90.513285
2015-01-09 11:00:00,37.04,1,11,4,72.69619472,74.284326947
2015-01-09 12:00:00,37.04,1,12,4,57.86050472,78.226394168
2015-01-09 13:00:00,37.94,1,13,4,47.575794165,68.339047503
2015-01-09 14:00:00,37.04,1,14,4,35.95592639,67.163200831
2015-01-09 15:00:00,37.04,1,15,4,37.255653893,73.79321417
2015-01-09 16:00:00,37.04,1,16,4,59.578740833,82.411649997
2015-01-09 17:00:00,37.04,1,17,4,58.402199723,82.986026667
2015-01-09 18:00:00,37.04,1,18,4,85.985576946,91.615556113
2015-01-09 19:00:00,35.96,1,19,4,89.598623336,96.53974361
2015-01-09 20:00:00,33.98,1,20,4,108.292539448,100.347549724
