MIDATL True,MIDATL LR,MIDATL DT,MIDATL SVR,MIDATL LSTM,MIDATL DNN,MIDATL GRU,SOUTH True,SOUTH LR,SOUTH DT,SOUTH SVR,SOUTH LSTM,SOUTH DNN,SOUTH GRU,WEST True,WEST LR,WEST DT,WEST SVR,WEST LSTM,WEST DNN,WEST GRU
28990.128,29484.63607214586,26396.956,26396.956,27846.795,29628.537,29903.836,10653.034,11191.736287138452,10416.335,10392.53,10763.403,10571.655,10429.576,45987.157,45580.741379552324,56069.652,56069.652,45132.285,43795.035,45998.527
27189.276,27882.81499141834,29661.662999999997,28774.464,25898.55,28080.086,27968.234,10020.794999999998,10605.209609421165,11523.353,11017.649,10335.124,10242.227,10219.136,42830.506,43050.049476479995,38430.135,42490.241,42656.07,41841.438,42898.51
25989.544,26875.142318917013,22962.958,22962.958,24885.861,26347.117,26552.725,9599.635,10206.87181949479,9968.036,9968.036,10003.99,10015.486,10115.738,40608.802,41157.579995132575,41134.676,41134.676,39632.1,39376.87,40666.08
25301.531000000003,26248.06463302664,26300.803,25202.997000000003,24468.27,25696.697,25991.352,9373.043,9996.91228709471,11858.133999999998,11170.226999999999,9904.675,9932.377,10108.851,39174.302,40006.82698836901,39231.506,39231.506,38355.555,39040.03,39665.305
25204.549,26199.81493071415,25202.997000000003,25202.997000000003,24536.635,25693.404,26032.2,9333.868,9952.268893522813,9493.863,9827.738000000001,9743.74,9915.457,10209.418,38640.183,39656.082007138975,39231.506,39231.506,38330.76,39193.625,39591.234
25750.928,26814.89365627514,26103.173,26985.83,25294.117,26099.11,26709.156,9586.873,10174.942514301883,11858.133999999998,11170.226999999999,10019.529,10015.237,10445.54,39109.362,40371.5899275022,39720.841,39744.389,39053.062,39771.273,40530.71
27128.624,28077.51102935379,28785.158,28774.464,26981.398,28108.566,28115.78,9806.547,10346.723823235254,9603.959,9603.959,10319.754,10133.44,10613.458,40524.723,41762.63551695802,41134.676,41134.676,40480.61,40937.688,41938.74
29014.381,29740.16065362501,29882.150999999998,30872.415,28850.273,29693.586,30162.217,9117.64,10186.954763229465,11041.14,11235.482,10349.068,10066.621,10559.154,43637.065,44667.819230860376,44586.057,44586.057,43169.805,44031.527,44324.008
30706.648,31303.109883237994,30508.301,28050.905,31205.46,30908.996,31925.463,8120.513000000001,9692.742756396585,11356.465,11635.66,9519.493,9865.845,10132.439,47404.77099999999,47887.55858438197,48211.025,48211.025,45847.137,44444.715,47770.367
32234.898999999998,32371.125337742073,35510.935,35510.935,32887.04,31904.695,32956.73,8483.659,9835.96025843889,11356.465,11635.66,8954.266,9741.755,10084.92,51416.103,51026.30820428647,51765.82700000001,51765.82700000001,49100.906,45351.082,51963.152
34173.175,33768.6293049746,33965.292,39530.727999999996,34622.57,33199.22,34178.977,8964.591999999999,10207.621287798109,11895.091000000002,11895.091000000002,9011.134,9891.399,10507.342,55488.12999999999,54254.30497186679,55086.36700000001,55086.36700000001,52325.684,47142.414,55882.277
36175.183,35206.62890949889,39105.841000000015,38410.867999999995,36417.71,34530.03,35256.04,10040.23,11103.576110406211,6976.64,6976.64,9313.424,10388.612,11055.774,59179.066000000006,57314.30327442211,55560.82900000001,54448.850999999995,54915.664,48995.023,59239.64
