Net,Temperature
57462.157775,-7.2
57882.1203357,-7.3
55946.82996599999,-7.6
56757.7014758,-7.3
57753.1655799,-6.6
60802.004,-6.8
63374.424000000006,-6.5
63330.79,-5.9
62737.183,-5.8
61313.12,-6.6
58722.133,-7.3
56081.579000000005,-7.7
54204.934,-8.2
52928.579000000005,-8.2
52491.884000000005,-8.1
52643.287,-8.2
53412.40900000001,-8.4
55718.582,-8.1
59695.889,-8.1
62919.324,-7.9
62979.5607776,-7.7
61430.66357999999,-7.7
61856.7175988,-7.5
60891.6050877,-7.0
59388.28526800001,-6.5
57408.435467,-5.8
56098.16908100001,-5.0
58232.0114459,-4.5
58402.68543520001,-3.8
61232.991,-3.2
63309.327000000005,-2.8
63226.132000000005,-2.7
62668.807,-3.0
61013.0,-3.4
58263.57,-3.9
55269.795,-4.6
53207.77,-5.3
52192.678,-5.9
51605.21,-6.5
51608.335,-6.9
52369.10400000001,-7.2
54498.064000000006,-7.6
58537.309,-8.1
61691.65,-8.4
61565.052,-8.8
60647.427834220005,-9.1
59184.5668534,-9.4
57704.3221371,-9.7
56712.8755729,-9.7
55195.15124099999,-9.6
54891.8911156,-8.7
54844.82284480001,-7.8
55236.5518566,-5.5
57692.58,-4.4
60296.912,-3.7
60236.72900000001,-3.4
59636.278,-3.7
57994.535,-3.9
55277.783,-3.9
52425.613,-4.2
50465.843,-4.4
49187.33,-4.9
48840.593,-5.5
48755.836,-5.7
49602.46599999999,-6.0
51843.603,-6.2
55592.731,-6.3
58547.09,-6.3
57182.719485,-6.2
53889.792245,-6.2
52316.059426,-6.3
50061.074541,-6.2
48949.117962,-6.3
49992.740719,-6.2
47927.508545,-6.3
48894.857144,-6.3
52000.439663,-6.2
55284.055,-6.2
57485.076,-6.2
57180.508,-6.1
56651.576,-6.0
55470.615,-5.9
53729.836,-5.9
51402.505,-5.7
49500.674000000006,-5.6
48407.867,-5.5
47999.27099999999,-5.5
47856.926,-5.4
48190.712,-5.4
49026.029,-5.4
50698.529,-5.4
52730.657,-5.3
52500.885267000005,-5.3
49432.242150000005,-5.5
51144.659799,-5.2
49131.384242,-5.4
47570.01551700001,-5.7
45119.997825,-4.6
43670.78753,-3.3
45520.9551092,-1.8
44657.095256,0.5
48780.559,3.5
51147.683,5.0
50916.53,5.3
50360.407,5.5
49277.28,5.2
47523.171,3.6
45466.282,2.1
43580.699,1.5
42528.498,1.2
41619.404,0.9
41370.485,0.8
41310.159,1.1
41884.755,1.3
43072.052,1.0
44498.315,1.2
43966.757039,1.0
42132.277718000005,0.5
40336.277388,0.6
39039.854522,0.9
38625.82889,1.3
38783.531975,1.8
39768.022026000006,2.9
41457.218857,3.4
44700.95358,2.7
49256.239,1.5
50868.881,1.5
51167.359,0.9
50442.414,0.5
49337.188,0.8
47630.334,-0.1
46006.81,-0.8
44658.063,-1.8
43912.064000000006,-2.0
43629.115,-2.6
43880.241,-2.6
44948.16,-2.7
47023.757000000005,-3.0
50433.247,-3.4
53683.568,-3.8
53723.992533,-3.9
51060.95187899999,-3.7
50853.212677,-3.8
51118.48813799999,-3.9
49682.947171,-4.0
47033.815602,-4.3
49299.119012,-4.1
48575.44346,-3.3
50504.9684469,-2.3
52884.793,-1.7
55426.76,-1.2
55513.37,-0.6
54974.262,-0.1
53508.388,-0.1
51061.263,-0.7
48398.03599999999,-1.1
46442.926,-1.3
45419.336,-1.5
44987.02099999999,-1.4
45016.101,-0.8
45892.837,-0.5
48386.972,-0.3
52689.613,0.3
56028.754,0.3
55815.6230932,-0.2
55028.7519689,-0.1
52169.969814,0.0
50715.385861,-0.4
49928.223724,-0.8
49524.483032,-0.4
45611.201354,0.7
49640.132055,1.9
50769.2662091,3.4
53910.119000000006,4.0
55875.47900000001,3.0
55844.33900000001,2.5
55161.384000000005,2.9
53602.959,3.0
51234.224,2.3
48375.769,1.7
46151.637,0.9
44970.664,0.3
44482.783,-0.7
44255.435,-2.1
45048.475,-2.5
47547.917,-2.4
51851.16,-1.2
54892.477,-1.3
54495.83101819999,-0.8
53277.997859,-1.4
48260.032024,-0.4
46587.767814,-0.1
45529.475145,0.0
45478.880041,-0.6
46341.699864,-0.3
47931.268567,-0.5
51035.875011,-0.1
55177.001,0.2
57070.007000000005,0.4
56781.102,0.3
56358.026,0.3
54705.15900000001,0.2
52184.41,0.0
49618.665,-0.2
47506.364,-0.5
46311.658,-1.1
45798.674000000006,-1.3
45687.208,-0.9
46595.24,-0.6
48871.565,-1.1
53105.106,-1.5
56307.217,-1.9
56686.228,-2.3
56348.4985267,-2.4
55818.1295407,-2.9
55255.7280793,-3.4
53595.11112,-3.5
52256.949702000005,-3.7
53856.5737644,-3.7
53701.2548641,-3.6
53855.08826430001,-3.5
56559.1,-3.5
58355.419,-3.2
58109.181,-3.0
57260.781,-2.9
55834.67,-3.1
52948.92,-3.3
50333.796,-3.6
48211.007000000005,-3.7
46781.935,-4.0
46374.811,-4.1
46294.285,-4.3
47130.126,-4.4
49507.88,-4.6
53773.202000000005,-4.7
56924.797,-4.8
55323.688407,-5.0
52190.549361,-5.7
49740.33535200001,-6.4
47579.65659300001,-6.5
49794.974746,-6.9
50391.719433,-6.0
46829.449069,-4.4
51847.497254,-3.2
53293.1324984,-1.8
55286.05,-0.5
56723.867,0.6
56309.48,0.8
55523.849,-0.2
54131.807,-1.3
51945.61,-0.9
49296.615,-0.6
47010.009000000005,-0.5
45876.575,-0.5
44947.904,-0.3
44742.088,-0.4
44872.416,-0.1
45839.726,-0.2
47297.871,-0.2
49414.986,-0.2
50085.7751965,-0.5
50365.97252,-0.3
50297.870932,-0.6
49044.48752,-1.2
50180.0934935,-1.7
46035.661775,-2.1
46799.496947,-2.3
48002.8492863,-3.1
49299.7867343,-3.4
