Net,Temprature
13640.024978163397,4.6
13425.121940789684,4.6
13286.0709089682,4.5
13310.892590131753,4.3
13423.34550338422,3.9
13736.274293099304,3.4
14103.954131657343,2.9
14389.456069359476,2.7
14644.761453858177,2.7
15155.421895572998,2.6
15547.055337715856,2.7
15739.632844948443,2.7
15721.294564153795,2.6
15498.074235235948,2.7
15243.146222620624,2.6
15118.845725027062,2.8
15297.12274896952,3.0
15841.854314476108,3.3
16008.438523619472,3.8
15736.493138767955,4.3
15436.932675203654,4.5
14903.89779640361,4.5
14201.568814206485,4.5
13461.5105,4.4
12879.835177155372,4.5
12491.895349917444,4.6
12339.455550924202,4.6
12377.97911314172,4.6
12622.077465862165,4.6
13240.433645517462,4.4
14047.295904545252,4.2
14578.729970424212,4.1
14880.747275129082,4.2
15251.273327163897,4.2
15584.74347572279,4.2
15676.561719001757,4.3
15594.521027593639,4.2
15426.382662562444,4.3
15262.076564218876,4.5
15167.722921814384,4.7
15237.802886765337,5.2
15708.482268009828,5.4
15780.147983351211,5.6
15425.896261549498,5.8
15007.034215617403,6.1
14517.306229614316,6.4
13801.933658863376,6.5
13134.586600000002,6.4
12484.443276016938,6.4
12121.49946112019,6.3
11870.54475718016,6.2
11756.964069032718,6.1
11888.33051136575,6.1
12298.657941207588,6.0
12816.494658058264,6.0
13353.769986739328,5.9
13725.386969310988,5.9
14117.495997809972,5.9
14086.483786182724,6.0
13809.85673522711,6.0
13174.33670870593,6.0
12244.166777047656,5.9
11490.210565901849,6.0
11053.441818580064,6.1
11033.031425281712,6.6
11766.301587574702,7.3
12761.72410154001,7.5
12919.463467080295,8.5
13006.95580603447,10.2
12905.198284747132,11.0
12600.905512594822,11.1
12183.837599999997,9.4
11806.56281042591,7.2
11695.69786367525,6.3
11680.128272839336,5.5
11855.99674114891,5.2
12203.9756520603,4.4
12872.253931690557,3.9
13951.011473240758,3.0
14957.768030022353,2.4
15570.47476567074,2.0
15766.646580388244,1.4
15642.574869979611,2.3
15362.287358819747,1.9
14961.6233116159,2.9
14429.559840853091,3.3
13907.017044867016,4.1
13494.40184913408,3.8
13509.95749504962,3.4
14680.62135036016,4.2
15840.973165177487,4.7
16429.168676559322,5.2
16564.58223052938,5.5
16374.50171814591,5.2
15750.272716807887,4.4
15152.9956,3.0
14742.322444669524,1.6
14693.303788175996,0.8
14888.683285568544,0.0
15165.415890707436,-0.4
15836.904601242128,-1.1
17056.7020351337,-2.2
18479.170190942405,-2.8
19079.758737535863,-2.7
18403.4110618491,-3.4
17539.79029273865,-3.5
16666.777246472324,-4.0
15812.275818399386,-3.7
14897.507498186276,-3.3
14223.738668456552,-3.1
13653.836360732632,-2.0
13362.22244940078,0.4
13520.665675366345,2.4
14521.910495977721,4.4
15811.09221855681,6.5
16096.059292800293,8.0
16059.290416221285,8.9
15590.360879119276,9.8
14633.31268145918,9.6
13710.9137,7.2
13179.594044245881,3.7
12956.58798132593,3.4
12929.64347791807,3.2
13128.760126488301,3.1
13670.681358231024,1.5
14928.957132679956,1.4
16605.843882476987,1.4
17083.55408571452,1.2
16335.773639278103,1.4
15104.958743885763,1.2
14140.97470604335,0.1
13357.533457300056,0.8
12676.31785727966,0.8
12185.924999993162,1.4
11667.33482983893,3.3
11365.557470644162,5.9
11484.59606583617,9.3
12285.586577128684,12.2
13390.43014396511,13.4
13521.724576663888,14.9
13603.192458629743,15.8
13388.841814085656,16.0
12725.572398320675,13.7
12075.446400000003,11.0
11803.47861912833,10.1
11768.620997714248,8.3
11978.387624351892,7.0
12350.775561618162,6.0
13080.803074019372,5.2
14453.146970675103,4.5
16420.1676353379,4.5
17178.542132109185,4.4
16746.281194711402,2.2
16301.630934556839,2.3
16102.13738737512,2.0
15816.59593237465,2.7
15528.928599740138,2.2
15265.435051047103,2.3
15147.538657188636,3.1
15267.709841950076,5.6
15946.03028666086,7.5
17522.00743415538,9.1
19150.489385324297,9.8
19621.755490146876,9.8
19840.799344996703,8.3
19561.221221086656,7.5
18715.242381289965,6.5
17906.589200000006,4.6
17453.598476588722,3.0
17277.881195792186,1.6
17309.339711359204,0.2
17505.01049014211,-1.3
18022.341786312503,-2.4
19072.09587845269,-3.5
20665.70861523752,-4.1
21055.679260647194,-4.7
20073.069298658054,-5.2
19209.032618861806,-5.7
18433.60366305925,-6.1
17634.16551448558,-6.6
16835.739169863635,-7.0
16138.774026299066,-7.2
15526.13237955377,-5.2
15317.573650023603,-3.4
15619.238935968588,-1.7
16814.561657839004,0.0
17970.804503294356,1.7
18080.835159418075,3.0
17905.361855446885,3.8
17375.63750867019,4.2
16352.040642849028,4.1
15508.801799999996,3.6
15014.1196540693,3.0
14798.48758709808,2.2
14706.176235504921,1.7
14858.523421988826,1.5
15255.337068472838,1.1
16121.76782529807,0.7
17511.03495168924,-0.2
18054.66756950022,0.5
17831.347564414085,0.9
17770.79903273441,1.1
17704.91362917523,1.2
17505.91043135265,1.3
17123.90359379065,0.5
16733.66123410618,0.0
16581.718465188766,0.2
16589.80122273566,0.4
16894.91978844022,0.8
17518.67648247019,1.3
17936.049033961717,1.6
17597.438627590516,2.0
17321.299882102663,2.6
16800.62106142556,2.6
16088.032591284717,2.7
15419.1908,2.4
14913.51465320873,2.1
14646.967822562228,2.4
14528.66432044671,2.5
14567.531186308004,2.9
14680.505452883825,2.7
15027.711805874933,2.3
15556.137983085238,2.1
16102.93551683382,1.9
16497.087734877543,1.7
16943.323300551263,1.6
16941.35729888617,1.5
16759.130487892136,1.4
16248.46858800247,1.3
15774.077445562694,1.3
15565.49172324166,1.6
15560.356304270605,2.5
15717.745879265622,3.0
16399.897360965457,3.5
16861.1766354331,3.9
16701.95947550945,4.1
16489.575553316143,3.0
16106.786947001388,2.7
15444.62023765609,2.1
14804.2063,1.3
14238.2874466312,1.3
13952.2405885302,1.3
13747.338760199764,1.4
13701.72594577698,1.5
13843.068769526944,1.6
14136.044177623164,1.7
14612.531009140164,1.8
15112.903036948052,1.6
15552.406973455001,1.0
15912.039843917639,1.1
15851.42251644802,1.0
15665.997331274204,1.0
15320.06356348529,0.9
14942.867078178177,1.0
14455.712367294404,1.1
14257.252605979724,1.7
14258.64132777744,2.6
14638.4900351185,3.6
15112.815676707476,4.4
15054.982353750132,5.0
14745.520520168917,5.3
14139.112806683703,5.6
13185.747698260728,5.9
12270.6997,5.8
11706.268911921155,5.8
11438.161498796979,5.8
11368.45932561303,5.9
11521.727855527324,5.8
12088.082941440336,5.8
13191.68351695297,5.7
14815.311685612256,5.8
15472.411134776268,5.8
15154.596133320501,5.9
15129.010596430939,5.9
15348.77033714639,5.9
15304.858651234412,5.8
15174.38526819385,5.6
15125.584167238598,5.1
15174.472465482077,5.3
15336.68750917753,5.8
15842.29773645793,6.3
16738.19231687137,6.4
17342.51973632818,6.4
17249.7091444635,6.3
17020.498364142088,6.5
16447.977666034705,6.8
15394.857533590843,6.7
14586.191099999996,6.4
14042.73281264983,6.0
13830.108798358844,5.3
13781.583995631718,5.1
13922.907598026752,4.9
14442.803074171195,4.8
15522.66939146504,4.2
17098.444204697997,3.7
17685.83233026968,3.2
17295.48180926502,3.0
17164.660521936898,3.0
17038.02231729763,2.9
16662.68422401813,2.8
16292.86815994352,2.8
15797.567891862693,2.8
15384.52471088034,2.9
15343.4022216947,3.3
15695.625774751252,3.8
16484.426389253844,4.2
17183.35219337018,4.8
17047.0872898106,5.0
16830.645879633827,5.0
16025.48047291126,5.3
14885.364372610256,5.5
13883.0435,5.3
13302.17919699104,5.0
12995.263595122784,4.8
12949.013256727501,4.7
13104.91880947309,4.5
13542.10714576279,4.2
14626.692273161085,3.9
16233.375750495063,3.8
16746.996417253074,3.9
16289.147486238055,3.9
16105.528497210027,3.7
15987.9067037488,2.8
15580.759460434572,2.3
15200.596056010201,1.8
15039.901265837372,1.6
14864.37027716913,1.8
14924.075184169653,2.5
15298.803870251477,3.2
16104.447969067562,3.9
16651.25861902337,5.0
16505.11132841624,5.9
16279.047099121972,6.5
15652.87183568552,6.5
14516.35904995234,6.2
13522.7007,5.9
12958.259534850838,5.7
12729.039989384248,5.4
12564.609577469664,5.4
12693.20167827156,5.4
13176.356802317963,5.3
14417.354371370528,5.2
16209.47050150382,4.9
16826.494478575023,4.6
16055.611302363772,4.2
15157.184847401099,3.9
14418.437004281797,3.6
13617.479686504363,3.5
12895.473205190048,3.5
12374.900891390129,3.1
11901.456624379452,3.4
11623.959224033028,5.5
11662.741810402133,7.1
12337.25551282946,8.4
13542.0248229317,9.9
13920.310502840695,11.0
14113.379846980724,11.8
13939.358006973598,12.0
13322.210225011771,11.3
12681.5801,9.2
12371.87452349905,6.9
12375.163852210128,4.8
12489.635776464862,3.7
12776.88173589282,2.9
13354.36778038846,1.7
14603.4438494849,1.1
16292.308316955972,-0.4
16939.938685767604,-0.2
16180.697115143654,-0.9
15105.765221755955,-0.7
14073.630546599685,-0.7
13245.293505611657,-1.1
12446.920888050388,-1.7
11914.10804736889,-1.2
11419.316047416021,0.6
11165.60940084166,4.9
11096.456531357268,4.9
11503.485284972385,4.9
12422.95889293331,13.8
12512.043267883188,14.8
12513.701748708489,15.6
12357.342731887862,15.8
11948.083459821359,15.5
11369.5029,12.7
10958.852609295702,10.8
10793.48546472691,9.4
10805.356279393767,8.7
10929.21702892041,7.6
11205.76072261257,6.8
11794.67057662758,6.2
12483.3410639332,4.7
13106.076427189922,4.7
13292.070194802049,4.4
13020.053742788612,4.5
12502.86937428268,4.4
11817.33545295486,4.6
11167.49799185606,4.5
10573.625282318944,4.7
10225.715934291939,6.3
10021.113230634499,8.9
9975.609419131057,11.8
10287.119201765401,14.8
11135.705139819502,16.7
11188.324053772953,18.2
11132.530856180576,19.1
11050.347119762619,19.5
10689.062728569506,19.1
10289.857100000003,17.0
10065.478889425722,14.2
10009.675677101975,13.8
10068.481702053048,13.1
10329.081891200685,11.7
10745.505889491462,10.9
11300.19408541331,10.1
12099.288374538404,7.9
12901.490721009372,5.3
13081.23043703262,5.6
12554.008742297365,5.7
11739.41176628275,4.5
11087.731710580802,2.0
10645.101670397118,1.2
10271.51315942514,0.3
9968.177655538206,3.8
9793.068742615433,8.6
9800.33314165718,13.2
10179.636711940444,16.5
11188.672752617606,18.3
11318.239731473652,19.3
11239.125462354497,19.8
10930.375769217506,20.1
10503.070317256448,19.8
9991.4496,16.4
9632.905919679091,12.7
9525.494624709128,11.4
9549.537409390625,10.4
9772.375664106445,9.0
10199.282355292742,8.9
11221.549030642398,8.7
12404.558724873497,8.0
13157.259598960429,6.9
13089.342523710671,7.6
12707.307182339562,7.8
12354.392967991624,5.7
11905.283251677121,4.4
11529.850739519236,4.3
11217.938748522294,5.0
11043.34511791461,6.9
10887.624577415076,10.3
10848.531129334018,12.8
11172.319387372658,14.8
12044.718145810544,17.0
12076.37160172393,19.0
11879.51370716384,19.9
11424.968006259462,20.3
10578.39746747796,19.8
9824.7213,17.3
9433.860167297245,15.2
9208.209053764072,13.8
9365.28144078668,13.6
9552.035115990278,13.0
10120.926827229023,12.7
11330.740635924016,12.0
13113.60515930592,11.4
13846.48394731947,10.9
13202.370339934423,10.5
12621.84666508197,11.0
12139.87465732178,11.5
11680.32108876808,11.5
11349.799802691621,11.5
11131.607452203858,11.4
10918.240930302394,11.4
10782.477009663768,11.7
10765.86002094635,12.5
11123.09063661583,15.1
11970.546448516863,18.1
12000.144906989828,19.8
11872.868445096205,20.6
11475.86221737956,21.0
10637.496486397647,20.8
9883.9508,18.1
9425.344661964502,16.0
9304.198293278943,14.9
9382.615385452324,13.5
9615.821726457432,14.8
10114.065598102901,14.9
11335.85405075933,13.8
13088.062183830112,13.7
13734.892420210916,13.0
13258.349434090522,12.3
12812.897828133298,11.9
12383.398564058936,11.7
12002.513933250131,11.1
11716.501807370772,10.3
11467.964957124032,9.8
11360.670541355164,10.6
11424.610490734241,12.2
11816.250751060015,13.8
12626.48796887964,15.1
13219.1261663198,15.4
13185.658423412398,15.6
12959.95776537936,15.3
12470.030365310657,15.1
11561.06549270422,14.3
10726.275700000002,12.8
10244.192196041578,12.1
10087.094378590868,11.7
10095.343438019532,10.7
10280.832619165893,10.6
10769.000335769118,10.8
11919.323931569304,10.8
13717.065054716018,10.4
14691.645289050635,10.1
14809.3943661408,9.6
15044.455900817824,9.0
15256.76187088318,8.2
15340.662468220064,7.5
15366.446063961996,7.2
15318.608489522278,7.1
15186.559704218897,7.1
15209.77106977552,6.9
15489.596915910704,6.3
16058.454983112848,5.6
16518.226151392006,5.2
16319.726621875738,5.1
15942.64200722368,5.1
15177.95771498791,5.0
14075.054096424776,4.9
13084.4153,4.8
12520.684784368965,4.8
12159.718581076759,4.9
12041.602443678516,5.0
12076.48211901374,4.9
12445.32344639968,4.7
13491.959997746879,4.7
14969.18584813263,4.4
15437.92836240431,4.2
15021.490063488747,4.2
14494.671570432283,4.3
13976.385146725988,4.3
13492.504215921044,4.4
13086.357939598576,3.9
12745.577032574472,3.7
12332.86507105286,4.3
12069.68684004161,5.1
12212.762088547977,5.9
12756.35493020568,6.8
13807.212335086511,7.5
13944.850219344748,9.1
13980.61134297783,9.5
13807.360087851139,9.7
13347.79849811308,9.8
12837.386500000002,8.9
12529.478916679802,7.1
12319.440530509202,6.3
12401.970181127603,5.7
12528.96893834482,3.8
12877.99152350379,1.9
13520.591563369348,1.1
14347.412042455204,0.1
15012.791946336129,-0.6
15037.49255896041,-0.9
14562.4486986229,-1.1
13860.073894279236,-0.9
12939.563113827351,-1.4
12133.278356681523,-1.9
11307.727951243858,-0.9
10770.001729313084,1.0
10474.449146801737,3.4
10372.734762889439,6.4
10758.30704568695,9.1
11723.71859855327,11.4
11905.919428190204,12.7
11963.285897537577,13.8
11857.439016893784,14.4
11502.71047721829,14.0
11056.9897,11.9
10762.40311727296,9.1
10605.826681827832,7.7
10573.224064988715,7.7
10639.466194029997,6.4
10803.149085608376,6.0
11210.431067896638,6.3
11654.717606175273,6.0
12176.04535316542,5.4
12362.0505494307,4.6
12098.75824455182,4.5
11668.15194197283,4.3
11221.74588035819,4.3
10831.348180699852,3.3
10512.098834073793,2.3
10209.760458669141,5.4
10108.476329931325,9.5
10184.575533216663,14.0
10663.448559183767,16.4
11771.085886905315,17.9
12079.39648308089,18.8
12081.538450753316,19.3
11801.122452961112,19.3
11237.639899792632,18.4
10617.419000000002,16.3
10301.922002813571,14.4
10221.316978790925,13.0
10407.244925866502,10.5
10733.05148302228,7.8
11408.515305436837,7.1
12729.02074472925,6.7
14568.100408136763,5.4
15100.583353570077,4.8
14318.995857386151,4.7
13436.692469763258,3.0
12698.880147968232,3.8
12141.38321652393,2.6
11660.469205065177,0.7
11251.826182431874,0.4
10918.935981298693,4.3
10710.658267636189,9.6
10702.129185743826,12.3
11000.203041621922,14.3
11905.648120446784,16.3
11982.722447856944,17.7
11814.197065799328,19.1
11360.459682059796,19.9
10466.353713909226,19.3
9641.940999999999,17.4
9186.161616178322,13.8
8950.376039981375,12.3
9025.713393669064,12.0
9216.020001080407,11.9
9694.614348955818,11.3
10803.580514217618,9.9
12568.923447093011,8.7
13088.863710504593,8.5
12498.39976362419,8.3
11937.22722734238,7.3
11587.028696182651,6.4
11281.151096153859,6.0
11076.73476015182,5.7
11078.9626502449,4.7
11017.902556243907,8.2
10988.542096099658,13.2
11019.596710147753,17.8
11115.74439912669,21.9
11785.623992958435,24.4
11799.679442572631,25.2
11547.818624983616,25.8
11008.482237899649,26.0
10034.43182870926,25.4
9130.7715,22.3
8600.298148616885,18.4
8366.317151571971,16.5
8318.073193117538,15.1
8434.50289491914,12.6
8869.577153227987,12.3
9960.02727070136,13.8
11584.48231477814,14.2
12197.51400064106,12.7
11759.055038178,13.5
11415.846879978128,12.6
11242.532673392743,11.4
11144.47598281655,10.9
11078.283160055295,11.0
11078.42802451006,10.2
11028.485069769395,13.1
10912.663219642456,16.4
10947.94740893464,20.1
11030.933226065858,22.3
11711.231806240336,24.0
11711.544371378804,25.1
11357.25338399986,25.6
10869.551017957983,26.0
9915.788568654498,25.2
9025.201899999998,24.0
8352.041787827373,21.6
8040.485280663469,20.0
7939.46835415017,19.4
7866.726630580512,18.6
8242.119361339515,16.9
9170.979808559598,15.7
10764.258136570425,15.1
11359.888206314716,14.1
11039.978641486494,13.3
10960.427804081082,12.8
10984.578957505337,12.5
10906.834496637099,13.1
10820.956763539421,13.4
10758.561768084748,13.3
10637.759398894497,14.3
10545.831423495438,16.4
10564.036997832069,17.9
10900.072561109218,19.1
11717.33398451703,21.0
11801.535763623044,21.5
11714.14438121799,23.0
11302.585262789902,23.0
10539.329926634344,21.8
9724.9483,20.0
9280.81311706045,18.0
9112.1847630034,16.4
9097.886197691932,14.6
9265.516694451524,13.0
9744.918125362563,11.4
10892.50867040634,10.3
12649.25339903994,9.5
13402.726115284531,8.9
13127.517753993243,8.4
12804.754995677122,8.3
12395.754066399079,8.3
11925.65922574707,7.2
11470.2741604005,6.3
11180.200272452597,5.8
10902.776371223585,6.8
10696.766764014514,8.0
10790.327209915247,9.2
11281.29611919156,10.6
12060.46896562382,12.5
11980.604744667648,13.8
11803.338985652252,14.8
11500.535570283928,15.2
10968.566276673899,14.9
10329.8261,13.7
9860.7000861152,12.4
9598.086705459806,11.7
9487.352545134889,11.3
9499.916790884736,10.9
9664.537641056684,10.4
10103.125861807463,9.8
10730.742715974382,9.2
11391.52181052954,8.6
12033.224689200371,8.2
12550.374256739256,7.6
12604.404754975498,7.4
12449.403442175502,7.0
12181.862313039464,6.6
11903.821685050689,6.2
11730.005668071099,6.9
11763.57845617762,8.9
11818.934857262342,11.1
12140.60004259981,12.1
12492.414012927897,12.5
12289.060316092617,13.0
12008.425800934097,13.7
11614.58393953475,14.5
10957.847561395767,14.3
10261.6079,14.2
9618.30329524151,13.9
9143.45120609436,13.9
8844.612900727881,13.8
8645.136134256973,12.9
8605.264882119256,13.2
8759.742274046852,13.7
9084.54093397421,13.8
9531.166307518444,14.0
10004.191174055108,14.2
10432.188381156124,14.2
10794.609020017748,14.5
10912.239812489248,14.9
10909.379076958565,15.3
10759.842817012757,15.8
10626.140965597571,16.4
10603.764762604236,17.2
10826.747026744599,18.6
11225.098942631064,18.8
12199.349911835448,18.1
12655.597930772872,17.3
12949.062299521102,15.0
13298.914830021376,13.9
13162.34017383914,13.8
12801.995499999997,12.4
12748.983500730585,10.2
12908.11482369806,8.5
13268.276499926204,7.1
13714.07060068736,5.9
14454.362863023123,5.0
15808.535356092501,4.3
17880.052197912028,3.4
18579.866181164063,2.2
17828.043013410752,1.0
17009.148538370995,-0.1
16317.398418845836,-1.1
15673.886649095888,-1.9
14860.501160859372,-2.3
14028.710626118536,-2.9
13336.509694820705,-2.0
12964.013263961151,-0.8
13082.99893309732,0.8
14023.624858762621,2.2
15417.49563545047,3.6
15697.728114748663,4.6
15634.723709694426,5.1
15053.253816595316,5.7
14076.330304982184,5.8
13259.303499999998,4.9
12801.059857869632,3.9
12630.447099547482,2.8
12696.23597799725,1.8
12893.986978346962,1.1
13370.15537918468,0.3
14590.750433019068,0.6
16168.727388637753,0.6
16643.52104893656,0.9
15852.208606755676,1.6
15035.363588880788,1.6
14366.161657804161,1.0
13678.97838537203,1.4
13083.571443225184,1.7
12728.92176237254,0.7
12409.911671682352,2.3
12375.23440150693,4.4
12736.83287070494,6.0
13480.894085732518,7.2
14455.095448043892,8.1
14590.062520568272,8.9
14503.35180127166,9.3
13987.163505930743,9.5
13046.702057864148,9.4
12139.8426,8.7
11629.148251522183,7.7
11334.476573586502,7.0
11223.200656209481,6.7
11391.09124814166,6.2
11868.208633145243,6.0
12987.230380960498,5.9
14589.632222105643,5.7
15009.39848510408,5.3
14417.105878098124,5.4
13986.12365677069,5.3
13529.35010165464,5.5
13154.389958826858,5.6
12756.542270438298,5.4
12371.002636014598,5.7
12101.20710236329,6.3
11980.381400498096,8.2
12205.920034479715,9.8
12838.152231463771,11.2
13475.079695835751,11.5
13503.40989476422,11.6
13444.820691733945,10.8
13236.586523329965,10.9
12619.747734601298,11.1
12024.484799999998,11.3
11915.15026113731,10.9
12047.982266118344,10.8
12225.961314759305,10.8
