Sample ID,Hour,y,Zone,mu,sigma,sym_crps,sym_ord_dmu,sym_ord_dlogsigma,sym_nat_dmu,sym_nat_dlogsigma,sym_m11,sym_m12,sym_m22,num_crps,num_ord_dmu,num_ord_dlogsigma,num_nat_dmu,num_nat_dlogsigma,num_m11,num_m12,num_m22,err_crps,err_ord_dmu,err_ord_dlogsigma,err_nat_dmu,err_nat_dlogsigma,err_m11,err_m12,err_m22,err_crps%,err_ord_dmu%,err_ord_dlogsigma%,err_nat_dmu%,err_nat_dlogsigma%,err_m11%,err_m12%,err_m22%
0,0,215.839554721,data/S1/S1.csv,254.6482789636209,40.384244582676416,23.26861434820206,0.6634411735576308,-2.4786912075968184,0.009268629468891449,-28.237708959638102,0.013970537009618254,0,11.392185066495472,23.268614347648732,0.6634411775507942,-2.478690583319612,0.009268629524681922,-28.23770184776853,0.01397053700962411,2.0141478843756002e-17,11.392185066500272,5.533280500458204e-10,3.99316346655354e-09,6.242772063735913e-07,5.579047293591266e-11,7.111869571474472e-06,5.856426454897701e-15,2.0141478843756002e-17,4.799716180059477e-12,2.378001722687778e-09,6.018865915632937e-07,2.5185759503252157e-05,6.019279670545007e-07,2.5185717374026004e-05,4.191983780484418e-11,inf,4.2131655622199195e-11
1,1,338.5183422230001,data/S1/S1.csv,241.00556333192603,41.64137191638225,74.28881799551502,-0.9808053172167237,-21.352234037429145,-0.01328871067392065,-250.8207247099773,0.013548775114342401,0,11.746814139930468,74.28881799464682,-0.9808053107462911,-21.352233539807468,-0.013288710586247194,-250.82071886461404,0.013548775114348106,-5.908760559334694e-16,11.746814139935436,8.681979579705512e-10,6.4704326341313845e-09,4.976216771979125e-07,8.767345703597496e-11,5.845363261869352e-06,5.7055055124877185e-15,5.908760559334694e-16,4.9684700798025005e-12,1.1686791920999016e-09,6.597061129820165e-07,2.330536824978653e-06,6.597589426642856e-07,2.3304945269687404e-06,4.211085846755262e-11,inf,4.229631984142306e-11
2,2,223.76697999400005,data/S1/S1.csv,236.11906529701656,43.83379830559242,11.623236024106816,0.2218982472210419,8.882329945842658,0.0028560764644857237,109.83255195357567,0.012871108718766351,0,12.365286205674266,11.62323602365215,0.22189825799046048,8.882330105130855,0.002856076603097025,109.83255392326623,0.012871108718771772,-4.795161160377497e-16,12.365286205679492,4.546656384718517e-10,1.076941857913738e-08,1.592881968548454e-07,1.386113012563639e-10,1.969690558212278e-06,5.421010862427522e-15,4.795161160377497e-16,5.226041821515537e-12,3.9116958266085825e-09,4.853313946373593e-06,1.7933154681942395e-06,4.853206942459182e-06,1.7933577279027736e-06,4.2117668189093705e-11,inf,4.22638160944255e-11
3,3,297.143501945,data/S1/S1.csv,232.16002395292034,45.29785559886992,42.50384963826917,-0.8485936883211522,-12.640719630966139,-0.010569324160835322,-161.52677041965703,0.01245510579008141,0,12.778289142966413,42.503849637443736,-0.848593685986998,-12.640719094570658,-0.01056932413175459,-161.52676356550856,0.01245510579008669,-1.0344043154532742e-15,12.7782891429718,8.254374961325084e-10,2.334154203254002e-09,5.363954809212146e-07,2.9080732613651072e-11,6.854148466572951e-06,5.280498260873401e-15,1.0344043154532742e-15,5.38769029390096e-12,1.942029964714795e-09,2.750614617310983e-07,4.243393545468721e-06,2.751427827467896e-07,4.243351395416023e-06,4.2396253792388594e-11,inf,4.216284538268192e-11
4,4,187.74249722,data/S1/S1.csv,230.33654073412362,45.52566511841655,25.47181594371118,0.650523441480344,-2.2366078296600533,0.008061794343524662,-28.723754641711093,0.01239278068931549,0,12.842553021947024,25.471815943086835,0.6505234466658294,-2.2366074460287404,0.00806179440779337,-28.723749714917727,0.012392780689320732,-1.2135345648539244e-15,12.842553021952439,6.243467964850424e-10,5.18548537442598e-09,3.8363131293905894e-07,6.426870841069743e-11,4.9267933661667485e-06,5.242334344401911e-15,1.2135345648539244e-15,5.4143356464919634e-12,2.451127936322849e-09,7.971250601862689e-07,1.7152372796502633e-05,7.972010407623321e-07,1.715233063233427e-05,4.2301517922621037e-11,inf,4.215934041494119e-11
5,5,321.16179638599993,data/S1/S1.csv,231.77200469637262,47.80296710163883,63.562066536956856,-0.9385110785260975,-20.33124327089848,-0.011076680102780519,-274.16616593928586,0.011802396749728411,0,13.484968050710354,63.56206653600905,-0.9385110786297446,-20.331242107271624,-0.011076680103994273,-274.1661502479311,0.011802396749733416,-6.997072925213952e-16,13.48496805071607,9.478071660851128e-10,1.0364709090993074e-10,1.1636268553161244e-06,1.2137547911184043e-12,1.5691354747104924e-05,5.0046772281930885e-15,6.997072925213952e-16,5.716316309190006e-12,1.4911522197504859e-09,1.1043779160572646e-08,5.723343328352695e-06,1.0957748890967087e-08,5.7233009380813886e-06,4.240390603974784e-11,inf,4.2390284409230655e-11
6,6,227.998044164,data/S1/S1.csv,234.9022479673096,48.09975035500249,11.635354207617235,0.11413571295378888,10.84733798414823,0.0013387632967751413,147.18415624398645,0.011729574049422884,0,13.56868906076995,11.635354207129613,0.1141357195422188,10.847338216404768,0.001338763374047932,147.18415939546554,0.011729574049427847,-6.68593532974741e-16,13.568689060775698,4.876223869132446e-10,6.588429912746108e-09,2.3225653933423018e-07,7.727279059677183e-11,3.151479091911824e-06,4.963043864769645e-15,6.68593532974741e-16,5.7482907322992105e-12,4.1908684360809255e-09,5.772452584944751e-06,2.141138587860345e-06,5.771953173717054e-06,2.141180934371518e-06,4.231222586479034e-11,inf,4.236437806596053e-11
7,7,208.57186361300003,data/S1/S1.csv,261.4535476673781,51.78468162117928,31.95172934094778,0.6928326896606376,-4.686430056231016,0.007548351643974159,-68.46025589830302,0.010894912663072354,0,14.608188979003145,31.951729340210328,0.6928326925503825,-4.6864298294147835,0.007548351675464436,-68.4602525849576,0.010894912663076938,-7.645787445238854e-16,14.608188979009327,7.374509891633352e-10,2.8897448878240084e-09,2.2681623246256777e-07,3.1490277399570665e-11,3.313345416700031e-06,4.584874147006701e-15,7.645787445238854e-16,6.181721801112872e-12,2.3080158863835078e-09,4.170913022651196e-07,4.8398510111336435e-06,4.171808480161271e-07,4.839808693706857e-06,4.2082706753096375e-11,inf,4.231682524095269e-11
8,8,340.4917366700001,data/S1/S1.csv,306.5603596773233,76.4120119172013,23.77130637113607,-0.3429994606812674,12.132862362475164,-0.002532543222243128,261.5290725221359,0.007383519546103591,0,21.555430590805997,23.77130637025002,-0.34299945639304497,12.132863391611835,-0.0025325431905818853,261.5290947057298,0.007383519546106731,1.2011690368282904e-17,21.55543059081505,8.860503442065237e-10,4.288222443804557e-09,1.02913667099358e-06,3.166124263806469e-11,2.2183593898716936e-05,3.139849491518021e-15,1.2011690368282904e-17,9.052314453583676e-12,3.727394407243837e-09,1.2502125907974509e-06,8.482224888469196e-06,1.2501758058850284e-06,8.482266879464924e-06,4.2525105702130536e-11,inf,4.199551670030078e-11
9,9,274.83980389100003,data/S1/S1.csv,323.7311027419589,100.4035527054463,32.77831235344408,0.3737047452092286,14.507401973398235,0.002099928925702031,410.89777821606936,0.005619219323871121,0,28.323319293800477,32.778312352310834,0.37370474359477157,14.507403191351328,0.0020999289166493853,410.8978127127183,0.005619219323873485,1.2723820637184e-15,28.323319293812514,1.1332446092637838e-09,1.6144570125220525e-09,1.2179530930467308e-06,9.052645785767588e-12,3.449664893651061e-05,2.364428097756388e-15,1.2723820637184e-15,1.2036593943776097e-11,3.45730004963087e-09,4.3201405206084703e-07,8.395390816908864e-06,4.3109296105063084e-07,8.395433308566262e-06,4.207751933995551e-11,inf,4.249711631224916e-11
