time,month,day,hour,day_of_week,temperature,net_load
2015-01-01 00:00:00,1,1,0,3,-8.0,208.631900834
2015-01-01 01:00:00,1,1,1,3,-8.0,199.598398055
2015-01-01 02:00:00,1,1,2,3,-7.0,201.177892502
2015-01-01 03:00:00,1,1,3,3,-8.0,201.71748139000002
2015-01-01 04:00:00,1,1,4,3,-5.0,201.568587224
2015-01-01 05:00:00,1,1,5,3,-6.0,194.18219139000007
2015-01-01 06:00:00,1,1,6,3,-2.0,190.10070583300003
2015-01-01 07:00:00,1,1,7,3,-2.0,203.25021138999995
2015-01-01 08:00:00,1,1,8,3,0.0,199.40474472299996
2015-01-01 09:00:00,1,1,9,3,2.0,204.20873694399998
2015-01-01 10:00:00,1,1,10,3,4.0,152.383295832
2015-01-01 11:00:00,1,1,11,3,6.0,144.61568861300003
2015-01-01 12:00:00,1,1,12,3,5.0,100.263324723
2015-01-01 13:00:00,1,1,13,3,3.0,60.37055805600001
2015-01-01 14:00:00,1,1,14,3,7.0,56.589197779
2015-01-01 15:00:00,1,1,15,3,14.0,58.360513055000034
2015-01-01 16:00:00,1,1,16,3,17.0,79.45312305700001
2015-01-01 17:00:00,1,1,17,3,16.0,124.75085416699996
2015-01-01 18:00:00,1,1,18,3,18.0,165.797015001
2015-01-01 19:00:00,1,1,19,3,18.0,181.870632223
2015-01-01 20:00:00,1,1,20,3,18.0,180.612250832
2015-01-01 21:00:00,1,1,21,3,19.0,185.8875511090001
2015-01-01 22:00:00,1,1,22,3,19.0,172.72394250099998
2015-01-01 23:00:00,1,1,23,3,17.0,173.27687944399995
2015-01-02 00:00:00,1,2,0,4,17.0,164.751550555
2015-01-02 01:00:00,1,2,1,4,16.0,156.49081583500006
2015-01-02 02:00:00,1,2,2,4,15.0,164.03446722199996
2015-01-02 03:00:00,1,2,3,4,12.0,163.64437527799998
2015-01-02 04:00:00,1,2,4,4,11.0,161.681650834
2015-01-02 05:00:00,1,2,5,4,10.0,177.0409127759999
2015-01-02 06:00:00,1,2,6,4,10.0,179.08119611200001
2015-01-02 07:00:00,1,2,7,4,11.0,174.569452499
2015-01-02 08:00:00,1,2,8,4,11.0,211.19688833500007
2015-01-02 09:00:00,1,2,9,4,11.0,224.27928999699998
2015-01-02 10:00:00,1,2,10,4,14.0,201.62133583200003
2015-01-02 11:00:00,1,2,11,4,16.0,168.56285721999996
