Year,Month,Day,Hour,AC System Output (W),
2015,1,1,0,0,0
2015,1,1,1,0,0
2015,1,1,2,0,0
2015,1,1,3,0,0
2015,1,1,4,0,0
2015,1,1,5,0,0
2015,1,1,6,0,0
2015,1,1,7,0,0
2015,1,1,8,16181988.52,16.18198852
2015,1,1,9,4614454.893,4.614454893
2015,1,1,10,14297816.59,14.29781659
2015,1,1,11,30693441.99,30.69344199
2015,1,1,12,31077421.26,31.07742126
2015,1,1,13,15358013.53,15.35801353
2015,1,1,14,3490739.485,3.490739485
2015,1,1,15,4075975.93,4.07597593
2015,1,1,16,0,0
2015,1,1,17,0,0
2015,1,1,18,0,0
2015,1,1,19,0,0
2015,1,1,20,0,0
2015,1,1,21,0,0
2015,1,1,22,0,0
2015,1,1,23,0,0
2015,1,2,0,0,0
2015,1,2,1,0,0
2015,1,2,2,0,0
2015,1,2,3,0,0
2015,1,2,4,0,0
2015,1,2,5,0,0
2015,1,2,6,0,0
2015,1,2,7,0,0
2015,1,2,8,5816771.124,5.816771124
2015,1,2,9,17513325.85,17.51332585
2015,1,2,10,35838486.92,35.83848692
2015,1,2,11,22858461.83,22.85846183
2015,1,2,12,29712496.04,29.71249604
2015,1,2,13,36753058.99,36.75305899
2015,1,2,14,24639548.14,24.63954814
2015,1,2,15,3457382.624,3.457382624
2015,1,2,16,0,0
2015,1,2,17,0,0
2015,1,2,18,0,0
2015,1,2,19,0,0
2015,1,2,20,0,0
2015,1,2,21,0,0
2015,1,2,22,0,0
2015,1,2,23,0,0
2015,1,3,0,0,0
2015,1,3,1,0,0
2015,1,3,2,0,0
2015,1,3,3,0,0
2015,1,3,4,0,0
2015,1,3,5,0,0
2015,1,3,6,0,0
2015,1,3,7,0,0
2015,1,3,8,5462336.926,5.462336926
2015,1,3,9,1391899.132,1.391899132
2015,1,3,10,20984431.78,20.98443178
2015,1,3,11,55338784.7,55.3387847
2015,1,3,12,20335334.61,20.33533461
2015,1,3,13,35761317.58,35.76131758
2015,1,3,14,9752481.816,9.752481816
2015,1,3,15,1542034.7,1.5420347
2015,1,3,16,0,0
2015,1,3,17,0,0
2015,1,3,18,0,0
2015,1,3,19,0,0
2015,1,3,20,0,0
2015,1,3,21,0,0
2015,1,3,22,0,0
2015,1,3,23,0,0
2015,1,4,0,0,0
2015,1,4,1,0,0
2015,1,4,2,0,0
2015,1,4,3,0,0
2015,1,4,4,0,0
2015,1,4,5,0,0
2015,1,4,6,0,0
2015,1,4,7,0,0
2015,1,4,8,9685460.515,9.685460515
2015,1,4,9,21722564.79,21.72256479
2015,1,4,10,47727097.2,47.7270972
2015,1,4,11,34941652.82,34.94165282
2015,1,4,12,36503466.97,36.50346697
2015,1,4,13,27689736.49,27.68973649
2015,1,4,14,21639832.94,21.63983294
2015,1,4,15,12835119.74,12.83511974
2015,1,4,16,0,0
2015,1,4,17,0,0
2015,1,4,18,0,0
2015,1,4,19,0,0
2015,1,4,20,0,0
2015,1,4,21,0,0
2015,1,4,22,0,0
2015,1,4,23,0,0
2015,1,5,0,0,0
2015,1,5,1,0,0
2015,1,5,2,0,0
2015,1,5,3,0,0
