STATION,DATE,REPORT_TYPE,HourlyDewPointTemperature
72565003017,2015-01-01T00:53:00,FM-15,-8
72565003017,2015-01-01T01:53:00,FM-15,-7
72565003017,2015-01-01T02:00:00,FM-12,-7
72565003017,2015-01-01T02:53:00,FM-15,-8
72565003017,2015-01-01T03:53:00,FM-15,-5
72565003017,2015-01-01T04:53:00,FM-15,-6
72565003017,2015-01-01T05:00:00,FM-12,-6
72565003017,2015-01-01T05:53:00,FM-15,-2
72565003017,2015-01-01T06:53:00,FM-15,-2
72565003017,2015-01-01T07:53:00,FM-15,0
72565003017,2015-01-01T08:00:00,FM-12,0
72565003017,2015-01-01T08:53:00,FM-15,2
72565003017,2015-01-01T09:53:00,FM-15,4
72565003017,2015-01-01T10:53:00,FM-15,6
72565003017,2015-01-01T11:00:00,FM-12,6
72565003017,2015-01-01T11:53:00,FM-15,5
72565003017,2015-01-01T12:53:00,FM-15,3
72565003017,2015-01-01T13:53:00,FM-15,7
72565003017,2015-01-01T14:00:00,FM-12,7
72565003017,2015-01-01T14:53:00,FM-15,14
72565003017,2015-01-01T15:53:00,FM-15,17
72565003017,2015-01-01T16:20:00,FM-16,15
72565003017,2015-01-01T16:43:00,FM-16,15
72565003017,2015-01-01T16:53:00,FM-15,16
72565003017,2015-01-01T17:00:00,FM-12,16
72565003017,2015-01-01T17:16:00,FM-16,17
72565003017,2015-01-01T17:23:00,FM-16,17
72565003017,2015-01-01T17:28:00,FM-16,18
72565003017,2015-01-01T17:35:00,FM-16,17
72565003017,2015-01-01T17:51:00,FM-16,18
72565003017,2015-01-01T17:53:00,FM-15,18
72565003017,2015-01-01T18:14:00,FM-16,18
72565003017,2015-01-01T18:28:00,FM-16,18
72565003017,2015-01-01T18:53:00,FM-15,18
72565003017,2015-01-01T19:00:00,FM-16,18
72565003017,2015-01-01T19:53:00,FM-15,18
72565003017,2015-01-01T20:00:00,FM-12,18
72565003017,2015-01-01T20:53:00,FM-15,19
72565003017,2015-01-01T21:17:00,FM-16,19
72565003017,2015-01-01T21:53:00,FM-15,19
72565003017,2015-01-01T22:18:00,FM-16,19
72565003017,2015-01-01T22:53:00,FM-15,17
72565003017,2015-01-01T23:00:00,FM-12,17
72565003017,2015-01-01T23:53:00,FM-15,17
72565003017,2015-01-01T23:59:00,SOD  ,
72565003017,2015-01-02T00:53:00,FM-15,16
72565003017,2015-01-02T01:53:00,FM-15,15
72565003017,2015-01-02T02:00:00,FM-12,15
72565003017,2015-01-02T02:53:00,FM-15,12
72565003017,2015-01-02T03:53:00,FM-15,11
72565003017,2015-01-02T04:53:00,FM-15,10
72565003017,2015-01-02T05:00:00,FM-12,10
72565003017,2015-01-02T05:53:00,FM-15,10
72565003017,2015-01-02T06:53:00,FM-15,11
72565003017,2015-01-02T07:53:00,FM-15,11
72565003017,2015-01-02T08:00:00,FM-12,11
72565003017,2015-01-02T08:53:00,FM-15,11
72565003017,2015-01-02T09:53:00,FM-15,14
72565003017,2015-01-02T10:53:00,FM-15,16
72565003017,2015-01-02T11:00:00,FM-12,16
72565003017,2015-01-02T11:53:00,FM-15,19
72565003017,2015-01-02T12:53:00,FM-15,21
72565003017,2015-01-02T13:53:00,FM-15,22
72565003017,2015-01-02T14:00:00,FM-12,22
72565003017,2015-01-02T14:53:00,FM-15,22
72565003017,2015-01-02T15:53:00,FM-15,22
72565003017,2015-01-02T16:53:00,FM-15,20
72565003017,2015-01-02T17:00:00,FM-12,20
72565003017,2015-01-02T17:53:00,FM-15,16
72565003017,2015-01-02T18:53:00,FM-15,15
72565003017,2015-01-02T19:53:00,FM-15,11
72565003017,2015-01-02T20:00:00,FM-12,11
72565003017,2015-01-02T20:53:00,FM-15,12
72565003017,2015-01-02T21:53:00,FM-15,11
72565003017,2015-01-02T22:53:00,FM-15,9
72565003017,2015-01-02T23:00:00,FM-12,9
72565003017,2015-01-02T23:53:00,FM-15,10
72565003017,2015-01-02T23:59:00,SOD  ,
72565003017,2015-01-03T00:53:00,FM-15,12
72565003017,2015-01-03T01:53:00,FM-15,12
72565003017,2015-01-03T02:00:00,FM-12,12
72565003017,2015-01-03T02:53:00,FM-15,10
72565003017,2015-01-03T03:53:00,FM-15,10
72565003017,2015-01-03T04:53:00,FM-15,10
72565003017,2015-01-03T05:00:00,FM-12,10
72565003017,2015-01-03T05:53:00,FM-15,11
72565003017,2015-01-03T06:53:00,FM-15,12
72565003017,2015-01-03T07:53:00,FM-15,13
72565003017,2015-01-03T08:00:00,FM-12,13
72565003017,2015-01-03T08:53:00,FM-15,16
72565003017,2015-01-03T09:53:00,FM-15,21
72565003017,2015-01-03T10:53:00,FM-15,22
72565003017,2015-01-03T11:00:00,FM-12,22
72565003017,2015-01-03T11:46:00,FM-16,25
72565003017,2015-01-03T11:53:00,FM-15,25
72565003017,2015-01-03T11:59:00,FM-16,25
72565003017,2015-01-03T12:18:00,FM-16,25
72565003017,2015-01-03T12:29:00,FM-16,25
72565003017,2015-01-03T12:53:00,FM-15,25
72565003017,2015-01-03T13:53:00,FM-15,18
72565003017,2015-01-03T14:00:00,FM-12,18
72565003017,2015-01-03T14:53:00,FM-15,14
72565003017,2015-01-03T15:10:00,FM-16,14
72565003017,2015-01-03T15:53:00,FM-15,11
72565003017,2015-01-03T16:34:00,FM-16,9
72565003017,2015-01-03T16:51:00,FM-16,9
72565003017,2015-01-03T16:53:00,FM-15,9
72565003017,2015-01-03T17:00:00,FM-12,9
72565003017,2015-01-03T17:14:00,FM-16,8
72565003017,2015-01-03T17:53:00,FM-15,7
72565003017,2015-01-03T18:02:00,FM-16,6
72565003017,2015-01-03T18:33:00,FM-16,5
72565003017,2015-01-03T18:53:00,FM-15,4
72565003017,2015-01-03T19:18:00,FM-16,4
72565003017,2015-01-03T19:23:00,FM-16,4
72565003017,2015-01-03T19:40:00,FM-16,2
72565003017,2015-01-03T19:53:00,FM-15,2
72565003017,2015-01-03T20:00:00,FM-12,2
72565003017,2015-01-03T20:53:00,FM-15,-3
72565003017,2015-01-03T21:53:00,FM-15,-2
72565003017,2015-01-03T22:53:00,FM-15,-7
72565003017,2015-01-03T23:00:00,FM-12,-7
72565003017,2015-01-03T23:53:00,FM-15,-6
72565003017,2015-01-03T23:59:00,SOD  ,
72565003017,2015-01-04T00:53:00,FM-15,-11
72565003017,2015-01-04T01:53:00,FM-15,-13
72565003017,2015-01-04T02:00:00,FM-12,-13
72565003017,2015-01-04T02:53:00,FM-15,-10
72565003017,2015-01-04T03:53:00,FM-15,-5
72565003017,2015-01-04T04:53:00,FM-15,-5
72565003017,2015-01-04T05:00:00,FM-12,-5
72565003017,2015-01-04T05:53:00,FM-15,-4
72565003017,2015-01-04T06:53:00,FM-15,-3
72565003017,2015-01-04T07:53:00,FM-15,-1
72565003017,2015-01-04T08:00:00,FM-12,-1
72565003017,2015-01-04T08:53:00,FM-15,1
72565003017,2015-01-04T09:53:00,FM-15,1
72565003017,2015-01-04T10:09:00,FM-16,3
72565003017,2015-01-04T10:53:00,FM-15,3
72565003017,2015-01-04T11:00:00,FM-12,3
72565003017,2015-01-04T11:53:00,FM-15,5
72565003017,2015-01-04T12:53:00,FM-15,6
