Demand,Normalized_net,Temprature
359.5554711,0.561109559,-7.3
378.702467,0.590989684,-6.2
413.790755,0.645747226,-4.3
461.9,0.720824814,-3.3
470.2,0.7337775,-2.3
451.5,0.704594941,-2.4
436.7,0.681498584,-2.7
416.9,0.650599404,-3.6
390.0,0.608620215,-4.1
360.4,0.562427501,-4.3
345.0,0.538394806,-5.1
330.9,0.516390844,-6.0
332.1,0.518263522,-6.9
330.3,0.515454505,-7.7
334.8,0.522477046,-8.2
343.7,0.536366072,-8.5
363.2,0.566797082,-9.1
386.4,0.603002182,-9.5
388.9192149,0.60693358,-10.0
385.1694656,0.601081854,-10.4
372.2509999,0.580921753,-10.6
364.0291273,0.568090989,-11.1
359.6072194,0.561190316,-11.9
357.0115835,0.557139658,-11.1
376.0867853,0.586907744,-10.3
388.2572643,0.605900563,-9.5
427.1487167,0.666593189,-8.6
471.6,0.735962291,-7.9
482.1,0.75234822,-7.2
473.9,0.739551589,-6.7
463.5,0.723321717,-6.5
451.0,0.703814659,-7.2
419.5,0.654656872,-8.2
392.3,0.612209514,-9.4
361.3,0.563832009,-10.3
346.7,0.541047765,-10.1
339.3,0.529499587,-10.1
338.4,0.528095079,-10.0
340.8,0.531840434,-10.1
348.4,0.543700725,-10.5
359.0,0.560242711,-11.2
378.4,0.590517665,-11.2
375.1637467,0.585467282,-12.2
366.7195165,0.572289515,-12.5
367.6874178,0.573799988,-11.6
363.7028462,0.567581806,-10.6
367.3660774,0.573298515,-10.0
378.7661876,0.591089124,-9.2
371.2572914,0.579371006,-8.2
382.9312782,0.597589018,-6.8
415.2852947,0.648079552,-5.3
452.3,0.705843393,-4.2
453.9,0.708340296,-3.8
445.9,0.695855779,-3.4
426.8,0.666048994,-3.1
395.9,0.617827546,-2.9
358.3,0.559150315,-2.9
323.5,0.504842666,-2.8
299.1,0.466764888,-2.9
292.6,0.456621218,-3.0
292.6,0.456621218,-2.0
282.0,0.440079232,-1.3
281.5,0.43929895,-0.7
302.5,0.472070808,-0.6
333.1,0.519824086,-0.5
355.5,0.554780734,-1.9
357.1169865,0.557304146,-2.5
354.3432646,0.552975574,-2.6
354.5175702,0.553247589,-2.2
371.2511955,0.579361493,-1.9
358.0905446,0.558823447,-1.4
360.0411247,0.561867453,-0.8
366.4663762,0.571894474,-0.2
379.0212283,0.591487132,0.2
414.6397118,0.647072078,0.2
444.4,0.693514932,0.2
447.0,0.6975724,0.6
433.1,0.675880552,0.7
410.5,0.64061179,0.7
381.6,0.595511472,0.4
346.2,0.540267483,0.3
313.4,0.489080962,0.2
289.4,0.451627411,0.2
278.3,0.434305143,0.5
283.1,0.441795853,0.8
272.3,0.424941755,0.5
282.7,0.441171628,0.0
312.3,0.487364341,-0.2
359.9,0.561647219,-0.4
388.5,0.606279368,-0.9
380.7758293,0.5942253,-2.2
366.3291933,0.571680391,-4.2
362.6652904,0.565962633,-6.0
370.0910666,0.577551037,-7.7
373.0407543,0.582154216,-9.7
367.6113309,0.573681249,-11.2
357.7982016,0.558367227,-11.5
378.6533546,0.590913041,-11.4
421.0741533,0.65711344,-11.2
471.0,0.735025952,-11.0
492.1,0.767953866,-10.6
489.1,0.763272172,-10.8
479.5,0.748290751,-10.9
457.9,0.714582555,-11.7
412.7,0.644045033,-12.8
374.1,0.583807237,-13.7
357.2,0.557433694,-14.2
349.2,0.544949177,-14.7
353.9,0.552283831,-15.2
