Demand,Normalized_net,Temprature
1623.3,0.673003447,-10.0
1711.9,0.709736094,-9.3
1694.943746,0.702706206,-8.1
1660.653198,0.688489698,-8.2
1637.243185,0.678784148,-8.4
1592.304194,0.660152905,-8.3
1599.676135,0.663209236,-8.2
1557.905219,0.645891445,-7.9
1542.540072,0.639521213,-7.3
1577.362641,0.653958292,-6.2
1672.2,0.693276883,-4.3
1779.3,0.737679439,-3.3
1765.8,0.732082478,-2.3
1727.5,0.716203693,-2.4
1681.2,0.69700819,-2.7
1620.1,0.67167676,-3.6
1526.6,0.632912624,-4.1
1436.5,0.595558093,-4.3
1363.8,0.565417422,-5.1
1328.1,0.55061657,-6.0
1308.9,0.542656448,-6.9
1308.1,0.542324776,-7.7
1320.7,0.547548606,-8.2
1352.5,0.560732558,-8.5
1421.0,0.589131952,-9.1
1487.1,0.616536331,-9.5
1541.14072,0.638941056,-10.0
1523.625157,0.631679285,-10.4
1495.820169,0.620151623,-10.6
1478.640419,0.613029076,-11.1
1510.574916,0.626268789,-11.9
1480.635842,0.613856358,-11.1
1506.760702,0.624687455,-10.3
1527.699801,0.63336859,-9.5
1651.3,0.684611958,-8.6
1764.8,0.731667888,-7.9
1768.2,0.733077493,-7.2
1733.9,0.718857067,-6.7
1702.7,0.705921869,-6.5
1645.0,0.682000043,-7.2
1565.8,0.64916454,-8.2
1480.5,0.613800039,-9.4
1420.3,0.58884174,-10.3
1375.2,0.570143744,-10.1
1355.2,0.561851951,-10.1
1349.2,0.559364412,-10.0
1357.4,0.562764048,-10.1
1383.0,0.573377544,-10.5
1424.5,0.590583016,-11.2
1480.4,0.61375858,-11.2
1527.768635,0.633397128,-12.2
1567.213136,0.649750411,-12.5
1609.887581,0.667442796,-11.6
1611.82825,0.668247378,-10.6
1614.039398,0.669164097,-10.0
1598.080114,0.662547542,-9.2
1549.271618,0.642312043,-8.2
1585.767333,0.65744279,-6.8
1684.2,0.698251959,-5.3
1786.0,0.74045719,-4.2
1765.9,0.732123937,-3.8
1721.4,0.713674696,-3.4
1653.0,0.685316761,-3.1
1552.2,0.64352612,-2.9
1441.7,0.597713959,-2.9
1341.3,0.556089154,-2.8
1294.5,0.536686356,-2.9
1264.4,0.524207207,-3.0
1250.4,0.518402951,-2.0
1251.5,0.518859,-1.3
1276.9,0.529389578,-0.7
1357.5,0.562805507,-0.6
1501.6,0.622547882,-0.5
1584.5,0.656917367,-1.9
1582.839449,0.65622892,-2.5
1594.179383,0.660930339,-2.6
1602.398475,0.66433789,-2.2
1607.020147,0.666253988,-1.9
1584.483592,0.656910564,-1.4
1490.667047,0.618015192,-0.8
1495.338922,0.619952103,-0.2
1523.367302,0.631572381,0.2
1630.4,0.675947034,0.2
1736.5,0.719935,0.2
1734.2,0.718981444,0.6
1690.6,0.700905333,0.7
1626.9,0.67449597,0.7
1523.8,0.631751773,0.4
1412.0,0.585400645,0.3
1310.8,0.543444168,0.2
1250.7,0.518527328,0.2
1230.2,0.510028239,0.5
1225.9,0.508245503,0.8
1246.3,0.516703133,0.5
1287.2,0.533659852,0.0
1397.6,0.579430554,-0.2
1565.3,0.648957245,-0.4
1661.9,0.689006609,-0.9
1665.000723,0.690292137,-2.2
1670.827934,0.692708039,-4.2
1672.588609,0.693437996,-6.0
1669.345899,0.692093602,-7.7
1641.374841,0.68049709,-9.7
1633.715444,0.677321583,-11.2
1631.195096,0.676276672,-11.5
1647.298341,0.682952912,-11.4
1733.4,0.718649772,-11.2
1894.1,0.785274336,-11.0
1921.6,0.796675552,-10.6
1904.4,0.789544609,-10.8
1829.2,0.758367465,-10.9
1730.7,0.71753038,-11.7
1622.6,0.672713234,-12.8
1524.4,0.632000527,-13.7
1459.9,0.605259491,-14.2
1431.2,0.593360767,-14.7
1417.8,0.587805265,-15.2
1417.6,0.587722347,-16.1
1448.5,0.600533169,-17.0
1542.1,0.639338764,-17.9
1711.6,0.709611717,-18.7
1809.8,0.750324425,-19.1
1806.295106,0.748871332,-19.3
1780.982233,0.738376875,-19.4
1775.034154,0.735910863,-19.4
1745.310843,0.723587885,-19.2
1708.191392,0.708198543,-18.4
1655.626103,0.686405516,-16.8
1650.14287,0.684132224,-15.3
1653.091461,0.68535468,-13.0
1731.7,0.71794497,-10.2
1867.1,0.774080414,-7.5
1868.1,0.774495004,-5.8
1834.8,0.760689167,-5.8
1762.9,0.730880168,-5.9
1663.0,0.689462658,-5.8
1543.4,0.639877731,-5.9
1439.4,0.596760403,-6.9
1369.0,0.567573288,-8.6
1338.8,0.55505268,-9.5
1314.7,0.545061068,-10.3
1316.9,0.545973165,-10.5
1337.8,0.55463809,-10.4
1418.1,0.587929642,-10.2
1591.5,0.659819495,-9.7
1675.2,0.694520652,-9.5
1659.497219,0.688010441,-9.5
1643.656726,0.681443136,-9.7
1621.763039,0.672366239,-9.8
1580.530272,0.655271559,-10.4
1566.842324,0.649596677,-10.9
1522.264637,0.631115227,-10.6
1528.773797,0.633813858,-8.7
1538.823191,0.637980233,-6.1
1634.2,0.677522475,-4.8
1767.4,0.732745822,-4.0
1774.3,0.735606491,-3.5
1750.2,0.725614879,-2.9
1707.9,0.708077735,-2.6
1614.0,0.669147763,-2.9
1484.6,0.615499857,-4.8
1383.7,0.573667757,-6.1
1326.5,0.549953226,-7.7
1295.3,0.537018028,-8.3
1275.3,0.528726234,-8.6
1276.5,0.529223742,-7.5
1291.8,0.535566964,-4.9
1362.8,0.565002832,-4.3
1530.9,0.63469536,-4.5
1606.2,0.665913963,-4.2
1569.173107,0.650562995,-3.8
1529.877003,0.634271236,-4.0
1555.294856,0.644809215,-4.3
1481.917719,0.614387811,-3.9
1501.408006,0.622468283,-3.4
1515.37872,0.628260397,-2.8
1477.287639,0.612468227,-1.5
1569.65813,0.650764081,0.5
1646.692557,0.68270176,2.0
1761.2,0.730175366,1.4
1764.2,0.731419135,0.4
1730.3,0.717364544,-0.7
1688.3,0.699951777,-2.6
1624.1,0.673335119,-4.3
1534.9,0.636353718,-5.5
1448.0,0.600325874,-6.6
1391.6,0.576943015,-7.7
1361.5,0.564463866,-8.5
1347.4,0.558618151,-9.3
1347.3,0.558576692,-9.9
1366.5,0.566536814,-10.9
1393.9,0.577896572,-12.0
1464.3,0.607083686,-12.7
1535.2,0.636478095,-13.2
1552.693808,0.643730848,-13.5
1548.787502,0.642111333,-14.0
1522.526064,0.631223612,-13.8
1521.34799,0.630735195,-14.5
1483.647528,0.615104972,-15.5
1451.895288,0.60194082,-14.4
1456.028365,0.603654351,-12.2
1498.936144,0.621443474,-10.6
1613.125308,0.668785125,-9.4
1735.8,0.719644787,-8.3
1723.8,0.714669711,-7.2
1681.7,0.697215485,-6.1
1633.8,0.677356639,-5.6
1575.6,0.653227519,-5.6
1498.2,0.621138277,-5.9
1411.8,0.585317727,-5.7
1348.5,0.5590742,-5.2
1308.4,0.542449153,-5.4
1284.1,0.532374624,-5.6
1270.9,0.52690204,-5.3
1271.8,0.52727517,-5.1
1287.3,0.533701311,-4.9
1322.5,0.548294868,-5.2
1370.4,0.568153714,-4.8
1394.507928,0.578148612,-4.0
1415.653311,0.58691527,-3.8
1420.512956,0.588930029,-3.6
1424.493877,0.590580478,-5.2
1488.038916,0.616925596,-5.0
1444.608187,0.598919663,-3.9
1470.159515,0.609512981,-3.2
1508.393407,0.625364358,-2.0
1575.123723,0.653030059,-0.7
1632.7,0.67690059,-0.2
1601.5,0.663965392,-0.1
1553.5,0.644065087,0.1
