Demand,Normalized_net,Temprature
1322.401668,0.607238709,-19.0
1248.300515,0.573211916,-19.7
1218.530397,0.559541661,-20.4
1195.84626,0.549125245,-20.8
1174.882036,0.539498602,-20.9
1154.680028,0.530221964,-18.0
1176.42621,0.540207677,-13.5
1244.41697,0.571428616,-11.6
1382.213876,0.634704107,-9.7
1499.8,0.688698932,-8.4
1515.3,0.695816437,-7.4
1499.4,0.688515254,-7.1
1464.6,0.672535309,-7.4
1397.3,0.641631563,-8.5
1284.2,0.589696739,-9.2
1181.1,0.542353853,-9.3
1121.0,0.514756303,-9.4
1097.1,0.50378157,-9.6
1070.0,0.491337416,-10.4
1064.7,0.488903689,-10.9
1080.9,0.496342629,-10.3
1135.1,0.521230936,-10.1
1227.5,0.563660447,-10.0
1295.2,0.594747871,-9.3
1307.669376,0.600473732,-8.1
1283.240928,0.589256339,-8.2
1258.054847,0.577691045,-8.4
1230.178287,0.5648903,-8.3
1263.154474,0.580032762,-8.2
1293.410239,0.593926024,-7.9
1273.570238,0.584815617,-7.3
1263.924205,0.580386218,-6.2
1322.94108,0.607486404,-4.3
1426.8,0.655177781,-3.3
1427.3,0.655407378,-2.3
1402.4,0.643973451,-2.4
1368.6,0.628452699,-2.7
1316.4,0.60448278,-3.6
1241.2,0.569951403,-4.1
1163.1,0.534088364,-4.3
1093.9,0.502312149,-5.1
1057.3,0.485505655,-6.0
1040.5,0.477791198,-6.9
1035.9,0.475678906,-7.7
1041.4,0.478204472,-8.2
1073.0,0.492714998,-8.5
1123.1,0.51572061,-9.1
1170.6,0.537532317,-9.5
1154.957805,0.530349518,-10.0
1130.860109,0.519284004,-10.4
1108.212382,0.508884307,-10.6
1085.485103,0.49844808,-11.1
1073.574949,0.492979011,-11.9
1107.168572,0.508404996,-11.1
1090.463377,0.500734073,-10.3
1152.068728,0.529022871,-9.5
1278.141054,0.586914508,-8.6
1413.0,0.648840906,-7.9
1430.2,0.65673904,-7.2
1405.1,0.645213275,-6.7
1380.3,0.633825267,-6.5
1333.1,0.612151318,-7.2
1264.7,0.580742458,-8.2
1190.1,0.546486597,-9.4
1120.2,0.514388948,-10.3
1078.7,0.495332403,-10.1
1056.3,0.485046461,-10.1
1045.5,0.480087167,-10.0
1047.4,0.480959635,-10.1
1062.3,0.487801624,-10.5
1098.6,0.50447036,-11.2
1132.0,0.519807435,-11.2
1175.994796,0.540009575,-12.2
1185.494121,0.544371606,-12.5
1240.16732,0.569477203,-11.6
1240.309835,0.569542645,-10.6
1278.807999,0.587220765,-10.0
1270.935376,0.583605705,-9.2
1263.034947,0.579977876,-8.2
1240.455183,0.569609388,-6.8
1310.320023,0.601690892,-5.3
1409.8,0.647371486,-4.2
1405.1,0.645213275,-3.8
1372.0,0.630013958,-3.4
1319.6,0.605952201,-3.1
1247.3,0.572752486,-2.9
1152.3,0.52912907,-2.9
1063.4,0.488306737,-2.8
994.3,0.456576442,-2.9
952.9,0.437565817,-3.0
936.1,0.42985136,-2.0
941.9,0.432514685,-1.3
963.8,0.44257103,-0.7
1015.1,0.466127674,-0.6
1093.2,0.501990714,-0.5
1170.9,0.537670076,-1.9
1202.578169,0.552216496,-2.5
1205.658912,0.553631154,-2.6
1270.290295,0.583309488,-2.2
1237.011871,0.56802824,-1.9
1264.376721,0.580594011,-1.4
1212.634343,0.556834229,-0.8
1263.264834,0.580083439,-0.2
1278.801995,0.587218008,0.2
1346.252217,0.618190735,0.2
1417.2,0.65076952,0.2
1408.3,0.646682695,0.6
1369.4,0.628820054,0.7
1320.4,0.606319556,0.7
1240.5,0.569629967,0.4
1144.8,0.525685116,0.3
1056.3,0.485046461,0.2
989.4,0.454326392,0.2
955.8,0.438897479,0.5
932.4,0.428152343,0.8
949.7,0.436096397,0.5
971.0,0.445877226,0.0
1042.4,0.478663666,-0.2
1177.6,0.540746674,-0.4
1246.5,0.57238513,-0.9
1260.5,0.578813844,-2.2
1253.903999,0.575785001,-4.2
1242.801953,0.57068701,-6.0
1236.011029,0.56756866,-7.7
1201.292017,0.551625903,-9.7
1212.418085,0.556734925,-11.2
1223.167236,0.561670869,-11.5
1256.435828,0.576947602,-11.4
1332.4,0.611829882,-11.2
1466.3,0.673315938,-11.0
1492.9,0.685530494,-10.6
1483.3,0.681122233,-10.8
1448.8,0.665280046,-10.9
1374.7,0.631253782,-11.7
1279.3,0.587446689,-12.8
1185.9,0.544557983,-13.7
1126.2,0.517144111,-14.2
1103.0,0.506490813,-14.7
1085.4,0.498409002,-15.2
1098.1,0.504240764,-16.1
1112.4,0.510807236,-17.0
1168.3,0.536476172,-17.9
1287.5,0.591212078,-18.7
1350.4,0.620095371,-19.1
1340.545134,0.615570077,-19.3
1280.712396,0.588095252,-19.4
1239.33957,0.569097105,-19.4
1172.71561,0.538503793,-19.2
1160.271619,0.532789588,-18.4
1154.021938,0.529919773,-16.8
1197.513998,0.54989106,-15.3
1248.978391,0.573523192,-13.0
1367.530479,0.627961582,-10.2
1466.8,0.673545535,-7.5
1471.4,0.675657827,-5.8
1452.2,0.666841305,-5.8
1408.7,0.646866372,-5.9
1345.4,0.617799402,-5.8
1240.9,0.569813645,-5.9
1121.5,0.5149859,-6.9
1069.7,0.491199658,-8.6
1033.0,0.474347244,-9.5
1016.4,0.466724626,-10.3
1015.8,0.46644911,-10.5
1029.5,0.472740066,-10.4
1098.5,0.504424441,-10.2
1211.9,0.556497023,-9.7
1274.6,0.585288478,-9.5
1209.29438,0.555300539,-9.5
1170.845076,0.537644855,-9.7
1142.028584,0.524412499,-9.8
1112.504576,0.510855256,-10.4
1126.32303,0.517200605,-10.9
1102.08112,0.506068869,-10.6
1091.256958,0.501098481,-8.7
1195.396272,0.548918613,-6.1
1271.673971,0.583944863,-4.8
1398.4,0.642136676,-4.0
1422.8,0.653341006,-3.5
1411.8,0.648289873,-2.9
1377.0,0.632309928,-2.6
1310.4,0.601727617,-2.9
1218.2,0.559389945,-4.8
1104.4,0.507133685,-6.1
1044.2,0.479490215,-7.7
1007.5,0.462637801,-8.3
992.6,0.455795813,-8.6
993.4,0.456163168,-7.5
1012.7,0.465025609,-4.9
1060.6,0.487020994,-4.3
1178.6,0.541205868,-4.5
1239.8,0.569308532,-4.2
1236.220074,0.567664652,-3.8
1242.882821,0.570724144,-4.0
1218.698998,0.559619081,-4.3
1215.898274,0.558333006,-3.9
1214.31924,0.557607923,-3.4
1187.575845,0.545327521,-2.8
1176.695271,0.540331228,-1.5
1197.724574,0.549987755,0.5
1277.499084,0.586619719,2.0
1388.8,0.637728415,1.4
1412.7,0.648703148,0.4
1390.5,0.638509044,-0.7
1363.0,0.625881214,-2.6
1318.5,0.605447087,-4.3
1230.9,0.565221706,-5.5
1153.5,0.529680103,-6.6
1094.8,0.502725424,-7.7
1066.0,0.489500641,-8.5
1049.7,0.482015781,-9.3
1046.5,0.480546361,-9.9
1054.2,0.484082154,-10.9
1080.7,0.496250791,-12.0
1122.7,0.515536932,-12.7
1161.2,0.533215895,-13.2
1161.037892,0.533141456,-13.5
1180.894243,0.542259371,-14.0
1208.873597,0.555107318,-13.8
1090.607613,0.500800306,-14.5
1059.913986,0.486705981,-15.5
1074.803984,0.493543376,-14.4
1113.322783,0.511230972,-12.2
1131.677442,0.519659318,-10.6
1230.255152,0.564925596,-9.4
1350.3,0.620049452,-8.3
1360.8,0.624870987,-7.2
1329.8,0.610635978,-6.1
1299.3,0.596630566,-5.6
1253.1,0.57541581,-5.6
1191.1,0.546945791,-5.9
1115.3,0.512138898,-5.7
1050.3,0.482291298,-5.2
1022.8,0.469663467,-5.4
996.1,0.457402991,-5.6
969.4,0.445142515,-5.3
969.5,0.445188435,-5.1
985.1,0.452351859,-4.9
1012.9,0.465117448,-5.2
1053.0,0.483531121,-4.8
1028.043303,0.472071159,-4.0
1027.70012,0.471913572,-3.8
1047.977715,0.481224919,-3.6
1056.394135,0.485089687,-5.2
1076.854076,0.494484766,-5.0
1087.81084,0.499516045,-3.9
1123.621228,0.515959954,-3.2
1178.075549,0.540965044,-2.0
1290.892641,0.592769958,-0.7
1365.5,0.627029198,-0.2
1342.2,0.616329982,-0.1
1298.8,0.596400969,0.1
1241.1,0.569905484,0.3
1165.1,0.535006751,1.0
1073.2,0.492806837,1.2
1012.0,0.464704173,1.0
949.7,0.436096397,1.1
915.6,0.420437886,1.6
898.0,0.412356075,1.3
893.9,0.41047338,0.9
910.7,0.418187837,0.9
952.8,0.437519898,0.8
1022.4,0.469479789,-0.3
1085.183428,0.498309553,-0.5
1115.775044,0.512357035,-0.8
1097.026763,0.50374794,0.0
1107.348704,0.508487712,0.1
1014.351533,0.465783983,0.2
1005.017466,0.461497837,0.5
1022.792284,0.469659924,0.8
1053.799433,0.483898216,1.7
1112.192653,0.510712023,2.3
1219.784634,0.560117599,3.0
1343.1,0.616743256,2.9
1349.5,0.619682097,2.7
1326.9,0.609304316,2.5
1280.6,0.588043641,2.2
1210.5,0.555854152,1.9
1107.6,0.508603105,1.4
1017.5,0.467229739,0.8
954.9,0.438484205,0.2
922.4,0.423560405,-0.1
912.0,0.418784789,-0.5
918.8,0.421907307,-0.5
937.0,0.430264635,-0.2
1000.9,0.459607122,-0.5
1124.1,0.516179804,-0.8
1173.812796,0.539007614,-1.1
1143.000381,0.524858742,-1.4
1090.302007,0.500659973,-1.6
1136.29982,0.521781886,-1.8
1064.501227,0.488812414,-2.1
1013.953788,0.465601341,-2.6
1033.940693,0.474779205,-2.4
1069.184522,0.490962954,-1.9
1138.371264,0.52273308,-1.0
1268.110573,0.582308573,-0.3
1403.1,0.644294887,0.4
1408.1,0.646590856,0.6
1383.3,0.635202849,0.4
1353.6,0.621564791,0.5
1292.0,0.593278451,-0.5
1182.1,0.542813047,-1.8
1069.3,0.491015981,-2.6
1003.9,0.460984703,-2.6
974.5,0.447484404,-3.5
966.7,0.443902692,-4.4
967.5,0.444270047,-5.2
999.6,0.45901017,-5.9
1071.8,0.492163965,-6.4
1207.9,0.554660248,-7.0
1275.207664,0.585567513,-7.8
1252.606787,0.575189329,-8.3
1209.247411,0.555278971,-9.4
1212.21694,0.55664256,-9.8
1247.219002,0.572715292,-10.8
1117.521454,0.513158976,-11.3
1185.049184,0.544167294,-9.1
1197.434213,0.549854423,-6.9
1259.093531,0.578168002,-5.8
1323.835533,0.607897131,-5.1
1441.3,0.661836092,-4.0
1461.6,0.671157727,-3.0
1438.0,0.660320752,-2.3
1394.4,0.6402999,-2.0
1323.1,0.607559379,-3.3
1219.3,0.559895058,-4.5
1113.7,0.511404188,-5.4
1043.1,0.478985102,-5.7
1012.8,0.465071528,-5.8
992.0,0.455520296,-5.6
976.8,0.44854055,-5.5
1000.1,0.459239767,-5.4
1063.9,0.488536334,-5.4
1174.8,0.539460932,-6.1
1232.906458,0.56614306,-6.2
1185.092878,0.544187358,-6.4
1119.550336,0.514090626,-6.8
1065.734113,0.489378547,-7.1
1070.41282,0.491526981,-6.9
1010.686973,0.464101239,-6.9
1055.364571,0.484616917,-6.3
1052.45646,0.483281531,-5.0
1089.365507,0.500229938,-3.2
1207.763912,0.554597757,-1.7
1371.3,0.629692523,-1.0
1397.8,0.64186116,-0.4
1380.1,0.633733428,0.6
1346.7,0.618396354,0.8
1285.8,0.590431449,0.0
1189.3,0.546119242,-1.4
1094.4,0.502541746,-2.3
1022.4,0.469479789,-2.9
999.2,0.458826492,-3.7
993.3,0.456117248,-4.6
983.7,0.451708987,-4.8
1001.0,0.459653041,-6.0
1070.9,0.491750691,-7.6
1198.6,0.550389745,-8.7
1251.558247,0.574707846,-9.9
1172.186371,0.538260769,-10.5
1107.576531,0.508592328,-11.2
1043.493839,0.47916595,-11.6
1023.306717,0.469896148,-11.7
988.7096471,0.454009387,-11.6
1000.234395,0.45930148,-9.8
997.952365,0.458253586,-5.0
1061.107254,0.487253922,-3.3
1185.336698,0.544299319,-2.2
1336.0,0.61348298,-0.9
1353.1,0.621335195,0.5
1325.8,0.608799203,1.3
1288.0,0.591441675,1.3
1236.8,0.56793095,0.3
1153.3,0.529588264,-0.7
