utc,cpt,mw,tmpf
2015-01-01 06:00:00,2015-01-01 00:00:00,6731.301663234526,37.94
2015-01-01 07:00:00,2015-01-01 01:00:00,6602.935629169919,37.94
2015-01-01 08:00:00,2015-01-01 02:00:00,6530.663272833682,37.94
2015-01-01 09:00:00,2015-01-01 03:00:00,6503.367925032924,35.96
2015-01-01 10:00:00,2015-01-01 04:00:00,6603.22787232566,35.96
2015-01-01 11:00:00,2015-01-01 05:00:00,6831.09455456147,35.96
2015-01-01 12:00:00,2015-01-01 06:00:00,7005.667570017158,35.96
2015-01-01 13:00:00,2015-01-01 07:00:00,7106.925301039428,37.04
2015-01-01 14:00:00,2015-01-01 08:00:00,7190.772304819125,37.04
2015-01-01 15:00:00,2015-01-01 09:00:00,7439.083856236339,37.94
2015-01-01 16:00:00,2015-01-01 10:00:00,7660.510132649951,37.94
2015-01-01 17:00:00,2015-01-01 11:00:00,7819.212244207281,37.94
2015-01-01 18:00:00,2015-01-01 12:00:00,7845.8812850453,37.94
2015-01-01 19:00:00,2015-01-01 13:00:00,7789.898038047869,37.94
2015-01-01 20:00:00,2015-01-01 14:00:00,7657.86392390272,39.02
2015-01-01 21:00:00,2015-01-01 15:00:00,7527.252626301768,39.92
2015-01-01 22:00:00,2015-01-01 16:00:00,7529.644350274048,41.0
2015-01-01 23:00:00,2015-01-01 17:00:00,7793.170981005568,42.08
2015-01-02 00:00:00,2015-01-01 18:00:00,7988.466746419424,41.0
2015-01-02 01:00:00,2015-01-01 19:00:00,7875.49028062257,41.0
2015-01-02 02:00:00,2015-01-01 20:00:00,7730.627721370471,39.92
2015-01-02 03:00:00,2015-01-01 21:00:00,7484.477640766045,39.92
2015-01-02 04:00:00,2015-01-01 22:00:00,7102.441008767375,41.0
2015-01-02 05:00:00,2015-01-01 23:00:00,6704.87154,39.92
2015-01-02 06:00:00,2015-01-02 00:00:00,6372.13869774556,41.0
2015-01-02 07:00:00,2015-01-02 01:00:00,6161.603823358368,41.0
2015-01-02 08:00:00,2015-01-02 02:00:00,6084.061093506984,41.0
2015-01-02 09:00:00,2015-01-02 03:00:00,6085.058530515038,41.0
2015-01-02 10:00:00,2015-01-02 04:00:00,6212.516205729946,41.0
2015-01-02 11:00:00,2015-01-02 05:00:00,6532.240788261619,41.0
2015-01-02 12:00:00,2015-01-02 06:00:00,6926.068975058,41.0
2015-01-02 13:00:00,2015-01-02 07:00:00,7218.827039591768,41.0
2015-01-02 14:00:00,2015-01-02 08:00:00,7345.074515537186,41.0
2015-01-02 15:00:00,2015-01-02 09:00:00,7496.117622200738,41.0
2015-01-02 16:00:00,2015-01-02 10:00:00,7556.129517993494,42.08
2015-01-02 17:00:00,2015-01-02 11:00:00,7562.594260253186,42.98
2015-01-02 18:00:00,2015-01-02 12:00:00,7492.008286629581,42.98
2015-01-02 19:00:00,2015-01-02 13:00:00,7451.256899912918,44.06
2015-01-02 20:00:00,2015-01-02 14:00:00,7408.696532446461,42.98
2015-01-02 21:00:00,2015-01-02 15:00:00,7417.413316427345,42.98
2015-01-02 22:00:00,2015-01-02 16:00:00,7460.646445104381,42.98
2015-01-02 23:00:00,2015-01-02 17:00:00,7756.902327930137,42.98
2015-01-03 00:00:00,2015-01-02 18:00:00,7940.887304034239,42.08
2015-01-03 01:00:00,2015-01-02 19:00:00,7816.059192379931,42.08
2015-01-03 02:00:00,2015-01-02 20:00:00,7684.576894582329,42.08
2015-01-03 03:00:00,2015-01-02 21:00:00,7461.5872835884,42.08
2015-01-03 04:00:00,2015-01-02 22:00:00,7169.501161641906,41.0
2015-01-03 05:00:00,2015-01-02 23:00:00,6727.41053,41.0
2015-01-03 06:00:00,2015-01-03 00:00:00,6331.8271243708305,41.0
2015-01-03 07:00:00,2015-01-03 01:00:00,6140.793200725632,41.0
2015-01-03 08:00:00,2015-01-03 02:00:00,5993.711879720405,42.08
2015-01-03 09:00:00,2015-01-03 03:00:00,5923.126343239076,42.08
2015-01-03 10:00:00,2015-01-03 04:00:00,5990.526126656749,42.08
2015-01-03 11:00:00,2015-01-03 05:00:00,6144.823010442581,42.08
2015-01-03 12:00:00,2015-01-03 06:00:00,6426.0357240183,41.0
2015-01-03 13:00:00,2015-01-03 07:00:00,6681.655688756725,41.0
2015-01-03 14:00:00,2015-01-03 08:00:00,6886.644081190886,41.0
2015-01-03 15:00:00,2015-01-03 09:00:00,7056.687405765826,42.08
2015-01-03 16:00:00,2015-01-03 10:00:00,6866.16547441616,42.98
2015-01-03 17:00:00,2015-01-03 11:00:00,6459.742351065449,46.04
2015-01-03 18:00:00,2015-01-03 12:00:00,6003.09699830244,51.08
2015-01-03 19:00:00,2015-01-03 13:00:00,5575.33703691435,53.96
2015-01-03 20:00:00,2015-01-03 14:00:00,5300.184278041176,60.08
2015-01-03 21:00:00,2015-01-03 15:00:00,5140.252369745444,62.06
2015-01-03 22:00:00,2015-01-03 16:00:00,5093.863279786844,64.04
2015-01-03 23:00:00,2015-01-03 17:00:00,5374.29668489285,60.98
2015-01-04 00:00:00,2015-01-03 18:00:00,5977.604214109686,57.92
2015-01-04 01:00:00,2015-01-03 19:00:00,6129.87986160052,55.94
2015-01-04 02:00:00,2015-01-03 20:00:00,6172.13956644074,51.98
2015-01-04 03:00:00,2015-01-03 21:00:00,6164.102074526134,46.94
2015-01-04 04:00:00,2015-01-03 22:00:00,6053.86379141671,44.06
2015-01-04 05:00:00,2015-01-03 23:00:00,5865.19771,46.04
2015-01-04 06:00:00,2015-01-04 00:00:00,5699.63055220749,41.0
2015-01-04 07:00:00,2015-01-04 01:00:00,5627.490148447792,39.92
2015-01-04 08:00:00,2015-01-04 02:00:00,5626.106600156127,41.0
2015-01-04 09:00:00,2015-01-04 03:00:00,5685.19502194176,39.02
2015-01-04 10:00:00,2015-01-04 04:00:00,5801.254241120926,37.94
2015-01-04 11:00:00,2015-01-04 05:00:00,6016.107504274325,37.04
2015-01-04 12:00:00,2015-01-04 06:00:00,6304.381569582795,44.96
2015-01-04 13:00:00,2015-01-04 07:00:00,6557.888802031981,44.06
2015-01-04 14:00:00,2015-01-04 08:00:00,6657.17184641842,42.98
2015-01-04 15:00:00,2015-01-04 09:00:00,6608.6782855771635,46.04
2015-01-04 16:00:00,2015-01-04 10:00:00,6430.594398288456,48.02
2015-01-04 17:00:00,2015-01-04 11:00:00,6218.8076582738795,51.08
2015-01-04 18:00:00,2015-01-04 12:00:00,6016.107145014101,53.06
2015-01-04 19:00:00,2015-01-04 13:00:00,5840.209554973512,53.96
2015-01-04 20:00:00,2015-01-04 14:00:00,5716.202211104639,55.94
2015-01-04 21:00:00,2015-01-04 15:00:00,5709.731415741814,55.94
2015-01-04 22:00:00,2015-01-04 16:00:00,5865.815504288907,53.96
2015-01-04 23:00:00,2015-01-04 17:00:00,6418.835633702831,51.08
2015-01-05 00:00:00,2015-01-04 18:00:00,7116.435322539955,48.02
2015-01-05 01:00:00,2015-01-04 19:00:00,7465.721728008701,44.96
2015-01-05 02:00:00,2015-01-04 20:00:00,7553.262885353472,44.06
2015-01-05 03:00:00,2015-01-04 21:00:00,7453.193017972976,42.08
2015-01-05 04:00:00,2015-01-04 22:00:00,7186.424193059588,39.92
2015-01-05 05:00:00,2015-01-04 23:00:00,6887.3302,37.94
2015-01-05 06:00:00,2015-01-05 00:00:00,6770.484778405071,37.94
2015-01-05 07:00:00,2015-01-05 01:00:00,6761.6177933939025,35.96
2015-01-05 08:00:00,2015-01-05 02:00:00,6857.125544292388,35.06
2015-01-05 09:00:00,2015-01-05 03:00:00,7054.905826614865,33.08
2015-01-05 10:00:00,2015-01-05 04:00:00,7401.677876632125,32.0
2015-01-05 11:00:00,2015-01-05 05:00:00,8074.302629973841,30.92
2015-01-05 12:00:00,2015-01-05 06:00:00,8932.820929193444,30.92
2015-01-05 13:00:00,2015-01-05 07:00:00,9207.169709004076,30.92
2015-01-05 14:00:00,2015-01-05 08:00:00,8977.926436558922,30.92
2015-01-05 15:00:00,2015-01-05 09:00:00,8596.0358002182,33.08
2015-01-05 16:00:00,2015-01-05 10:00:00,8066.309682456231,37.04
2015-01-05 17:00:00,2015-01-05 11:00:00,7530.211631694466,41.0
2015-01-05 18:00:00,2015-01-05 12:00:00,7021.836575829824,44.06
2015-01-05 19:00:00,2015-01-05 13:00:00,6599.611548852289,46.04
2015-01-05 20:00:00,2015-01-05 14:00:00,6253.657727888469,48.02
2015-01-05 21:00:00,2015-01-05 15:00:00,6044.675473358175,51.98
2015-01-05 22:00:00,2015-01-05 16:00:00,6080.3373813385715,53.06
2015-01-05 23:00:00,2015-01-05 17:00:00,6587.114058418728,51.98
2015-01-06 00:00:00,2015-01-05 18:00:00,7458.19540866161,48.92
2015-01-06 01:00:00,2015-01-05 19:00:00,7685.220323166682,48.02
2015-01-06 02:00:00,2015-01-05 20:00:00,7663.062675332911,46.94
2015-01-06 03:00:00,2015-01-05 21:00:00,7463.4219896797185,44.96
2015-01-06 04:00:00,2015-01-05 22:00:00,7058.0308178158875,42.98
2015-01-06 05:00:00,2015-01-05 23:00:00,6688.205300000001,44.06
2015-01-06 06:00:00,2015-01-06 00:00:00,6439.604153302078,39.02
2015-01-06 07:00:00,2015-01-06 01:00:00,6328.307513758837,41.0
2015-01-06 08:00:00,2015-01-06 02:00:00,6354.726926884949,42.08
2015-01-06 09:00:00,2015-01-06 03:00:00,6453.1181257922735,37.04
2015-01-06 10:00:00,2015-01-06 04:00:00,6652.515673478602,37.94
2015-01-06 11:00:00,2015-01-06 05:00:00,7227.794491551629,42.08
2015-01-06 12:00:00,2015-01-06 06:00:00,7975.63356278025,41.0
2015-01-06 13:00:00,2015-01-06 07:00:00,8092.623878387974,39.02
2015-01-06 14:00:00,2015-01-06 08:00:00,7629.290680822069,39.02
2015-01-06 15:00:00,2015-01-06 09:00:00,7061.876449527469,46.04
2015-01-06 16:00:00,2015-01-06 10:00:00,6625.610964008465,53.06
2015-01-06 17:00:00,2015-01-06 11:00:00,6236.730482407579,53.96
2015-01-06 18:00:00,2015-01-06 12:00:00,5874.911575581551,55.94
2015-01-06 19:00:00,2015-01-06 13:00:00,5603.757460854369,60.98
2015-01-06 20:00:00,2015-01-06 14:00:00,5447.980375891531,64.04
2015-01-06 21:00:00,2015-01-06 15:00:00,5362.891232182915,64.94
2015-01-06 22:00:00,2015-01-06 16:00:00,5380.284975153732,66.92
2015-01-06 23:00:00,2015-01-06 17:00:00,5658.827897644825,64.94
2015-01-07 00:00:00,2015-01-06 18:00:00,6248.95380103684,62.96
2015-01-07 01:00:00,2015-01-06 19:00:00,6361.299974737348,60.08
2015-01-07 02:00:00,2015-01-06 20:00:00,6355.479348571431,57.92
2015-01-07 03:00:00,2015-01-06 21:00:00,6159.148010757254,55.94
2015-01-07 04:00:00,2015-01-06 22:00:00,5765.941394377528,53.06
2015-01-07 05:00:00,2015-01-06 23:00:00,5365.166469999999,50.0
2015-01-07 06:00:00,2015-01-07 00:00:00,5096.917670900488,51.08
2015-01-07 07:00:00,2015-01-07 01:00:00,5017.604165652352,46.94
2015-01-07 08:00:00,2015-01-07 02:00:00,5042.340746280712,46.94
2015-01-07 09:00:00,2015-01-07 03:00:00,5142.858869525952,46.94
2015-01-07 10:00:00,2015-01-07 04:00:00,5373.253834381048,46.04
2015-01-07 11:00:00,2015-01-07 05:00:00,5929.881480714293,44.96
2015-01-07 12:00:00,2015-01-07 06:00:00,6815.830277711029,46.94
2015-01-07 13:00:00,2015-01-07 07:00:00,7023.57522279604,44.96
2015-01-07 14:00:00,2015-01-07 08:00:00,6823.699111249148,48.92
2015-01-07 15:00:00,2015-01-07 09:00:00,6730.192703490101,50.0
2015-01-07 16:00:00,2015-01-07 10:00:00,6672.195369542833,51.08
2015-01-07 17:00:00,2015-01-07 11:00:00,6561.578125471435,53.06
2015-01-07 18:00:00,2015-01-07 12:00:00,6485.796192555912,53.96
2015-01-07 19:00:00,2015-01-07 13:00:00,6455.552191430024,53.96
2015-01-07 20:00:00,2015-01-07 14:00:00,6414.959426963856,51.98
2015-01-07 21:00:00,2015-01-07 15:00:00,6492.279994156113,51.98
2015-01-07 22:00:00,2015-01-07 16:00:00,6761.44640753913,50.0
2015-01-07 23:00:00,2015-01-07 17:00:00,7451.58084761977,50.0
2015-01-08 00:00:00,2015-01-07 18:00:00,8330.239683041027,46.04
2015-01-08 01:00:00,2015-01-07 19:00:00,8565.019352488544,42.98
2015-01-08 02:00:00,2015-01-07 20:00:00,8669.871042271901,41.0
2015-01-08 03:00:00,2015-01-07 21:00:00,8549.688348483036,39.92
2015-01-08 04:00:00,2015-01-07 22:00:00,8191.631333224712,37.94
2015-01-08 05:00:00,2015-01-07 23:00:00,7863.81674,35.96
2015-01-08 06:00:00,2015-01-08 00:00:00,7733.42896538727,33.98
2015-01-08 07:00:00,2015-01-08 01:00:00,7752.625903458398,33.08
2015-01-08 08:00:00,2015-01-08 02:00:00,7812.730197520836,32.0
2015-01-08 09:00:00,2015-01-08 03:00:00,7987.8373911221315,32.0
2015-01-08 10:00:00,2015-01-08 04:00:00,8279.105521146668,30.92
2015-01-08 11:00:00,2015-01-08 05:00:00,8879.265747814665,30.02
2015-01-08 12:00:00,2015-01-08 06:00:00,9718.406566598222,30.02
2015-01-08 13:00:00,2015-01-08 07:00:00,9888.375729457095,28.94
2015-01-08 14:00:00,2015-01-08 08:00:00,9517.2673595202,28.94
2015-01-08 15:00:00,2015-01-08 09:00:00,9278.282214893094,28.94
2015-01-08 16:00:00,2015-01-08 10:00:00,9040.364677814177,30.02
2015-01-08 17:00:00,2015-01-08 11:00:00,8806.080725246775,30.92
2015-01-08 18:00:00,2015-01-08 12:00:00,8540.911567260498,33.08
2015-01-08 19:00:00,2015-01-08 13:00:00,8317.561906744457,33.98
2015-01-08 20:00:00,2015-01-08 14:00:00,8089.797466065275,35.96
2015-01-08 21:00:00,2015-01-08 15:00:00,7984.650008406944,37.94
2015-01-08 22:00:00,2015-01-08 16:00:00,8158.742009978601,41.0
2015-01-08 23:00:00,2015-01-08 17:00:00,8581.446764801769,41.0
2015-01-09 00:00:00,2015-01-08 18:00:00,9118.51015507184,41.0
2015-01-09 01:00:00,2015-01-08 19:00:00,9078.278102244449,39.02
2015-01-09 02:00:00,2015-01-08 20:00:00,8965.070468559556,39.92
2015-01-09 03:00:00,2015-01-08 21:00:00,8563.975388354585,39.92
2015-01-09 04:00:00,2015-01-08 22:00:00,7906.305980991089,39.92
2015-01-09 05:00:00,2015-01-08 23:00:00,7319.1918,39.92
2015-01-09 06:00:00,2015-01-09 00:00:00,6995.804423779371,41.0
2015-01-09 07:00:00,2015-01-09 01:00:00,6789.325217558677,41.0
2015-01-09 08:00:00,2015-01-09 02:00:00,6679.983221878449,41.0
2015-01-09 09:00:00,2015-01-09 03:00:00,6673.092877566884,42.08
2015-01-09 10:00:00,2015-01-09 04:00:00,6819.418741789297,42.08
2015-01-09 11:00:00,2015-01-09 05:00:00,7270.899292881698,42.08
2015-01-09 12:00:00,2015-01-09 06:00:00,8023.063461830601,42.08
2015-01-09 13:00:00,2015-01-09 07:00:00,8288.334226013589,42.08
2015-01-09 14:00:00,2015-01-09 08:00:00,8161.2681495251645,39.92
2015-01-09 15:00:00,2015-01-09 09:00:00,8251.882573381788,37.94
2015-01-09 16:00:00,2015-01-09 10:00:00,8360.82963024913,39.92
2015-01-09 17:00:00,2015-01-09 11:00:00,8404.324146773582,39.02
2015-01-09 18:00:00,2015-01-09 12:00:00,8407.10809312317,39.02
2015-01-09 19:00:00,2015-01-09 13:00:00,8405.777613268869,37.94
2015-01-09 20:00:00,2015-01-09 14:00:00,8393.810837869885,39.02
2015-01-09 21:00:00,2015-01-09 15:00:00,8457.012218965827,39.92
2015-01-09 22:00:00,2015-01-09 16:00:00,8659.434257570458,37.94
2015-01-09 23:00:00,2015-01-09 17:00:00,9050.376160228088,37.04
2015-01-10 00:00:00,2015-01-09 18:00:00,9309.727591823863,37.04
2015-01-10 01:00:00,2015-01-09 19:00:00,9163.142675392111,35.96
2015-01-10 02:00:00,2015-01-09 20:00:00,9003.555318393685,35.06
2015-01-10 03:00:00,2015-01-09 21:00:00,8686.636332493994,35.06
2015-01-10 04:00:00,2015-01-09 22:00:00,8265.364856472732,35.06
2015-01-10 05:00:00,2015-01-09 23:00:00,7876.76032,33.98
2015-01-10 06:00:00,2015-01-10 00:00:00,7535.249707882413,33.98
2015-01-10 07:00:00,2015-01-10 01:00:00,7352.481532903456,33.98
2015-01-10 08:00:00,2015-01-10 02:00:00,7282.347936719049,33.98
2015-01-10 09:00:00,2015-01-10 03:00:00,7324.9410330131905,33.08
2015-01-10 10:00:00,2015-01-10 04:00:00,7426.938308290924,33.08
2015-01-10 11:00:00,2015-01-10 05:00:00,7652.603381893295,33.08
2015-01-10 12:00:00,2015-01-10 06:00:00,7937.092691838342,33.08
2015-01-10 13:00:00,2015-01-10 07:00:00,8230.889544886066,33.98
2015-01-10 14:00:00,2015-01-10 08:00:00,8490.818168143562,33.98
2015-01-10 15:00:00,2015-01-10 09:00:00,8798.504703940675,33.98
2015-01-10 16:00:00,2015-01-10 10:00:00,8994.670495479608,33.98
2015-01-10 17:00:00,2015-01-10 11:00:00,9015.174605370408,33.98
2015-01-10 18:00:00,2015-01-10 12:00:00,8943.190408112205,33.98
2015-01-10 19:00:00,2015-01-10 13:00:00,8745.145653989928,35.06
2015-01-10 20:00:00,2015-01-10 14:00:00,8575.45872622628,35.96
2015-01-10 21:00:00,2015-01-10 15:00:00,8504.578470437731,35.96
2015-01-10 22:00:00,2015-01-10 16:00:00,8553.893500244189,35.96
2015-01-10 23:00:00,2015-01-10 17:00:00,8791.42639810965,35.6
2015-01-11 00:00:00,2015-01-10 18:00:00,8961.713435839465,35.96
2015-01-11 01:00:00,2015-01-10 19:00:00,8861.349601602144,35.96
