utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,49769.768,21.02
2015-01-01 06:00:00,2015-01-01 01:00:00,48714.914,21.02
2015-01-01 07:00:00,2015-01-01 02:00:00,47880.328,19.94
2015-01-01 08:00:00,2015-01-01 03:00:00,47380.142,19.94
2015-01-01 09:00:00,2015-01-01 04:00:00,47241.559,19.04
2015-01-01 10:00:00,2015-01-01 05:00:00,47893.67,19.04
2015-01-01 11:00:00,2015-01-01 06:00:00,48746.046,19.04
2015-01-01 12:00:00,2015-01-01 07:00:00,49499.125,19.04
2015-01-01 13:00:00,2015-01-01 08:00:00,49501.103,19.04
2015-01-01 14:00:00,2015-01-01 09:00:00,49380.636,21.02
2015-01-01 15:00:00,2015-01-01 10:00:00,49411.566,24.08
2015-01-01 16:00:00,2015-01-01 11:00:00,49165.065,28.04
2015-01-01 17:00:00,2015-01-01 12:00:00,48557.081,30.92
2015-01-01 18:00:00,2015-01-01 13:00:00,47805.526,33.98
2015-01-01 19:00:00,2015-01-01 14:00:00,46915.488,35.06
2015-01-01 20:00:00,2015-01-01 15:00:00,46653.832,35.96
2015-01-01 21:00:00,2015-01-01 16:00:00,47581.236,35.96
2015-01-01 22:00:00,2015-01-01 17:00:00,51102.686,33.98
2015-01-01 23:00:00,2015-01-01 18:00:00,52626.108,33.98
2015-01-02 00:00:00,2015-01-01 19:00:00,52271.665,33.08
2015-01-02 01:00:00,2015-01-01 20:00:00,51473.197,33.08
2015-01-02 02:00:00,2015-01-01 21:00:00,50148.721,32.0
2015-01-02 03:00:00,2015-01-01 22:00:00,48345.471,30.92
2015-01-02 04:00:00,2015-01-01 23:00:00,46438.412,30.02
2015-01-02 05:00:00,2015-01-02 00:00:00,44666.409,30.02
2015-01-02 06:00:00,2015-01-02 01:00:00,43571.356,28.94
2015-01-02 07:00:00,2015-01-02 02:00:00,42845.568,28.04
2015-01-02 08:00:00,2015-01-02 03:00:00,42552.627,26.96
2015-01-02 09:00:00,2015-01-02 04:00:00,43132.541,24.98
2015-01-02 10:00:00,2015-01-02 05:00:00,44757.32,26.06
2015-01-02 11:00:00,2015-01-02 06:00:00,47324.062,26.96
2015-01-02 12:00:00,2015-01-02 07:00:00,50003.066999999995,26.06
2015-01-02 13:00:00,2015-01-02 08:00:00,51034.630999999994,26.96
2015-01-02 14:00:00,2015-01-02 09:00:00,51278.037000000004,28.04
2015-01-02 15:00:00,2015-01-02 10:00:00,51353.96,30.92
2015-01-02 16:00:00,2015-01-02 11:00:00,51310.989,32.0
2015-01-02 17:00:00,2015-01-02 12:00:00,50586.043,35.06
2015-01-02 18:00:00,2015-01-02 13:00:00,49794.42,35.96
2015-01-02 19:00:00,2015-01-02 14:00:00,49187.561,37.04
2015-01-02 20:00:00,2015-01-02 15:00:00,48768.352,37.04
2015-01-02 21:00:00,2015-01-02 16:00:00,49340.906,37.04
2015-01-02 22:00:00,2015-01-02 17:00:00,52452.137,35.96
2015-01-02 23:00:00,2015-01-02 18:00:00,53739.273,33.98
2015-01-03 00:00:00,2015-01-02 19:00:00,53176.067,33.08
2015-01-03 01:00:00,2015-01-02 20:00:00,52556.384,32.0
