utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,336.5,24.08
2015-01-01 06:00:00,2015-01-01 01:00:00,317.7,23.0
2015-01-01 07:00:00,2015-01-01 02:00:00,307.0,24.08
2015-01-01 08:00:00,2015-01-01 03:00:00,300.6,23.0
2015-01-01 09:00:00,2015-01-01 04:00:00,298.4,23.0
2015-01-01 10:00:00,2015-01-01 05:00:00,304.1,23.0
2015-01-01 11:00:00,2015-01-01 06:00:00,311.4,21.92
2015-01-01 12:00:00,2015-01-01 07:00:00,313.9,21.92
2015-01-01 13:00:00,2015-01-01 08:00:00,320.1,24.08
2015-01-01 14:00:00,2015-01-01 09:00:00,333.4,26.06
2015-01-01 15:00:00,2015-01-01 10:00:00,346.8,26.96
2015-01-01 16:00:00,2015-01-01 11:00:00,350.0,28.94
2015-01-01 17:00:00,2015-01-01 12:00:00,348.1,30.02
2015-01-01 18:00:00,2015-01-01 13:00:00,344.2,32.0
2015-01-01 19:00:00,2015-01-01 14:00:00,339.3,33.98
2015-01-01 20:00:00,2015-01-01 15:00:00,342.1,35.06
2015-01-01 21:00:00,2015-01-01 16:00:00,370.2,35.06
2015-01-01 22:00:00,2015-01-01 17:00:00,408.2,33.98
2015-01-01 23:00:00,2015-01-01 18:00:00,412.5,33.98
2015-01-02 00:00:00,2015-01-01 19:00:00,404.8,35.06
2015-01-02 01:00:00,2015-01-01 20:00:00,394.3,35.96
2015-01-02 02:00:00,2015-01-01 21:00:00,377.0,35.06
2015-01-02 03:00:00,2015-01-01 22:00:00,345.9,35.06
2015-01-02 04:00:00,2015-01-01 23:00:00,320.3,33.98
2015-01-02 05:00:00,2015-01-02 00:00:00,290.4,33.98
2015-01-02 06:00:00,2015-01-02 01:00:00,273.2,33.98
2015-01-02 07:00:00,2015-01-02 02:00:00,264.4,33.98
2015-01-02 08:00:00,2015-01-02 03:00:00,266.4,33.08
2015-01-02 09:00:00,2015-01-02 04:00:00,274.0,33.08
2015-01-02 10:00:00,2015-01-02 05:00:00,288.8,32.0
2015-01-02 11:00:00,2015-01-02 06:00:00,311.5,33.08
2015-01-02 12:00:00,2015-01-02 07:00:00,330.3,33.08
2015-01-02 13:00:00,2015-01-02 08:00:00,347.6,33.98
2015-01-02 14:00:00,2015-01-02 09:00:00,361.5,35.06
2015-01-02 15:00:00,2015-01-02 10:00:00,362.3,35.96
2015-01-02 16:00:00,2015-01-02 11:00:00,354.4,37.94
2015-01-02 17:00:00,2015-01-02 12:00:00,355.9,39.02
2015-01-02 18:00:00,2015-01-02 13:00:00,348.4,39.92
2015-01-02 19:00:00,2015-01-02 14:00:00,346.3,39.02
2015-01-02 20:00:00,2015-01-02 15:00:00,348.6,39.92
2015-01-02 21:00:00,2015-01-02 16:00:00,370.9,39.02
2015-01-02 22:00:00,2015-01-02 17:00:00,410.3,35.96
2015-01-02 23:00:00,2015-01-02 18:00:00,414.3,35.96
2015-01-03 00:00:00,2015-01-02 19:00:00,404.5,32.0
2015-01-03 01:00:00,2015-01-02 20:00:00,394.9,33.98
2015-01-03 02:00:00,2015-01-02 21:00:00,377.9,33.08
2015-01-03 03:00:00,2015-01-02 22:00:00,348.2,32.0
2015-01-03 04:00:00,2015-01-02 23:00:00,318.9,30.92
2015-01-03 05:00:00,2015-01-03 00:00:00,296.1,30.02
2015-01-03 06:00:00,2015-01-03 01:00:00,285.1,28.04
2015-01-03 07:00:00,2015-01-03 02:00:00,278.9,28.04
2015-01-03 08:00:00,2015-01-03 03:00:00,275.4,26.96
2015-01-03 09:00:00,2015-01-03 04:00:00,277.4,28.94
2015-01-03 10:00:00,2015-01-03 05:00:00,286.9,26.06
2015-01-03 11:00:00,2015-01-03 06:00:00,303.0,24.98
2015-01-03 12:00:00,2015-01-03 07:00:00,319.0,26.96
2015-01-03 13:00:00,2015-01-03 08:00:00,334.2,26.96
2015-01-03 14:00:00,2015-01-03 09:00:00,354.0,30.02
2015-01-03 15:00:00,2015-01-03 10:00:00,366.8,32.0
2015-01-03 16:00:00,2015-01-03 11:00:00,376.4,33.98
2015-01-03 17:00:00,2015-01-03 12:00:00,378.7,35.06
2015-01-03 18:00:00,2015-01-03 13:00:00,384.7,33.98
2015-01-03 19:00:00,2015-01-03 14:00:00,389.6,30.92
2015-01-03 20:00:00,2015-01-03 15:00:00,390.0,32.0
2015-01-03 21:00:00,2015-01-03 16:00:00,410.6,33.08
2015-01-03 22:00:00,2015-01-03 17:00:00,435.6,33.98
2015-01-03 23:00:00,2015-01-03 18:00:00,438.4,35.06
2015-01-04 00:00:00,2015-01-03 19:00:00,420.7,35.06
2015-01-04 01:00:00,2015-01-03 20:00:00,401.0,35.06
2015-01-04 02:00:00,2015-01-03 21:00:00,374.7,37.04
2015-01-04 03:00:00,2015-01-03 22:00:00,338.9,37.04
2015-01-04 04:00:00,2015-01-03 23:00:00,303.9,37.94
2015-01-04 05:00:00,2015-01-04 00:00:00,289.0,39.02
2015-01-04 06:00:00,2015-01-04 01:00:00,270.4,39.92
2015-01-04 07:00:00,2015-01-04 02:00:00,261.5,39.92
2015-01-04 08:00:00,2015-01-04 03:00:00,254.1,39.92
2015-01-04 09:00:00,2015-01-04 04:00:00,251.2,39.02
2015-01-04 10:00:00,2015-01-04 05:00:00,257.6,39.02
2015-01-04 11:00:00,2015-01-04 06:00:00,268.2,39.02
2015-01-04 12:00:00,2015-01-04 07:00:00,282.2,39.02
2015-01-04 13:00:00,2015-01-04 08:00:00,301.3,39.02
2015-01-04 14:00:00,2015-01-04 09:00:00,319.7,41.0
2015-01-04 15:00:00,2015-01-04 10:00:00,334.4,42.98
2015-01-04 16:00:00,2015-01-04 11:00:00,346.8,44.06
2015-01-04 17:00:00,2015-01-04 12:00:00,347.8,46.04
2015-01-04 18:00:00,2015-01-04 13:00:00,346.8,48.02
2015-01-04 19:00:00,2015-01-04 14:00:00,341.1,48.02
2015-01-04 20:00:00,2015-01-04 15:00:00,345.7,50.0
2015-01-04 21:00:00,2015-01-04 16:00:00,368.2,51.98
2015-01-04 22:00:00,2015-01-04 17:00:00,399.1,51.98
2015-01-04 23:00:00,2015-01-04 18:00:00,395.6,53.06
2015-01-05 00:00:00,2015-01-04 19:00:00,383.8,51.98
2015-01-05 01:00:00,2015-01-04 20:00:00,368.1,51.98
2015-01-05 02:00:00,2015-01-04 21:00:00,335.1,51.98
2015-01-05 03:00:00,2015-01-04 22:00:00,294.5,51.98
2015-01-05 04:00:00,2015-01-04 23:00:00,263.5,50.0
2015-01-05 05:00:00,2015-01-05 00:00:00,244.1,48.02
2015-01-05 06:00:00,2015-01-05 01:00:00,233.1,46.04
2015-01-05 07:00:00,2015-01-05 02:00:00,228.4,44.06
2015-01-05 08:00:00,2015-01-05 03:00:00,228.1,42.98
2015-01-05 09:00:00,2015-01-05 04:00:00,235.9,41.0
2015-01-05 10:00:00,2015-01-05 05:00:00,266.8,41.0
2015-01-05 11:00:00,2015-01-05 06:00:00,318.1,39.92
2015-01-05 12:00:00,2015-01-05 07:00:00,341.0,37.04
2015-01-05 13:00:00,2015-01-05 08:00:00,340.7,35.96
2015-01-05 14:00:00,2015-01-05 09:00:00,342.0,37.04
2015-01-05 15:00:00,2015-01-05 10:00:00,351.6,33.98
2015-01-05 16:00:00,2015-01-05 11:00:00,351.6,33.08
2015-01-05 17:00:00,2015-01-05 12:00:00,350.3,33.98
2015-01-05 18:00:00,2015-01-05 13:00:00,352.7,32.0
2015-01-05 19:00:00,2015-01-05 14:00:00,357.8,32.0
2015-01-05 20:00:00,2015-01-05 15:00:00,368.5,30.92
2015-01-05 21:00:00,2015-01-05 16:00:00,396.5,28.94
2015-01-05 22:00:00,2015-01-05 17:00:00,446.8,26.06
2015-01-05 23:00:00,2015-01-05 18:00:00,467.6,24.98
2015-01-06 00:00:00,2015-01-05 19:00:00,467.8,23.0
2015-01-06 01:00:00,2015-01-05 20:00:00,457.2,21.92
2015-01-06 02:00:00,2015-01-05 21:00:00,431.3,19.94
2015-01-06 03:00:00,2015-01-05 22:00:00,390.7,19.04
2015-01-06 04:00:00,2015-01-05 23:00:00,356.5,17.96
2015-01-06 05:00:00,2015-01-06 00:00:00,333.6,17.06
2015-01-06 06:00:00,2015-01-06 01:00:00,323.6,17.06
2015-01-06 07:00:00,2015-01-06 02:00:00,317.7,17.06
2015-01-06 08:00:00,2015-01-06 03:00:00,314.1,15.98
2015-01-06 09:00:00,2015-01-06 04:00:00,320.7,15.98
2015-01-06 10:00:00,2015-01-06 05:00:00,342.8,15.98
