utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,1280.8,19.94
2015-01-01 06:00:00,2015-01-01 01:00:00,1230.8,21.92
2015-01-01 07:00:00,2015-01-01 02:00:00,1198.5,21.92
2015-01-01 08:00:00,2015-01-01 03:00:00,1188.9,19.94
2015-01-01 09:00:00,2015-01-01 04:00:00,1190.9,19.04
2015-01-01 10:00:00,2015-01-01 05:00:00,1211.6,21.02
2015-01-01 11:00:00,2015-01-01 06:00:00,1240.7,19.94
2015-01-01 12:00:00,2015-01-01 07:00:00,1269.8,21.02
2015-01-01 13:00:00,2015-01-01 08:00:00,1316.3,21.02
2015-01-01 14:00:00,2015-01-01 09:00:00,1364.5,21.92
2015-01-01 15:00:00,2015-01-01 10:00:00,1393.8,26.06
2015-01-01 16:00:00,2015-01-01 11:00:00,1410.2,30.02
2015-01-01 17:00:00,2015-01-01 12:00:00,1413.9,30.02
2015-01-01 18:00:00,2015-01-01 13:00:00,1401.2,30.02
2015-01-01 19:00:00,2015-01-01 14:00:00,1388.8,30.92
2015-01-01 20:00:00,2015-01-01 15:00:00,1401.7,32.0
2015-01-01 21:00:00,2015-01-01 16:00:00,1487.2,32.0
2015-01-01 22:00:00,2015-01-01 17:00:00,1594.9,30.02
2015-01-01 23:00:00,2015-01-01 18:00:00,1582.9,30.02
2015-01-02 00:00:00,2015-01-01 19:00:00,1549.3,28.94
2015-01-02 01:00:00,2015-01-01 20:00:00,1496.8,28.94
2015-01-02 02:00:00,2015-01-01 21:00:00,1425.8,28.04
2015-01-02 03:00:00,2015-01-01 22:00:00,1330.2,26.96
2015-01-02 04:00:00,2015-01-01 23:00:00,1239.9,24.98
2015-01-02 05:00:00,2015-01-02 00:00:00,1179.4,26.06
2015-01-02 06:00:00,2015-01-02 01:00:00,1147.4,26.96
2015-01-02 07:00:00,2015-01-02 02:00:00,1134.3,28.04
2015-01-02 08:00:00,2015-01-02 03:00:00,1118.3,28.04
2015-01-02 09:00:00,2015-01-02 04:00:00,1126.8,30.92
2015-01-02 10:00:00,2015-01-02 05:00:00,1172.0,33.08
2015-01-02 11:00:00,2015-01-02 06:00:00,1272.4,32.0
2015-01-02 12:00:00,2015-01-02 07:00:00,1349.3,33.08
2015-01-02 13:00:00,2015-01-02 08:00:00,1407.9,33.08
2015-01-02 14:00:00,2015-01-02 09:00:00,1444.9,35.06
2015-01-02 15:00:00,2015-01-02 10:00:00,1471.6,35.06
2015-01-02 16:00:00,2015-01-02 11:00:00,1477.0,35.06
