utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,5272.0,28.04
2015-01-01 06:00:00,2015-01-01 01:00:00,5092.6,28.04
2015-01-01 07:00:00,2015-01-01 02:00:00,4909.5,28.04
2015-01-01 08:00:00,2015-01-01 03:00:00,4771.4,26.96
2015-01-01 09:00:00,2015-01-01 04:00:00,4698.5,26.96
2015-01-01 10:00:00,2015-01-01 05:00:00,4720.9,26.96
2015-01-01 11:00:00,2015-01-01 06:00:00,4811.1,26.96
2015-01-01 12:00:00,2015-01-01 07:00:00,4868.3,26.96
2015-01-01 13:00:00,2015-01-01 08:00:00,4990.2,26.96
2015-01-01 14:00:00,2015-01-01 09:00:00,5140.4,28.04
2015-01-01 15:00:00,2015-01-01 10:00:00,5306.6,30.02
2015-01-01 16:00:00,2015-01-01 11:00:00,5450.5,30.92
2015-01-01 17:00:00,2015-01-01 12:00:00,5515.7,33.08
2015-01-01 18:00:00,2015-01-01 13:00:00,5525.6,35.06
2015-01-01 19:00:00,2015-01-01 14:00:00,5521.5,37.04
2015-01-01 20:00:00,2015-01-01 15:00:00,5548.0,37.94
2015-01-01 21:00:00,2015-01-01 16:00:00,5708.8,39.02
2015-01-01 22:00:00,2015-01-01 17:00:00,5997.6,39.02
2015-01-01 23:00:00,2015-01-01 18:00:00,6008.5,39.02
2015-01-02 00:00:00,2015-01-01 19:00:00,5949.4,39.02
2015-01-02 01:00:00,2015-01-01 20:00:00,5850.7,37.94
2015-01-02 02:00:00,2015-01-01 21:00:00,5722.2,37.94
2015-01-02 03:00:00,2015-01-01 22:00:00,5504.8,37.94
2015-01-02 04:00:00,2015-01-01 23:00:00,5208.1,37.94
2015-01-02 05:00:00,2015-01-02 00:00:00,4919.0,37.04
2015-01-02 06:00:00,2015-01-02 01:00:00,4698.5,37.94
2015-01-02 07:00:00,2015-01-02 02:00:00,4548.2,37.04
2015-01-02 08:00:00,2015-01-02 03:00:00,4470.7,37.04
2015-01-02 09:00:00,2015-01-02 04:00:00,4489.0,37.04
2015-01-02 10:00:00,2015-01-02 05:00:00,4687.7,35.96
2015-01-02 11:00:00,2015-01-02 06:00:00,5073.2,35.96
2015-01-02 12:00:00,2015-01-02 07:00:00,5440.6,35.96
2015-01-02 13:00:00,2015-01-02 08:00:00,5773.2,35.96
2015-01-02 14:00:00,2015-01-02 09:00:00,6018.8,37.94
2015-01-02 15:00:00,2015-01-02 10:00:00,6150.1,39.02
2015-01-02 16:00:00,2015-01-02 11:00:00,6232.8,41.0
2015-01-02 17:00:00,2015-01-02 12:00:00,6238.0,39.92
2015-01-02 18:00:00,2015-01-02 13:00:00,6223.9,41.0
2015-01-02 19:00:00,2015-01-02 14:00:00,6200.7,42.08
