Demand,Normalized_net,Temperature
873.1,0.633364639,-5
845.6,0.613415575,-6
812.6,0.589476699,-7
760.8,0.551899917,-7
707.9,0.513525172,-7
665,0.482404633,-8
636.7,0.461875233,-8
615.7,0.446641402,-9
606,0.439604823,-9
608,0.441055664,-9
622.4,0.451501719,-10
651.3,0.472466372,-10
682.3,0.494954407,-10
670.9873016,0.486747944,-8
657.2425907,0.476777249,-7
642.2673502,0.465913903,-6
636.4923445,0.461724595,-6
632.3524442,0.458721426,-5
627.5277975,0.455221529,-5
644.5496981,0.467569564,-5
681.0797165,0.494069189,-7
759.3286962,0.550832603,-8
839.1,0.608700342,-9
851.7,0.61784064,-9
838.4,0.608192547,-10
823,0.597021072,-10
798.6,0.579320812,-10
757.6,0.549578571,-11
713.1,0.517297359,-11
668.4,0.484871062,-11
631.8,0.458320672,-10
607.1,0.440402786,-9
594.7,0.431407572,-9
593.5,0.430537067,-9
596.4,0.432640786,-9
615.7,0.446641402,-10
633,0.459191177,-9
614.7948319,0.445984775,-6
666.4501982,0.483456636,-4
687.6400017,0.498828154,-2
686.6072665,0.498078987,0
689.5075941,0.500182944,0
683.6972009,0.495967966,0
679.6340981,0.493020507,0
713.8624674,0.517850468,-1
752.8321013,0.54611984,-2
812.4,0.589331614,-2
821,0.595570231,-2
809.9,0.587518063,-2
791.1,0.573880158,-2
751.5,0.545153506,-2
692.1,0.502063528,-2
642.4,0.466010129,-2
592,0.429448936,-2
564.7,0.409644957,-1
548.6,0.397965686,-1
539.8,0.391581986,-1
550.1,0.399053817,-1
582.2,0.422339815,-1
657,0.476601269,-1
729.1,0.528904087,0
755.4567262,0.548023796,0
771.9249811,0.559970206,0
783.5457951,0.568400183,0
786.6084391,0.570621887,0
787.4959756,0.571265725,0
783.7379595,0.568539583,1
781.4352856,0.566869176,0
798.3729603,0.579156112,0
833.1352353,0.604373379,0
865.2,0.627633817,0
862.6,0.625747724,0
843.4,0.61181965,0
810.6,0.588025858,0
764.5,0.554583972,0
699.5,0.50743164,0
634.8,0.460496934,0
585,0.424370993,0
560.5,0.40659819,0
544.7,0.395136547,-1
535.6,0.38853522,-2
544.4,0.39491892,-3
584.8,0.424225909,-4
664,0.481679212,-5
728.4693426,0.528446595,-6
693.9606496,0.503413282,-7
668.9873757,0.485297157,-6
652.0483317,0.473009227,-6
637.1051293,0.462169122,-5
636.8460445,0.461981176,-5
652.7365074,0.473508444,-5
675.3827191,0.48993647,-5
721.6031485,0.523465717,-7
797.606402,0.578600035,-9
878.1,0.636991741,-10
