Demand,Normalized_net,Temperature
336.5,0.525130006,-1
317.7,0.495791391,-1
307,0.479093349,-1
300.6,0.469105735,-1
298.4,0.465672493,-1
304.1,0.474567711,-2
311.4,0.485959833,-2
313.9,0.489861245,-1
303.9180115,0.474283706,0
328.7855451,0.5130911,0
332.5021834,0.518891155,1
319.306558,0.498298528,2
317.0225787,0.494734231,3
328.8419865,0.513179181,3
335.8092605,0.524052062,2
338.0240241,0.527508344,0
370.2,0.577721035,0
408.2,0.637022492,0
412.5,0.64373292,0
404.8,0.631716572,0
394.3,0.615330643,0
377,0.588332874,0
345.9,0.539799314,0
320.3,0.499848859,0
290.4,0.453187975,-1
273.2,0.426346263,-1
264.4,0.412613294,-1
266.4,0.415734424,-2
274,0.427594715,-2
288.8,0.450691072,-2
311.5,0.48611589,-2
330.3,0.515454505,-3
341.7832289,0.533374826,-3
343.9866742,0.536813445,-3
326.4615131,0.509464298,-3
331.5415382,0.517392006,-3
326.187504,0.509036689,-3
311.646941,0.486345201,-4
321.6604519,0.501971932,-4
345.1426174,0.538617369,-5
370.9,0.57881343,-6
410.3,0.640299677,-7
414.3,0.646541936,-8
404.5,0.631248402,-9
394.9,0.616266982,-9
377.9,0.589737383,-9
348.2,0.543388612,-10
318.9,0.497664068,-9
296.1,0.462083194,-9
285.1,0.444916983,-9
278.9,0.435241482,-9
275.4,0.429779506,-9
277.4,0.432900635,-9
286.9,0.447725999,-9
303,0.47285109,-9
319,0.497820125,-9
328.7376631,0.513016377,-8
352.6081009,0.550267739,-8
345.8155682,0.539667552,-8
321.0612153,0.501036784,-7
358.3646654,0.55925123,-7
348.9386824,0.544541374,-7
379.8475182,0.592776611,-7
388.4579653,0.60621377,-7
410.6,0.640767847,-8
435.6,0.679781963,-8
438.4,0.684151544,-8
420.7,0.65652955,-8
401,0.625786426,-7
374.7,0.584743576,-7
338.9,0.528875361,-7
303.9,0.474255598,-7
289,0.451003185,-7
270.4,0.421976682,-7
261.5,0.408087657,-7
254.1,0.396539479,-7
251.2,0.392013841,-8
257.6,0.402001455,-8
268.2,0.41854344,-8
282.2,0.440391345,-7
291.6145395,0.455083343,-6
297.9774352,0.465013053,-5
286.6729028,0.447371599,-3
311.8583472,0.486675114,-2
311.296533,0.485798366,-1
319.1102635,0.497992198,-1
319.4601671,0.498538245,-1
332.8648803,0.519457167,-2
368.2,0.574599906,-4
399.1,0.622821353,-5
395.6,0.617359377,-6
383.8,0.598944714,-7
368.1,0.574443849,-7
335.1,0.522945215,-8
294.5,0.459586291,-8
263.5,0.411208786,-8
244.1,0.380933832,-9
233.1,0.363767621,-9
228.4,0.356432967,-9
228.1,0.355964798,-10
235.9,0.368137202,-10
266.8,0.41635865,-10
318.1,0.496415616,-10
341,0.532152547,-9
319.559899,0.498693883,-6
304.7241832,0.475541789,-4
303.7388039,0.474004041,-3
298.7274871,0.466183557,-2
297.8706369,0.464846387,-1
305.5966014,0.476903254,-1
321.3645986,0.501510234,-2
347.8488505,0.542840621,-2
396.5,0.618763885,-3
446.8,0.697260287,-4
467.6,0.729720032,-5
467.8,0.730032145,-6
457.2,0.71349016,-6
431.3,0.673071535,-6
390.7,0.60971261,-6
356.5,0.556341299,-7
333.6,0.520604369,-7
323.6,0.504998722,-7
317.7,0.495791391,-7
314.1,0.490173358,-7
320.7,0.500473084,-7
342.8,0.534961563,-7
