Demand,Normalized_net,Temperature
2429.237645,0.460692015,-8
2457.120628,0.465979874,-8
2617.268699,0.496351105,-8
2877.037321,0.545614844,-9
3137.1,0.59493435,-9
3157.9,0.598878959,-10
3077.8,0.58368842,-10
2985.4,0.566165251,-10
2853.3,0.541113187,-10
2662.3,0.504891052,-11
2449.9,0.46461052,-11
2290.9,0.434457015,-11
2186.7,0.414696039,-12
2118.2,0.401705378,-12
2092.2,0.396774616,-12
2103.2,0.398860707,-13
2157.4,0.409139449,-13
2273.9,0.431233055,-13
2377.719194,0.450921814,-12
2428.772135,0.460603733,-12
2343.883229,0.444505003,-11
2392.464717,0.453718224,-10
2338.087184,0.443405814,-9
2267.660381,0.430049745,-8
2249.00024,0.426510948,-8
2309.589068,0.438001298,-8
2514.492865,0.476860214,-8
2765.585595,0.524478616,-8
3053.2,0.579023161,-9
3087.4,0.585509009,-9
3025.6,0.573788967,-9
2959.2,0.56119656,-9
2853,0.541056294,-10
2692.1,0.510542464,-10
2505.7,0.475192694,-10
2342.3,0.444204752,-10
2223.9,0.421750821,-10
2155.2,0.408722231,-10
2100.5,0.398348667,-11
2090.3,0.396414291,-11
2108,0.399771002,-11
2170.7,0.411661724,-11
2216.030864,0.420258481,-10
2219.227316,0.420864671,-9
2144.622028,0.406716175,-8
2126.957349,0.403366162,-6
2126.981117,0.40337067,-5
2150.08994,0.407753135,-4
2104.637395,0.399133302,-3
2247.880107,0.426298521,-3
2397.803453,0.454730687,-3
2675.623291,0.507417743,-2
2963.5,0.562012032,-2
2974.3,0.564060195,-2
2900.9,0.550140275,-2
2799.6,0.530929268,-1
2636.4,0.499979255,-1
2420.6,0.459053931,-1
2197.2,0.416687308,-1
2036.5,0.386211407,-1
1943.8,0.368631344,0
1891.3,0.358674998,0
1868.2,0.354294206,0
1904.4,0.361159343,0
2043.8,0.387595813,0
2303.2,0.436789645,0
2498.3,0.473789323,0
2578.688606,0.489034595,0
2650.444554,0.50264273,0
2643.450373,0.50131632,0
2702.037024,0.512426968,1
2702.25232,0.512467797,2
2693.912557,0.510886206,2
2686.015434,0.509388558,3
2750.158442,0.521552939,2
2898.2,0.549628234,2
3072.4,0.582664339,2
3064.3,0.581128217,2
2980.6,0.565254956,2
2868.1,0.543919929,1
2688.5,0.509859743,1
2447.2,0.46409848,1
2201.7,0.417540709,0
2026.5,0.38431496,0
1932.8,0.366545252,0
1885.7,0.357612988,0
1868.3,0.35431317,0
1903.9,0.361064521,0
2051.7,0.389094006,0
2339.6,0.443692711,0
2532.2,0.480218278,1
2562.299856,0.485926556,2
2569.284112,0.487251083,3
2509.747432,0.475960268,4
2460.467486,0.466614588,5
2411.436825,0.457316184,5
2507.211911,0.47547942,4
2559.057794,0.485311716,3
2504.091875,0.474887722,2
2839.178687,0.538435155,0
3146,0.596622188,-1
3207.8,0.608342229,-2
3149.8,0.597342837,-3
3045.6,0.577581861,-4
2879.5,0.546081878,-5
2624.1,0.497646625,-6
2382.7,0.451866397,-6
2224.7,0.421902537,-7
2139.7,0.405782738,-8
2090.3,0.396414291,-8
2075.9,0.393683407,-9
2103.4,0.398898636,-9
2237.5,0.424329989,-10
2502,0.474491009,-10
2698.3763,0.511732731,-10
2632.943493,0.499323746,-10
2516.331923,0.477208982,-10
2496.158918,0.473383278,-9
2437.404669,0.462240847,-9
2493.82839,0.472941306,-9
2566.778789,0.486775962,-8
2605.117713,0.494046735,-8
2693.153117,0.510742182,-8
2879.857131,0.546149606,-9
3133.3,0.5942137,-9
3155.5,0.598423812,-9
3076.9,0.58351774,-9
2968.3,0.562922327,-8
2787.8,0.52869146,-8
2537.9,0.481299253,-8
2290.6,0.434400122,-7
2136,0.405081053,-7
2050.3,0.388828503,-7
2001.4,0.379554878,-7
1991.4,0.377658431,-7
2026.8,0.384371853,-7
2163.8,0.410353175,-8
2432,0.461215881,-9
2616.482106,0.496201932,-9
2623.532582,0.497539017,-10
2412.24782,0.457469984,-9
2511.7405,0.476338243,-8
2286.919078,0.433702054,-8
2063.722763,0.391374059,-7
2085.06743,0.395421962,-7
2260.917623,0.428771017,-7
2518.625846,0.477644012,-8
2727.158002,0.517191028,-9
3022.3,0.57316314,-10
3065.9,0.581431648,-11
3011.8,0.57117187,-12
2932,0.556038224,-13
2796.6,0.530360334,-13
2531.6,0.480104491,-13
2289.9,0.43426737,-13
2128.8,0.403715611,-14
2043.5,0.387538919,-14
1975.9,0.374718938,-13
1954,0.37056572,-13
1986.2,0.376672279,-12
2110.2,0.40018822,-12
2367.9,0.449059656,-11
2525.724661,0.478990265,-10
2396.707173,0.454522783,-9
2265.610321,0.429660962,-8
2122.286748,0.402480408,-7
2035.012267,0.385929266,-6
2008.851505,0.380968016,-5
2038.868019,0.386660489,-4
2140.122812,0.405862922,-4
2345.588174,0.444828337,-5
2649.773637,0.502515494,-5
2937.6,0.557100235,-6
3035.2,0.575609556,-6
2981,0.565330814,-6
2910.6,0.551979828,-6
2789,0.528919034,-6
2610.2,0.495010564,-6
2413.7,0.457745383,-6
2264.1,0.429374537,-6
2164,0.410391104,-6
2108.4,0.39984686,-6
2082.1,0.394859204,-6
2091.8,0.396698758,-6
2140.2,0.405877561,-6
2253.3,0.427326375,-6
2309.248163,0.437936647,-5
2267.673519,0.430052236,-4
2210.412034,0.4191929,-3
2204.845693,0.418137273,-1
2200.265862,0.417268732,0
2109.613694,0.40007703,0
2155.743411,0.408825286,1
2175.546823,0.412580898,0
2346.985672,0.445093365,0
2608.397642,0.494668756,0
2882.6,0.546669777,0
2907.8,0.551448823,0
2846.4,0.539804639,0
2763.5,0.524083094,0
2643.1,0.501249874,0
2479.3,0.470186074,0
2299.4,0.436068995,0
2148.4,0.407432647,0
2042,0.387254452,0
1977.9,0.375098228,0
1939.5,0.367815872,0
1929.4,0.36590046,0
1939.5,0.367815872,0
1995.3,0.378398045,0
2069.8,0.392526575,0
2175.061443,0.412488848,1
2271.206305,0.43072221,1
2379.162535,0.451195536,1
2450.505356,0.464725323,1
2422.604209,0.459434019,1
2484.518228,0.471175683,1
2444.961868,0.46367403,1
2469.915727,0.468406397,0
2626.569214,0.498114898,0
2748.2,0.521181531,0
2721.7,0.516155947,0
2647.9,0.502160169,0
2552.7,0.484105994,0
2433.1,0.46142449,0
2268.9,0.430284832,-1
2086.4,0.395674676,-2
1936.7,0.367284867,-2
1848.7,0.350596134,-3
1800.4,0.341436296,-3
1790.3,0.339520884,-4
1816,0.344394753,-4
1902.5,0.360799018,-4
2071.8,0.392905864,-4
2185.060889,0.41438519,-4
2159.744242,0.409584022,-4
2120.781064,0.402194863,-3
2070.185871,0.392599753,-3
2036.679809,0.386245506,-3
2012.184282,0.38160006,-3
2062.857909,0.391210044,-3
2195.280881,0.416323357,-3
2380.064455,0.45136658,-3
2675.428053,0.507380718,-4
2958.3,0.56102588,-4
2967.5,0.562770611,-4
2890.5,0.54816797,-4
2774.2,0.526112293,-4
2607.2,0.49444163,-4
2373,0.450026844,-5
2136.2,0.405118982,-5
1969.7,0.373543141,-5
1880.5,0.356626835,-5
1829.1,0.346879098,-6
1812.5,0.343730996,-6
1847.5,0.350368561,-6
1992,0.377772218,-6
2275.8,0.43159338,-6
2401.794392,0.455487547,-5
2295.367659,0.435304283,-5
2194.816183,0.41623523,-4
2188.390522,0.415016637,-3
1957.36052,0.371203025,-3
1933.512892,0.366680449,-2
2018.140072,0.382729544,-2
2140.212229,0.40587988,-2
2317.620836,0.43952448,-3
2647.752726,0.502132239,-4
2957.8,0.560931057,-4
2983.7,0.565842855,-5
2912.4,0.552321188,-5
2809.8,0.532863644,-6
2646.9,0.501970524,-6
2415.6,0.458105708,-6
2182.4,0.413880566,-6
2038.5,0.386590696,-6
1962.9,0.372253558,-7
1923.5,0.364781557,-7
1918.7,0.363871262,-7
1968.3,0.373277639,-7
2111.8,0.400491652,-7
2391.8,0.453592164,-7
2535.803192,0.480901604,-6
2358.329031,0.447244573,-5
2232.962507,0.423469477,-4
2161.314973,0.409881903,-3
2102.336474,0.398696944,-3
2052.05001,0.389160383,-2
2040.110285,0.386896078,-2
2136.842147,0.405240762,-2
2360.483158,0.447653091,-2
2689.756583,0.510098047,-3
2993.9,0.567777231,-4
3029,0.574433759,-4
2954.1,0.560229372,-5
2843.3,0.539216741,-5
2671.1,0.506559925,-5
2429.7,0.460779698,-5
2189.3,0.415189115,-5
2035.1,0.385945904,-5
1942.6,0.36840377,-4
1891.4,0.358693962,-4
1877.8,0.356114795,-3
1911.4,0.362486856,-3
2049.8,0.388733681,-2
2316.9,0.439387777,-1
2492.379213,0.472666477,0
2529.054768,0.479621802,0
2487.849741,0.471807487,0
2473.085404,0.469007509,0
2529.757988,0.479755164,1
2410.073577,0.457057651,1
2380.094681,0.451372312,2
2211.486838,0.419396731,2
2338.617853,0.443506452,1
2590.953667,0.491360599,1
2903.5,0.550633351,0
2979.1,0.564970489,0
2921.8,0.554103849,-1
2836.3,0.537889228,-2
2697.8,0.511623438,-2
2449.9,0.46461052,-4
2225.5,0.422054252,-5
2073.6,0.393247224,-6
1989,0.377203284,-7
1941.2,0.368138268,-7
1930.8,0.366165963,-8
1971.3,0.373846573,-8
2114.9,0.40107955,-9
2389.8,0.453212875,-9
2545.04178,0.482653654,-8
2364.218301,0.448361441,-8
2196.302866,0.416517171,-8
2083.463365,0.395117759,-7
1989.722714,0.377340343,-7
1941.128325,0.368124675,-7
1954.620093,0.370683317,-6
2053.098499,0.389359224,-6
2317.498947,0.439501364,-6
2578.216099,0.488944987,-7
2865.4,0.543407888,-7
2912.5,0.552340153,-7
2834.5,0.537547867,-7
2734.2,0.518526505,-7
2603.7,0.493777873,-8
2420,0.458940144,-8
2214.6,0.419987125,-8
2059.6,0.390592199,-7
1950.3,0.369864034,-7
1894,0.359187039,-7
1864.2,0.353535627,-7
1870.6,0.354749353,-8
1911.2,0.362448927,-8
2024.5,0.38393567,-8
2132.929219,0.404498696,-7
