Demand,Normalized_net,Temperature
1813.7,0.610002079,-8
1737.4,0.584340085,-9
1700.7,0.571996767,-9
1683.3,0.566144621,-9
1688.4,0.567859905,-10
1719.3,0.578252508,-10
1766.2,0.594026394,-9
1797.7,0.604620796,-8
1807.026917,0.607757719,-7
1842.548271,0.619704623,-5
1833.907879,0.616798599,-4
1869.76621,0.628858838,-4
1850.095344,0.622242932,-4
1902.218272,0.639773447,-4
1772.887111,0.596275472,-4
1810.940283,0.609073903,-4
1981.846279,0.66655475,-6
2153.7,0.724354346,-7
2133.9,0.717695008,-8
2096.9,0.705250791,-8
2041.1,0.686483566,-9
1964.9,0.660855205,-10
1854,0.623556186,-10
1731.5,0.582355737,-10
1672.9,0.562646787,-11
1640.7,0.551816955,-11
1613.4,0.54263514,-11
1606.2,0.540213563,-11
1632.2,0.548958148,-11
1716,0.577142619,-11
1835,0.617165912,-11
1940.2,0.652547849,-10
1914.688236,0.643967472,-8
1999.090059,0.672354354,-5
2005.198274,0.674408731,-3
1997.932749,0.671965116,-1
1940.976935,0.652809155,-1
1916.747759,0.644660152,-1
1903.866571,0.640327819,-1
1980.241739,0.666015095,-3
2134.537687,0.717909481,-4
2266.9,0.762426924,-5
2243.3,0.754489532,-5
2184.9,0.734847848,-6
2127.5,0.715542495,-8
2030.5,0.682918466,-9
1906.1,0.641078989,-9
1805.9,0.607378703,-10
1722.5,0.579328765,-10
1673.7,0.562915851,-11
1680.1,0.565068364,-11
1664.6,0.559855246,-10
1677.2,0.564093007,-10
1713.1,0.576167261,-10
1783.8,0.599945806,-10
1862.5,0.626414992,-9
1887.46711,0.634812185,-7
1892.172191,0.636394646,-4
1829.080506,0.615175007,-2
1956.73731,0.658109845,-1
1934.116579,0.650501811,-1
1900.946596,0.639345744,-1
1968.766964,0.662155781,-1
2027.40674,0.681878109,-2
2123.56422,0.714218773,-3
2182.4,0.734007023,-4
2184.3,0.73464605,-4
2136.2,0.718468567,-4
2065.2,0.694589123,-5
1957.1,0.658231829,-5
1844.2,0.62026015,-6
1729.5,0.581683076,-6
1663.3,0.559418017,-6
1597.8,0.537388389,-6
1549.3,0.521076375,-7
1508.2,0.507253204,-7
1479.2,0.497499628,-8
1536.9,0.51690588,-8
1589.8,0.534697748,-8
1656.9,0.557265504,-7
1674.100316,0.56305049,-5
1711.604832,0.575664391,-3
1676.081102,0.563716688,-2
1646.87206,0.553892805,-1
1637.840757,0.550855305,-1
1753.865473,0.589877921,-1
1737.251649,0.58429019,-1
1752.432656,0.589396021,-2
1911.472111,0.642885792,-3
2061.7,0.693411968,-3
2063.7,0.694084628,-3
2024.8,0.681001383,-3
1974.8,0.664184874,-4
1875.3,0.630720019,-3
1758.2,0.591335753,-3
1673.3,0.562781319,-4
1597,0.537119325,-4
1584.5,0.532915198,-4
1589.4,0.534563216,-4
1606.6,0.540348095,-4
1675.2,0.563420346,-4
1837.5,0.618006737,-4
2091.2,0.703333709,-4
2218.9,0.746283075,-4
2207.698454,0.742515657,-3
2230.627485,0.750227382,-2
2219.030841,0.746327081,0
2180.309657,0.733303977,0
2178.065476,0.732549191,1
2143.623535,0.720965326,1
2173.670204,0.731070929,1
2213.033906,0.74431013,0
2368.121159,0.796470657,-1
2530.1,0.850949032,-1
2538.9,0.853908738,0
2502.9,0.841800851,0
2421.7,0.814490839,0
2305.4,0.775375637,0
2134.8,0.717997705,0
1996.4,0.671449606,-1
1935.8,0.651067996,-2
1897.8,0.638287448,-2
1869.6,0.628802937,-3
1868.5,0.628432974,-3
1913.6,0.643601466,-3
1993.8,0.670575147,-3
2219.6,0.746518506,-3
2352.1,0.791082257,-2
2326.957419,0.782626048,-1
2291.57609,0.770726238,-1
2304.590341,0.775103324,0
2269.658223,0.763354598,0
2221.917267,0.747297873,0
2247.344563,0.75584984,0
2265.070948,0.761811759,0
2301.990501,0.774228919,0
2412.995628,0.811563296,-1
2542.7,0.855186793,-1
2550,0.857642003,-1
2508.1,0.843549768,-2
2442,0.821318342,-2
2312.4,0.777729948,-2
2132.8,0.717325045,-2
2004.6,0.674207513,-2
1935.3,0.650899831,-2
1890.7,0.635899504,-2
1857.2,0.624632442,-2
1848.8,0.621807269,-1
1898.1,0.638388347,-1
2032.6,0.683624759,-1
2260.6,0.760308044,-1
2388.5,0.803324676,-2
2372.438245,0.797922623,-3
2376.008938,0.799123555,-3
2287.317022,0.769293785,-4
2389.632365,0.803705525,-4
2364.809317,0.795356784,-4
2205.72617,0.741852318,-4
2249.944134,0.756724154,-5
2449.419312,0.82381368,-5
