Year,Month,Day,Hour,AC System Output (W)
2015,1,10,9,292916771
2015,1,10,10,293235283.5
2015,1,10,11,344612816.5
2015,1,10,12,386439618.8
2015,1,10,13,365399760.2
2015,1,10,14,280110932.4
2015,1,10,15,103807135.2
2015,1,10,16,4414405.479
2015,1,10,17,0
2015,1,10,18,0
2015,1,10,19,0
2015,1,10,20,0
2015,1,10,21,0
2015,1,10,22,0
2015,1,10,23,0
2015,1,11,0,0
2015,1,11,1,0
2015,1,11,2,0
2015,1,11,3,0
2015,1,11,4,0
2015,1,11,5,0
2015,1,11,6,0
2015,1,11,7,1769136.5
2015,1,11,8,93972684.25
2015,1,11,9,257477972
2015,1,11,10,325042651
2015,1,11,11,360618883.4
2015,1,11,12,357010060.4
2015,1,11,13,427662605.4
2015,1,11,14,271619893.1
2015,1,11,15,124796546.9
2015,1,11,16,4876709.271
2015,1,11,17,0
2015,1,11,18,0
2015,1,11,19,0
2015,1,11,20,0
2015,1,11,21,0
2015,1,11,22,0
2015,1,11,23,0
2015,1,12,0,0
2015,1,12,1,0
2015,1,12,2,0
2015,1,12,3,0
2015,1,12,4,0
2015,1,12,5,0
2015,1,12,6,0
2015,1,12,7,0
2015,1,12,8,211393.9206
2015,1,12,9,7455445.771
2015,1,12,10,66449627.36
2015,1,12,11,34162975.52
2015,1,12,12,41147679.62
2015,1,12,13,41787442.69
2015,1,12,14,48184566.2
2015,1,12,15,21041557.53
2015,1,12,16,0
2015,1,12,17,0
2015,1,12,18,0
2015,1,12,19,0
2015,1,12,20,0
2015,1,12,21,0
2015,1,12,22,0
2015,1,12,23,0
2015,1,13,0,0
2015,1,13,1,0
2015,1,13,2,0
2015,1,13,3,0
2015,1,13,4,0
2015,1,13,5,0
2015,1,13,6,0
2015,1,13,7,0
2015,1,13,8,8000143.647
2015,1,13,9,22215887.6
2015,1,13,10,105752568.4
2015,1,13,11,152332514.5
2015,1,13,12,187763175.4
2015,1,13,13,82088089.26
2015,1,13,14,48842206.17
2015,1,13,15,175908125.1
2015,1,13,16,11321312.98
2015,1,13,17,0
2015,1,13,18,0
2015,1,13,19,0
2015,1,13,20,0
2015,1,13,21,0
2015,1,13,22,0
2015,1,13,23,0
2015,1,14,0,0
2015,1,14,1,0
2015,1,14,2,0
2015,1,14,3,0
2015,1,14,4,0
2015,1,14,5,0
2015,1,14,6,0
2015,1,14,7,3123700.419
2015,1,14,8,124556507.4
2015,1,14,9,282368076.8
2015,1,14,10,325141082.4
2015,1,14,11,375795331
2015,1,14,12,294071610.3
2015,1,14,13,194721210.8
2015,1,14,14,147882287.1
2015,1,14,15,82046882.69
2015,1,14,16,5142869.235
2015,1,14,17,0
2015,1,14,18,0
2015,1,14,19,0
2015,1,14,20,0
2015,1,14,21,0
2015,1,14,22,0
2015,1,14,23,0
2015,1,15,0,0
2015,1,15,1,0
2015,1,15,2,0
2015,1,15,3,0
2015,1,15,4,0
2015,1,15,5,0
2015,1,15,6,0
2015,1,15,7,1717894.33
2015,1,15,8,31967418.19
2015,1,15,9,246552180.2
2015,1,15,10,159759500.3
2015,1,15,11,359180921.9
2015,1,15,12,523477237.4
2015,1,15,13,476732570.5
2015,1,15,14,291582377
2015,1,15,15,58574153.67
2015,1,15,16,4441998.431
2015,1,15,17,0
2015,1,15,18,0
2015,1,15,19,0
2015,1,15,20,0
2015,1,15,21,0
2015,1,15,22,0
2015,1,15,23,0
2015,1,16,0,0
2015,1,16,1,0
2015,1,16,2,0
2015,1,16,3,0
2015,1,16,4,0
2015,1,16,5,0
2015,1,16,6,0
2015,1,16,7,10375339.16
2015,1,16,8,203892826.9
2015,1,16,9,354389679
2015,1,16,10,458113251.9
2015,1,16,11,511087732.9
2015,1,16,12,511848494.8
2015,1,16,13,458631980.9
2015,1,16,14,361577188.3
2015,1,16,15,217711826.4
2015,1,16,16,54026362.59
2015,1,16,17,0
2015,1,16,18,0
2015,1,16,19,0
2015,1,16,20,0
2015,1,16,21,0
2015,1,16,22,0
2015,1,16,23,0
2015,1,17,0,0
2015,1,17,1,0
2015,1,17,2,0
2015,1,17,3,0
2015,1,17,4,0
2015,1,17,5,0
2015,1,17,6,0
2015,1,17,7,45551836.96
2015,1,17,8,211626481.5
2015,1,17,9,359487966
2015,1,17,10,391854307.5
2015,1,17,11,384134138.2
2015,1,17,12,428186306.4
2015,1,17,13,326156588.6
2015,1,17,14,278653176.7
2015,1,17,15,130114328.5
