Demand,Normalized_net,Temprature
2509.7,0.475951273,-10.0
2713.721095,0.51464279,-9.3
2709.504267,0.513843091,-8.1
2567.789784,0.486967692,-8.2
2581.899361,0.489643498,-8.4
2522.016587,0.478287048,-8.3
2491.292313,0.472460353,-8.2
2429.237645,0.460692015,-7.9
2457.120628,0.465979874,-7.3
2617.268699,0.496351105,-6.2
2877.037321,0.545614844,-4.3
3137.1,0.59493435,-3.3
3157.9,0.598878959,-2.3
3077.8,0.58368842,-2.4
2985.4,0.566165251,-2.7
2853.3,0.541113187,-3.6
2662.3,0.504891052,-4.1
2449.9,0.46461052,-4.3
2290.9,0.434457015,-5.1
2186.7,0.414696039,-6.0
2118.2,0.401705378,-6.9
2092.2,0.396774616,-7.7
2103.2,0.398860707,-8.2
2157.4,0.409139449,-8.5
2273.9,0.431233055,-9.1
2377.719194,0.450921814,-9.5
2428.772135,0.460603733,-10.0
2343.883229,0.444505003,-10.4
2392.464717,0.453718224,-10.6
2338.087184,0.443405814,-11.1
2267.660381,0.430049745,-11.9
2249.00024,0.426510948,-11.1
2309.589068,0.438001298,-10.3
2514.492865,0.476860214,-9.5
2765.585595,0.524478616,-8.6
3053.2,0.579023161,-7.9
3087.4,0.585509009,-7.2
3025.6,0.573788967,-6.7
2959.2,0.56119656,-6.5
2853.0,0.541056294,-7.2
2692.1,0.510542464,-8.2
2505.7,0.475192694,-9.4
2342.3,0.444204752,-10.3
2223.9,0.421750821,-10.1
2155.2,0.408722231,-10.1
2100.5,0.398348667,-10.0
2090.3,0.396414291,-10.1
2108.0,0.399771002,-10.5
2170.7,0.411661724,-11.2
2216.030864,0.420258481,-11.2
2219.227316,0.420864671,-12.2
2144.622028,0.406716175,-12.5
2126.957349,0.403366162,-11.6
2126.981117,0.40337067,-10.6
2150.08994,0.407753135,-10.0
2104.637395,0.399133302,-9.2
2247.880107,0.426298521,-8.2
2397.803453,0.454730687,-6.8
2675.623291,0.507417743,-5.3
2963.5,0.562012032,-4.2
2974.3,0.564060195,-3.8
2900.9,0.550140275,-3.4
2799.6,0.530929268,-3.1
2636.4,0.499979255,-2.9
2420.6,0.459053931,-2.9
2197.2,0.416687308,-2.8
2036.5,0.386211407,-2.9
1943.8,0.368631344,-3.0
1891.3,0.358674998,-2.0
1868.2,0.354294206,-1.3
1904.4,0.361159343,-0.7
2043.8,0.387595813,-0.6
2303.2,0.436789645,-0.5
2498.3,0.473789323,-1.9
2578.688606,0.489034595,-2.5
2650.444554,0.50264273,-2.6
2643.450373,0.50131632,-2.2
2702.037024,0.512426968,-1.9
2702.25232,0.512467797,-1.4
2693.912557,0.510886206,-0.8
2686.015434,0.509388558,-0.2
2750.158442,0.521552939,0.2
2898.2,0.549628234,0.2
3072.4,0.582664339,0.2
3064.3,0.581128217,0.6
2980.6,0.565254956,0.7
2868.1,0.543919929,0.7
2688.5,0.509859743,0.4
2447.2,0.46409848,0.3
2201.7,0.417540709,0.2
2026.5,0.38431496,0.2
1932.8,0.366545252,0.5
1885.7,0.357612988,0.8
1868.3,0.35431317,0.5
1903.9,0.361064521,0.0
2051.7,0.389094006,-0.2
2339.6,0.443692711,-0.4
2532.2,0.480218278,-0.9
2562.299856,0.485926556,-2.2
2569.284112,0.487251083,-4.2
2509.747432,0.475960268,-6.0
2460.467486,0.466614588,-7.7
2411.436825,0.457316184,-9.7
2507.211911,0.47547942,-11.2
2559.057794,0.485311716,-11.5
2504.091875,0.474887722,-11.4
2839.178687,0.538435155,-11.2
3146.0,0.596622188,-11.0
3207.8,0.608342229,-10.6
3149.8,0.597342837,-10.8
3045.6,0.577581861,-10.9
2879.5,0.546081878,-11.7
2624.1,0.497646625,-12.8
2382.7,0.451866397,-13.7
2224.7,0.421902537,-14.2
2139.7,0.405782738,-14.7
2090.3,0.396414291,-15.2
2075.9,0.393683407,-16.1
2103.4,0.398898636,-17.0
2237.5,0.424329989,-17.9
2502.0,0.474491009,-18.7
2698.3763,0.511732731,-19.1
2632.943493,0.499323746,-19.3
2516.331923,0.477208982,-19.4
2496.158918,0.473383278,-19.4
2437.404669,0.462240847,-19.2
2493.82839,0.472941306,-18.4
2566.778789,0.486775962,-16.8
2605.117713,0.494046735,-15.3
2693.153117,0.510742182,-13.0
2879.857131,0.546149606,-10.2
3133.3,0.5942137,-7.5
3155.5,0.598423812,-5.8
3076.9,0.58351774,-5.8
2968.3,0.562922327,-5.9
2787.8,0.52869146,-5.8
2537.9,0.481299253,-5.9
2290.6,0.434400122,-6.9
2136.0,0.405081053,-8.6
2050.3,0.388828503,-9.5
2001.4,0.379554878,-10.3
1991.4,0.377658431,-10.5
2026.8,0.384371853,-10.4
