date,tmpf,month,hour,dayofweek,mw2day,mw7day,poten_2,poten_7
2019-01-08 00:00:00,34.0,1,0,1,26316.103,25457.52,768.7127647058805,0.0
2019-01-08 01:00:00,34.0,1,1,1,25398.397,24341.429,646.7647647058802,0.0
2019-01-08 02:00:00,34.0,1,2,1,24945.985,23409.071,590.4799411764689,0.0
2019-01-08 03:00:00,33.1,1,3,1,24790.966,22785.869,561.5465294117603,0.0
2019-01-08 04:00:00,35.1,1,4,1,24916.312,22584.079,307.67782352941504,0.0
2019-01-08 05:00:00,36.0,1,5,1,25463.396,22864.42,0.0,0.0
2019-01-08 06:00:00,36.0,1,6,1,26312.605,23395.256,0.0,0.0
2019-01-08 07:00:00,37.0,1,7,1,27265.662,23677.857,0.0,0.0
2019-01-08 08:00:00,37.0,1,8,1,28017.342,24214.04,0.0,0.0
2019-01-08 09:00:00,37.9,1,9,1,28532.585,25200.511,0.0,0.0
2019-01-08 10:00:00,39.0,1,10,1,28571.068,26137.757,0.0,0.0
2019-01-08 11:00:00,39.0,1,11,1,27964.27,26651.298,0.0,0.0
2019-01-08 12:00:00,39.9,1,12,1,27452.456,26459.484,0.0,0.0
2019-01-08 13:00:00,42.1,1,13,1,27237.863,26251.365,0.0,0.0
2019-01-08 14:00:00,43.0,1,14,1,27368.635,26473.052,0.0,0.0
2019-01-08 15:00:00,46.0,1,15,1,27986.963,27038.929,0.0,0.0
2019-01-08 16:00:00,46.0,1,16,1,29638.411,28685.602,0.0,0.0
2019-01-08 17:00:00,44.1,1,17,1,32348.137,31094.933,0.0,0.0
2019-01-08 18:00:00,43.0,1,18,1,33049.138,31226.814,133.8821176470592,0.0
2019-01-08 19:00:00,41.0,1,19,1,32798.274,30971.602,262.8895882352881,0.0
2019-01-08 20:00:00,42.1,1,20,1,32625.448,30354.775,703.4696470588169,0.0
2019-01-08 21:00:00,41.0,1,21,1,31621.982,29238.396,863.8258823529432,0.0
2019-01-08 22:00:00,42.1,1,22,1,30043.866,27565.612,949.313470588233,0.0
2019-01-08 23:00:00,44.1,1,23,1,28590.459,25972.328,1075.575529411759,0.0
2019-01-09 00:00:00,45.0,1,0,2,27544.941,24899.414,1997.5507647058805,0.0
2019-01-09 01:00:00,44.1,1,1,2,27111.195,24356.37,2359.562764705879,0.0
2019-01-09 02:00:00,45.0,1,2,2,27168.998,24217.627,2813.492941176468,0.0
2019-01-09 03:00:00,45.0,1,3,2,27590.271,24542.726,3360.851529411761,313.3065294117587
2019-01-09 04:00:00,44.1,1,4,2,28703.062,25467.844,4094.427823529415,859.2098235294143
