Month,Day,Weekday,Hour,Temperature,Demand
1,1,1,0,3.0,47.819809723999995
1,1,1,1,4.0,43.26805916399999
1,1,1,2,4.0,50.992817779
1,1,1,3,5.0,43.127411386000006
1,1,1,4,5.0,39.512962224
1,1,1,5,5.0,40.01125972199999
1,1,1,6,5.0,39.84730999799999
1,1,1,7,6.0,50.491396111
1,1,1,8,6.0,65.185418611
1,1,1,9,7.0,47.178740555000005
1,1,1,10,9.0,44.789625830999995
1,1,1,11,10.0,36.48336722100001
1,1,1,12,12.0,46.566851946
1,1,1,13,13.0,46.499038332999994
1,1,1,14,14.0,47.637731944
1,1,1,15,14.0,48.885630557
1,1,1,16,14.0,61.863121389
1,1,1,17,15.0,62.983892779
1,1,1,18,15.0,62.134549721999996
1,1,1,19,15.0,55.866675833
1,1,1,20,15.0,50.67290222300001
1,1,1,21,15.0,51.883300833999996
1,1,1,22,16.0,53.884025550000004
1,1,1,23,16.0,53.859552500999996
1,2,1,0,17.0,39.332961943
1,2,1,1,16.0,34.590925558
1,2,1,2,15.0,40.230998611
1,2,1,3,13.0,33.207950554
1,2,1,4,12.0,34.15398166800001
1,2,1,5,12.0,36.38938639
1,2,1,6,14.0,41.16499611
1,2,1,7,13.0,48.18457472200001
1,2,1,8,17.0,66.32275444199999
1,2,1,9,19.0,50.936319167
1,2,1,10,19.0,47.190111668
1,2,1,11,19.0,39.228144723
1,2,1,12,17.0,50.377269444999996
1,2,1,13,18.0,49.892029445000006
1,2,1,14,17.0,56.766363054
1,2,1,15,19.0,59.35106527799999
1,2,1,16,20.0,55.89801360900001
1,2,1,17,19.0,59.766511946
1,2,1,18,20.0,49.110524444000006
1,2,1,19,20.0,51.97558722200001
1,2,1,20,21.0,48.77345361300001
1,2,1,21,21.0,59.53648638600001
1,2,1,22,21.0,52.748970832999994
1,2,1,23,21.0,47.79516277599999
1,3,0,0,22.0,43.534632499
1,3,0,1,22.0,40.351566667
1,3,0,2,26.0,35.436588331
1,3,0,3,28.0,34.000533332
1,3,0,4,29.0,36.524867498999996
1,3,0,5,29.0,35.455197500999994
1,3,0,6,30.0,39.085628332
1,3,0,7,31.0,39.53450527900001
1,3,0,8,31.0,54.318932501
1,3,0,9,32.0,36.42576166700001
1,3,0,10,31.0,36.795817222
1,3,0,11,32.0,7.503881389000003
1,3,0,12,32.0,-5.668384719999997
1,3,0,13,32.0,-15.927663053
1,3,0,14,33.0,-17.071111941999998
1,3,0,15,33.0,5.946531389
1,3,0,16,33.0,29.723326946
1,3,0,17,32.0,48.35138610999999
1,3,0,18,33.0,48.094913892
1,3,0,19,32.0,47.14241083299999
1,3,0,20,32.0,51.496012224
1,3,0,21,32.0,47.496407223000006
1,3,0,22,32.0,44.625780277000004
1,3,0,23,32.0,41.994400835
1,4,0,0,32.0,34.874780557
1,4,0,1,32.0,32.789680554
