ept,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,-13.9,1,0,3,5194.9,5272.0
2015-01-08 01:00:00,-14.2,1,1,3,4967.4,5092.6
2015-01-08 02:00:00,-14.8,1,2,3,4826.9,4909.5
2015-01-08 03:00:00,-15.6,1,3,3,4781.3,4771.4
2015-01-08 04:00:00,-16.0,1,4,3,4816.2,4698.5
2015-01-08 05:00:00,-17.0,1,5,3,5059.4,4720.9
2015-01-08 06:00:00,-17.8,1,6,3,5610.2,4811.1
2015-01-08 07:00:00,-18.1,1,7,3,6200.1,4868.3
2015-01-08 08:00:00,-19.0,1,8,3,6488.268222,4629.381132
2015-01-08 09:00:00,-19.7,1,9,3,6666.479278,4513.478577
2015-01-08 10:00:00,-20.4,1,10,3,6657.486216,4498.905034
2015-01-08 11:00:00,-20.8,1,11,3,6714.638063,4542.712814
2015-01-08 12:00:00,-20.9,1,12,3,6582.516846,4613.198146
2015-01-08 13:00:00,-18.0,1,13,3,6732.571629,4711.92916
2015-01-08 14:00:00,-13.5,1,14,3,6993.356676,4894.969752
2015-01-08 15:00:00,-11.6,1,15,3,6982.262254,5193.316956
2015-01-08 16:00:00,-9.7,1,16,3,7185.423447,5708.8
2015-01-08 17:00:00,-8.4,1,17,3,7361.9,5997.6
2015-01-08 18:00:00,-7.4,1,18,3,7218.8,6008.5
2015-01-08 19:00:00,-7.1,1,19,3,7064.9,5949.4
2015-01-08 20:00:00,-7.4,1,20,3,6870.1,5850.7
2015-01-08 21:00:00,-8.5,1,21,3,6599.5,5722.2
2015-01-08 22:00:00,-9.2,1,22,3,6186.6,5504.8
2015-01-08 23:00:00,-9.3,1,23,3,5731.0,5208.1
2015-01-09 00:00:00,-9.4,1,0,4,5343.2,4919.0
2015-01-09 01:00:00,-9.6,1,1,4,5108.7,4698.5
2015-01-09 02:00:00,-10.4,1,2,4,4962.9,4548.2
2015-01-09 03:00:00,-10.9,1,3,4,4895.0,4470.7
2015-01-09 04:00:00,-10.3,1,4,4,4933.2,4489.0
2015-01-09 05:00:00,-10.1,1,5,4,5170.0,4687.7
2015-01-09 06:00:00,-10.0,1,6,4,5726.9,5073.2
2015-01-09 07:00:00,-9.3,1,7,4,6306.3,5440.6
2015-01-09 08:00:00,-8.1,1,8,4,6674.503298,5393.647568
2015-01-09 09:00:00,-8.2,1,9,4,6835.565496,5372.979444
2015-01-09 10:00:00,-8.4,1,10,4,6864.144637,5333.500072
2015-01-09 11:00:00,-8.3,1,11,4,6854.477023,5333.865234
2015-01-09 12:00:00,-8.2,1,12,4,6951.253499,5326.292441
2015-01-09 13:00:00,-7.9,1,13,4,6935.042165,5417.689969
2015-01-09 14:00:00,-7.3,1,14,4,7034.367958,5566.244408
2015-01-09 15:00:00,-6.2,1,15,4,7044.983333,5837.077462
2015-01-09 16:00:00,-4.3,1,16,4,7297.67242,6362.4
2015-01-09 17:00:00,-3.3,1,17,4,7523.0,6590.7
2015-01-09 18:00:00,-2.3,1,18,4,7481.3,6457.6
2015-01-09 19:00:00,-2.4,1,19,4,7353.6,6300.1
2015-01-09 20:00:00,-2.7,1,20,4,7181.0,6116.4
2015-01-09 21:00:00,-3.6,1,21,4,6922.3,5926.5
2015-01-09 22:00:00,-4.1,1,22,4,6575.9,5659.9
2015-01-09 23:00:00,-4.3,1,23,4,6104.6,5337.8
2015-01-10 00:00:00,-5.1,1,0,5,5715.8,4998.4
2015-01-10 01:00:00,-6.0,1,1,5,5461.3,4760.0
2015-01-10 02:00:00,-6.9,1,2,5,5320.8,4594.2
2015-01-10 03:00:00,-7.7,1,3,5,5261.7,4497.3
2015-01-10 04:00:00,-8.2,1,4,5,5292.5,4464.4
2015-01-10 05:00:00,-8.5,1,5,5,5538.7,4529.1
2015-01-10 06:00:00,-9.1,1,6,5,6053.4,4693.6
2015-01-10 07:00:00,-9.5,1,7,5,6625.3,4876.5
2015-01-10 08:00:00,-10.0,1,8,5,6551.336718,5032.529812
2015-01-10 09:00:00,-10.4,1,9,5,6693.637981,5055.801795
2015-01-10 10:00:00,-10.6,1,10,5,6445.133628,4804.630968
2015-01-10 11:00:00,-11.1,1,11,5,6400.883268,4977.187425
2015-01-10 12:00:00,-11.9,1,12,5,6375.827262,5059.816928
2015-01-10 13:00:00,-11.1,1,13,5,6451.293025,5216.9972
2015-01-10 14:00:00,-10.3,1,14,5,6583.222004,5278.448751
2015-01-10 15:00:00,-9.5,1,15,5,6891.145103,5581.188298
2015-01-10 16:00:00,-8.6,1,16,5,7326.507517,6077.7
2015-01-10 17:00:00,-7.9,1,17,5,7632.3,6226.2
2015-01-10 18:00:00,-7.2,1,18,5,7521.3,6195.9
2015-01-10 19:00:00,-6.7,1,19,5,7376.0,6089.7
2015-01-10 20:00:00,-6.5,1,20,5,7181.7,5929.2
2015-01-10 21:00:00,-7.2,1,21,5,6891.1,5754.3
2015-01-10 22:00:00,-8.2,1,22,5,6483.7,5529.5
2015-01-10 23:00:00,-9.4,1,23,5,6047.6,5225.6
2015-01-11 00:00:00,-10.3,1,0,6,5645.0,4928.0
2015-01-11 01:00:00,-10.1,1,1,6,5391.1,4681.4
2015-01-11 02:00:00,-10.1,1,2,6,5229.1,4486.2
2015-01-11 03:00:00,-10.0,1,3,6,5137.5,4377.8
2015-01-11 04:00:00,-10.1,1,4,6,5148.2,4327.2
2015-01-11 05:00:00,-10.5,1,5,6,5359.2,4356.7
2015-01-11 06:00:00,-11.2,1,6,6,5891.9,4460.6
2015-01-11 07:00:00,-11.2,1,7,6,6488.4,4591.1
2015-01-11 08:00:00,-12.2,1,8,6,6792.175864,4419.738181
2015-01-11 09:00:00,-12.5,1,9,6,7005.562028,4419.020221
2015-01-11 10:00:00,-11.6,1,10,6,6976.884843,4486.872085
2015-01-11 11:00:00,-10.6,1,11,6,6984.522627,4550.262183
2015-01-11 12:00:00,-10.0,1,12,6,6527.643274,4630.01048
2015-01-11 13:00:00,-9.2,1,13,6,6855.35954,4767.423711
2015-01-11 14:00:00,-8.2,1,14,6,6772.773473,4959.530576
2015-01-11 15:00:00,-6.8,1,15,6,6812.094826,5237.4442
2015-01-11 16:00:00,-5.3,1,16,6,7117.030833,5721.310809
2015-01-11 17:00:00,-4.2,1,17,6,7295.9,5944.8
2015-01-11 18:00:00,-3.8,1,18,6,7145.3,5951.2
2015-01-11 19:00:00,-3.4,1,19,6,6945.9,5876.4
2015-01-11 20:00:00,-3.1,1,20,6,6764.0,5759.7
