ept,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-08 00:00:00,34.0,1,0,1,26316.103,25457.52
2019-01-08 01:00:00,34.0,1,1,1,25398.397,24341.429
2019-01-08 02:00:00,34.0,1,2,1,24945.985,23409.071
2019-01-08 03:00:00,33.1,1,3,1,24790.966,22785.869
2019-01-08 04:00:00,35.1,1,4,1,24916.312,22584.079
2019-01-08 05:00:00,36.0,1,5,1,25463.396,22864.42
2019-01-08 06:00:00,36.0,1,6,1,26312.605,23395.256
2019-01-08 07:00:00,37.0,1,7,1,27265.662,23677.857
2019-01-08 08:00:00,37.0,1,8,1,28017.342,24214.04
2019-01-08 09:00:00,37.9,1,9,1,28532.585,25200.511
2019-01-08 10:00:00,39.0,1,10,1,28571.068,26137.757
2019-01-08 11:00:00,39.0,1,11,1,27964.27,26651.298
2019-01-08 12:00:00,39.9,1,12,1,27452.456,26459.484
2019-01-08 13:00:00,42.1,1,13,1,27237.863,26251.365
2019-01-08 14:00:00,43.0,1,14,1,27368.635,26473.052
2019-01-08 15:00:00,46.0,1,15,1,27986.963,27038.929
2019-01-08 16:00:00,46.0,1,16,1,29638.411,28685.602
2019-01-08 17:00:00,44.1,1,17,1,32348.137,31094.933
2019-01-08 18:00:00,43.0,1,18,1,33049.138,31226.814
2019-01-08 19:00:00,41.0,1,19,1,32798.274,30971.602
2019-01-08 20:00:00,42.1,1,20,1,32625.448,30354.775
2019-01-08 21:00:00,41.0,1,21,1,31621.982,29238.396
2019-01-08 22:00:00,42.1,1,22,1,30043.866,27565.612
2019-01-08 23:00:00,44.1,1,23,1,28590.459,25972.328
2019-01-09 00:00:00,45.0,1,0,2,27544.941,24899.414
2019-01-09 01:00:00,44.1,1,1,2,27111.195,24356.37
2019-01-09 02:00:00,45.0,1,2,2,27168.998,24217.627
2019-01-09 03:00:00,45.0,1,3,2,27590.271,24542.726
2019-01-09 04:00:00,44.1,1,4,2,28703.062,25467.844
2019-01-09 05:00:00,44.1,1,5,2,31114.644,27755.815
2019-01-09 06:00:00,43.0,1,6,2,34667.82,31082.91
2019-01-09 07:00:00,42.1,1,7,2,36438.65,33036.057
2019-01-09 08:00:00,42.1,1,8,2,36236.238,33111.222
2019-01-09 09:00:00,44.1,1,9,2,35668.499,32950.247
2019-01-09 10:00:00,46.0,1,10,2,35349.368,32854.499
2019-01-09 11:00:00,45.0,1,11,2,34904.738,32588.103
2019-01-09 12:00:00,46.0,1,12,2,34725.302,32327.43
2019-01-09 13:00:00,46.0,1,13,2,34984.116,32571.962
2019-01-09 14:00:00,45.0,1,14,2,35266.227,32648.901
2019-01-09 15:00:00,44.1,1,15,2,35794.804,32992.165
2019-01-09 16:00:00,43.0,1,16,2,37068.127,34462.496
2019-01-09 17:00:00,43.0,1,17,2,38794.717,36262.684
2019-01-09 18:00:00,37.9,1,18,2,38710.893,36115.26
2019-01-09 19:00:00,37.9,1,19,2,38047.225,35496.754
