ept,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,1.499,1,0,3,10657.0,9484.0
2015-01-08 01:00:00,1.842,1,1,3,10281.0,9152.0
2015-01-08 02:00:00,2.338,1,2,3,10054.0,8799.0
2015-01-08 03:00:00,2.934,1,3,3,10078.0,8567.0
2015-01-08 04:00:00,3.446,1,4,3,10415.0,8487.0
2015-01-08 05:00:00,3.888,1,5,3,11568.0,8428.0
2015-01-08 06:00:00,4.337,1,6,3,12541.0,8122.0
2015-01-08 07:00:00,4.518,1,7,3,12966.0,8179.0
2015-01-08 08:00:00,4.755,1,8,3,13055.0,8340.0
2015-01-08 09:00:00,5.151,1,9,3,12973.0,8677.0
2015-01-08 10:00:00,5.671,1,10,3,13002.0,8899.0
2015-01-08 11:00:00,6.149,1,11,3,12819.0,9092.0
2015-01-08 12:00:00,6.596,1,12,3,12794.0,9088.0
2015-01-08 13:00:00,7.009,1,13,3,12760.0,8940.0
2015-01-08 14:00:00,7.112,1,14,3,12728.0,8919.0
2015-01-08 15:00:00,6.551,1,15,3,12851.0,9017.0
2015-01-08 16:00:00,5.457,1,16,3,13511.0,9664.0
2015-01-08 17:00:00,4.591,1,17,3,13551.0,9914.0
2015-01-08 18:00:00,4.333,1,18,3,12984.0,9852.0
2015-01-08 19:00:00,4.37,1,19,3,12372.0,9573.0
2015-01-08 20:00:00,4.481,1,20,3,11706.0,9422.0
2015-01-08 21:00:00,4.487,1,21,3,11872.0,9896.0
2015-01-08 22:00:00,4.492,1,22,3,11783.0,10062.0
2015-01-08 23:00:00,4.614,1,23,3,11079.0,9489.0
2015-01-09 00:00:00,4.795,1,0,4,10511.0,9001.0
2015-01-09 01:00:00,4.974,1,1,4,10177.0,8571.0
2015-01-09 02:00:00,5.073,1,2,4,10019.0,8321.0
2015-01-09 03:00:00,5.023,1,3,4,10003.0,8277.0
2015-01-09 04:00:00,5.338,1,4,4,10361.0,8517.0
2015-01-09 05:00:00,6.104,1,5,4,11397.0,9000.0
2015-01-09 06:00:00,6.594,1,6,4,12471.0,9226.0
2015-01-09 07:00:00,6.985,1,7,4,12856.0,9769.0
2015-01-09 08:00:00,7.66,1,8,4,12799.0,10243.0
2015-01-09 09:00:00,8.51,1,9,4,12662.0,10557.0
2015-01-09 10:00:00,9.489,1,10,4,12769.0,10781.0
2015-01-09 11:00:00,10.286,1,11,4,12580.0,10770.0
2015-01-09 12:00:00,10.764,1,12,4,12561.0,10606.0
2015-01-09 13:00:00,10.805,1,13,4,12507.0,10320.0
2015-01-09 14:00:00,10.62,1,14,4,12503.0,10225.0
2015-01-09 15:00:00,10.23,1,15,4,12646.0,10394.0
2015-01-09 16:00:00,9.946,1,16,4,13388.0,11212.0
2015-01-09 17:00:00,9.953,1,17,4,13398.0,11429.0
2015-01-09 18:00:00,10.314,1,18,4,12779.0,11057.0
2015-01-09 19:00:00,11.139,1,19,4,12210.0,10516.0
2015-01-09 20:00:00,11.776,1,20,4,11580.0,9993.0
2015-01-09 21:00:00,12.046,1,21,4,11651.0,10362.0
2015-01-09 22:00:00,12.193,1,22,4,11735.0,10440.0
2015-01-09 23:00:00,12.236,1,23,4,10996.0,9880.0
2015-01-10 00:00:00,12.17,1,0,5,10519.0,9295.0
2015-01-10 01:00:00,12.07,1,1,5,10083.0,8901.0
2015-01-10 02:00:00,11.918,1,2,5,9803.0,8551.0
2015-01-10 03:00:00,11.688,1,3,5,9828.0,8536.0
2015-01-10 04:00:00,11.493,1,4,5,10238.0,8619.0
2015-01-10 05:00:00,11.357,1,5,5,11277.0,8921.0
2015-01-10 06:00:00,11.217,1,6,5,12299.0,9010.0
2015-01-10 07:00:00,11.087,1,7,5,12731.0,9605.0
2015-01-10 08:00:00,11.13,1,8,5,12854.0,10117.0
2015-01-10 09:00:00,11.36,1,9,5,12926.0,10705.0
2015-01-10 10:00:00,11.692,1,10,5,13087.0,11068.0
2015-01-10 11:00:00,11.938,1,11,5,12757.0,11128.0
2015-01-10 12:00:00,12.109,1,12,5,12868.0,11004.0
2015-01-10 13:00:00,11.869,1,13,5,12825.0,10816.0
2015-01-10 14:00:00,10.696,1,14,5,12772.0,10834.0
2015-01-10 15:00:00,9.135,1,15,5,12828.0,11072.0
2015-01-10 16:00:00,7.633,1,16,5,13380.0,11515.0
2015-01-10 17:00:00,6.343,1,17,5,13326.0,11503.0
2015-01-10 18:00:00,5.078,1,18,5,12690.0,11098.0
