date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-01-08 00:00:00,310.394275,35.96,1,0,3,253.264593054,412.615360276,0.0,158.32435702214278
2015-01-08 01:00:00,282.033191668,39.92,1,1,3,248.170986948,404.935956943,8.06147377285717,164.82644376785717
2015-01-08 02:00:00,264.792191666,39.92,1,2,3,266.301315836,394.277283613,27.858691074142826,155.83465885114282
2015-01-08 03:00:00,258.46202361,46.94,1,3,3,267.87226,402.20924278,29.85947793528576,164.19646071528578
2015-01-08 04:00:00,245.055921112,46.04,1,4,3,284.251484166,406.39751778,44.23864257942861,166.3846761934286
2015-01-08 05:00:00,246.212475001,46.94,1,5,3,285.403110278,408.112414167,42.96451916699999,165.673823056
2015-01-08 06:00:00,253.072088333,39.92,1,6,3,305.897483333,400.833351668,64.4279946415715,159.36386297657145
2015-01-08 07:00:00,288.272580557,44.06,1,7,3,330.363699443,413.745204725,78.82048408542855,162.20198936742858
2015-01-08 08:00:00,375.239204999,42.08,1,8,3,423.139978891,403.569810557,154.26658047771434,134.69641214371433
2015-01-08 09:00:00,430.985588336,42.98,1,9,3,455.365482499,393.774434722,187.22409214157145,125.63304436457145
2015-01-08 10:00:00,382.430515552,44.06,1,10,3,386.574917502,338.383722776,149.99178948600002,101.80059476000002
2015-01-08 11:00:00,312.287436388,44.96,1,11,3,317.976925556,318.611621946,127.87752504071432,128.5122214307143
2015-01-08 12:00:00,261.977633891,46.04,1,12,3,273.89344472,256.955909724,130.74224813185714,113.80471313585711
2015-01-08 13:00:00,204.377213889,46.04,1,13,3,265.270578892,196.103395555,137.1763532564286,68.00916991942859
2015-01-08 14:00:00,215.350815559,46.04,1,14,3,233.572385833,203.71666139,121.03890583185716,91.18318138885718
2015-01-08 15:00:00,245.192622498,44.96,1,15,3,259.656065836,201.548430001,138.56703770099998,80.45940186600001
2015-01-08 16:00:00,253.068196113,41.0,1,16,3,288.013074445,230.749581669,135.03734496028568,77.77385218428572
2015-01-08 17:00:00,252.537199443,35.06,1,17,3,279.499213056,290.738437778,87.16918254042852,98.40840726242854
2015-01-08 18:00:00,300.084674722,33.98,1,18,3,317.471726666,323.186359446,69.72015595214287,75.43478873214286
2015-01-08 19:00:00,355.018411943,32.0,1,19,3,339.972443887,358.333589446,40.56585003842855,58.92699559742857
2015-01-08 20:00:00,336.437578331,26.06,1,20,3,315.624661387,347.466470831,35.54841436328576,67.39022380728574
2015-01-08 21:00:00,349.122330833,24.08,1,21,3,295.666867778,367.29193222,24.4032367454285,96.0283011874285
2015-01-08 22:00:00,348.025441945,23.0,1,22,3,312.058726113,359.392053335,44.66241309585712,91.99574031785716
2015-01-08 23:00:00,328.024246945,21.02,1,23,3,299.214584721,358.468188054,37.02326126914289,96.2768646021429
2015-01-09 00:00:00,314.751501387,19.04,1,0,4,264.77631944,355.827648611,10.485316186142796,101.53664535714276
2015-01-09 01:00:00,310.019469444,17.96,1,1,4,264.269096947,329.594720835,24.159583771857143,89.48520765985714
2015-01-09 02:00:00,311.103648612,17.96,1,2,4,279.482778611,342.086787777,41.040153849142825,103.6441630151428
2015-01-09 03:00:00,316.003435831,17.96,1,3,4,291.211625278,354.657750835,53.19884321328576,116.64496877028576
2015-01-09 04:00:00,315.858867497,19.04,1,4,4,305.317736391,343.996459446,65.30489480442859,103.98361785942862
2015-01-09 05:00:00,306.180154719,19.04,1,5,4,314.984001664,357.894262775,72.54541055300001,115.45567166400002
2015-01-09 06:00:00,319.286106665,15.98,1,6,4,304.195066668,358.67377,62.72557797657146,117.20428130857148
2015-01-09 07:00:00,339.354594446,15.08,1,7,4,337.232167224,354.735708888,85.6889518664286,103.19249353042856
2015-01-09 08:00:00,427.037328611,17.96,1,8,4,421.961772224,404.502918057,153.08837381071436,135.62951964371433
2015-01-09 09:00:00,482.891827499,19.94,1,9,4,504.306546109,391.26738833,236.16515575157143,123.12599797257144
2015-01-09 10:00:00,426.950723611,21.92,1,10,4,450.748668335,347.495078054,214.165540319,110.911950038
2015-01-09 11:00:00,382.854683608,24.08,1,11,4,434.752226945,310.381016942,244.6528264297143,120.28161642671428
2015-01-09 12:00:00,358.110524163,24.08,1,12,4,396.89517111,242.416565277,253.74397452185715,99.26536868885714
2015-01-09 13:00:00,366.214644166,24.08,1,13,4,379.651451669,214.875075276,251.55722603342852,86.78084964042858
2015-01-09 14:00:00,352.359460277,28.04,1,14,4,352.420924723,165.101111108,239.88744472185715,52.56763110685717
2015-01-09 15:00:00,344.346450283,28.04,1,15,4,340.039454447,163.962387776,218.950426312,42.87335964100001
2015-01-09 16:00:00,312.625182502,24.98,1,16,4,306.075483056,169.001655554,153.0997535712857,16.025926069285703
2015-01-09 17:00:00,312.749123336,24.08,1,17,4,289.936617499,209.677783059,97.60658698342856,17.347752543428555
2015-01-09 18:00:00,392.162482778,24.08,1,18,4,331.805177499,278.571431114,84.0536067851429,30.81986040014289
2015-01-09 19:00:00,426.401141111,24.08,1,19,4,384.65340361,324.206528613,85.24680976142855,24.799934764428546
