date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-01-08 00:00:00,107.261982774,30.02,1,0,3,90.617098886,93.681293335,8.648987109000004,11.713181558000016
2015-01-08 01:00:00,101.411796388,28.94,1,1,3,89.416004998,90.814562496,9.472736082000011,10.87129358
2015-01-08 02:00:00,99.237802223,28.04,1,2,3,84.882851944,101.849884445,2.7179391660999954,19.6849716671
2015-01-08 03:00:00,95.568927778,26.06,1,3,3,75.618245001,89.423969718,0.0,13.003008939500006
2015-01-08 04:00:00,101.295963056,24.98,1,4,3,76.400380278,78.618081114,5.068688638800012,7.286389474800018
2015-01-08 05:00:00,100.333932779,24.08,1,5,3,75.158715275,90.528864442,5.710955885400011,21.081105052400005
2015-01-08 06:00:00,106.341721943,21.92,1,6,3,86.466333331,94.331746664,3.2586730522000096,11.124086385200002
2015-01-08 07:00:00,120.747525279,21.92,1,7,3,98.519487779,108.92114389,5.083504916799996,15.48516102779999
2015-01-08 08:00:00,159.268691388,23.0,1,8,3,130.272555557,121.140643057,29.6754398067,20.5435273067
2015-01-08 09:00:00,155.201023334,26.06,1,9,3,112.229032221,104.762945,28.369337637699985,20.90325041669999
2015-01-08 10:00:00,132.330928335,26.06,1,10,3,100.412244165,100.766349997,26.819945748700007,27.17405158070001
2015-01-08 11:00:00,109.511823609,26.96,1,11,3,83.363948334,83.625524165,34.27983561260001,34.54141144360001
2015-01-08 12:00:00,92.671081388,28.04,1,12,3,53.567828331,73.330624169,24.839933664,44.602729502
2015-01-08 13:00:00,77.955495833,28.94,1,13,3,24.601752776,53.25437861,11.6797386923,40.332364526300005
2015-01-08 14:00:00,72.809530834,32.0,1,14,3,15.100393333,56.604586111,7.852838332299998,49.3570311103
2015-01-08 15:00:00,61.148293614,33.08,1,15,3,20.045137223,48.095406669,11.228278168,39.278547614
2015-01-08 16:00:00,77.070280834,33.98,1,16,3,46.69020417,65.238964721,18.549214364500003,37.0979749155
2015-01-08 17:00:00,86.785739721,33.98,1,17,3,61.532430278,79.46568667,12.2318888883,30.1651452803
2015-01-08 18:00:00,88.306478887,35.06,1,18,3,80.676448611,97.252048611,17.374823750600008,33.95042375060002
2015-01-08 19:00:00,94.102342223,35.06,1,19,3,95.292081386,98.791079723,19.791333386000005,23.290331723
