True,LR,DT,SVR,LSTM,DNN,GRU
25.969413612000004,25.637120397195552,26.13455138999999,26.45066527800001,33.4412,26.280922,30.397995
24.841946944000007,27.137674447594883,24.208080556999995,24.208080556999995,31.108398,26.312141,28.690971
22.147622778000006,22.678260920747185,31.235025555,31.235025555,30.896805,26.294289,28.021095
21.157831112000004,22.192453649791595,20.438566665999993,20.438566665999993,28.522514,26.319756,25.46296
18.269143055999997,21.929788478672997,20.438566665999993,20.438566665999993,25.63343,26.372147,22.821663
21.666226945,19.368462307371466,24.731233056,24.573900834000007,24.896446,26.377838,19.863754
19.355148331000002,19.9092199054624,23.276765278000006,23.276765278000006,24.549812,26.394798,16.472137
20.401125831999998,21.017715433302534,20.438566665999993,20.438566665999993,23.833206,26.470612,12.573952
19.827739723,22.272933415797205,19.231291667,20.142980556000005,22.506027,26.592789,7.1151123
7.507677222999995,25.628914273215365,19.967358612000005,19.967358612000005,21.721878,26.597733,2.709629
-6.181733610000002,12.18880405988633,16.970872502,16.970872502,9.613876,26.437683,-12.065762
-27.238617223,7.054808260369519,-2.5274663900000007,-2.5274663900000007,-0.36206055,26.33767,-19.842457
-32.55510361,-5.3280111678385325,-24.545962498,-30.847095002,-15.0829315,24.607445,-30.038614
-34.139911110999996,-1.3946561899796919,-48.167360552,-48.167360552,-19.060642,23.99295,-31.922825
-23.003080832000002,3.9302975337354056,-31.870790833,-31.870790833,-18.916058,24.694534,-31.416098
-25.101696943,2.364855179343728,-48.167360552,-48.167360552,-22.086231,23.544853,-31.362377
-12.676814998999994,4.364334728530515,-48.167360552,-48.167360552,-18.612534,24.148247,-26.586899
7.266081109999995,6.027675014875491,2.3509772219999903,3.565342778999991,-14.503502,24.427681,-18.510448
24.347169165999993,19.083490039092176,-9.943858613000003,-9.943858613000003,0.28569794,26.83213,-6.196045
41.067149167000004,21.87641001987074,14.964398331999995,18.891235,7.065529,27.92987,1.9342918
38.144079724,27.69447045388754,31.336594166000005,31.336594166000005,14.324936,29.215431,8.709549
33.910988056999976,31.62617310952009,41.338720001999995,41.338720001999995,18.4674,29.536415,11.863617
32.774829725,21.60048650358798,33.769484721999994,34.69827138899998,15.387459,28.72908,9.561043
34.656971111,21.61152331698664,33.769484721999994,34.69827138899998,21.245468,28.584732,14.754738
34.01709111099999,24.74714701426651,27.243217499000004,25.43482472,26.546356,29.02916,18.551506
31.024320554000006,26.037494092260694,37.51846222199999,36.582045556000004,35.28901,26.368736,31.427017
27.477065000000017,23.726978591961263,25.643238058000016,25.643238058000016,32.713272,26.392555,28.981064
18.31839833499999,22.495027909906675,25.643238058000016,25.643238058000016,31.884476,26.345764,27.965172
18.081800555000008,20.51466008117982,15.345253055000008,21.221209445999996,29.407967,26.378433,26.04274
18.75760972200002,22.79100425857896,18.782408609999983,19.603419444999993,29.132652,26.404503,24.516266
18.668855832000013,21.876543893218532,23.688740555000003,23.688740555000003,29.384293,26.410141,23.49028
23.052136943,23.59672293183248,8.948112778000002,8.948112778000002,29.185379,26.431137,23.172379
27.138352778000005,22.948097585254608,27.292073890000005,29.006136669000007,28.60617,26.443634,21.041557
17.377526389000003,12.995471764557358,25.953272219000006,25.720850558000016,26.999023,26.442978,9.472084
-0.668700831999999,1.0747733560006907,-4.662829164999998,-4.662829164999998,14.220467,26.432793,-5.7418785
-15.542589444000008,-15.734803951030983,-36.297245835,-40.35620083699999,-3.7889214,21.625885,-22.81765
-32.941953335,-21.846984055080952,-56.21610416699999,-56.21610416699999,-17.839012,13.133339,-34.577232
