True,QR-0.1,GB-0.1,RF-0.1,LSTM-0.1,DNN-0.1,GRU-0.1,QR-0.2,GB-0.2,RF-0.2,LSTM-0.2,DNN-0.2,GRU-0.2,QR-0.30000000000000004,GB-0.30000000000000004,RF-0.30000000000000004,LSTM-0.30000000000000004,DNN-0.30000000000000004,GRU-0.30000000000000004,QR-0.4,GB-0.4,RF-0.4,LSTM-0.4,DNN-0.4,GRU-0.4,QR-0.5,GB-0.5,RF-0.5,LSTM-0.5,DNN-0.5,GRU-0.5,QR-0.6000000000000001,GB-0.6000000000000001,RF-0.6000000000000001,LSTM-0.6000000000000001,DNN-0.6000000000000001,GRU-0.6000000000000001,QR-0.7000000000000001,GB-0.7000000000000001,RF-0.7000000000000001,LSTM-0.7000000000000001,DNN-0.7000000000000001,GRU-0.7000000000000001,QR-0.8,GB-0.8,RF-0.8,LSTM-0.8,DNN-0.8,GRU-0.8,QR-0.9,GB-0.9,RF-0.9,LSTM-0.9,DNN-0.9,GRU-0.9
201.71559889099996,156.2236043032765,202.4518840576934,199.27053944700003,220.65973,164.64444,219.76923,174.6686745871241,204.93927928077193,205.468907501,291.75964,217.90466,353.10257,186.16665126330275,204.2181544353631,209.63275961700003,164.20718,236.76584,286.7671,192.5825700868466,208.08969906940547,213.70606355820001,285.95245,219.23428,232.8193,194.6897723739957,210.31568250936266,216.6479231925,233.1759,226.35529,282.21646,197.0586237072974,213.1820043381369,223.515784446,216.23361,253.55566,21.274483,197.9434551900838,219.86660380256797,227.35103399780002,195.02847,261.73743,73.22065,202.561405781646,220.9207628445322,236.52263811,429.3589,285.20328,272.53287,208.18921969139717,228.90560483121504,246.15004333300004,541.1987,309.51535,439.4626
191.75467083400002,145.4339186405615,196.35489734882356,195.8743073365,208.09518,159.89908,213.7637,164.435774531804,198.5199605871012,196.90143722279998,278.83878,212.44879,345.24954,176.02703285974673,195.4482416824768,200.049034334,160.44931,229.7403,280.66312,182.52111550335576,198.40109444463735,201.55670139,277.88162,213.09589,223.62988,184.89747949362112,197.8066971163645,203.76500472599997,210.50552,225.24738,265.1976,187.3898689226641,197.14949905560525,203.825429723,217.28793,239.88812,13.952538,188.54280812683243,198.88424667538095,205.4576593584,190.72873,266.7621,70.258934,193.56655711056845,201.9911809484583,210.03157039099995,410.6349,284.5474,256.33215,200.29854585488243,214.89570863859154,216.8586074746001,432.8945,308.96097,448.21863
189.68364277799998,146.35287168760178,197.6066838442,192.249921943,205.04495,162.13803,202.52121,165.7848474270727,192.99243624476816,194.41698000100007,282.45352,215.22067,351.4473,177.6181209197025,193.85995611721563,197.410057499,155.17471,232.37842,283.41428,184.46122667987692,197.71772903752623,201.861089445,285.58527,213.38278,221.31363,187.2555004687659,201.24488932288176,203.1828356945,196.91595,227.26385,273.808,190.33960003830805,202.15298769524037,206.8647258894,211.06265,241.13638,0.5826416,191.91598616136542,202.59064051835986,216.306022225,184.70663,265.97482,74.85151,197.64651559782072,209.1547106094239,242.58984828099995,401.64563,286.01416,260.20773,204.74267743562865,226.72008490270815,243.260104721,459.66516,310.00848,458.2331
190.40420583600002,139.64019332080252,194.0056365268439,187.91439649830005,199.89291,158.96335,191.76254,159.95911092792306,188.51436966974222,191.784497112,268.5861,210.65594,345.83572,172.11174909551238,192.80668511113333,193.87864472099994,148.50662,227.55777,276.88004,179.19170477055414,194.98573514315473,195.68503583199998,278.03897,207.9306,208.71854,182.35085788081284,197.8066971163645,195.923317086,177.93088,225.27658,266.43253,185.6983470629387,196.75542888962758,200.31849077660002,225.05603,233.43945,-5.811783,187.65122457345427,196.55040810818332,203.179303887,182.48862,269.19153,73.72132,193.95634981056122,201.9911809484583,204.88156694100002,376.844,286.27786,233.88971,202.26248863642064,217.68303045839696,216.92295083570008,325.9159,310.00964,459.7873
187.412814169,137.2453676144099,194.0056365268439,187.91439649830005,203.909,157.84912,179.4719,158.80679066145169,188.51436966974222,191.813510835,256.7624,207.67969,343.75677,171.52324884108802,193.61495864521015,193.88834594539998,141.66556,224.04282,268.8977,179.016268096956,194.98573514315473,194.5782691672,273.20218,203.90823,202.40329,182.64965731412008,197.8066971163645,195.84135833200008,164.56747,224.21613,264.84796,186.4206713436729,196.75542888962758,196.46091577760006,241.44821,225.71484,-4.5964355,188.8724601905975,196.23644416140934,201.102483888,179.61078,271.408,75.91526,195.9424649623616,199.96503027444487,203.825429723,346.8411,286.3625,220.0914,205.56988400247565,199.4498277784108,206.01228667100003,275.84772,310.603,443.74487
182.18702472099997,135.51487986108253,194.14386385597487,185.52873702340008,212.16623,155.95462,179.3417,158.11138234665532,185.9632705304423,190.13411027859996,255.79279,203.99786,338.32425,171.26212540849886,190.45070732441536,191.72162999799997,138.56384,219.49039,265.08206,178.9222946253638,190.49852105204474,195.9323868358,266.44745,197.94553,219.56924,182.73458693792907,196.22820110954007,198.64624722399998,160.02606,222.31598,263.6445,186.5020411368626,192.8345224596123,200.66362977720001,261.43964,219.34644,16.600021,189.16308969474863,196.09998934207732,205.0080602525,183.612,271.3223,88.155464,196.52849784128944,199.85248741323335,215.11335088779992,317.65204,285.59827,212.33615,207.33485340972965,210.0201369139303,227.41440250099998,239.71799,310.7714,404.47717
182.738263055,129.8829122898715,192.5040632237609,183.148219445,214.39636,153.70898,184.26987,153.48812214341666,186.0987054268479,185.14770333200005,262.2938,200.06479,334.58527,167.04726253563135,190.5037274331649,189.2539266389,130.55826,215.01901,260.84735,175.0336462261723,185.36230608787503,195.75391116879996,261.18976,195.63394,236.51462,179.28251295814064,189.8466396247042,199.19359194600003,148.98624,220.0597,263.43277,183.42017317495754,188.73506047730467,202.78329177899997,288.62274,209.44226,37.132988,186.53072867611854,193.83081915664587,205.87495861199994,181.7594,269.3104,101.1441,194.58227853500875,199.15888264506066,214.61296638799996,281.7054,284.60022,209.30194,206.62231076590098,198.08376205683408,218.57356575040006,237.23141,310.63724,378.69034
189.925976665,141.3012969028982,197.30713843582123,194.60545008140002,222.1518,158.7009,190.98077,167.18207929880492,198.0573582492646,195.40398016620003,276.3975,205.4313,340.7057,181.9427457638928,199.0613059430865,199.10965694550003,127.070885,218.39328,264.2183,190.67271678505375,206.2295590741137,202.82560416500002,264.8015,202.67282,253.37878,195.5620630109837,206.78752341439224,205.067835834,146.36008,223.16171,272.5432,200.3408272454135,204.39769898943348,209.55904494840001,322.7377,216.77881,55.05488,204.17645656977174,214.46152337617042,212.62996580729998,184.1326,273.84378,119.860725,213.3854430820483,211.1031581412447,221.50065411080004,256.6829,287.6914,216.9899,227.30880306303624,224.71609595795746,239.25643138799995,250.43561,313.58078,379.89005
220.79251833300003,154.77003126082369,205.3227183752876,205.97599055700005,230.89844,163.14505,211.08658,182.5492007601586,209.86346595865717,213.208686387,288.70264,210.13226,333.9496,198.27468872968558,213.48464246214797,222.11390222300003,133.07996,222.87473,277.35382,207.25581778166014,220.99222622231667,222.11390222300003,262.79694,209.16504,258.8304,212.18382262202095,223.87325364319122,223.66057485749997,169.93155,227.01007,276.57782,216.7319714869476,221.05393225418135,226.82643444499996,346.0148,221.25186,90.92918,220.70569412389125,222.4480773311991,234.760288055,199.95743,276.49915,144.11673,230.1225239880099,229.85736227259878,239.22452999900003,254.26233,288.81952,230.10071,245.66588846804007,242.57753939471024,257.4729915864001,262.39117,315.53397,373.18005
220.11665500100003,152.11294427581709,214.744983704272,212.627247222,227.22559,161.53711,217.42435,181.7242597776453,219.65720948925292,219.78425372499999,290.28137,208.57275,315.63126,198.51812397090617,217.18665889114322,224.694470556,137.90799,222.13907,276.08743,208.74577444159354,222.08287193793217,228.00953038699998,254.93488,210.34088,244.60083,214.96807788696697,227.79926688537842,228.98175638600003,207.95865,227.4982,275.5861,221.17474263662888,229.33204053990215,228.9817563860001,356.85645,216.9444,117.98443,226.43029232759733,235.48829883053537,230.50210758279997,226.9805,276.4855,170.97992,237.79263344395406,238.19385113504939,240.53348200159996,255.59296,288.39325,243.5765,254.5729602540826,245.2545439692662,265.4404608047,276.58798,316.4896,365.12296
